MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
1,0,34,0,0,0,0,0,0,0,0,,,,,,,,,"Masood Abdulsaeed Position: DF 180cm, 69kg (5-10½, 152lb) Born: March 1, 1994 in Afghanistan af National Team: Afghanistan af",Afghanistan 
1,0,7,0,0,0,0,0,0,0,0,,,,,,,,,"Mustafa Afshar Position: FW Born: November 25, 1988 in Kabul, Afghanistan af National Team: Afghanistan af",Afghanistan 
4,4,321,0,,0,0,0,2,1,1,,,,,,,,,"Bashir Ahmad Saadat Position: DF Born: December 27, 1981 in Kabul, Afghanistan af National Team: Afghanistan af",Afghanistan 
2,2,104,0,0,0,0,0,0,0,0,,,,,,,,,"Moshtaq Ahmadi Moshtaq Ahmadi Position: FW 180cm, 77kg (5-10½, 170lb) Born: April 21, 1996 (Age: 26-121d) National Team: Afghanistan af Club: Ariana FC",Afghanistan 
1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,"Qesmat Ahmadi Position: MF Born: August 13, 1996 National Team: Afghanistan af",Afghanistan 
2,2,125,0,0,0,0,0,0,0,0,,,,,,,,,"Sandjar Ahmadi Sandjar Mohammad Ahmadi Position: FW-MF (AM-WM, left & right) 183cm (6-0) Born: February 10, 1992 in Kabul, Afghanistan af National Team: Afghanistan af",Afghanistan 
25,23,"1,954",0,0,0,0,0,1,0,0,,,,,,,,,"Abassin Alikhil Position: DF (CB) 177cm, 79kg (5-9½, 174lb) Born: April 19, 1991 (Age: 31-123d) in Frankfurt am Main, Germany de National Team: Afghanistan af  Other: Germany Club: SC Hessen Dreieich",Afghanistan 
16,6,614,3,0,3,0,0,0,0,0,,,,,,,,,"Khaibar Amani Khaibaramani Position: FW ▪  Footed: Right 183cm, 79kg (6-0, 174lb) Born: February 6, 1987 (Age: 35-195d) in Germany de National Team: Afghanistan af Club: FC Hanau 93",Afghanistan 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Shamsuddin Amiri Amiri Shamsuddin Position: GK Born: February 12, 1985 in Kabul, Afghanistan af National Team: Afghanistan af",Afghanistan 
26,16,"1,562",2,0,1,1,1,2,0,0,,,,,,,,,"Zubayr Amiri Position: MF 185cm, 79kg (6-½, 174lb) Born: May 2, 1990 (Age: 32-110d) in Kabul, Afghanistan af National Team: Afghanistan af Club: SC Hessen Dreieich",Afghanistan 
5,1,223,0,0,0,0,0,0,0,0,,,,,,,,,"Mohammad Anwar Akbari Position: MF Born: June 2, 1992 in Afghanistan af National Team: Afghanistan af",Afghanistan 
2,1,94,1,0,1,0,0,0,0,0,,,,,,,,,"Amiruddin Anwar Amiruddin Mohammad Anwar Position: FW 178cm, 78kg (5-10, 172lb) Born: July 2, 1992 in Baghlān, Afghanistan af National Team: Afghanistan af",Afghanistan 
8,7,524,1,1,1,0,0,1,0,0,,,,,,,,,"Balal Arezou Belal Arezou Position: FW ▪  Footed: Right 180cm (5-10½) Born: December 28, 1988 in Kabul, Afghanistan af National Team: Afghanistan af",Afghanistan 
1,1,81,0,0,0,0,0,0,0,0,,,,,,,,,"Farzad Ataie Farzad Ghulam Ataie Position: DF-MF ▪  Footed: Both 179cm, 73kg (5-10, 161lb) Born: December 30, 1991 (Age: 30-233d) in Herāt, Afghanistan af National Team: Afghanistan af Club: Toofaan Harirod FC",Afghanistan 
16,8,720,1,1,1,0,0,0,0,0,,,,,,,,,"Mustafa Azadzoy Position: MF 171cm, 68kg (5-7, 150lb) Born: July 24, 1992 (Age: 30-027d) in Kabul, Afghanistan af National Team: Afghanistan af Club: SV Atlas Delmenhorst",Afghanistan 
29,29,"2,610",0,0,0,0,0,0,0,0,,,,,,,,,"Ovays Azizi Position: GK 190cm, 89kg (6-2½, 196lb) Born: January 29, 1992 (Age: 30-203d) in Herāt, Afghanistan af National Team: Afghanistan af Club: Ariana FC",Afghanistan 
2,0,5,0,0,0,0,0,0,0,0,,,,,,,,,"Saber Azizi Position: MF ▪  Footed: Right 172cm (5-7½) Born: January 13, 1996 in Malmö, Sweden se National Team: Afghanistan af  Other: Sweden",Afghanistan 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Yusuf Barak Position: DF-GK (FB, right) 176cm (5-9) Born: February 2, 1984 in Kabul, Afghanistan af National Team: Afghanistan af",Afghanistan 
2,1,105,0,,0,0,0,0,0,0,,,,,,,,,"Masihullah Barakzai Position: MF (AM-DM-WM, right) 180cm (5-10½) Born: December 6, 1990 in Kabul, Afghanistan af National Team: Afghanistan af",Afghanistan 
