MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"Albi Alla Position: DF 188cm, 74kg (6-2, 163lb) Born: February 1, 1993 in Irákleion, Greece gr National Team: Albania al  Other: Greece",Albania 
23,23,"2,070",1,0,1,0,0,1,0,0,,,,,,,,,"Arbiona Bajraktari Position: DF Born: September 10, 1996 (Age: 25-344d) in Albania al National Team: Albania al Club: Vllaznia Shkodër",Albania 
1,0,5,0,0,0,0,0,0,0,0,,,,,,,,,"Erida Bajrakurtaj Position: DF Born: March 16, 1994 National Team: Albania al",Albania 
12,9,788,1,0,1,0,0,2,0,0,,,,,,,,,"Zelfie Bajramaj Position: FW Born: October 2, 1997 (Age: 24-322d) in Kosovo, Kosovo xk National Team: Albania al  Other: Kosovo Club: Vllaznia Shkodër",Albania 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Adrian Bajrami Adrian Bajrami Position: DF ▪  Footed: Left 187cm (6-1½) Born: April 5, 2002 (Age: 20-137d) in Langenthal, Switzerland ch National Team: Albania al  Other: Switzerland Club: Benfica",Albania 
6,2,145,0,0,0,0,0,0,0,0,,,,,,,,,"Sara Begallo Mesuare Begallo Position: FW Born: March 1, 2000 (Age: 22-172d) National Team: Albania al",Albania 
14,10,886,1,0,1,0,0,1,0,0,,,,,,,,,"Lavdije Begolli Position: MF Born: January 19, 1993 (Age: 29-213d) National Team: Albania al Club: Hajvalia",Albania 
3,2,171,0,0,0,0,0,0,0,0,,,,,,,,,"Markela Bejleri Position: MF Born: May 28, 2001 (Age: 21-084d) National Team: Albania al",Albania 
3,2,185,0,,0,0,0,0,0,0,,,,,,,,,"Ardit Beqiri Position: DF-MF 181cm, 76kg (5-11, 168lb) Born: February 13, 1979 in Rrethi i Shkodrës, Albania al National Team: Albania al",Albania 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Xhemile Berisha Position: MF Born: July 22, 1981 National Team: Albania al",Albania 
1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,Klaudia Borci Klaudia Borci Position: FW National Team: Albania al,Albania 
1,1,90,0,,0,0,0,1,0,0,,,,,,,,,"Ellvana Curo Position: FW 182cm (5-11½) Born: January 22, 1992 in Melbourne, Australia au National Team: Albania al  Other: Australia",Albania 
19,15,"1,423",0,1,0,0,0,1,0,0,,,,,,,,,"Arbenita Curraj Position: DF Born: July 28, 1996 (Age: 26-023d) National Team: Albania al Club: Vllaznia Shkodër",Albania 
10,10,879,0,,0,0,0,3,1,1,,,,,,,,,"Nevil Dede Nevil Thanas Dede Position: DF 184cm (6-0) Born: January 10, 1975 in Tirana, Albania al National Team: Albania al",Albania 
32,31,"2,833",10,5,7,3,4,3,0,0,,,,,,,,,"Megi Doçi Position: MF Born: October 14, 1996 (Age: 25-310d) National Team: Albania al Club: Vllaznia Shkodër",Albania 
3,2,154,0,0,0,0,0,0,0,0,,,,,,,,,"Greis Domi Position: MF Born: October 30, 1998 in Durrës, Albania al National Team: Albania al",Albania 
1,1,84,0,,0,0,0,0,0,0,,,,,,,,,"Seljimi Egzona Position: MF Born: September 13, 1993 National Team: Albania al",Albania 
17,15,"1,369",0,0,0,0,0,5,0,0,,,,,,,,,"Endrina Elezaj Position: DF Born: January 2, 1997 (Age: 25-230d) National Team: Albania al Club: Mitrovica",Albania 
1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,Caitlin Filja Caitlin Filja Position: FW National Team: Albania al,Albania 
30,30,"2,520",0,0,0,0,0,5,0,0,,,,,,,,,"Ezmiralda Franja Position: DF-MF Born: February 4, 1997 (Age: 25-197d) in Albania al National Team: Albania al Club: Vllaznia Shkodër",Albania 
2,0,70,0,,0,0,0,0,0,0,,,,,,,,,"Ambra Gjegji Position: FW Born: March 15, 1997 (Age: 25-158d) National Team: Albania al Club: Mitrovica",Albania 
2,1,106,0,0,0,0,0,0,0,0,,,,,,,,,"Matilda Gjergji Position: DF Born: May 21, 2003 (Age: 19-091d) National Team: Albania al Club: Vllaznia Shkodër",Albania 
32,32,"2,847",3,0,3,0,0,2,0,0,,,,,,,,,"Lucie Gjini Position: DF-MF Born: May 2, 1994 (Age: 28-110d) in Albania al National Team: Albania al Club: Vllaznia Shkodër",Albania 
