MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,1,106,0,0,0,0,0,0,0,0,,,,,,,,,"Lamine Abid Mohamed Lamine Abid Position: FW 180cm, 84kg (5-10½, 185lb) Born: July 4, 1991 (Age: 31-047d) in Ghazaouet, Algeria dz National Team: Algeria dz Club: HB Chelghoum Laïd",Algeria 
1,1,58,0,0,0,0,0,0,0,0,,,,,,,,,"Sid Ali Lakroum Position: FW 177cm, 76kg (5-9½, 168lb) Born: October 6, 1987 (Age: 34-318d) National Team: Algeria dz Club: Olympique de Médéa",Algeria 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Mohamed Amine Tougai Mohamed Amine Tougai Position: DF 191cm (6-3) Born: January 22, 2000 (Age: 22-210d) National Team: Algeria dz Club: Espérance de Tunis",Algeria 
2,1,117,0,0,0,0,0,0,0,0,,,,,,,,,"Islam Arous Position: DF 173cm, 68kg (5-8, 150lb) Born: August 6, 1996 National Team: Algeria dz",Algeria 
5,5,427,2,,2,0,,0,0,0,,,,,,,,,"Salah Assad صالح عصاد Position: FW 184cm (6-0) Born: March 13, 1958 in L’Arbaa Naït Irathen, Algeria dz National Team: Algeria dz",Algeria 
1,1,63,0,0,0,0,0,0,0,0,,,,,,,,,"Ayoub Azzi أيوب عزي Position: DF ▪  Footed: Right 187cm, 78kg (6-1½, 172lb) Born: September 14, 1989 (Age: 32-340d) in Ouargla, Algeria dz National Team: Algeria dz Club: Al-Markhiya Sports Club",Algeria 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Réda Babouche Mohamed Réda Babouche رضا بابوش Position: DF ▪  Footed: Right 184cm, 74kg (6-0, 163lb) Born: July 3, 1979 in Skikda, Algeria dz National Team: Algeria dz",Algeria 
2,1,117,0,0,0,0,0,0,0,0,,,,,,,,,"Fatima Bara Position: DF Born: February 21, 1990 National Team: Algeria dz",Algeria 
15,12,"1,033",0,0,0,0,0,1,0,0,1,0,0,0,0,1,,,"Abdelkader Bedrane Position: DF 185cm, 82kg (6-½, 181lb) Born: April 2, 1992 (Age: 30-140d) in Blida, Algeria dz National Team: Algeria dz Club: Espérance de Tunis",Algeria 
3,1,125,0,0,0,0,0,1,0,0,,,,,,,,,"Fethia Bekhedda Position: MF Born: July 9, 1990 National Team: Algeria dz",Algeria 
3,3,254,1,0,1,0,0,1,0,0,,,,,,,,,"Lydia Belkacemi Position: MF 169cm, 67kg (5-6½, 148lb) Born: March 2, 1994 in Tazmalt, Algeria dz National Team: Algeria dz",Algeria 
1,1,52,0,0,0,0,0,0,0,0,,,,,,,,,"Abdennour Belkheir Position: FW 168cm, 68kg (5-6, 150lb) Born: February 21, 1989 (Age: 33-180d) in Algeria dz National Team: Algeria dz Club: MC Alger",Algeria 
5,4,343,1,,1,0,,0,0,0,,,,,,,,,"Lakhdar Belloumi لخضر بلومي Position: MF (AM) 178cm (5-10) Born: December 29, 1958 in Mascara, Algeria dz National Team: Algeria dz",Algeria 
2,1,77,1,0,1,0,0,0,0,0,,,,,,,,,"Riad Benayad Riad Benayad Position: MF 170cm, 63kg (5-6½, 139lb) Born: November 2, 1996 (Age: 25-291d) National Team: Algeria dz Club: ES Sétif",Algeria 
10,6,678,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,"Houcine Benayada Position: DF ▪  Footed: Right 180cm, 84kg (5-10½, 185lb) Born: August 8, 1992 (Age: 30-012d) in Oran, Algeria dz National Team: Algeria dz Club: Étoile du Sahel",Algeria 
3,2,200,0,0,0,0,0,1,0,0,,,,,,,,,"Raouf Benguit Position: DF 170cm, 63kg (5-6½, 139lb) Born: April 5, 1996 (Age: 26-137d) in Laghouat, Algeria dz National Team: Algeria dz Club: MC Alger",Algeria 
5,2,257,0,1,0,0,0,1,0,0,,,,,,,,,"Mokhtar Benmoussa Position: FW-MF (WM, left) 176cm, 68kg (5-9, 150lb) Born: August 11, 1986 in Tlemcen, Algeria dz National Team: Algeria dz",Algeria 
4,1,166,1,,1,0,,0,0,0,,,,,,,,,"Tedj Bensaoula تاج بن سحاولة Position: FW-MF 182cm, 73kg (5-11½, 161lb) Born: December 1, 1954 in Hammam Bou Hadjar, Algeria dz National Team: Algeria dz",Algeria 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Chahrazed Bensekrane Position: DF Born: April 7, 1992 National Team: Algeria dz",Algeria 
1,0,32,0,0,0,0,0,1,0,0,,,,,,,,,"Habib Bouguelmouna Position: FW ▪  Footed: Right 185cm, 84kg (6-½, 185lb) Born: December 12, 1988 in Relizane, Algeria dz National Team: Algeria dz",Algeria 
