MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,3,270,1,0,1,0,0,1,0,0,,,,,,,,,"Ryan Aloali'i Mitchell Position: FW 178cm, 73kg (5-10, 161lb) Born: August 12, 1994 in Waycross, Georgia, United States us National Team: American Samoa as  Other: United States",American Samoa 
3,3,263,0,,0,0,0,1,0,0,,,,,,,,,"Li'atama Amisone Li'atama Amisone Jr. Position: DF 178cm, 78kg (5-10, 172lb) Born: February 3, 1989 National Team: American Samoa as",American Samoa 
4,3,236,1,0,1,0,0,1,1,0,,,,,,,,,"Demetrius Beauchamp Position: FW 191cm, 77kg (6-3, 170lb) Born: November 11, 1991 in San Francisco, California, United States us National Team: American Samoa as  Other: United States",American Samoa 
2,0,18,0,0,0,0,0,0,0,0,,,,,,,,,"Paul Collins Position: DF 190cm, 116kg (6-2½, 256lb) Born: May 31, 1997 in Tāfuna, American Samoa as National Team: American Samoa as",American Samoa 
4,4,360,0,0,0,0,0,0,0,0,,,,,,,,,"Pita Falevalu Position: GK 183cm, 111kg (6-0, 245lb) Born: September 18, 1985 in Pago Pago, American Samoa as National Team: American Samoa as",American Samoa 
4,4,257,0,0,0,0,0,2,0,0,,,,,,,,,"Jordan Grantz Position: MF 173cm, 77kg (5-8, 170lb) Born: December 5, 1992 in Fredericksburg, Virginia, United States us National Team: American Samoa as  Other: United States",American Samoa 
4,4,350,0,0,0,0,0,0,0,0,,,,,,,,,"Dylan Hardie-Jordan Position: MF 180cm, 73kg (5-10½, 161lb) Born: October 2, 1992 in Kailua-Kona, Hawaii, United States us National Team: American Samoa as  Other: United States",American Samoa 
4,4,274,0,0,0,0,0,1,0,0,,,,,,,,,"Uasi Heleta Uasila'a Inoke Heleta Position: DF 193cm, 69kg (6-3½, 152lb) Born: February 27, 1987 National Team: American Samoa as",American Samoa 
4,4,360,0,0,0,0,0,1,0,0,,,,,,,,,"Ne'emia Kaleopa Position: DF 178cm, 82kg (5-10, 181lb) Born: May 9, 1996 in Taputimu, American Samoa as National Team: American Samoa as",American Samoa 
3,2,109,0,0,0,0,0,0,0,0,,,,,,,,,"Panweichi Kaleopa Position: MF 167cm, 68kg (5-5½, 150lb) Born: June 15, 1994 in Taputimu, American Samoa as National Team: American Samoa as",American Samoa 
2,0,51,0,0,0,0,0,0,0,0,,,,,,,,,"Sam Kome Position: DF 170cm, 73kg (5-6½, 161lb) Born: May 6, 1996 in American Samoa, Territory of, American Samoa as National Team: American Samoa as",American Samoa 
3,2,203,0,0,0,0,0,0,0,0,,,,,,,,,"Casper Kuresa Moe Kuresa Position: DF-MF 183cm, 86kg (6-0, 190lb) Born: January 7, 1991 in Pago Pago, American Samoa as National Team: American Samoa as",American Samoa 
3,3,270,2,,2,0,0,0,0,0,,,,,,,,,"Shalom Luani Position: FW 183cm, 200kg (6-0, 441lb) Born: August 5, 1994 National Team: American Samoa as",American Samoa 
3,2,184,0,,0,0,0,1,0,0,,,,,,,,,"Tala Luvu Position: DF 187cm (6-1½) Born: September 2, 1990 in Tāfuna, American Samoa as National Team: American Samoa as",American Samoa 
7,7,630,2,0,2,0,0,0,0,0,,,,,,,,,"Justin Manao Position: DF 177cm, 66kg (5-9½, 146lb) Born: March 25, 1993 in Kirkland, Washington, United States us National Team: American Samoa as  Other: United States",American Samoa 
3,0,64,1,0,1,0,0,0,0,0,,,,,,,,,"Tor-Lawrence Manao Position: DF 173cm, 58kg (5-8, 128lb) Born: May 27, 1999 in Philadelphia, Pennsylvania, United States us National Team: American Samoa as  Other: United States",American Samoa 
6,6,540,0,0,0,0,0,0,0,0,,,,,,,,,"Rawlston Masaniai Rawlston Ray Masaniai Position: MF 183cm, 78kg (6-0, 172lb) Born: May 13, 1983 in Pago Pago, American Samoa as National Team: American Samoa as",American Samoa 
3,0,50,0,,0,0,0,0,0,0,,,,,,,,,"Diamond Ott Position: FW Born: June 27, 1981 National Team: American Samoa as",American Samoa 
7,7,593,2,0,2,0,0,0,0,0,,,,,,,,,"Ramin Ott Ramin Shahin Ott Position: FW 188cm, 83kg (6-2, 183lb) Born: June 22, 1986 in Pago Pago, American Samoa as National Team: American Samoa as",American Samoa 
1,0,31,0,0,0,0,0,0,0,0,,,,,,,,,"Rafael Rocha Position: FW 170cm (5-6½) Born: February 12, 1991 in Pago Pago, American Samoa as National Team: American Samoa as",American Samoa 
3,3,270,0,,0,0,0,1,0,0,,,,,,,,,"Jaiyah Saelua Position: DF (CB) 183cm, 74kg (6-0, 163lb) Born: July 19, 1988 in Pago Pago, American Samoa as National Team: American Samoa as",American Samoa 
3,3,270,0,,0,0,0,0,0,0,,,,,,,,,"Nicky Salapu Nicky Vitolio Salapu Position: GK 183cm, 83kg (6-0, 183lb) Born: September 13, 1980 in Pago Pago, American Samoa as National Team: American Samoa as",American Samoa 
4,4,349,0,0,0,0,0,3,1,1,,,,,,,,,"Ryan Samuelu Position: DF 186cm, 83kg (6-1, 183lb) Born: February 19, 1991 National Team: American Samoa as",American Samoa 
3,2,132,0,0,0,0,0,0,0,0,,,,,,,,,"Jason Si'i Position: MF 172cm, 74kg (5-7½, 163lb) Born: December 27, 1983 in California, United States us National Team: American Samoa as  Other: United States",American Samoa 
