MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
4,2,236,0,,0,0,0,0,0,0,,,,,,,,,"Jaiden Abbott Position: DF 177cm, 73kg (5-9½, 161lb) Born: April 16, 1984 in The Valley, Anguilla ai National Team: Anguilla ai",Anguilla 
2,0,44,0,,0,0,0,0,0,0,,,,,,,,,"Terrance Adams Terrance Adams Position: MF Born: June 21, 1973 in Anguilla, Anguilla ai National Team: Anguilla ai",Anguilla 
3,3,237,0,0,0,0,0,0,0,0,,,,,,,,,"Glenville Allen Glenville Allen Rogers Position: FW 183cm, 102kg (6-0, 225lb) Born: September 8, 1984 National Team: Anguilla ai  Other: Saint Kitts and Nevis",Anguilla 
1,0,9,0,,0,0,0,0,0,0,,,,,,,,,"Daniel Anderson Position: MF Born: November 30, 1971 in Anguilla, Anguilla ai National Team: Anguilla ai",Anguilla 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Simon Anthony Simon Jr. Anthony Position: MF Born: November 2, 1977 (Age: 44-291d) in Anguilla, Anguilla ai National Team: Anguilla ai  Other: Dominica",Anguilla 
4,3,247,0,0,0,0,0,0,0,0,,,,,,,,,"Steven Austin Position: DF 173cm, 63kg (5-8, 139lb) Born: December 27, 1990 (Age: 31-236d) in Marigot, Saint Martin mf National Team: Anguilla ai  Other: Saint Martin",Anguilla 
2,1,98,0,0,0,0,0,0,0,0,,,,,,,,,"Damian Bailey Position: MF 176cm, 69kg (5-9, 152lb) Born: May 5, 1991 in Blowing Point, Anguilla ai National Team: Anguilla ai",Anguilla 
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"Bakari Battice Position: MF Born: April 6, 2004 (Age: 18-136d) in Anguilla, Anguilla ai National Team: Anguilla ai",Anguilla 
4,4,324,0,0,0,0,0,0,0,0,,,,,,,,,"Kapil Battice Kapil Assent Battice Position: MF 167cm, 68kg (5-5½, 150lb) Born: October 26, 1982 (Age: 39-298d) National Team: Anguilla ai  Other: Saint Kitts and Nevis",Anguilla 
2,1,93,0,,0,0,0,1,0,0,,,,,,,,,"Iston Benjamin Position: FW Born: March 18, 1981 in Anguilla, Anguilla ai National Team: Anguilla ai",Anguilla 
4,4,262,0,,0,0,0,0,0,0,,,,,,,,,"Walwyn Benjamin Position: MF Born: February 23, 1975 in Anguilla, Anguilla ai National Team: Anguilla ai",Anguilla 
2,2,156,0,0,0,0,0,2,1,1,,,,,,,,,"Roxane Bradshaw Roxane Bradshaw Position: MF Born: (Date unknown) in Anguilla, Anguilla ai National Team: Anguilla ai",Anguilla 
2,0,70,0,0,0,0,0,0,0,0,,,,,,,,,"Sedu Bradshaw Sedu Bradshaw Position: DF Born: November 13, 2002 (Age: 19-280d) in Anguilla, Anguilla ai National Team: Anguilla ai",Anguilla 
7,7,606,0,0,0,0,0,1,0,0,,,,,,,,,"Javille Brooks Position: FW 193cm, 86kg (6-3½, 190lb) Born: September 21, 1984 (Age: 37-333d) in North Side, Anguilla ai National Team: Anguilla ai",Anguilla 
2,2,159,0,0,0,0,0,0,0,0,,,,,,,,,"Khalid Brooks Position: DF Born: February 9, 1985 in Anguilla, Anguilla ai National Team: Anguilla ai",Anguilla 
4,1,196,0,0,0,0,0,0,0,0,,,,,,,,,"Kayini Brooks-Belle Position: MF Born: July 23, 1994 (Age: 28-028d) in Anguilla, Anguilla ai National Team: Anguilla ai",Anguilla 
2,1,114,0,,0,0,0,0,0,0,,,,,,,,,"Emmerson Brooks-Meade Position: DF 185cm, 76kg (6-½, 168lb) Born: July 7, 1983 National Team: Anguilla ai  Other: England",Anguilla 
2,0,36,0,0,0,0,0,0,0,0,,,,,,,,,"Ikenya Browne Position: DF 182cm, 79kg (5-11½, 174lb) Born: September 20, 1990 in Island Harbour, Anguilla ai National Team: Anguilla ai",Anguilla 
