MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
41,37,"3,318",10,4,10,0,0,6,0,0,37,146,8,153,15,28,,,"Alfredo Ábalos Alfredo Omar Ábalos Position: FW-MF 164cm (5-4½) Born: March 17, 1986 in General Las Heras, Argentina ar Citizenship: Argentina ar",Argentina 
118,81,"7,360",12,8,12,0,0,22,0,0,47,50,20,80,24,37,,,"Gonzalo Abán Gonzalo Daniel Abán Position: FW 179cm, 81kg (5-10, 179lb) Born: June 11, 1987 in Rincón, Argentina ar Youth National Team: Argentina ar",Argentina 
280,278,"24,838",0,0,0,0,0,20,4,,0,,,,,,,,"Pato Abbondanzieri Roberto Carlos Abbondanzieri Position: GK 186cm, 87kg (6-1, 192lb) Born: August 19, 1972 in Bouquet, Argentina ar National Team: Argentina ar",Argentina 
149,132,"11,755",2,18,2,0,0,33,4,1,160,158,4,384,190,169,0,2,"Luciano Abecasis Luciano Andrés Abecasis Position: DF (FB, right) ▪  Footed: 76% Right* 175cm, 73kg (5-8½, 161lb) Born: June 4, 1990 (Age: 32-078d) in Rosario, Argentina ar Citizenship: Argentina ar Club: Banfield",Argentina 
162,127,"10,917",12,20,12,0,0,19,0,0,24,,,,,,,,"Matías Abelairas Matías Enrique Abelairas Position: MF (CM-WM, left) ▪  Footed: Left 170cm, 68kg (5-6½, 150lb) Born: June 18, 1985 in Olavarría, Argentina ar Citizenship: Argentina ar",Argentina 
153,99,"9,302",61,16,59,2,5,25,1,0,62,110,141,24,11,14,0,0,"Ramón Ábila Ramón Darío Ábila Position: FW ▪  Footed: Right 184cm, 64kg (6-0, 141lb) Born: October 14, 1989 (Age: 32-311d) in Córdoba, Argentina ar Citizenship: Argentina ar Club: Colón Twitter: @wanchopeabila9 Instagram: @wanchope_abila9",Argentina 
404,390,"33,982",19,6,19,0,0,85,7,1,156,79,2,26,159,114,0,0,"David Abraham David Ángel Abraham Position: DF (CB, right) ▪  Footed: 85% Right* 188cm, 84kg (6-2, 185lb) Born: July 15, 1986 in Chabás, Argentina ar Youth National Team: Argentina ar",Argentina 
6,1,179,1,0,1,0,0,1,0,0,,,,,,,,,"Martín Abraham Martín Ezequiel Abraham Solsona Position: FW Born: January 11, 1991 in Argentina, Argentina ar Citizenship: Argentina ar",Argentina 
35,32,"2,586",3,3,3,0,0,3,0,0,22,18,2,29,19,24,,,"Gonzalo Abrego Gonzalo Damián Abrego Position: MF Born: January 7, 2000 (Age: 22-226d) in Argentina, Argentina ar Citizenship: Argentina ar Club: Godoy Cruz",Argentina 
5,3,286,0,0,0,0,0,0,0,0,1,3,0,4,5,3,0,0,"Gustavo Abregú Position: DF Born: July 4, 1997 (Age: 25-048d) in Argentina, Argentina ar Citizenship: Argentina ar Club: San Martin Tuc",Argentina 
1,1,90,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,"Marcos Abreliano Marcos Ulises Abreliano Position: DF Born: April 9, 1998 (Age: 24-134d) in Argentina, Argentina ar Citizenship: Argentina ar Club: San Martin Tuc",Argentina 
372,324,"27,939",20,8,20,0,0,144,11,,113,,,,,,,,"José Acciari José Luis Acciari Position: MF 183cm, 72kg (6-0, 159lb) Born: November 29, 1978 in San Miguel, Argentina ar Citizenship: Argentina ar",Argentina 
32,21,"1,893",4,6,4,0,0,7,0,0,34,46,2,120,14,12,0,0,"Jonás Acevedo Position: MF 172cm (5-7½) Born: February 6, 1997 (Age: 25-196d) Citizenship: Argentina ar Club: Patronato",Argentina 
84,79,"7,089",8,1,8,0,0,21,3,0,87,54,10,7,106,68,0,3,"Lucas Acevedo Lucas Javier Acevedo Position: DF (CB) 194cm (6-4) Born: November 8, 1991 (Age: 30-286d) in Justiniano Posse, Argentina ar Citizenship: Argentina ar Club: Colón",Argentina 
158,134,"11,494",2,6,2,0,0,39,0,0,208,187,0,16,191,271,0,1,"Nelson Acevedo Position: MF (CM) 171cm, 74kg (5-7, 163lb) Born: July 11, 1988 (Age: 34-041d) in Resistencia, Argentina ar Citizenship: Argentina ar Club: Godoy Cruz",Argentina 
1,1,61,0,0,0,0,0,0,0,0,2,0,0,0,3,1,,,"Patricio Acevedo Patricio Andrés Acevedo Position: DF Born: March 11, 2002 in Argentina, Argentina ar Citizenship: Argentina ar",Argentina 
182,132,"11,705",4,2,4,0,0,35,0,0,45,,,,,,,,"Walter Acevedo Walter Aníbal Acevedo Position: MF (CM) 173cm, 73kg (5-8, 161lb) Born: February 16, 1986 in San Justo, Argentina ar National Team: Argentina ar",Argentina 
47,39,"3,626",0,0,0,0,0,15,0,0,41,17,4,0,38,34,,,"David Achucarro Position: DF 178cm (5-10) Born: January 5, 1991 (Age: 31-228d) in Argentina ar Citizenship: Argentina ar Club: Nueva Chicago",Argentina 
111,102,"9,063",46,11,40,6,7,24,3,1,,,,,,,,,"Alberto Acosta Alberto Federico Acosta Position: FW 177cm, 74kg (5-9½, 163lb) Born: August 23, 1966 National Team: Argentina ar",Argentina 
9,6,491,0,1,0,0,0,1,0,0,5,10,0,11,10,4,0,0,"Enzo Acosta Position: MF Born: November 30, 1996 (Age: 25-264d) in Avellaneda, Argentina ar Citizenship: Argentina ar Club: Estudiantes de Buenos Aires",Argentina 
133,115,"10,014",13,11,13,0,0,32,4,2,187,113,7,228,181,126,1,2,"Guillermo Acosta Position: DF-MF (AM) Born: October 31, 1988 (Age: 33-294d) Citizenship: Argentina ar Club: Atlético Tucumán",Argentina 
114,76,"6,743",10,7,10,0,0,13,1,1,37,29,27,139,18,35,0,0,"Joel Acosta Joel Gustavo Acosta Position: FW-MF 177cm, 76kg (5-9½, 168lb) Born: January 16, 1991 in Gobernador Gálvez, Argentina ar Youth National Team: Argentina ar",Argentina 
7,3,226,0,1,0,0,0,0,0,0,4,3,0,13,1,3,,,"Jonathan Acosta Position: MF ▪  Footed: Right 175cm, 76kg (5-8½, 168lb) Born: October 11, 1988 (Age: 33-314d) Citizenship: Argentina ar Club: Lee Man FC",Argentina 
8,8,677,0,,0,0,0,3,1,0,,,,,,,,,"Juan Acosta Juan Valentín Acosta Position: DF Born: July 30, 1985 (Age: 37-022d) Citizenship: Argentina ar Club: Montevideo Wanderers",Argentina 
305,238,"21,521",41,33,41,0,0,52,3,1,189,390,41,132,82,105,10,0,"Lautaro Acosta Lautaro Germán Acosta Position: FW-MF ▪  Footed: Right 164cm, 63kg (5-4½, 139lb) Born: March 14, 1988 (Age: 34-160d) in Glew, Argentina ar National Team: Argentina ar Club: Lanús",Argentina 
2,0,37,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,"Leonardo Acosta Leonardo Samuel Acosta Position: FW ▪  Footed: Right 182cm, 71kg (5-11½, 157lb) Born: April 17, 1989 in Paraná, Argentina ar Citizenship: Argentina ar",Argentina 
81,33,"3,486",12,5,12,0,0,5,0,0,7,,,,,,,,"Lucas Acosta Lucas Emanuel Acosta Position: MF ▪  Footed: Left 178cm (5-10) Born: January 26, 1988 in Santa Fe de la Vera Cruz, Argentina ar Citizenship: Argentina ar",Argentina 
56,56,"5,040",0,0,0,0,0,3,0,0,0,9,0,0,10,0,0,0,"Lucas Acosta Lucas Mauricio Acosta Position: GK ▪  Footed: Right 187cm, 82kg (6-1½, 181lb) Born: March 12, 1995 (Age: 27-162d) in Córdoba, Argentina ar Citizenship: Argentina ar Club: Sarmiento",Argentina 
250,199,"17,619",42,49,38,4,5,40,5,0,349,406,55,392,138,250,0,0,"Luciano Acosta Luciano Federico Acosta Position: FW-MF (AM) ▪  Footed: 81% Right* 160cm, 58kg (5-2½, 128lb) Born: May 31, 1994 (Age: 28-082d) in Rosario, Argentina ar Citizenship: Argentina ar Club: FC Cincinnati Wages: $1,944k Annual ✅ Expires December 2023. Via Capology. Twitter: @LuchoAcosta94 Instagram: @luchoacosta17",Argentina 
10,5,455,0,0,0,0,0,2,0,0,,,,,,,,,"Mateo Acosta Position: FW ▪  Footed: Left 189cm, 94kg (6-2, 207lb) Born: September 22, 1992 (Age: 29-333d) in Buenos Aires, Argentina ar Citizenship: Argentina ar Club: Club Atlético Brown",Argentina 
223,196,"16,948",25,34,25,0,0,52,3,1,309,306,11,1092,169,292,0,4,"Marcos Acuña Position: DF-MF (FB, left) ▪  Footed: 88% Left* 172cm, 73kg (5-7½, 161lb) Born: October 28, 1991 (Age: 30-297d) in Zapala, Argentina ar National Team: Argentina ar Club: Sevilla Wages: € 55k Weekly ❌ Expires June 2025. Via Capology.",Argentina 
57,31,"3,051",14,3,14,0,0,13,0,0,17,21,3,23,1,11,0,0,"Walter Acuña Position: FW 177cm, 69kg (5-9½, 152lb) Born: March 4, 1992 (Age: 30-170d) in San Nicolás de los Arroyos, Argentina ar Citizenship: Argentina ar Club: Deportivo Riestra",Argentina 
12,10,902,1,,1,0,0,1,0,0,,,,,,,,,"Nicolás Adrián Foglia Position: DF ▪  Footed: Left 182cm, 74kg (5-11½, 163lb) Born: October 7, 1986 (Age: 35-318d) in Argentina, Argentina ar Citizenship: Argentina ar Club: Deportivo Iztapa",Argentina 
92,47,"4,941",3,5,3,0,0,9,0,0,36,,,,,,,,"Facundo Affranchino Facundo Andrés Affranchino Position: MF (WM, right) 180cm, 73kg (5-10½, 161lb) Born: February 9, 1990 in Paraná, Argentina ar Citizenship: Argentina ar",Argentina 
93,82,"6,932",3,1,3,0,1,18,2,0,53,14,0,6,38,50,0,0,"Emiliano Agüero Position: MF 175cm, 73kg (5-8½, 161lb) Born: January 21, 1995 (Age: 27-212d) in Argentina ar Citizenship: Argentina ar Club: Villa Dálmine",Argentina 
45,40,"3,511",2,2,2,0,0,9,2,0,40,29,2,2,86,58,,,"Facundo Aguero Facundo Aguero Position: DF 189cm (6-2) Born: January 21, 1995 (Age: 27-212d) in Argentina, Argentina ar Citizenship: Argentina ar Club: Union de Santa Fe",Argentina 
2,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Lucas Agüero Position: FW 178cm, 78kg (5-10, 172lb) Born: April 28, 1997 Citizenship: Argentina ar",Argentina 
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"Nerea Agüero Nerea Agüero Garcia Position: FW 155cm, 53kg (5-1, 117lb) Born: October 14, 1997 in Argentina, Argentina ar National Team: Argentina ar  Other: Spain",Argentina 
472,396,"34,011",264,73,236,28,34,54,3,0,416,107,73,63,40,46,3,0,"Sergio Agüero Sergio Leonel Agüero Del Castillo Position: FW ▪  Footed: 89% Right* 172cm, 68kg (5-7½, 150lb) Born: June 2, 1988 (Age: 34-080d) in Argentina ar National Team: Argentina ar Twitter: @aguerosergiokun Instagram: @aguerosergiokun16",Argentina 
130,128,"11,646",0,0,0,0,0,12,0,0,2,26,0,1,10,1,0,1,"Alan Aguerre Position: GK ▪  Footed: Right 181cm, 76kg (5-11, 168lb) Born: August 23, 1990 (Age: 31-363d) in Argentina ar Citizenship: Argentina ar Club: Talleres",Argentina 
3,1,94,0,0,0,0,0,2,1,1,4,0,0,0,1,3,,,"Brian Aguilar Brian Mauricio Aguilar Caraballo Position: DF 179cm, 76kg (5-10, 168lb) Born: April 13, 2003 (Age: 19-130d) in Argentina, Argentina ar Citizenship: Argentina ar Club: Lanús",Argentina 
101,93,"8,284",1,4,1,0,0,12,0,0,17,25,1,85,56,32,0,0,"Pablo Aguilar Pablo Andrés Aguilar Position: DF (FB, right) 166cm (5-5) Born: September 13, 1984 in Villa Mercedes, Argentina ar Citizenship: Argentina ar",Argentina 
190,181,"15,718",15,3,7,8,10,34,7,3,149,28,1,2,138,30,0,0,"Emanuel Aguilera Víctor Emanuel Aguilera Position: DF (CB) 188cm, 76kg (6-2, 168lb) Born: June 11, 1989 (Age: 33-071d) in Mendoza, Argentina ar Citizenship: Argentina ar Club: Atlas",Argentina 
51,45,"3,949",2,0,2,0,0,7,1,0,8,6,0,14,21,20,0,1,"Alan Aguirre Alan Maximiliano Aguirre Position: DF (FB, right) ▪  Footed: Right 182cm, 81kg (5-11½, 179lb) Born: August 13, 1993 (Age: 29-008d) in Argentina ar Citizenship: Argentina ar Club: Guayaquil City",Argentina 
1,1,90,0,0,0,0,0,1,0,0,5,0,0,1,6,1,0,0,"Augusto Aguirre Position: DF Born: August 2, 1999 (Age: 23-019d) in Corrientes, Argentina ar Citizenship: Argentina ar Club: San Martin (Sj)",Argentina 
32,30,"2,687",2,1,2,0,0,10,0,0,46,29,5,93,35,70,,,"Braian Aguirre Braian Nahuel Aguirre Position: DF Born: July 28, 2000 (Age: 22-024d) in Argentina, Argentina ar Citizenship: Argentina ar Club: Lanús",Argentina 
1,1,85,0,0,0,0,0,0,0,0,1,0,0,4,1,1,,,"Brian Aguirre Brian Nicolás Aguirre Position: FW Born: June 1, 2003 (Age: 19-081d) in Argentina, Argentina ar Citizenship: Argentina ar Club: Newell's Old Boys",Argentina 
9,1,141,0,0,0,0,0,2,0,0,5,3,0,9,3,3,,,"Ezequiel Aguirre Ezequiel Lucas Aguirre Position: FW Born: January 10, 1992 (Age: 30-223d) in Argentina, Argentina ar Citizenship: Argentina ar Club: Defensores de Belgrano",Argentina 
81,75,"6,436",40,11,35,5,7,10,1,,,,,,,,,,"Francisco Aguirre Francisco Ricardo Aguirre Position: FW 178cm (5-10) Born: September 1, 1977 in Argentina ar Citizenship: Argentina ar",Argentina 
268,250,"22,611",8,4,8,0,0,62,9,0,63,23,1,6,144,59,0,4,"Gastón Aguirre Gastón Damián Aguirre Position: DF (CB) 178cm, 76kg (5-10, 168lb) Born: November 11, 1981 in Estación Adrogué, Argentina ar National Team: Argentina ar",Argentina 
