MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
20,7,740,4,0,4,0,0,3,0,,5,,,,,,,,"David Abdul Position: FW 183cm, 67kg (6-0, 148lb) Born: August 17, 1989 in Philipsburg, Sint Maarten sx National Team: Aruba aw  Other: Sint Maarten",Aruba 
9,9,818,0,0,0,0,0,2,0,0,,,,,,,,,"Eric Abdul Position: GK 180cm, 82kg (5-10½, 181lb) Born: February 25, 1986 (Age: 36-177d) in Oranjestad, Aruba aw National Team: Aruba aw Club: SV Racing Club Aruba",Aruba 
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"Joshua Aguirre Joshua Aguirre Castañeda Position: MF Born: July 2, 2001 (Age: 21-050d) in Colombia, Colombia co National Team: Aruba aw  Other: Colombia Club: SV Deportivo Nacional",Aruba 
1,1,28,0,,0,0,0,0,0,0,,,,,,,,,"Jerry Agunbero Jerry A. Agunbero Position: FW Born: October 23, 1969 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
2,2,140,0,0,0,0,0,0,0,0,,,,,,,,,"Marlon Andrea Position: FW Born: January 4, 1986 (Age: 36-229d) in Aruba, Aruba aw National Team: Aruba aw Club: SV Independiente Caravel",Aruba 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Jean-Marc Antersijn Position: GK 185cm, 77kg (6-½, 170lb) Born: January 5, 1996 (Age: 26-228d) in Noord, Aruba aw National Team: Aruba aw  Other: Curaçao Club: Atlantic City FC",Aruba 
6,3,354,0,0,0,0,0,0,0,0,,,,,,,,,"Roman Aparicio Position: DF Born: December 3, 1980 in Oranjestad, Aruba aw National Team: Aruba aw",Aruba 
36,34,"3,043",1,0,1,0,0,6,1,0,0,0,0,0,0,0,,,"Darryl Bäly Position: DF Born: January 19, 1998 (Age: 24-214d) National Team: Aruba aw  Other: Netherlands Club: OFC",Aruba 
1,1,88,0,0,0,0,0,0,0,0,,,,,,,,,"Pheadrick Baromeo Position: MF Born: December 31, 1986 in Willemstad, Curaçao cw National Team: Aruba aw  Other: Curaçao",Aruba 
4,4,296,1,0,1,0,0,0,0,0,,,,,,,,,"Rensy Barradas Position: FW Born: October 21, 1990 in Willemstad, Curaçao cw National Team: Aruba aw",Aruba 
6,6,570,1,0,1,0,0,3,0,0,,,,,,,,,"Raymond Baten Position: MF Born: January 26, 1989 National Team: Aruba aw",Aruba 
4,4,358,0,0,0,0,0,0,0,0,,,,,,,,,"Walter Bennett Walter Julio Bennett Position: MF Born: March 18, 1997 (Age: 25-156d) in Aruba, Aruba aw National Team: Aruba aw Club: SV Racing Club Aruba",Aruba 
1,1,120,0,0,0,0,0,1,0,0,,,,,,,,,"Jean-Luc Bergen Position: MF 170cm, 72kg (5-6½, 159lb) Born: December 8, 1988 (Age: 33-256d) in Oranjestad, Aruba aw National Team: Aruba aw Club: SV Racing Club Aruba",Aruba 
1,1,45,0,,0,0,0,0,0,0,,,,,,,,,"Raymbert Bikker Position: MF 187cm, 72kg (6-1½, 159lb) Born: February 11, 1990 in Paradijs, Aruba aw National Team: Aruba aw",Aruba 
2,0,35,0,0,0,0,0,0,0,0,,,,,,,,,"Ezra Bosnie Position: DF 177cm, 68kg (5-9½, 150lb) Born: August 15, 1988 (Age: 34-006d) in Amsterdam, Netherlands nl National Team: Aruba aw  Other: Netherlands Club: SV Independiente Caravel",Aruba 
5,4,258,0,,0,0,0,0,0,0,,,,,,,,,"Kenrick Bradshaw Position: MF Born: April 19, 1980 National Team: Aruba aw",Aruba 
289,258,"22,461",5,16,3,2,3,37,0,0,207,78,0,25,45,71,0,0,"Gregor Breinburg Position: MF (CM, left) ▪  Footed: Right 175cm, 74kg (5-8½, 163lb) Born: September 16, 1991 (Age: 30-339d) in Gemeente Arnhem, Netherlands nl National Team: Aruba aw  Other: Netherlands Club: ADO Den Haag",Aruba 
52,44,"3,542",0,0,0,0,0,11,3,,,,,,,,,,"Reinhard Breinburg Position: DF 183cm, 74kg (6-0, 163lb) Born: May 2, 1984 in Gemeente Purmerend, Netherlands nl National Team: Aruba aw  Other: Netherlands",Aruba 
1,0,16,0,,0,0,0,0,0,0,,,,,,,,,"Derek Brison Position: FW Born: March 7, 1986 National Team: Aruba aw",Aruba 
2,0,41,0,,0,0,0,0,0,0,,,,,,,,,"Germain Cabrera Position: MF Born: January 15, 1986 National Team: Aruba aw",Aruba 
1,1,58,0,,0,0,0,0,0,0,,,,,,,,,"Jean Carlos Ras Position: MF 162cm, 59kg (5-3½, 130lb) Born: June 23, 1980 in Santa Cruz, Aruba aw National Team: Aruba aw",Aruba 
2,2,117,0,,0,0,0,0,1,0,,,,,,,,,"Eldrick Celaire Position: DF Born: November 21, 1978 National Team: Aruba aw",Aruba 
2,2,160,0,0,0,0,0,0,0,0,,,,,,,,,"Edward Clarissa Edward Jamir Clarissa Position: FW Born: March 26, 2000 (Age: 22-148d) in Aruba, Aruba aw National Team: Aruba aw Club: SV Deportivo Nacional",Aruba 
2,2,180,0,,0,0,0,2,0,0,,,,,,,,,"Edward Clarissa Edward Clarissa Position: DF Born: February 28, 1957 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
1,0,63,0,,0,0,0,0,0,0,,,,,,,,,"Rubio Connor Position: DF Born: September 2, 1984 in Oranjestad, Aruba aw National Team: Aruba aw",Aruba 
3,1,125,0,0,0,0,0,0,0,0,,,,,,,,,"Ericson Croes Ericson Eustin Croes Position: DF Born: November 28, 1999 (Age: 22-266d) in Aruba, Aruba aw National Team: Aruba aw",Aruba 
8,7,598,0,0,0,0,0,1,0,0,,,,,,,,,"Francois Croes Position: DF (CB-FB, left) 184cm (6-0) Born: October 11, 1990 (Age: 31-314d) in Oranjestad, Aruba aw National Team: Aruba aw Club: SV Estrella",Aruba 
2,0,20,0,0,0,0,0,0,0,0,,,,,,,,,"Glenbert Croes Glenbert Denilson Croes Position: FW Born: June 17, 2001 (Age: 21-065d) in Aruba, Aruba aw National Team: Aruba aw Club: SV Deportivo Nacional",Aruba 
5,1,228,0,0,0,0,0,0,0,0,,,,,,,,,"Jelano Cruden Position: FW Born: July 7, 1988 in Nijmegen, Netherlands nl National Team: Aruba aw  Other: Netherlands",Aruba 
1,0,22,0,0,0,0,0,0,0,0,,,,,,,,,"Jose Cruz José Gregorio Cruz Ayora Position: GK Born: November 24, 1993 (Age: 28-270d) in Aruba, Aruba aw National Team: Aruba aw  Other: Colombia Club: SV Deportivo Nacional",Aruba 
93,71,"6,262",28,5,28,0,0,4,0,0,11,0,0,0,0,0,0,0,"Erixon Danso Position: FW-MF (WM) ▪  Footed: Right 179cm, 71kg (5-10, 157lb) Born: July 22, 1989 in Amsterdam, Netherlands nl National Team: Aruba aw  Other: Netherlands",Aruba 
3,2,225,2,,2,0,0,0,0,0,,,,,,,,,"Raymond Davelaar Raymond Davelaar Position: MF Born: February 7, 1972 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
1,1,61,0,0,0,0,0,0,0,0,,,,,,,,,"Gregorio van der Biezen Position: MF Born: March 4, 1996 (Age: 26-170d) National Team: Aruba aw Club: SV Racing Club Aruba",Aruba 
2,1,94,0,,0,0,0,0,0,0,,,,,,,,,"Germain Dirksz Position: FW Born: August 15, 1976 National Team: Aruba aw",Aruba 
1,1,83,0,,0,0,0,0,0,0,,,,,,,,,"Edmond Eckmeyer Edmond Eckmeyer Position: MF Born: March 9, 1985 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Daniel Escalona Position: DF Born: February 4, 1982 National Team: Aruba aw",Aruba 
6,6,485,3,0,3,0,0,0,0,0,,,,,,,,,"Maurice Escalona Position: FW Born: January 27, 1980 National Team: Aruba aw",Aruba 
3,3,251,0,0,0,0,0,0,0,0,,,,,,,,,"Steve Escalona Position: DF 186cm, 79kg (6-1, 174lb) Born: October 21, 1987 in Oranjestad, Aruba aw National Team: Aruba aw",Aruba 
3,3,270,2,,2,0,0,2,0,0,,,,,,,,,"Lesley Felomina Position: MF Born: December 7, 1972 National Team: Aruba aw",Aruba 
2,2,180,0,,0,0,0,1,0,0,,,,,,,,,"Andy Figaroa Position: DF Born: April 10, 1983 (Age: 39-133d) National Team: Aruba aw Club: SV Bubali",Aruba 
2,0,30,0,0,0,0,0,0,0,0,,,,,,,,,"Jean-Pierre Fingal Position: FW 180cm, 69kg (5-10½, 152lb) Born: May 16, 1993 (Age: 29-097d) in Oranjestad, Aruba aw National Team: Aruba aw Club: SV Racing Club Aruba",Aruba 
1,0,16,0,,0,0,0,0,0,0,,,,,,,,,"Remigio Flanegin Remigio V. Flanegin Position: MF Born: June 24, 1966 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
3,3,200,0,,0,0,0,0,1,0,,,,,,,,,"Carlos Geerman Carlos Geerman Position: DF Born: May 14, 1978 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Juan Geerman Position: DF Born: June 19, 1970 National Team: Aruba aw",Aruba 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Antonio Giel Position: GK 178cm (5-10) Born: November 20, 1981 National Team: Aruba aw",Aruba 
9,6,602,2,0,2,0,0,1,0,0,,,,,,,,,"Frederick Gomez Position: DF 185cm, 87kg (6-½, 192lb) Born: October 25, 1984 (Age: 37-300d) in Oranjestad, Aruba aw National Team: Aruba aw Club: SV Racing Club Aruba",Aruba 
10,6,552,1,0,1,0,0,2,1,0,,,,,,,,,"Erik Santos de Gouveia Position: MF 177cm, 63kg (5-9½, 139lb) Born: August 30, 1990 (Age: 31-356d) in Oranjestad, Aruba aw National Team: Aruba aw Club: SV Racing Club Aruba",Aruba 
21,8,933,0,1,0,0,0,2,1,0,18,0,0,0,0,0,0,0,"Terence Groothusen Position: FW Born: September 16, 1996 (Age: 25-339d) in Amsterdam, Netherlands nl National Team: Aruba aw  Other: Netherlands Club: Hibernians FC",Aruba 
4,4,324,0,,0,0,0,2,1,1,,,,,,,,,"Jackson Gross Position: DF Born: November 4, 1978 National Team: Aruba aw",Aruba 
4,4,360,3,,3,0,0,0,0,0,,,,,,,,,"Wander Gross Position: MF Born: December 14, 1978 National Team: Aruba aw",Aruba 
2,2,135,0,0,0,0,0,0,0,0,,,,,,,,,"Noah Harms Noah Harms Position: DF Born: May 5, 1997 (Age: 25-108d) in Aruba, Aruba aw National Team: Aruba aw",Aruba 
2,1,80,0,0,0,0,0,0,0,0,,,,,,,,,"Jean-Pierre Heyden Jean-Pierre Eugene Heyden Position: DF ▪  Footed: Left Born: February 25, 2000 (Age: 22-177d) in Aruba, Aruba aw National Team: Aruba aw Club: SV Dakota",Aruba 
1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,"Jeamirr Howell Jeamirr Ishem Howell-Brokken Position: MF Born: November 16, 1992 (Age: 29-278d) in Aruba, Aruba aw National Team: Aruba aw Club: SV Racing Club Aruba",Aruba 
3,2,200,0,0,0,0,0,1,0,0,,,,,,,,,"Mark Jacobs Mark Carvin Tadeo Jacobs Position: DF 182cm, 78kg (5-11½, 172lb) Born: October 28, 1999 (Age: 22-297d) in Bubali, Aruba aw National Team: Aruba aw Club: SV Racing Club Aruba",Aruba 
5,5,362,0,,0,0,0,1,0,0,,,,,,,,,"Richards Jacobs Richards Jacobs Position: FW Born: August 13, 1968 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
4,4,327,0,0,0,0,0,0,0,0,,,,,,,,,"Javier Jimenez Javier Alejandro Jimenez Paris Position: MF Born: May 27, 2000 (Age: 22-086d) in Aruba, Aruba aw National Team: Aruba aw Club: Brandenburger SC Süd 05",Aruba 
281,204,"18,271",44,30,44,0,1,24,2,0,133,37,15,171,36,27,1,1,"Joshua John Joshua Arnold John Position: FW-MF ▪  Footed: Both 175cm, 63kg (5-8½, 139lb) Born: October 1, 1988 (Age: 33-324d) in Alkmaar, Netherlands nl National Team: Aruba aw  Other: Netherlands",Aruba 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Gio Kartoredjo Regilio Kartoredjo Position: DF Born: April 27, 1975 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
4,1,141,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,"Melvin Kingsale Position: DF Born: April 2, 1997 Citizenship: Aruba aw",Aruba 
3,0,121,2,0,1,1,1,0,0,0,,,,,,,,,"Annuar Kock Position: FW 183cm, 73kg (6-0, 161lb) Born: December 3, 1991 (Age: 30-261d) in Santa Cruz, Aruba aw National Team: Aruba aw Club: SV Estrella",Aruba 
1,1,64,0,,0,0,0,0,1,0,,,,,,,,,"Egbert Kock Egbert Kock Position: DF Born: February 10, 1974 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
2,2,126,0,0,0,0,0,0,0,0,,,,,,,,,"Carlos L. Quandt Carlos L. Quandt Position: DF Born: May 17, 1988 (Age: 34-096d) in Aruba, Aruba aw National Team: Aruba aw Club: SV River Plate Aruba",Aruba 
2,1,152,0,,0,0,0,0,0,0,,,,,,,,,"Glenroy Lake Glenroy Jonathan Lake Position: FW Born: February 26, 1977 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
3,3,251,0,,0,0,0,0,0,0,,,,,,,,,"Rodney Lake Position: MF 172cm (5-7½) Born: September 16, 1979 National Team: Aruba aw",Aruba 
1,1,74,0,,0,0,0,0,0,0,,,,,,,,,"Roderick Lampe Position: FW Born: July 10, 1985 (Age: 37-042d) National Team: Aruba aw Club: SV Britannia",Aruba 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Eddy Landbrug Eddy F.M. Landbrug Position: DF Born: May 29, 1972 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
1,0,45,0,,0,0,0,0,0,0,,,,,,,,,"Alejandro de Lange Alejandro de Lange Position: FW Born: November 21, 1981 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
2,1,106,0,0,0,0,0,0,0,0,,,,,,,,,"Dirk van Leenen Position: DF 190cm, 69kg (6-2½, 152lb) Born: October 25, 1993 in Rotterdam, Netherlands nl National Team: Aruba aw  Other: Netherlands",Aruba 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"Matthew Lentink Position: GK 185cm, 87kg (6-½, 192lb) Born: August 18, 1993 in Oranjestad, Aruba aw National Team: Aruba aw",Aruba 
2,0,79,0,0,0,0,0,1,0,0,,,,,,,,,"Giliomar Leona Position: FW Born: April 1, 1987 in Aruba, Aruba aw National Team: Aruba aw",Aruba 
