MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
4,4,305,0,0,0,0,0,3,1,0,,,,,,,,,"Mackenson Altidor Position: DF Born: June 20, 1984 National Team: Bahamas bs",Bahamas 
2,0,40,0,,0,0,0,0,0,0,,,,,,,,,"Denardo Bain Denardo Bain Position: DF Born: December 23, 1981 National Team: Bahamas bs",Bahamas 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Omari Bain Omari Bain Position: FW Born: November 13, 2002 (Age: 19-281d) National Team: Bahamas bs",Bahamas 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"William Bayles William Bayles Position: MF Born: May 16, 2003 (Age: 19-097d) National Team: Bahamas bs",Bahamas 
2,1,98,0,,0,0,0,0,0,0,,,,,,,,,"Stephen Bellot Stephen Bellot Position: DF Born: March 29, 1964 National Team: Bahamas bs",Bahamas 
4,4,360,0,,0,0,0,0,0,0,,,,,,,,,"Daron Beneby Position: DF Born: May 4, 1984 National Team: Bahamas bs",Bahamas 
2,2,180,0,0,0,0,0,1,0,0,,,,,,,,,"Duane Beneby Duane Trevor Beneby Position: DF 181cm, 77kg (5-11, 170lb) Born: June 7, 1993 in Nassau, Bahamas bs National Team: Bahamas bs",Bahamas 
6,5,463,1,0,1,0,0,0,0,0,,,,,,,,,"Michael Bethel Position: MF 173cm (5-8) Born: April 21, 1990 in Nassau, Bahamas bs National Team: Bahamas bs",Bahamas 
1,0,45,0,,0,0,0,0,0,0,,,,,,,,,"Vandyke Bethel Vandyke Bethel Position: GK Born: April 19, 1967 National Team: Bahamas bs",Bahamas 
2,2,144,0,,0,0,0,0,0,0,,,,,,,,,"Vaughn Bethell Vaughn Bethell Position: FW Born: July 23, 1980 National Team: Bahamas bs",Bahamas 
1,0,55,0,0,0,0,0,0,0,0,,,,,,,,,"Valin Bodie Valin Lamar Danez Bodie Position: GK 179cm, 67kg (5-10, 148lb) Born: May 9, 1995 in Nassau, Bahamas bs National Team: Bahamas bs",Bahamas 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Perry Brookes Position: MF 175cm, 66kg (5-8½, 146lb) Born: January 17, 1993 in Nassau, Bahamas bs National Team: Bahamas bs",Bahamas 
1,1,90,0,0,0,0,0,1,0,0,,,,,,,,,"Michael Butler Michael Benaiah Peter Butler Position: GK Born: March 2, 1999 (Age: 23-172d) in Nassau, Bahamas bs National Team: Bahamas bs",Bahamas 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"Quinton Carey Quinton Carey Position: FW 178cm, 72kg (5-10, 159lb) Born: November 26, 1996 (Age: 25-268d) in Edmond, Oklahoma, United States us National Team: Bahamas bs  Other: United States Club: Flower City Union",Bahamas 
