MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
11,9,778,2,0,2,0,0,0,0,0,,,,,,,,,"Abubaker Aadem Abubaker Mohamed Aadem Khabir Position: DF Born: January 1, 1988 National Team: Bahrain bh  Other: Saudi Arabia",Bahrain 
47,42,"3,572",10,6,7,3,3,12,1,1,,,,,,,,,"Faouzi Aaish Faouzi Mubarak Aaish فوزي عايش Position: MF ▪  Footed: Left 176cm, 73kg (5-9, 161lb) Born: February 27, 1985 in Casablanca, Morocco ma National Team: Bahrain bh  Other: Morocco",Bahrain 
2,1,104,0,,0,0,0,0,0,0,,,,,,,,,"Ali Aamer Ali Aamer Musaifer علي عامر مسيفر Position: MF Born: December 26, 1977 in Bahrain bh National Team: Bahrain bh",Bahrain 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Mahmood Abbas Mahmood Abbas Hasan Abdulla Ayyad Position: MF Born: June 12, 1985 National Team: Bahrain bh",Bahrain 
5,5,440,3,,3,0,0,0,0,0,,,,,,,,,"Deena Abdelrahman Deena Mohammed Maher Abdelrahman Position: MF Born: February 23, 1983 in England, England, United Kingdom eng National Team: Bahrain bh  Other: England",Bahrain 
2,1,75,0,0,0,0,0,0,0,0,,,,,,,,,"Mohammed Abdul Qayoom Mohammed Abdul Qayoom Dur Mohammad Abubakar Mohamed Position: DF Born: June 4, 2001 (Age: 21-078d) National Team: Bahrain bh",Bahrain 
10,10,960,0,,0,0,0,0,0,0,,,,,,,,,"Faisal Abdulaziz Faisal Abdulaziz Mohamed Rashed Al Doseri Position: DF Born: October 8, 1968 National Team: Bahrain bh",Bahrain 
2,1,67,0,0,0,0,0,0,0,0,,,,,,,,,"Fatema Abdulhameed Isa Fatema Abdulhameed Husain Isa Position: DF Born: December 14, 1990 (Age: 31-250d) National Team: Bahrain bh",Bahrain 
9,8,650,0,0,0,0,0,0,0,0,,,,,,,,,"Saleh Abdulhameed Saleh Abdulhameed Mahmeedi Position: DF Born: August 4, 1982 National Team: Bahrain bh",Bahrain 
21,12,"1,034",9,0,6,3,3,3,0,0,,,,,,,,,"Mahdi Abduljabbar Mahdi Abduljabbar Mahdi Darwish Hasan Position: MF 178cm (5-10) Born: June 25, 1991 (Age: 31-057d) in Jidd Ḩafş, Bahrain bh National Team: Bahrain bh Club: Manama Club",Bahrain 
8,8,720,0,,0,0,0,0,0,0,,,,,,,,,"Abdulrahman Abdulkarim عبد الرحمن عبد الكريم Position: GK 181cm (5-11) Born: May 13, 1980 in Bahrain bh National Team: Bahrain bh",Bahrain 
24,19,"1,687",0,0,0,0,0,4,0,0,,,,,,,,,"Ahmed Abdulla Position: DF 173cm, 79kg (5-8, 174lb) Born: March 11, 1987 (Age: 35-163d) in Maldives mv National Team: Bahrain bh  Other: Maldives Club: Khalidiya SC",Bahrain 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Ali Abdulla Ali Abdulla Ahmed Salman Ahmed Position: DF Born: July 2, 1979 National Team: Bahrain bh",Bahrain 
63,43,"3,831",29,0,22,7,7,3,0,0,,,,,,,,,"Ismail Abdullatif Ismail Abdul-Latif إسماعيل عبد اللطيف Position: FW-MF 182cm, 73kg (5-11½, 161lb) Born: September 11, 1986 (Age: 35-344d) in Al Muḩarraq, Bahrain bh National Team: Bahrain bh Club: Khalidiya SC",Bahrain 
