MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
8,5,411,0,0,0,0,0,0,0,0,,,,,,,,,"Mohammad Abdullah Position: MF Born: October 16, 1997 (Age: 24-309d) in Sirājganj, Bangladesh bd National Team: Bangladesh bd",Bangladesh 
6,5,445,0,,0,0,0,1,0,0,,,,,,,,,"Md. Abul Hossain Position: MF 175cm (5-8½) Born: July 29, 1983 in Nārāyanganj, Bangladesh bd National Team: Bangladesh bd",Bangladesh 
23,17,"1,512",2,1,2,0,0,2,0,0,,,,,,,,,"Biplo Ahamed Position: MF ▪  Footed: Right Born: May 5, 1999 (Age: 23-108d) in Sylhet, Bangladesh bd National Team: Bangladesh bd Club: Bashundhara Kings",Bangladesh 
8,8,555,0,,0,0,0,0,0,0,,,,,,,,,"Alfaz Ahmed Mohammed Alfaz Ahmed আলফাজ আহমেদ Position: FW Born: June 3, 1973 in Sylhet, Bangladesh bd National Team: Bangladesh bd",Bangladesh 
4,3,277,0,,0,0,0,1,0,0,,,,,,,,,"Shakil Ahmed শাকিল আহমেদ Position: MF 165cm (5-4½) Born: January 7, 1988 in Pirojpur District, Bangladesh bd National Team: Bangladesh bd",Bangladesh 
4,1,103,0,0,0,0,0,0,0,0,,,,,,,,,"Toklis Ahmed Position: FW 168cm, 63kg (5-6, 139lb) Born: October 2, 1995 in Sylhet, Bangladesh bd National Team: Bangladesh bd",Bangladesh 
1,0,8,0,0,0,0,0,0,0,0,,,,,,,,,"Wahed Ahmed Position: FW Born: December 3, 1993 in Sylhet, Bangladesh bd National Team: Bangladesh bd",Bangladesh 
5,2,167,0,0,0,0,0,0,0,0,,,,,,,,,"Sanjida Akhter Sanjida Akhter Position: MF Born: March 20, 2001 (Age: 21-154d) in Mymensingh, Bangladesh bd National Team: Bangladesh bd",Bangladesh 
1,0,10,0,0,0,0,0,0,0,0,,,,,,,,,Mile Akter Mile Akter Position: GK Born: (Date unknown) in Bangladesh bd National Team: Bangladesh bd,Bangladesh 
4,1,170,0,0,0,0,0,0,0,0,,,,,,,,,"Tawhidul Alam Sabuz Position: FW 168cm, 67kg (5-6, 148lb) Born: September 14, 1990 (Age: 31-341d) in Cox’s Bāzār, Bangladesh bd National Team: Bangladesh bd Club: Bashundhara Kings",Bangladesh 
5,2,189,0,0,0,0,0,0,0,0,,,,,,,,,"Shahedul Alam Shahed Position: MF 160cm, 59kg (5-2½, 130lb) Born: February 12, 1991 in Dhaka, Bangladesh bd National Team: Bangladesh bd",Bangladesh 
6,6,516,0,,0,0,0,1,0,0,,,,,,,,,"Mostofa Anowar Parvez Position: DF 173cm (5-8) Born: July 25, 1982 in Dhaka, Bangladesh bd National Team: Bangladesh bd",Bangladesh 
11,9,833,0,0,0,0,0,0,0,0,,,,,,,,,"Yeasin Arafat Position: DF Born: January 5, 2003 (Age: 19-228d) in Nārāyanganj, Bangladesh bd National Team: Bangladesh bd Club: Bashundhara Kings",Bangladesh 
10,10,900,0,0,0,0,0,1,0,0,,,,,,,,,"Mohammed Ariful Islam মোহাম্মদ আরিফুল ইসলাম Position: DF 176cm, 71kg (5-9, 157lb) Born: December 20, 1987 in Kishorganj, Bangladesh bd National Team: Bangladesh bd",Bangladesh 
