MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
59,25,"2,548",4,4,4,0,0,9,0,0,21,43,2,11,9,24,,,"Jamal Aabbou Position: FW ▪  Footed: Right 175cm (5-8½) Born: May 16, 2000 (Age: 22-097d) in Bree, Belgium be Citizenship: Belgium be Club: R.E. Virton",Belgium 
12,6,633,0,0,0,0,0,1,0,0,,,,,,,,,"Redouan Aalhoul Position: MF 173cm (5-8) Born: April 6, 1992 (Age: 30-137d) Citizenship: Belgium be Club: FC Pepingen",Belgium 
82,62,"5,915",1,0,1,0,0,20,2,0,45,,,,,,,,"Naïm Aarab Position: DF-MF (CB-DM) ▪  Footed: Right 188cm, 81kg (6-2, 179lb) Born: February 7, 1988 (Age: 34-195d) in Brussels, Belgium be Youth National Team: Belgium be Club: Tubize",Belgium 
100,77,"7,149",9,4,8,1,1,23,1,0,68,0,0,0,0,0,0,0,"Stanley Aborah Stanley Opoku Aborah Position: MF ▪  Footed: Right 170cm, 67kg (5-6½, 148lb) Born: June 23, 1987 in Kumasi, Ghana gh Youth National Team: Belgium be  Other: Ghana",Belgium 
2,2,180,0,,0,0,,0,0,0,,,,,,,,,"Ferdinand Adams Ferdinand Eloy Adams Position: FW Born: May 3, 1903 National Team: Belgium be",Belgium 
0,0,,,,,,,,,,,,,,,,,,"Alper Ademoğlu Position: MF ▪  Footed: Both 180cm (5-10½) Born: April 10, 1998 (Age: 24-133d) in Turkey tr Youth National Team: Belgium be  Other: Turkey Club: Turgutluspor",Belgium 
71,27,"2,853",9,2,9,0,0,4,0,0,,0,0,0,0,0,0,0,"Jason Adesanya Position: FW ▪  Footed: Right 188cm, 74kg (6-2, 163lb) Born: May 26, 1993 (Age: 29-087d) in Lagos, Nigeria ng Youth National Team: Belgium be Club: K. Lyra T.SV",Belgium 
27,21,"2,022",0,0,0,0,0,5,1,0,37,10,0,0,54,17,,,"Shawn Adewoye Position: DF ▪  Footed: Right 181cm, 82kg (5-11, 181lb) Born: June 29, 2000 (Age: 22-053d) Citizenship: Belgium be Club: RKC Waalwijk",Belgium 
3,0,23,0,1,0,0,0,0,0,,,,,,,,,,"Tim Aelbrecht Position: MF Born: January 7, 1982 in Schoonaarde, Belgium be Citizenship: Belgium be",Belgium 
22,11,"1,019",1,0,1,0,0,2,0,0,,,,,,,,,"Noah Aelterman Noah Claude Aelterman Position: FW 183cm, 68kg (6-0, 150lb) Born: April 7, 2001 (Age: 21-136d) Citizenship: Belgium be Club: Club Brugge KV U21",Belgium 
13,13,"1,125",0,0,0,0,0,1,0,,,,,,,,,,"Samuel Aerts Position: DF 173cm (5-8) Born: November 17, 1977 Citizenship: Belgium be",Belgium 
27,19,"1,584",4,0,1,3,3,7,1,1,,,,,,,,,"Sean Aerts Sean Patrick Aerts Position: MF Born: September 26, 1994 Citizenship: Belgium be",Belgium 
1,0,11,0,0,0,0,0,0,0,0,,,,,,,,,"Enock Agyei Enock Agyei Position: FW Born: January 13, 2005 (Age: 17-220d) Youth National Team: Belgium be",Belgium 
185,163,"13,965",3,1,3,0,0,40,5,,94,,,,,,,,"Dickson Agyeman Dickson Agyemang Position: DF-MF (DM) 165cm, 63kg (5-4½, 139lb) Born: September 14, 1985 in Antwerpen, Belgium be Citizenship: Belgium be",Belgium 
2,0,60,0,0,0,0,0,0,0,0,,,,,,,,,"Souhail El Aissaoui Position: FW Born: September 11, 1996 (Age: 25-344d) Citizenship: Belgium be Club: KSV Schriek",Belgium 
47,47,"4,096",0,0,0,0,0,2,2,,,,,,,,,,"Ricky Begeyn Position: GK 187cm (6-1½) Born: August 20, 1976 in Brugge, Belgium be Citizenship: Belgium be",Belgium 
172,170,"15,186",0,0,0,0,0,3,0,,0,,,,,,,,"Kevin Begois Position: GK ▪  Footed: Right 185cm, 71kg (6-½, 157lb) Born: May 13, 1982 in Antwerpen, Belgium be Citizenship: Belgium be",Belgium 
1,0,7,0,0,0,0,0,0,0,0,,,,,,,,,"Youness Behti Youness Behti Position: MF Born: May 24, 2002 (Age: 20-089d) Citizenship: Belgium be Club: Royal Standard de Liège U23",Belgium 
253,230,"19,519",6,10,6,0,1,40,4,,66,,,,,,,,"Kadir Bekmezci Position: DF-MF (AM) ▪  Footed: Right 183cm, 76kg (6-0, 168lb) Born: July 5, 1985 in Seraing, Belgium be Citizenship: Belgium be",Belgium 
28,22,"1,998",2,1,2,0,0,3,0,0,23,23,2,15,46,38,,,"Rafik Belghali Rafik Belghali Position: DF Born: June 7, 2002 (Age: 20-075d) Citizenship: Belgium be Club: Lommel",Belgium 
4,0,30,0,0,0,0,0,0,0,0,,,,,,,,,"Stefan Belic Position: MF Born: August 22, 1993 Citizenship: Belgium be",Belgium 
24,23,"2,115",0,0,0,0,0,0,0,0,,,,,,,,,"Jordi Belin Position: GK Born: July 13, 1995 (Age: 27-039d) Citizenship: Belgium be Club: K. Patro Eisden Maasmechelen",Belgium 
5,3,339,0,0,0,0,0,1,0,0,,,,,,,,,"Walid Ben Abbès Position: DF Born: July 10, 1989 (Age: 33-042d) Citizenship: Belgium be Club: Rapide Club Lebbeke",Belgium 
3,1,150,0,0,0,0,0,1,0,,,,,,,,,,"Ramzi Ben Ahmed Position: FW 180cm (5-10½) Born: March 20, 1989 in Ronse, Belgium be Citizenship: Belgium be",Belgium 
4,0,62,0,0,0,0,0,1,0,0,,,,,,,,,"Younes Ben Hammou Position: MF Born: April 2, 2001 (Age: 21-141d) Citizenship: Belgium be",Belgium 
3,1,108,0,0,0,0,0,0,0,0,,,,,,,,,"Ayoub Ben Yaghlane Position: MF Born: March 10, 1997 Citizenship: Belgium be",Belgium 
23,18,"1,592",0,0,0,0,0,4,0,0,,,,,,,,,"Mehdi Benlouafi Position: FW Born: April 8, 1990 Citizenship: Belgium be",Belgium 
17,14,"1,170",3,0,3,0,0,1,0,0,,,,,,,,,"Omar Bennassar Position: FW 185cm, 82kg (6-½, 181lb) Born: March 4, 1987 Citizenship: Belgium be",Belgium 
396,291,"26,945",129,36,119,10,17,48,7,1,427,160,96,27,27,34,5,0,"Christian Benteke Christian Benteke Liolo Position: FW ▪  Footed: 91% Right* 190cm, 83kg (6-2½, 183lb) Born: December 3, 1990 (Age: 31-261d) in Kinshasa, Congo DR cd National Team: Belgium be  Other: Congo DR Club: Crystal Palace Wages: £ 120k Weekly ✅ Expires June 2023. Via Capology. Twitter: @chrisbenteke Instagram: @christianbenteke",Belgium 
33,4,735,3,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,"Jonathan Benteke Jonathan Benteke Liseka Position: FW ▪  Footed: Right 186cm, 77kg (6-1, 170lb) Born: April 28, 1995 (Age: 27-115d) in Liège, Belgium be Citizenship: Belgium be Club: FC Wegberg-Beeck",Belgium 
80,71,"6,002",7,5,7,0,0,18,1,1,0,0,0,0,0,0,0,0,"Geert Berben Position: MF (AM) ▪  Footed: Right 175cm (5-8½) Born: May 26, 1993 (Age: 29-087d) in Bocholt, Belgium be Citizenship: Belgium be Club: KS Kermt-Hasselt",Belgium 
60,51,"4,473",7,9,7,0,0,6,0,0,41,61,1,38,21,25,,,"Antoine Bernier Antoine Rudy Bernier Position: FW-MF ▪  Footed: Right 170cm, 68kg (5-6½, 150lb) Born: September 10, 1997 (Age: 24-345d) in Dinant, Belgium be Citizenship: Belgium be Club: RFC Seraing",Belgium 
13,2,322,0,,0,0,0,0,0,0,,,,,,,,,"Amber Bert Amber Bert Position: DF Born: October 9, 2000 (Age: 21-316d) Citizenship: Belgium be Club: Zulte Waregem",Belgium 
20,9,924,1,2,1,0,0,0,0,0,,0,0,0,0,0,0,0,"Paolino Bertaccini Position: FW ▪  Footed: Left 165cm, 57kg (5-4½, 126lb) Born: November 19, 1997 (Age: 24-275d) in Charleroi, Belgium be Youth National Team: Belgium be Club: Wacker Innsbruck",Belgium 
19,5,510,2,1,2,0,0,1,0,0,11,8,4,1,2,5,,,"Mohamed Berte Mohamed Berte Position: MF Born: March 25, 2002 (Age: 20-149d) Citizenship: Belgium be Club: Oostende",Belgium 
78,50,"4,582",20,2,19,1,1,5,1,0,9,0,0,0,0,0,0,0,"Christophe Bertjens Position: MF 182cm, 77kg (5-11½, 170lb) Born: January 5, 1993 (Age: 29-228d) in Tongeren, Belgium be Youth National Team: Belgium be Club: K Bocholter VV",Belgium 
1,0,8,0,0,0,0,0,0,0,,,,,,,,,,"Tarik Bhar Position: FW 186cm (6-1) Born: July 16, 1991 in Liège, Belgium be Citizenship: Belgium be",Belgium 
261,256,"23,156",0,0,0,0,0,9,1,0,1,2,0,0,0,0,0,0,"Wouter Biebauw Position: GK 187cm, 83kg (6-1½, 183lb) Born: May 21, 1984 in Deerlijk, Belgium be Citizenship: Belgium be",Belgium 
309,281,"24,956",25,6,25,0,0,41,2,0,287,10,4,5,53,32,0,0,"Bart Biemans Position: DF (CB) 182cm, 86kg (5-11½, 190lb) Born: March 14, 1988 (Age: 34-160d) in Neerpelt, Belgium be Youth National Team: Belgium be Club: KFC Wezel Sport",Belgium 
13,13,"1,170",0,,0,0,0,1,0,0,,,,,,,,,"Fleur Bienkens Fleur Bienkens Position: DF Born: March 1, 2003 (Age: 19-173d) Citizenship: Belgium be Club: DVL Zonhoven",Belgium 
17,17,"1,530",0,0,0,0,0,1,0,0,,,,,,,,,"Joseph Biersard Position: GK ▪  Footed: Right 184cm, 77kg (6-0, 170lb) Born: April 29, 1991 (Age: 31-114d) in Verviers, Belgium be Citizenship: Belgium be Club: Royal Sprimont Comblain Sport",Belgium 
85,79,"6,775",3,2,3,0,0,3,0,0,,,,,,,,,"Julie Biesmans Position: MF ▪  Footed: 82% Right* Born: May 4, 1994 (Age: 28-109d) in Belgium be National Team: Belgium be Club: PSV",Belgium 
13,6,663,0,0,0,0,0,3,0,0,11,14,0,12,15,16,0,1,"Hakan Bilgiç Position: MF 181cm, 64kg (5-11, 141lb) Born: October 30, 1992 (Age: 29-295d) in Midyat, Turkey tr Citizenship: Belgium be  Other: Turkey Club: Boluspor",Belgium 
1,0,26,0,0,0,0,0,0,0,,,,,,,,,,"Pierre Binon Position: MF 176cm (5-9) Born: April 8, 1991 in Auvelais, Belgium be Citizenship: Belgium be",Belgium 
60,27,"2,834",11,0,11,0,0,5,0,0,26,0,0,0,0,0,0,0,"Nico Binst Position: FW ▪  Footed: Left 183cm, 73kg (6-0, 161lb) Born: May 20, 1992 (Age: 30-093d) in Vilvoorde, Belgium be Citizenship: Belgium be Club: Royal Knokke FC",Belgium 
103,94,"8,189",1,6,1,0,0,29,1,,0,,,,,,,,"Roberto Bisconti Position: MF 182cm, 78kg (5-11½, 172lb) Born: July 21, 1973 in Saint-Nicolas, Belgium be National Team: Belgium be",Belgium 
287,255,"22,652",12,5,12,0,0,63,4,2,29,0,0,0,0,0,0,0,"Maxime Biset Position: DF-MF (CB) ▪  Footed: Right 194cm, 88kg (6-4, 194lb) Born: March 26, 1986 in Antwerpen, Belgium be Citizenship: Belgium be",Belgium 
1,0,9,0,,0,0,0,0,0,0,,,,,,,,,"Perrine Bivort Perrine Bivort Position: DF Born: October 9, 1996 (Age: 25-316d) Citizenship: Belgium be Club: White Star",Belgium 
1,0,24,0,0,0,0,0,0,0,0,,,,,,,,,"Elias Blanckaert Position: MF 183cm, 67kg (6-0, 148lb) Born: August 3, 1997 Citizenship: Belgium be",Belgium 
29,24,"2,115",7,,7,0,0,2,0,0,,,,,,,,,"Justine Blave Position: FW 169cm (5-6½) Born: September 22, 1991 (Age: 30-333d) Citizenship: Belgium be Club: Eendracht Alost",Belgium 
40,29,"2,616",8,1,8,0,0,3,0,0,,,,,,,,,"Jassina Blom Position: FW Born: September 3, 1994 (Age: 27-352d) National Team: Belgium be Club: Zwolle",Belgium 
