MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
7,5,583,0,0,0,0,0,1,0,,0,,,,,,,,"Adi Adilović Position: GK ▪  Footed: Right 188cm, 79kg (6-2, 174lb) Born: February 20, 1983 in Zenica, Bosnia and Herzegovina ba Citizenship: Bosnia and Herzegovina ba",Bosnia and Herzegovina 
5,0,99,0,1,0,0,0,0,0,,,,,,,,,,"Eldin Adilović Position: FW-MF 191cm, 84kg (6-3, 185lb) Born: February 8, 1986 in Zenica, Bosnia and Herzegovina ba National Team: Bosnia and Herzegovina ba",Bosnia and Herzegovina 
44,42,"3,550",1,0,1,0,0,8,2,,,,,,,,,,"Admir Adžem Position: DF 173cm (5-8) Born: March 25, 1973 in Sarajevo, Bosnia and Herzegovina ba National Team: Bosnia and Herzegovina ba",Bosnia and Herzegovina 
126,85,"7,455",31,7,31,0,0,13,2,,33,,,,,,,,"Admir Aganović Position: FW 182cm, 77kg (5-11½, 170lb) Born: August 25, 1986 in Ugljevik, Bosnia and Herzegovina ba National Team: Bosnia and Herzegovina ba",Bosnia and Herzegovina 
73,50,"4,651",18,0,13,5,5,7,0,0,,,,,,,,,"Almir Aganspahić Position: FW 187cm (6-1½) Born: September 12, 1996 (Age: 25-343d) in Sarajevo, Bosnia and Herzegovina ba Youth National Team: Bosnia and Herzegovina ba Club: Čukarički",Bosnia and Herzegovina 
94,92,"8,240",5,5,5,0,0,21,0,0,86,55,2,17,176,73,0,0,"Anel Ahmedhodzic Position: DF-MF (CB) ▪  Footed: 86% Right* 178cm, 69kg (5-10, 152lb) Born: March 26, 1999 (Age: 23-148d) in Sarajevo, Bosnia and Herzegovina ba National Team: Bosnia and Herzegovina ba  Other: Sweden Club: Sheffield United",Bosnia and Herzegovina 
2,1,61,0,0,0,0,0,1,0,,,,,,,,,,"Esmir Ahmetović Position: MF Born: January 17, 1991 in Srebrenica, Bosnia and Herzegovina ba Citizenship: Bosnia and Herzegovina ba",Bosnia and Herzegovina 
84,29,"3,563",11,1,11,0,0,4,0,,73,,,,,,,,"Mersudin Ahmetović Position: FW ▪  Footed: Right 191cm, 79kg (6-3, 174lb) Born: March 19, 1985 (Age: 37-155d) in Tuzla, Bosnia and Herzegovina ba National Team: Bosnia and Herzegovina ba Club: FK Sarajevo",Bosnia and Herzegovina 
7,5,462,0,0,0,0,0,0,0,0,,,,,,,,,"Eldina Ahmić Position: MF Born: August 21, 1994 (Age: 28-000d, Happy Birthday!) in Sweden se National Team: Bosnia and Herzegovina ba  Other: Sweden",Bosnia and Herzegovina 
67,67,"5,672",0,1,0,0,0,14,1,,,,,,,,,,"Bruno Akrapović Position: MF 181cm (5-11) Born: September 26, 1967 in Zenica, Bosnia and Herzegovina ba National Team: Bosnia and Herzegovina ba",Bosnia and Herzegovina 
