MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,0,38,0,0,0,0,0,0,0,0,,,,,,,,,"Michelle Abueng Michelle Abueng Position: FW ▪  Footed: Right 163cm, 59kg (5-4, 130lb) Born: May 6, 2001 (Age: 21-107d) National Team: Botswana bw",Botswana 
2,1,69,0,0,0,0,0,0,0,0,,,,,,,,,"Nancy Baeletsi Position: DF 167cm, 55kg (5-5½, 121lb) Born: March 21, 1996 (Age: 26-153d) National Team: Botswana bw",Botswana 
1,1,86,0,0,0,0,0,1,0,0,,,,,,,,,"Gilbert Baruti Position: MF Born: March 16, 1992 (Age: 30-158d) National Team: Botswana bw Club: Jwaneng Galaxy FC",Botswana 
1,0,19,0,0,0,0,0,0,0,0,,,,,,,,,"Renei Batlokwa Wedu Reneilwe Batlokwa Position: MF Born: December 1, 1997 in England, England, United Kingdom eng National Team: Botswana bw",Botswana 
6,6,540,0,0,0,0,0,0,0,0,,,,,,,,,"Sedilame Bosija Position: GK 180cm, 82kg (5-10½, 181lb) Born: December 1, 1997 (Age: 24-263d) National Team: Botswana bw",Botswana 
18,12,"1,003",0,1,0,0,0,0,0,0,,,,,,,,,"Segolame Boy Position: MF 168cm, 63kg (5-6, 139lb) Born: November 7, 1992 in Serowe, Botswana bw National Team: Botswana bw",Botswana 
5,5,435,0,0,0,0,0,2,0,0,,,,,,,,,"Mothusi Cooper Position: MF Born: July 19, 1997 (Age: 25-033d) National Team: Botswana bw Club: MC Oujda",Botswana 
6,6,540,0,0,0,0,0,1,0,0,,,,,,,,,"Kabelo Dambe Kabelo Dembe Position: GK 174cm, 73kg (5-8½, 161lb) Born: May 10, 1990 in Francistown, Botswana bw National Team: Botswana bw",Botswana 
1,0,33,0,,0,0,0,0,0,0,,,,,,,,,"Muftah Al Dersi Muftah Abdelhamid Mohammed Al Dersi Position: DF 194cm, 79kg (6-4, 174lb) Born: January 30, 1996 in Jwaneng, Botswana bw National Team: Botswana bw",Botswana 
1,0,32,0,0,0,0,0,0,0,0,,,,,,,,,"Segakolodi Didukunyane Segakolodi Didukunyane Position: MF Born: December 14, 2000 National Team: Botswana bw",Botswana 
5,4,328,2,0,2,0,0,1,0,0,,,,,,,,,"Keitumetse Dithebe Keitumetse Dithebe Position: MF ▪  Footed: Left 170cm, 62kg (5-6½, 137lb) Born: July 17, 2002 (Age: 20-035d) National Team: Botswana bw",Botswana 
59,56,"4,954",1,1,1,0,0,8,0,0,,,,,,,,,"Thatayaone Ditlhokwe Thatayaone Galejewe Ditlhokwe Position: DF (CB) Born: September 21, 1998 (Age: 23-334d) National Team: Botswana bw Club: Supersport United",Botswana 
1,0,17,0,0,0,0,0,0,0,0,,,,,,,,,"Lebogang Ditsele Position: MF 181cm, 74kg (5-11, 163lb) Born: April 20, 1996 (Age: 26-123d) in Ramotswa, Botswana bw National Team: Botswana bw Club: Gaborone United SC",Botswana 
4,2,185,0,0,0,0,0,2,0,0,,,,,,,,,"Maano Ditshupo Position: MF 174cm, 63kg (5-8½, 139lb) Born: January 20, 1985 in Serowe, Botswana bw National Team: Botswana bw",Botswana 
1,0,52,0,0,0,0,0,0,0,0,,,,,,,,,"Mbatshi Elias Mbatshi Chida Elias Position: FW Born: July 10, 1995 National Team: Botswana bw",Botswana 
9,9,810,0,0,0,0,0,2,0,0,,,,,,,,,"Mogogi Gabonamong Position: DF-MF (DM) 179cm, 68kg (5-10, 150lb) Born: September 10, 1982 in Mmutlana, Botswana bw National Team: Botswana bw",Botswana 
12,11,927,1,1,1,0,0,0,0,0,,,,,,,,,"Tapiwa Gadibolae Position: DF 171cm, 68kg (5-7, 150lb) Born: February 26, 1993 in Nata, Botswana bw National Team: Botswana bw",Botswana 
