MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
205,185,"16,555",4,3,4,0,0,31,0,0,24,14,2,6,15,14,,,"Juan Abarca Juan René Abarca Fuentes Position: DF (CB) ▪  Footed: Right 175cm, 76kg (5-8½, 168lb) Born: December 7, 1988 (Age: 33-259d) in San Vicente de Taguatagua, Chile cl National Team: Chile cl Club: General Velásquez",Chile 
11,8,495,1,0,1,0,0,1,0,0,1,0,0,1,0,0,,,"Ronaldo Abarca Position: FW Born: July 20, 1998 in Chile, Chile cl Citizenship: Chile cl",Chile 
17,5,611,1,1,1,0,0,3,0,0,17,23,1,11,6,7,,,"Juan Abarzúa Juan Pablo Abarzúa Sepúlveda Position: MF Born: February 17, 1992 (Age: 30-187d) in Concepción, Chile cl Citizenship: Chile cl Club: Universidad de Concepción",Chile 
127,81,"7,509",24,9,17,7,7,19,1,0,75,241,11,296,30,44,,,"Joe Abrigo Position: FW-MF 169cm, 58kg (5-6½, 128lb) Born: March 22, 1995 (Age: 27-154d) in Santiago, Chile cl Citizenship: Chile cl Club: Coquimbo",Chile 
219,201,"17,582",33,26,16,17,20,40,5,0,32,13,0,67,54,25,,,"Miguel Aceval Miguel Ángel Aceval Muñoz Position: DF (CB) ▪  Footed: Left 183cm, 91kg (6-0, 201lb) Born: January 8, 1983 in Santiago, Chile cl National Team: Chile cl",Chile 
384,349,"30,363",19,4,19,0,0,88,6,3,114,73,6,24,174,73,,,"Albert Acevedo Albert Alejandro Acevedo Vergara Position: DF (CB) ▪  Footed: Right 176cm, 77kg (5-9, 170lb) Born: May 6, 1983 (Age: 39-109d) in Conchalí, Chile cl National Team: Chile cl Club: Deportes Magallanes",Chile 
13,8,682,1,1,1,0,0,0,0,0,4,4,0,20,8,5,,,"Diego Acevedo Position: MF Born: February 23, 2001 (Age: 21-181d) in Chile, Chile cl Citizenship: Chile cl Club: Union Espanola",Chile 
95,73,"6,428",15,14,11,4,6,21,5,0,71,1,0,0,4,1,,,"Gerson Acevedo Gerson Elías Acevedo Rojas Position: DF-MF (CB) ▪  Footed: Both 182cm, 78kg (5-11½, 172lb) Born: April 5, 1988 in Santiago, Chile cl National Team: Chile cl",Chile 
153,125,"10,856",14,24,14,0,0,32,1,,49,,,,,,,,"Clarence Acuña Clarence Williams Acuña Donoso Position: MF 174cm, 73kg (5-8½, 161lb) Born: February 8, 1975 in Rancagua, Chile cl National Team: Chile cl",Chile 
176,146,"12,895",1,3,1,0,0,70,5,0,21,,,,,,,,"Jorge Acuña Jorge Cristián Acuña Concha Position: MF 178cm, 73kg (5-10, 161lb) Born: July 31, 1978 in Ovalle, Chile cl National Team: Chile cl",Chile 
16,3,530,4,0,4,0,0,2,0,0,,,,,,,,,"Yenny Acuña Yenny Andrea Acuña Berrios Position: FW Born: May 18, 1997 (Age: 25-097d) in Chile, Chile cl National Team: Chile cl",Chile 
18,9,647,0,0,0,0,0,0,0,0,1,8,1,18,6,2,,,"Nicolás Aedo Position: DF Born: April 6, 2001 (Age: 21-139d) in Chile, Chile cl Citizenship: Chile cl Club: Audax Italiano",Chile 
35,30,"2,661",5,1,4,1,1,2,0,0,1,2,0,3,3,4,0,0,"Yanara Aedo Yanara Katherine Nicole Aedo Muñoz Position: FW 154cm (5-½) Born: August 5, 1993 (Age: 29-018d) in Temuco, Chile cl National Team: Chile cl",Chile 
10,10,824,1,0,1,0,0,1,0,0,,,,,,,,,"Dino Agote Position: DF Born: April 30, 1996 in Antofagasta, Chile cl Youth National Team: Chile cl",Chile 
11,10,855,0,0,0,0,0,0,0,0,10,9,0,24,27,19,,,"Yerko Aguila Position: DF Born: May 31, 1996 (Age: 26-084d) Citizenship: Chile cl Club: Temuco",Chile 
1,0,11,0,0,0,0,0,0,0,0,,,,,,,,,"Matias Aguilar Matias Ignacio Aguilar Brule Position: MF Born: November 5, 1994 in Chile, Chile cl Citizenship: Chile cl",Chile 
7,7,629,0,0,0,0,0,1,1,0,,,,,,,,,"José Aguilera Position: GK 190cm, 84kg (6-2½, 185lb) Born: October 12, 1988 in Santiago, Chile cl Citizenship: Chile cl",Chile 
12,8,594,0,0,0,0,0,1,0,0,8,3,1,13,7,4,,,"José Aguilera José Matías Aguilera Tapia Position: MF Born: January 31, 2000 (Age: 22-204d) in Chile, Chile cl Citizenship: Chile cl Club: Barnechea",Chile 
1,1,90,0,,0,0,,0,0,0,,,,,,,,,"Juan Aguilera Position: FW 164cm (5-4½) Born: October 23, 1903 in Santiago, Chile cl National Team: Chile cl",Chile 
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"Rodrigo Agurto Jara Rodrigo Alberto Agurto Jara Position: FW Born: February 5, 1998 in Chile, Chile cl Citizenship: Chile cl",Chile 
36,29,"2,724",0,0,0,0,0,5,1,1,7,6,0,0,13,24,,,"Eric Ahumada Position: DF Born: February 14, 1994 (Age: 28-190d) in Tierra Amarilla, Chile cl Citizenship: Chile cl Club: Antofagasta",Chile 
55,23,"2,282",6,4,6,0,0,0,0,0,21,65,10,36,12,20,,,"Fabián Ahumada Position: FW Born: April 26, 1996 (Age: 26-119d) in Santiago, Chile cl Citizenship: Chile cl Club: Santiago Morning",Chile 
3,3,270,1,,1,0,,0,0,0,,,,,,,,,"Sergio Ahumada Sergio Ahumada Bacho Position: FW 176cm (5-9) Born: October 2, 1948 in La Serena, Chile cl National Team: Chile cl",Chile 
7,7,630,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,"Tomás Ahumada Tomás Alejandro Ahumada Oteíza Position: GK Born: June 24, 2001 (Age: 21-060d) in Chile, Chile cl Citizenship: Chile cl Club: Audax Italiano",Chile 
187,161,"14,468",8,1,8,0,0,60,9,4,145,73,4,15,104,79,,,"Francisco Alarcón Francisco Arturo Alarcón Cruz Position: DF-MF (CB-DM) ▪  Footed: Right 189cm, 84kg (6-2, 185lb) Born: February 25, 1990 (Age: 32-179d) in Santiago, Chile cl National Team: Chile cl Club: Cobresal",Chile 
32,27,"2,562",0,1,0,0,0,2,0,0,13,17,0,2,48,24,,,"Lucas Alarcón Lucas Bastián Alarcón Ancapi Position: DF Born: March 5, 2000 (Age: 22-171d) in Chile, Chile cl Youth National Team: Chile cl Club: La Serena",Chile 
110,89,"8,243",8,4,4,4,5,31,1,1,162,62,1,70,174,111,0,2,"Tomás Alarcón Position: DF-MF (DM) ▪  Footed: 93% Right* Born: January 19, 1999 (Age: 23-216d) in Rancagua, Chile cl National Team: Chile cl Club: Cádiz Wages: € 16k Weekly ❌ Expires June 2025. Via Capology.",Chile 
61,30,"3,046",4,1,2,2,2,6,1,0,33,26,2,36,44,38,,,"William Alarcón William Héctor Alarcón Cepeda Position: MF Born: November 20, 2000 (Age: 21-276d) in Chile, Chile cl Citizenship: Chile cl Club: Colo Colo",Chile 
301,269,"23,763",15,25,14,1,3,35,2,1,293,94,5,208,53,82,0,1,"Miiko Albornoz Miiko Martín Albornoz Inola Position: DF-MF (FB-WM, left) ▪  Footed: 87% Left* 180cm, 79kg (5-10½, 174lb) Born: November 30, 1990 (Age: 31-266d) in Stockholm, Sweden se National Team: Chile cl  Other: Sweden Club: Vejle BK Twitter: @MiikoAlbornoz Instagram: @miikoalbornoz",Chile 
7,2,155,0,0,0,0,0,0,0,0,7,2,0,3,0,4,,,"Ronnie Albornoz Ronnie Albornoz Position: MF Born: (Date unknown) in Chile, Chile cl Citizenship: Chile cl Club: Curico",Chile 
307,284,"25,437",21,27,16,5,6,64,7,1,12,,,,,,,,"Diego Alejandro Silva Diego Alejandro Silva Fuentes Position: DF 183cm, 78kg (6-0, 172lb) Born: March 11, 1983 (Age: 39-165d) in Santiago, Chile cl Citizenship: Chile cl Club: CD Recoleta",Chile 
2,2,102,0,0,0,0,0,0,0,0,1,2,0,0,0,3,,,"Ian Aliaga Ian Aliaga Position: FW Born: March 27, 2002 (Age: 20-149d) in Chile, Chile cl Citizenship: Chile cl Club: Curico",Chile 
81,66,"5,644",11,2,8,3,3,17,0,0,1,0,0,0,0,0,0,0,"Marcelo Allende Position: MF 162cm, 58kg (5-3½, 128lb) Born: April 7, 1999 (Age: 23-138d) in Cerro Navia, Chile cl National Team: Chile cl Club: Mamelodi Sundowns",Chile 
54,29,"2,992",0,2,0,0,0,10,0,0,20,11,0,6,13,11,,,"Gino Alucema Gino Paolo Alucema Dinamarca Position: DF-MF Born: September 26, 1992 (Age: 29-331d) in Viña del Mar, Chile cl Citizenship: Chile cl Club: Deportes Magallanes",Chile 
26,8,908,2,2,2,0,0,1,1,0,15,5,3,5,2,1,,,"Diego Alvarado Diego Jesús Alvarado Rodríguez Position: FW ▪  Footed: Right 179cm (5-10) Born: January 3, 1993 (Age: 29-232d) in Chile cl Citizenship: Chile cl Club: Melipilla",Chile 
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Fabián Alvarado Fabián Alvarado Position: FW Born: April 3, 2002 in Chile, Chile cl Citizenship: Chile cl",Chile 
24,21,"1,695",1,2,1,0,0,5,0,0,17,12,0,54,31,15,,,"Felipe Alvarado Position: DF ▪  Footed: Left 178cm, 73kg (5-10, 161lb) Born: January 8, 1999 (Age: 23-227d) in Chile, Chile cl Citizenship: Chile cl Club: Santiago Wanderers",Chile 
1,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,"Bruno Alvarez Bruno Alvarez Position: MF Born: May 27, 2002 (Age: 20-088d) in Chile, Chile cl Citizenship: Chile cl Club: Santiago Wanderers",Chile 
3,1,79,0,0,0,0,0,1,0,0,0,0,1,1,6,3,,,"Ricardo Álvarez Casanova Ricardo Abraham Álvarez Casanova Position: MF Born: February 10, 1999 (Age: 23-194d) Youth National Team: Chile cl",Chile 
226,207,"17,791",19,9,17,2,2,70,4,0,66,12,1,11,26,25,,,"Cristián Álvarez Cristián Andrés Álvarez Valenzuela Position: DF-MF (CB-FB, right) ▪  Footed: Right 175cm, 69kg (5-8½, 152lb) Born: January 20, 1980 in Curicó, Chile cl National Team: Chile cl",Chile 
52,22,"2,446",10,2,10,0,0,5,0,0,20,31,3,52,17,29,,,"Gonzalo Alvarez Gonzalo Esteban Alvarez Morales Position: MF Born: January 20, 1997 (Age: 25-215d) in Chile, Chile cl Citizenship: Chile cl Club: Audax Italiano",Chile 
3,3,270,0,,0,0,,0,0,0,,,,,,,,,"Manuel Álvarez Jiménez Position: DF-FW-MF (FB-WM) Born: May 23, 1928 in Chile cl National Team: Chile cl",Chile 
163,156,"13,463",3,0,3,0,0,35,1,0,65,121,1,9,174,64,,,"Branco Ampuero Position: DF (CB) 182cm, 82kg (5-11½, 181lb) Born: July 19, 1993 (Age: 29-035d) in Carelmapu, Chile cl Citizenship: Chile cl Club: Universidad Católica",Chile 
273,254,"22,439",14,4,14,0,0,73,10,1,37,7,4,2,33,13,,,"Jorge Ampuero Jorge Enrique Ampuero Cabello Position: DF 183cm, 79kg (6-0, 174lb) Born: April 17, 1987 in Santiago, Chile cl Citizenship: Chile cl",Chile 
121,117,"10,494",4,11,4,0,0,28,2,2,136,168,8,356,218,138,,,"Yonathan Andía Yonathan Wladimir Andía León Position: DF-MF (FB, right) 176cm, 72kg (5-9, 159lb) Born: August 6, 1992 (Age: 30-017d) National Team: Chile cl Club: Universidad de Chile",Chile 
105,103,"9,195",2,0,2,0,0,21,2,1,17,15,0,2,80,29,0,0,"Claudio Andrés Muñoz Claudio Andrés Muñoz Camilo Position: DF 181cm, 83kg (5-11, 183lb) Born: December 24, 1984 in Quinta de Tilcoco, Chile cl Citizenship: Chile cl",Chile 
2,1,87,0,,0,0,,1,0,0,,,,,,,,,"Miguel Ángel Gamboa Miguel Ángel Luis Gamboa Pedemonte Position: FW Born: June 21, 1951 in Hualqui, Chile cl National Team: Chile cl",Chile 
3,2,185,1,,0,1,,0,0,0,,,,,,,,,"Miguel Ángel Neira Miguel Ángel Neira Pincheira Position: MF 173cm (5-8) Born: October 9, 1952 in Hualqui, Chile cl National Team: Chile cl",Chile 
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Leonardo Angulo Leonardo Angulo Position: MF Born: May 10, 2001 in Chile, Chile cl Citizenship: Chile cl",Chile 
