MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
48,40,"3,719",1,1,1,0,0,11,0,0,32,13,1,5,66,31,,,"José Abad Cuenú José Abad Cuenú Rodríguez Position: DF Born: February 17, 1995 (Age: 27-187d) in Colombia, Colombia co Citizenship: Colombia co Club: Millonarios",Colombia 
16,4,402,1,0,1,0,0,2,0,0,9,8,5,2,2,2,,,"Diego Abadía Diego Ferney Abadía García Position: FW Born: May 1, 1999 (Age: 23-114d) in Carepa, Colombia co Citizenship: Colombia co Club: Millonarios",Colombia 
63,62,"5,609",0,0,0,0,0,11,0,0,,,,,,,,,"Carlos Abella Carlos Andrés Abella Parra Position: GK ▪  Footed: Right 186cm, 88kg (6-1, 194lb) Born: January 25, 1986 in Pitalito, Colombia co Citizenship: Colombia co",Colombia 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Camilo Acero Position: GK ▪  Footed: Left 185cm, 74kg (6-½, 163lb) Born: March 28, 1994 in Barranquilla, Colombia co Citizenship: Colombia co",Colombia 
3,3,270,1,,1,0,,0,0,0,,,,,,,,,"Germán Aceros Hermán Aceros Bueno Position: FW-MF Born: September 30, 1938 in Bucaramanga, Colombia co National Team: Colombia co",Colombia 
4,2,179,0,0,0,0,0,1,0,0,1,2,0,0,7,2,,,"Edson Acevedo Edson Acevedo Position: MF Born: September 5, 2002 (Age: 19-352d) in Colombia, Colombia co Citizenship: Colombia co Club: America de Cali",Colombia 
20,19,"1,727",0,0,0,0,0,3,0,0,2,1,0,0,1,0,,,"Humberto Acevedo Humberto José Acevedo Serrano Position: GK 185cm, 81kg (6-½, 179lb) Born: May 23, 1997 (Age: 25-092d) in Colombia, Colombia co Citizenship: Colombia co Club: Deportivo Cali",Colombia 
11,3,290,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,"Yainer Acevedo Position: MF ▪  Footed: Right 175cm, 69kg (5-8½, 152lb) Born: May 6, 1992 in Cartagena, Colombia co Citizenship: Colombia co",Colombia 
29,28,"2,564",0,0,0,0,0,4,0,0,,,,,,,,,"Alonso Acosta Position: DF ▪  Footed: Right 184cm, 79kg (6-0, 174lb) Born: February 10, 1989 in Montería, Colombia co Citizenship: Colombia co",Colombia 
10,5,493,2,0,2,0,0,1,0,0,6,14,0,16,5,1,,,"Felipe Acosta Position: MF 190cm, 69kg (6-2½, 152lb) Born: May 25, 1994 Citizenship: Colombia co",Colombia 
45,16,"1,464",7,1,7,0,0,6,0,0,27,19,4,60,12,7,,,"Sebastián Acosta Position: MF ▪  Footed: Left 180cm, 74kg (5-10½, 163lb) Born: November 1, 1994 (Age: 27-295d) in Pereira, Colombia co Citizenship: Colombia co Club: Alianza Petrolera",Colombia 
8,6,596,0,0,0,0,0,0,0,0,,,,,,,,,"Viviana Acosta Nancy Viviana Acosta Núñez Position: DF Born: December 11, 1998 (Age: 23-255d) in Colombia, Colombia co National Team: Colombia co",Colombia 
11,1,342,1,1,1,0,0,2,0,0,6,4,3,4,1,1,,,"Stiwart Acuña Stiwart Alejando Acuña López Position: FW Born: February 6, 1999 (Age: 23-198d) in Colombia, Colombia co Citizenship: Colombia co Club: Alianza Petrolera",Colombia 
18,9,847,4,0,4,0,0,4,0,0,,,,,,,,,"José Adolfo Guerra Position: FW ▪  Footed: Right 184cm, 83kg (6-0, 183lb) Born: March 23, 1987 in Barranquilla, Colombia co Citizenship: Colombia co",Colombia 
197,81,"8,256",25,6,25,0,0,12,2,0,71,42,37,40,11,19,1,0,"José Adolfo Valencia José Adolfo Valencia Arrechea Position: FW ▪  Footed: Right 186cm, 73kg (6-1, 161lb) Born: December 18, 1991 (Age: 30-248d) in Cali, Colombia co Youth National Team: Colombia co Club: Atletico Bucaramanga",Colombia 
41,37,"3,192",1,2,1,0,0,9,1,1,40,22,0,3,60,24,,,"Bleiner Agrón Position: DF Born: February 24, 2001 (Age: 21-180d) in Colombia, Colombia co Citizenship: Colombia co Club: La Equidad",Colombia 
107,71,"6,524",26,2,24,2,3,14,0,0,80,81,35,21,7,17,,,"Jonathan Agudelo Jonathan Alexander Agudelo Velásquez Position: FW ▪  Footed: Right 180cm (5-10½) Born: December 17, 1992 (Age: 29-249d) in Medellín, Colombia co Citizenship: Colombia co Club: Itagui Ditaires",Colombia 
3,1,79,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,,"Juan Agudelo Juan Pablo Agudelo Galeano Position: FW Born: May 26, 1997 in Colombia, Colombia co Citizenship: Colombia co",Colombia 
100,62,"5,620",7,5,7,0,0,18,2,1,164,107,5,65,49,128,0,1,"Kevin Agudelo Kevin Andrés Agudelo Ardila Position: FW-MF ▪  Footed: 89% Left* 178cm, 73kg (5-10, 161lb) Born: November 14, 1998 (Age: 23-282d) in Colombia, Colombia co Citizenship: Colombia co Club: Spezia Wages: € 14,231 Weekly Expires June 2023. Via Capology.",Colombia 
358,321,"28,337",30,12,30,0,0,125,8,2,325,100,2,27,74,69,0,0,"Abel Aguilar Abel Enrique Aguilar Tapias Position: MF (CM-DM) ▪  Footed: Right 186cm, 82kg (6-1, 181lb) Born: January 6, 1985 in Bogotá, Colombia co National Team: Colombia co",Colombia 
148,133,"12,067",0,1,0,0,0,35,2,0,105,77,1,3,218,90,,,"Felipe Aguilar Felipe Aguilar Mendoza Position: DF (CB) ▪  Footed: Right 189cm, 78kg (6-2, 172lb) Born: January 20, 1993 (Age: 29-215d) in Medellín, Colombia co National Team: Colombia co Club: Lanús",Colombia 
1,1,90,0,0,0,0,0,0,0,0,0,1,0,0,0,4,,,"Juan Aguilar Juan José Aguilar Position: DF 186cm, 78kg (6-1, 172lb) Born: October 10, 2000 (Age: 21-317d) in Colombia, Colombia co Citizenship: Colombia co Club: Tlaxcala FC",Colombia 
1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Mateo Aguilar Mateo Aguilar Position: FW Born: June 5, 2002 in Colombia, Colombia co Citizenship: Colombia co",Colombia 
