MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
64,63,"5,715",0,0,0,0,0,0,0,,,,,,,,,,"Stanislav Cherchesov Stanislav Salamovich Cherchesov Станислав Саламович Черчесов Position: GK 183cm, 78kg (6-0, 172lb) Born: September 2, 1963 in Alagir, Russia ru National Team: Commonwealth of Independent States xc  Other: Russia",Commonwealth of Independent States 
78,44,"4,527",15,3,15,0,0,8,0,0,0,,,,,,,,"Dmitri Cheryshev Dmitri Nikoláevich Chéryshev Черышев, Дмитрий Николаевич Position: FW 169cm (5-6½) Born: May 11, 1969 in Nizhniy Novgorod, Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
55,55,"4,882",4,0,4,0,0,5,0,,,,,,,,,,"Igor Chugainov Igor Valeryevich Chugainov Чугайнов, Игорь Валерьевич Position: DF-FW 187cm (6-1½) Born: April 6, 1970 in Russia ru National Team: Commonwealth of Independent States xc  Other: Russia",Commonwealth of Independent States 
52,40,"3,514",9,,9,0,,16,5,2,,,,,,,,,"Igor Dobrovolski Igor Ivanovitch Dobrovolski Добровольский, Игорь Иванович Position: FW-MF (AM-WM) 180cm (5-10½) Born: August 27, 1967 in Markovo, Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
29,29,"2,485",0,,0,0,,5,0,0,,,,,,,,,"Dmitri Galiamin Dmitri Aleksandrovich Galiamin Дмитрий Александрович Галямин Position: DF 180cm (5-10½) Born: January 8, 1963 in Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
247,200,"17,662",51,28,50,1,1,10,0,0,7,,,,,,,,"Andrei Kanchelskis Andreï Antanassovitch Kantchelskis Андрей Антанасович Канчельскис Position: DF-MF (AM-FB-WM, right) 178cm, 76kg (5-10, 168lb) Born: January 23, 1969 in Kirovohrad, Ukraine ua National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
122,121,"10,806",0,0,0,0,0,2,0,,,,,,,,,,"Dmitri Kharine Dmitri Viktorovich Kharine Харин, Дмитрий Викторович Position: GK 187cm, 79kg (6-1½, 174lb) Born: August 16, 1968 in Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
40,35,"2,904",1,3,1,0,0,8,0,,,,,,,,,,"Dmitri Khlestov Dmitri Alekseyevich Khlestov Хлестов, Дмитрий Алексеевич Position: DF-MF 177cm (5-9½) Born: January 21, 1971 in Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
174,150,"12,856",34,,33,1,,31,5,2,,,,,,,,,"Sergei Kiriakov Serguéi Viacheslávovich Kiriakov Кирьяков, Сергей Вячеславович Position: FW 175cm, 76kg (5-8½, 168lb) Born: January 1, 1970 in Orël, Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
164,125,"11,240",44,3,37,7,1,12,3,1,0,,,,,,,,"Igor Kolyvanov Igor Vladimirovich Kolyvanov Колыванов, Игорь Владимирович Position: FW 178cm, 74kg (5-10, 163lb) Born: March 6, 1968 in Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
94,59,"5,088",20,5,13,7,4,16,2,1,,,,,,,,,"Igor Korneev Ígor Vladímirovich Kornéyev Корнеев, Игорь Владимирович Position: MF (AM) 172cm, 68kg (5-7½, 150lb) Born: September 4, 1967 in Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
83,73,"6,504",4,2,2,2,0,10,0,0,,,,,,,,,"Dmitri Kuznetsov Dmitri Víktorovich Kuznetsov Кузнецов, Дмитрий Викторович Position: DF-MF (WM, right) 179cm (5-10) Born: August 28, 1965 in Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
143,123,"10,322",19,7,9,10,1,34,4,0,0,,,,,,,,"Igor Lediakhov Igor Anatolyevich Lediakhov Ледяхов, Игорь Анатольевич Position: MF (AM) 188cm, 79kg (6-2, 174lb) Born: May 22, 1968 in Sochi, Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
39,34,"3,104",6,,6,0,,6,0,0,,,,,,,,,"Volodymyr Lyutyi Volodymyr Ivanovych Lyutyi Лютий Володимир Іванович Position: FW-MF 190cm (6-2½) Born: April 20, 1962 in Dnipropetrovsk, Ukraine ua National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
114,98,"8,353",1,4,1,0,0,27,4,0,,,,,,,,,"Sergei Mandreko Sergei Wladimirowitsch Mandreko Position: MF (WM, left) Born: August 1, 1971 in Qŭrghonteppa, Tajikistan tj National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
24,18,"1,569",3,,3,0,,1,1,0,,,,,,,,,"Oleksiy Mykhaylychenko Oleksij Alexandrowitsch Mychajlytschenko Михайличенко Олексій Олександрович Position: MF (AM) 186cm, 83kg (6-1, 183lb) Born: March 30, 1963 in Ukraine ua National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
157,120,"10,993",25,,25,0,,7,1,0,,,,,,,,,"Igor Shalimov Igor Mihailovich Shalimov Игорь Михайлович Шалимов Position: MF (AM) 182cm, 76kg (5-11½, 168lb) Born: February 2, 1969 in Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
120,95,"8,247",1,2,1,0,0,18,2,0,7,,,,,,,,"Sergey Shustikov Sergej Viktorovič Šustikov Шустиков, Сергей Викторович Position: MF 184cm, 76kg (6-0, 168lb) Born: September 30, 1970 in Russia ru National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
97,77,"6,960",2,0,2,0,1,6,0,0,24,,,,,,,,"Omari Tetradze Omari Mikhailovich Tetradze Position: DF-MF (FB, right) 176cm, 71kg (5-9, 157lb) Born: October 13, 1969 in Velispiri, Georgia ge National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
64,60,"5,329",1,,1,0,,18,3,1,,,,,,,,,"Kakhaber Tskhadadze K'akhaber Jumberis Dze Tskhadadze კახაბერ ცხადაძე Position: DF (CB) 187cm (6-1½) Born: September 7, 1968 in Rust’avi, Georgia ge National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
11,11,945,0,0,0,0,0,2,0,,,,,,,,,,"Akhrik Tsveiba Achrik Sokratowitsch Zweiba ახრიკ ცვეიბა Position: DF (FB) 182cm (5-11½) Born: September 10, 1966 in Gudaut’a, Georgia ge National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
39,34,"2,783",9,,9,0,,7,1,0,,,,,,,,,"Sergei Yuran Sergei Nikolayevich Yuran Юран Сергій Миколайович Position: FW 184cm (6-0) Born: June 11, 1969 in Luhans’k, Ukraine ua National Team: Commonwealth of Independent States xc",Commonwealth of Independent States 
