MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
164,156,"14,073",11,5,11,0,0,28,2,0,67,18,0,5,33,30,0,0,"Bismar Acosta Bismark Acosta Position: DF-MF (CB) ▪  Footed: Right 183cm, 82kg (6-0, 181lb) Born: December 19, 1986 (Age: 35-248d) in Puerto Limón, Costa Rica cr National Team: Costa Rica cr Club: CS Cartaginés",Costa Rica 
34,34,"3,060",0,1,0,0,0,10,0,0,13,4,0,1,28,6,,,"Johnny Acosta Johnny Gerardo Acosta Zamora Position: DF (CB) ▪  Footed: Right 176cm, 77kg (5-9, 170lb) Born: July 21, 1983 in Quesada, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
8,8,685,1,1,1,0,0,0,0,0,0,,,,,,,,"Wendy Acosta Wendy Patricia Salas Acosta Position: MF 164cm (5-4½) Born: December 19, 1989 in San Sebastián, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
9,5,366,0,0,-1,1,1,0,0,,3,,,,,,,,"Alejandro Aguilar Alejandro Jesus Aguilar Bolaños Position: FW 175cm (5-8½) Born: October 10, 1990 in Costa Rica cr National Team: Costa Rica cr",Costa Rica 
134,101,"9,571",14,24,13,1,3,19,0,0,0,0,0,0,0,0,0,0,"Elías Aguilar Elías Aguilar Vargas Position: FW-MF (AM) ▪  Footed: Left 173cm, 78kg (5-8, 172lb) Born: November 7, 1991 (Age: 30-290d) in Cantón de Barva, Costa Rica cr National Team: Costa Rica cr Club: Incheon United",Costa Rica 
1,1,67,0,1,0,0,0,0,0,0,,,,,,,,,"Brandon Aguilera Brandon Aguilera Zamora Position: MF Born: June 28, 2003 (Age: 19-057d) National Team: Costa Rica cr Club: Asociación Deportiva Guanacasteca",Costa Rica 
3,1,93,0,0,0,0,0,0,0,0,,,,,,,,,"Bernald Alfaro Position: MF 177cm, 67kg (5-9½, 148lb) Born: January 26, 1997 (Age: 25-210d) in Cantón de Valverde Vega, Costa Rica cr National Team: Costa Rica cr Club: Liga Deportiva Alajuelense",Costa Rica 
6,3,221,0,0,0,0,0,1,1,,12,,,,,,,,"Éver Alfaro Éver Antonio Alfaro Víquez Position: FW 181cm (5-11) Born: October 1, 1982 National Team: Costa Rica cr",Costa Rica 
1,1,55,0,0,0,0,0,0,0,0,,,,,,,,,"José Alfaro José Rodolfo Alfaro Vargas Position: FW Born: March 18, 2000 in Grecia, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
6,5,433,0,,0,0,0,1,0,0,,,,,,,,,"Sandro Alfaro Sandro Alfaro Gamboa Position: DF Born: January 1, 1971 National Team: Costa Rica cr",Costa Rica 
13,9,822,3,,3,0,0,2,0,0,,,,,,,,,"Armando Alonso Armando Alonso Rodríguez Position: FW-MF (WM) 180cm, 73kg (5-10½, 161lb) Born: March 21, 1984 in San José, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
5,2,255,2,,2,0,0,0,0,0,,,,,,,,,"Alejandro Alpízar Alejandro Alpízar Delgado Position: FW 177cm, 69kg (5-9½, 152lb) Born: June 14, 1979 in San José, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
154,153,"13,756",0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,"Esteban Alvarado Esteban Alvarado Brown Position: GK ▪  Footed: Right 187cm, 71kg (6-1½, 157lb) Born: April 28, 1989 (Age: 33-118d) in Siquirres, Costa Rica cr National Team: Costa Rica cr Club: Club Sport Herediano",Costa Rica 
1,1,89,0,0,0,0,0,0,0,0,,,,,,,,,"Junior Alvarado Júnior Alvarado Ramírez Position: DF ▪  Footed: Right 173cm (5-8) Born: July 3, 1988 in Liberia, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
25,24,"2,073",2,8,1,1,1,0,1,0,1,,,,,,,,"Katherine Alvarado Katherine Maria Alvarado Aguilar Position: MF 163cm (5-4) Born: April 11, 1991 (Age: 31-135d) National Team: Costa Rica cr",Costa Rica 
37,22,"1,941",3,10,3,0,0,1,0,0,,,,,,,,,"Freddy Álvarez Position: MF ▪  Footed: Left 170cm, 79kg (5-6½, 174lb) Born: April 26, 1995 (Age: 27-120d) in Nicoya, Costa Rica cr Youth National Team: Costa Rica cr Club: FK Shkupi",Costa Rica 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"Minor Álvarez Minor Jesús Álvarez Cordero Position: GK 190cm (6-2½) Born: November 14, 1989 (Age: 32-283d) in San José, Costa Rica cr National Team: Costa Rica cr Club: Cobán Imperial",Costa Rica 
33,20,"1,777",0,1,0,0,0,3,0,,19,,,,,,,,"Marvin Angulo Marvin Angulo Borbón Position: FW-MF (AM) ▪  Footed: Right 172cm, 68kg (5-7½, 150lb) Born: September 30, 1986 (Age: 35-328d) in Escazú, Costa Rica cr National Team: Costa Rica cr Club: Deportivo Saprissa",Costa Rica 
32,12,"1,258",1,3,1,0,0,6,0,,13,,,,,,,,"Pablo Antonio Gabas Pablo Daniel Antonio Gabas Position: MF 184cm (6-0) Born: April 21, 1982 in Rosario, Argentina ar National Team: Costa Rica cr",Costa Rica 
9,7,610,0,0,0,0,0,1,0,,20,,,,,,,,"Hansell Araúz Hansell Stiven Arauz Ovares Position: FW-MF (AM) 180cm, 73kg (5-10½, 161lb) Born: August 9, 1989 in Puntarenas, Costa Rica cr Youth National Team: Costa Rica cr",Costa Rica 
4,1,94,0,0,0,0,0,0,0,0,,,,,,,,,"Ronaldo Araya Luis Ronaldo Araya Hernández Position: MF 176cm, 69kg (5-9, 152lb) Born: August 3, 1999 (Age: 23-021d) National Team: Costa Rica cr Club: CS Cartaginés",Costa Rica 
1,1,85,0,0,0,0,0,0,0,0,,,,,,,,,"Pablo Arboine Position: DF (CB) 176cm, 64kg (5-9, 141lb) Born: April 3, 1998 (Age: 24-143d) in Cantón de Siquirres, Costa Rica cr National Team: Costa Rica cr Club: Deportivo Saprissa",Costa Rica 
3,1,103,0,0,0,0,0,0,0,0,,,,,,,,,"Yaniela Arias Yaniela Arias Álvarez Position: MF Born: April 25, 1998 (Age: 24-121d) National Team: Costa Rica cr",Costa Rica 
120,88,"7,578",29,13,28,1,1,13,0,,135,,,,,,,,"Jairo Arrieta Jairo Arrieta Obando Position: FW ▪  Footed: Right 173cm, 69kg (5-8, 152lb) Born: August 25, 1983 (Age: 38-364d) in Nicoya, Costa Rica cr National Team: Costa Rica cr Club: ADR Jicaral Sercoba",Costa Rica 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Yirliana Arroyo Yirliana Arroyo Fonseca Position: GK 168cm (5-6) Born: May 28, 1985 National Team: Costa Rica cr",Costa Rica 
185,134,"12,056",26,31,25,1,1,35,7,,20,,,,,,,,"Randall Azofeifa Randall Azofeifa Corrales Position: MF ▪  Footed: Right 183cm, 78kg (6-0, 172lb) Born: December 30, 1984 (Age: 37-237d) in San José, Costa Rica cr National Team: Costa Rica cr Club: Sporting FC",Costa Rica 
5,2,153,0,0,0,0,0,0,0,0,5,1,0,13,4,1,,,"Wilmer Azofeifa Wilmer Jesús Azofeifa Valverde Position: MF ▪  Footed: Right 170cm, 72kg (5-6½, 159lb) Born: June 4, 1994 (Age: 28-081d) in Guápiles, Costa Rica cr National Team: Costa Rica cr Club: A.D. San Carlos",Costa Rica 
6,6,487,0,,0,0,0,2,0,0,,,,,,,,,"Cristian Badilla Cristian Badilla Zamora Position: MF 176cm, 69kg (5-9, 152lb) Born: July 11, 1978 in San José, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
6,5,423,0,0,0,0,0,1,1,,7,,,,,,,,"Gabriel Badilla Gabriel Badilla Segura Position: DF (CB) 180cm, 69kg (5-10½, 152lb) Born: June 30, 1984 in Isla de Tibás, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
4,0,54,0,,0,0,0,0,0,0,,,,,,,,,"Víctor Badilla Víctor Manuel Gerardo Badilla Guadamuz Position: MF Born: July 2, 1966 National Team: Costa Rica cr",Costa Rica 
8,8,720,0,,0,0,0,0,0,0,,,,,,,,,"Hermidio Barrantes Hermidio Barrantes Cascante Position: GK 180cm (5-10½) Born: September 2, 1964 in Puntarenas, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
5,4,322,2,0,1,1,1,0,0,0,4,,,,,,,,"María Barrantes Position: FW Born: April 12, 1989 in Costa Rica cr National Team: Costa Rica cr",Costa Rica 
134,123,"10,609",36,16,35,1,2,24,1,1,6,,,,,,,,"Michael Barrantes Michael Barrantes Rojas Position: MF (AM) 177cm, 71kg (5-9½, 157lb) Born: October 4, 1983 (Age: 38-324d) in San José, Costa Rica cr National Team: Costa Rica cr Club: CS Cartaginés",Costa Rica 
1,0,23,0,0,0,0,0,0,0,0,,,,,,,,,"Diosa Barrett Diosa Barrett Bryan Position: DF Born: August 31, 1986 National Team: Costa Rica cr",Costa Rica 
3,0,17,0,0,0,0,0,1,0,,,,,,,,,,"Jake Beckford Jake Gerardo Beckford Edwards Position: MF 180cm (5-10½) Born: July 31, 1994 in San José, Costa Rica cr Youth National Team: Costa Rica cr",Costa Rica 
18,16,"1,446",0,0,0,0,0,2,0,0,,,,,,,,,"Mariana Benavides Position: DF 166cm (5-5) Born: December 26, 1994 (Age: 27-241d) in Heredia, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
1,0,32,0,,0,0,0,0,0,0,,,,,,,,,"Jewison Bennett Jewison Bennett Grant Position: FW Born: November 2, 1976 National Team: Costa Rica cr",Costa Rica 
3,2,212,0,,0,0,0,0,0,0,,,,,,,,,"Try Bennett Try Anthony Bennett Grant Position: DF 174cm, 73kg (5-8½, 161lb) Born: August 5, 1975 in San José, Costa Rica cr National Team: Costa Rica cr",Costa Rica 
