MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
6,4,315,0,,0,0,0,1,0,0,,,,,,,,,"Luis Alberto Villegas Luis Alberto Villegas Ramírez Position: FW 165cm, 66kg (5-4½, 146lb) Born: June 2, 1988 (Age: 34-083d) National Team: Cuba cu Club: FC Villa Clara",Cuba 
15,10,814,0,0,0,0,0,0,0,0,0,3,0,0,1,0,,,"Rolando Abreu Rolando Domingo Abreu Canela Position: MF 170cm, 66kg (5-6½, 146lb) Born: May 15, 1992 (Age: 30-101d) in Santiago de Cuba, Cuba cu National Team: Cuba cu Club: FC Santiago de Cuba",Cuba 
2,2,144,0,0,0,0,0,0,0,0,,,,,,,,,"Dalain Aira Dalain Aira Fernández Position: FW ▪  Footed: Left 185cm, 64kg (6-½, 141lb) Born: October 26, 1989 National Team: Cuba cu",Cuba 
2,1,105,0,,0,0,0,0,0,0,,,,,,,,,"Honami Alba Position: DF Born: October 9, 1973 in Cuba, Cuba cu National Team: Cuba cu",Cuba 
11,2,289,0,0,0,0,0,1,0,,5,,,,,,,,"Reinier Alcántara Reinier Alcántara Nuñez Position: FW 175cm, 69kg (5-8½, 152lb) Born: January 14, 1982 in Municipio de Pinar del Río, Cuba cu National Team: Cuba cu",Cuba 
7,7,660,0,,0,0,0,2,0,0,,,,,,,,,"Vladimir Alejo Vladimir Alejo Position: DF Born: October 9, 1973 in Cuba, Cuba cu National Team: Cuba cu",Cuba 
365,344,"30,242",17,15,15,2,4,79,3,0,556,241,1,42,193,262,0,2,"Osvaldo Alonso Osvaldo Alonso Moreno Position: MF (DM) ▪  Footed: 87% Right* 180cm, 74kg (5-10½, 163lb) Born: November 11, 1985 (Age: 36-286d) in Municipio de San Cristóbal, Cuba cu National Team: Cuba cu Club: Atlanta United Wages: $84,000 Annual Expires December 2022. Via Capology.",Cuba 
1,1,90,0,,0,0,,0,0,0,,,,,,,,,"Juan Alonzo Juan Alberto Alonzo Position: FW-MF 168cm (5-6) Born: January 1, 1911 in Cuba cu National Team: Cuba cu",Cuba 
4,1,143,1,0,1,0,0,1,0,0,2,1,0,0,0,1,,,"Aníbal Álvarez Aníbal Álvarez Lapera Position: MF 184cm, 69kg (6-0, 152lb) Born: May 25, 1995 in Ciego de Ávila, Cuba cu National Team: Cuba cu",Cuba 
14,10,784,1,,1,0,0,0,1,0,,,,,,,,,"Ariel Álvarez Position: MF Born: May 9, 1973 in Cuba cu National Team: Cuba cu",Cuba 
