MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
54,44,"3,781",6,0,6,0,0,7,0,,13,,,,,,,,"Martin Abraham Position: MF 181cm, 78kg (5-11, 172lb) Born: September 20, 1978 in Moravská Třebová, Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
284,262,"23,545",8,12,8,0,0,44,2,,16,,,,,,,,"Tomáš Abrahám Position: MF (DM) 179cm, 79kg (5-10, 174lb) Born: April 18, 1979 in Třebíč, Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
3,3,270,0,0,0,0,0,0,0,,,,,,,,,,"Lukáš Adam Position: MF 183cm, 72kg (6-0, 159lb) Born: September 5, 1980 in Pardubice, Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
2,0,7,1,0,1,0,0,0,0,,,,,,,,,,"Luboš Adamec Position: DF (CB) Born: April 27, 1994 in Brno, Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
5,2,215,0,0,0,0,0,0,0,0,,,,,,,,,"Denis Alijagič Denis Alijagič Position: FW ▪  Footed: Right 188cm, 76kg (6-2, 168lb) Born: April 10, 2003 (Age: 19-136d) in Bosnia and Herzegovina ba Youth National Team: Czech Republic cz  Other: Bosnia and Herzegovina",Czech Republic 
,,,,,,,,,,,,,,,,,,,"Lukáš Ambros Position: FW Born: June 5, 2004 (Age: 18-080d) in Czech Republic cz Youth National Team: Czech Republic cz Club: Wolfsburg",Czech Republic 
12,3,397,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,0,"Karsten Ayong Position: FW Born: January 20, 1998 Citizenship: Czech Republic cz",Czech Republic 
84,71,"6,408",2,0,2,0,0,20,4,2,29,0,0,0,0,0,0,0,"Ondřej Bačo Position: DF 187cm, 81kg (6-1½, 179lb) Born: March 25, 1996 (Age: 26-152d) Youth National Team: Czech Republic cz Club: Hapoel Katamon Jerusalem FC",Czech Republic 
81,54,"5,285",1,4,0,1,1,5,0,,5,,,,,,,,"Lukáš Bajer Position: MF 175cm, 64kg (5-8½, 141lb) Born: December 15, 1984 in Přerov, Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
5,5,384,0,0,0,0,0,1,0,,,,,,,,,,"Jiří Balcárek Position: MF Born: April 29, 1973 in Zábřeh, Czech Republic cz Youth National Team: Czech Republic cz",Czech Republic 
40,19,"1,833",5,1,5,0,0,3,0,,,,,,,,,,"Vladimír Bálek Position: FW 189cm, 83kg (6-2, 183lb) Born: March 8, 1981 in Prague, Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
3,1,80,0,0,0,0,0,0,0,0,,,,,,,,,"Jakub Barac Position: MF 175cm, 66kg (5-8½, 146lb) Born: August 4, 1996 (Age: 26-020d) in Czech Republic cz Citizenship: Czech Republic cz Club: Dukla Prague",Czech Republic 
177,142,"12,675",38,17,33,5,5,23,1,0,179,90,9,77,59,104,1,1,"Antonín Barák Position: FW-MF (AM-CM) ▪  Footed: 85% Left* 190cm, 86kg (6-2½, 190lb) Born: December 3, 1994 (Age: 27-264d) in Příbram, Czech Republic cz National Team: Czech Republic cz Club: Verona Wages: € 17,885 Weekly Expires June 2024. Via Capology.",Czech Republic 
76,63,"5,655",8,2,8,0,0,17,1,0,77,0,0,0,0,0,0,0,"Jan Baránek Jr. Jan Baránek, Jr. Position: DF-MF ▪  Footed: Right 192cm, 86kg (6-3½, 190lb) Born: June 26, 1993 in Opava, Czech Republic cz Youth National Team: Czech Republic cz",Czech Republic 
37,21,"1,944",3,4,3,0,0,7,1,,,,,,,,,,"Miroslav Baranek Position: MF 179cm, 72kg (5-10, 159lb) Born: October 11, 1973 in Havířov, Czech Republic cz National Team: Czech Republic cz",Czech Republic 
37,36,"3,274",0,0,0,0,0,2,0,,,,,,,,,,"Vít Baránek Position: GK 190cm, 83kg (6-2½, 183lb) Born: September 27, 1974 in Opava, Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
373,249,"22,176",119,31,106,13,18,70,6,0,299,0,0,0,0,0,0,0,"Milan Baroš 'Milan Baroš' Position: FW ▪  Footed: Left 184cm, 78kg (6-0, 172lb) Born: October 28, 1981 in Valašské Meziříčí, Czech Republic cz National Team: Czech Republic cz",Czech Republic 
35,35,"3,150",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Michal Bárta Position: GK ▪  Footed: Right 196cm, 87kg (6-5, 192lb) Born: December 23, 1989 (Age: 32-244d) in Chlumec nad Cidlinou, Czech Republic cz Citizenship: Czech Republic cz Club: 1. SK Prostějov",Czech Republic 
263,185,"16,907",23,8,23,0,0,34,1,0,62,0,0,0,0,0,0,0,"David Bartek Position: MF ▪  Footed: Right 176cm, 72kg (5-9, 159lb) Born: February 13, 1988 (Age: 34-192d) in Prague, Czech Republic cz Youth National Team: Czech Republic cz Club: Bohemians 1905",Czech Republic 
142,88,"8,204",8,14,7,1,3,15,1,0,25,0,0,0,0,0,0,0,"Daniel Bartl Position: DF-MF ▪  Footed: Right 181cm, 73kg (5-11, 161lb) Born: July 5, 1989 (Age: 33-050d) in Ostrava, Czech Republic cz Citizenship: Czech Republic cz Club: Karviná",Czech Republic 
27,7,921,2,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,"Robert Bartolomeu Position: MF Born: December 3, 1993 (Age: 28-264d) Youth National Team: Czech Republic cz Club: 1. SK Prostějov",Czech Republic 
20,20,"1,731",2,1,2,0,0,3,0,0,,,,,,,,,"Eva Bartoňová Position: DF-FW-MF 170cm (5-6½) Born: October 17, 1993 (Age: 28-311d) in Jilemnice, Czech Republic cz National Team: Czech Republic cz Club: Sparta Prague",Czech Republic 
172,156,"13,263",11,17,11,0,0,36,1,0,33,0,0,0,0,0,0,0,"Lukáš Bartošák Position: DF ▪  Footed: Right 176cm, 67kg (5-9, 148lb) Born: July 3, 1990 (Age: 32-052d) in Broumov, Czech Republic cz National Team: Czech Republic cz Club: Fastav Zlín",Czech Republic 
33,22,"1,958",1,0,1,0,0,3,0,0,,0,0,0,0,0,0,0,"Josef Bazal Position: MF ▪  Footed: Right 175cm, 68kg (5-8½, 150lb) Born: November 6, 1993 (Age: 28-291d) in Znojmo, Czech Republic cz Citizenship: Czech Republic cz Club: Viktoria Žižkov",Czech Republic 
78,69,"6,328",0,1,0,0,0,9,0,0,3,0,0,0,0,0,0,0,"Jiří Bederka Position: DF Born: February 18, 1995 Citizenship: Czech Republic cz",Czech Republic 
224,134,"12,679",64,19,62,2,3,32,0,,154,,,,,,,,"Roman Bednář Position: FW 191cm, 83kg (6-3, 183lb) Born: March 26, 1983 in Prague, Czech Republic cz National Team: Czech Republic cz",Czech Republic 
3,3,270,0,,0,0,0,0,0,0,,,,,,,,,"Radka Bednaříková Position: GK 173cm (5-8) Born: December 18, 1990 (Age: 31-249d) in Czechoslovakia, Czech Republic cz National Team: Czech Republic cz",Czech Republic 
190,164,"14,190",5,1,5,0,0,28,4,2,41,,,,,,,,"Radek Bejbl Position: DF-MF (DM) 185cm, 78kg (6-½, 172lb) Born: August 29, 1972 in Nymburk, Czech Republic cz National Team: Czech Republic cz",Czech Republic 
4,1,99,0,0,0,0,0,0,0,0,,,,,,,,,"František Belej Position: FW Born: February 29, 2000 in Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
71,62,"5,486",4,10,4,0,0,3,0,,14,,,,,,,,"Petr Benát Position: MF 180cm, 78kg (5-10½, 172lb) Born: May 20, 1980 in Děčín, Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
24,23,"2,066",0,0,0,0,0,9,0,,,,,,,,,,"Jan Beneš Position: DF (FB, right) Born: October 24, 1982 in Varnsdorf, Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
280,264,"23,163",20,3,20,0,0,25,3,0,39,0,0,0,0,0,0,0,"Vít Beneš Position: DF (CB) ▪  Footed: Right 185cm, 83kg (6-½, 183lb) Born: August 12, 1988 (Age: 34-012d) in Okres Ústí nad Labem, Czech Republic cz Youth National Team: Czech Republic cz Club: Sigma Olomouc",Czech Republic 
56,26,"2,577",1,3,1,0,0,3,0,0,,,,,,,,,"Michal Beran Position: MF 167cm, 58kg (5-5½, 128lb) Born: August 22, 2000 (Age: 22-002d) in Czech Republic cz Youth National Team: Czech Republic cz Club: Bohemians 1905",Czech Republic 
265,180,"16,740",42,32,40,2,2,15,1,0,143,,,,,,,,"Patrik Berger Position: MF (AM-CM-WM, left) 185cm, 78kg (6-½, 172lb) Born: November 10, 1973 in Prague, Czech Republic cz National Team: Czech Republic cz",Czech Republic 
133,111,"9,586",25,24,21,4,4,26,2,1,88,0,0,0,0,0,0,0,"Tomáš Berger Position: MF 180cm, 67kg (5-10½, 148lb) Born: August 22, 1985 in Prague, Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
138,136,"12,236",0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,"Martin Berkovec Position: GK ▪  Footed: Right 190cm, 83kg (6-2½, 183lb) Born: February 12, 1989 (Age: 33-193d) in Mariánské Lázně, Czech Republic cz Citizenship: Czech Republic cz Club: Zbrojovka Brno",Czech Republic 
37,37,"3,283",1,4,1,0,0,4,1,1,,,,,,,,,"Petra Bertholdová Position: DF-MF 170cm (5-6½) Born: November 24, 1984 (Age: 37-273d) in Chomutov, Czech Republic cz National Team: Czech Republic cz Club: Sparta Prague",Czech Republic 
6,3,336,0,0,0,0,0,0,0,,3,,,,,,,,"Pavel Besta Position: MF (DM) 183cm (6-0) Born: September 2, 1982 in Ostrava, Czech Republic cz Youth National Team: Czech Republic cz",Czech Republic 
13,1,365,0,0,0,0,0,0,0,0,,,,,,,,,"David Bezdička Position: FW Born: July 9, 1996 in Czech Republic cz Citizenship: Czech Republic cz",Czech Republic 
