MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
244,211,"18,630",8,14,6,2,2,46,3,2,135,53,5,109,93,56,0,0,"Daniel A. Pedersen Position: DF-MF (CM-FB) ▪  Footed: Right 185cm, 73kg (6-½, 161lb) Born: July 27, 1992 (Age: 30-028d) in Silkeborg, Denmark dk Youth National Team: Denmark dk Club: Orange County SC",Denmark 
176,130,"12,291",37,25,29,8,10,13,0,0,36,0,0,0,0,0,0,0,"Kim Aabech Kim Engel Aabech Position: MF ▪  Footed: Left 190cm, 84kg (6-2½, 185lb) Born: May 31, 1983 in Birkholm, Denmark dk Citizenship: Denmark dk",Denmark 
49,24,"2,092",3,4,3,0,0,5,0,0,23,2,0,7,10,5,0,0,"Mads Aaquist Position: DF 176cm (5-9) Born: December 31, 1994 (Age: 27-236d) in Herlev, Denmark dk Youth National Team: Denmark dk Club: Fremad Amager",Denmark 
12,3,371,0,0,0,0,0,0,0,0,0,0,0,0,5,3,,,"Jonas Abbew Jonas Jensen Abbew Position: DF Born: April 20, 2002 (Age: 20-126d) Citizenship: Denmark dk Club: HB Køge",Denmark 
1,0,24,0,0,0,0,0,0,0,,,,,,,,,,"Mohammed Abdalas Position: MF 175cm (5-8½) Born: October 26, 1986 in Denmark dk Citizenship: Denmark dk",Denmark 
21,21,"1,890",0,0,0,0,0,0,0,0,,,,,,,,,"Katrine Abel Position: GK Born: June 28, 1990 (Age: 32-057d) National Team: Denmark dk",Denmark 
28,24,"2,038",2,0,2,0,0,1,0,0,,,,,,,,,"Freja Abildå Position: MF Born: May 11, 1998 Youth National Team: Denmark dk",Denmark 
137,104,"9,427",4,3,4,0,0,34,2,2,133,96,1,31,140,75,0,0,"Oliver Abildgaard Position: MF (CM) ▪  Footed: Left 175cm, 66kg (5-8½, 146lb) Born: June 10, 1996 (Age: 26-075d) in Hasseris, Denmark dk National Team: Denmark dk Club: Rubin Kazan",Denmark 
372,292,"25,955",65,40,56,9,10,63,4,1,111,36,8,130,17,39,0,0,"Johan Absalonsen Johan Hindsgaul Absalonsen Position: FW-MF (AM-WM, left) 177cm, 69kg (5-9½, 152lb) Born: September 16, 1985 in Flemløse, Denmark dk National Team: Denmark dk",Denmark 
10,0,201,0,0,0,0,0,0,0,0,,,,,,,,,"Fatima Abu Alful Position: FW Born: February 11, 1993 Citizenship: Denmark dk",Denmark 
