MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
4,4,360,0,0,0,0,0,0,0,0,,,,,,,,,"Abass Abaneh Kader Position: MF Born: October 30, 1987 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Houssein Abchir Position: DF 175cm, 72kg (5-8½, 159lb) Born: June 2, 1984 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
2,0,42,0,0,0,0,0,0,0,0,,,,,,,,,"Omar Abdallah Omar Abdallah Mohamed Position: FW 175cm, 62kg (5-8½, 137lb) Born: October 30, 2002 (Age: 19-298d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: Garde Républicaine FC",Djibouti 
1,0,28,0,0,0,0,0,0,0,0,,,,,,,,,"Faisal Abdi Position: DF Born: October 11, 1985 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
13,11,937,2,0,2,0,0,2,0,0,,,,,,,,,"Hamza Abdi Position: MF 164cm, 64kg (5-4½, 141lb) Born: December 16, 1991 (Age: 30-251d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: FC Dikhil",Djibouti 
1,0,45,0,0,0,0,0,0,0,0,,,,,,,,,"Mahad Abdi Mahad Abdi Abdillahi Position: FW Born: July 11, 1999 (Age: 23-044d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: Garde Républicaine FC",Djibouti 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Moustapha Abdi Moustapha Abdi Osman Position: DF Born: February 8, 1992 (Age: 30-197d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: Garde Républicaine FC",Djibouti 
4,1,127,1,0,1,0,0,0,0,0,,,,,,,,,"Youssouf Abdi Position: MF Born: October 11, 1997 (Age: 24-317d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Ali Sabieh Djibouti Télécom",Djibouti 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Hamza Abdo Osman Position: MF Born: February 1, 1998 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
4,1,136,0,0,0,0,0,0,0,0,,,,,,,,,"Kenedid Abdoulaziz Position: FW Born: November 26, 2002 (Age: 19-271d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: FC Dikhil",Djibouti 
11,10,956,0,0,0,0,0,4,0,0,,,,,,,,,"Haneef Abdulla Position: DF 188cm, 79kg (6-2, 174lb) Born: October 2, 1984 National Team: Djibouti dj",Djibouti 
4,3,249,0,0,0,0,0,0,0,0,,,,,,,,,"Ahmed Adar Souber Position: MF Born: December 31, 1997 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
11,11,942,1,0,1,0,0,3,0,0,,,,,,,,,"Ibrahim Aden Warsama Position: DF Born: May 12, 1998 (Age: 24-104d) National Team: Djibouti dj Club: AS Port",Djibouti 
3,3,270,0,0,0,0,0,1,0,0,,,,,,,,,"Bilal Ahmed Position: GK 193cm (6-3½) Born: April 21, 1993 (Age: 29-125d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: Gendarmerie Nationale FC",Djibouti 
1,0,11,0,0,0,0,0,0,0,0,,,,,,,,,"Houssein Ahmed Mohamed Position: MF Born: January 3, 1990 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
8,8,720,0,0,0,0,0,0,0,0,,,,,,,,,"Mohamed Ali Abdourahman Position: DF 170cm, 74kg (5-6½, 163lb) Born: July 10, 1998 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
2,0,55,0,0,0,0,0,0,0,0,,,,,,,,,"Ibrahim Ali Ibrahim Ali Mohamed Position: DF Born: October 14, 1996 (Age: 25-314d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Arta/Solar7",Djibouti 
5,0,36,0,0,0,0,0,0,0,0,,,,,,,,,"Sabri Ali Sabri Ali Mohamed Position: MF 170cm (5-6½) Born: September 20, 2000 (Age: 21-338d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: FC Dikhil",Djibouti 
1,0,36,0,0,0,0,0,0,0,0,,,,,,,,,"Radwan Aouad Radwan Aouad Daher Position: MF 178cm (5-10) Born: October 4, 1997 (Age: 24-324d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Ali Sabieh Djibouti Télécom",Djibouti 
6,3,333,0,0,0,0,0,0,0,0,,,,,,,,,"Moussa Araita Moussa Araita Hamadou Position: DF 190cm (6-2½) Born: July 24, 1997 (Age: 25-031d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: Garde Républicaine FC",Djibouti 
15,13,"1,095",0,0,0,0,0,2,1,0,,,,,,,,,"Youssouf Batio Position: DF 190cm, 68kg (6-2½, 150lb) Born: November 28, 1991 (Age: 30-269d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Port",Djibouti 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Daoud Bouh Samatar Position: DF 182cm, 78kg (5-11½, 172lb) Born: December 14, 1985 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
6,6,471,0,0,0,0,0,0,0,0,,,,,,,,,"Mohamed Bourhan Mohamed Position: DF Born: May 18, 1998 (Age: 24-098d) National Team: Djibouti dj Club: AS Port",Djibouti 
5,4,336,0,0,0,0,0,1,0,0,,,,,,,,,"Saleh Bourhan Position: MF 180cm (5-10½) Born: December 19, 1996 (Age: 25-248d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Port",Djibouti 
1,0,1,0,,0,0,0,0,0,0,,,,,,,,,"Ahmed Daher Ahmed Hassan Daher Position: FW 182cm (5-11½) Born: October 17, 1982 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
19,19,"1,663",0,0,0,0,0,2,0,0,,,,,,,,,"Wais Daoud Position: DF 180cm, 64kg (5-10½, 141lb) Born: December 6, 1986 (Age: 35-261d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Arta/Solar7",Djibouti 
4,4,337,0,0,0,0,0,0,0,0,,,,,,,,,"Abdoulkader Djama Position: DF Born: January 5, 1994 (Age: 28-231d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: FC Dikhil",Djibouti 
9,8,676,0,0,0,0,0,1,0,0,,,,,,,,,"Darar Djama Aboubaker Position: FW 176cm, 72kg (5-9, 159lb) Born: December 27, 1989 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Hassan Djama Ilyass Position: DF 185cm, 82kg (6-½, 181lb) Born: November 6, 1990 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
3,3,197,1,0,1,0,0,0,0,0,,,,,,,,,"Anas Farah Anas Farah Ali Position: FW ▪  Footed: Right 179cm, 62kg (5-10, 137lb) Born: March 3, 2000 (Age: 22-174d) National Team: Djibouti dj  Other: Norway Club: Moss",Djibouti 
5,2,221,0,0,0,0,0,0,0,0,,,,,,,,,"Abass Fouad Position: DF 169cm (5-6½) Born: November 1, 1999 (Age: 22-296d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Ali Sabieh Djibouti Télécom",Djibouti 
8,6,522,0,0,0,0,0,1,0,0,,,,,,,,,"Mohamed Fouad Position: FW 170cm (5-6½) Born: February 25, 2000 (Age: 22-180d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Port",Djibouti 
1,0,32,0,,0,0,0,0,0,0,,,,,,,,,"Ramzi Galal Taleb Position: FW 174cm, 68kg (5-8½, 150lb) Born: May 9, 1991 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
8,8,720,0,0,0,0,0,0,0,0,,,,,,,,,"Hassan Guedi Position: GK Born: October 2, 1987 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
2,1,107,0,0,0,0,0,0,0,0,,,,,,,,,"Samatar Hassan Djama Position: DF Born: April 19, 1988 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
1,0,19,0,0,0,0,0,0,0,,,,,,,,,,"Ismail Ahmed Kadar Hassan Position: MF (AM) ▪  Footed: Both 176cm, 68kg (5-9, 150lb) Born: May 23, 1987 in Lille, France fr National Team: Djibouti dj  Other: France",Djibouti 
2,2,152,0,,0,0,0,0,0,0,,,,,,,,,"Abdi Hassan Mohamed-Kader Position: DF 182cm, 76kg (5-11½, 168lb) Born: April 2, 1987 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
7,7,589,0,0,0,0,0,0,0,0,,,,,,,,,"Ahmed Hassan Moussa Position: FW Born: September 12, 1998 National Team: Djibouti dj",Djibouti 
2,1,135,0,0,0,0,0,0,0,0,,,,,,,,,"Yassin Hassan Okieh Position: DF Born: February 2, 1988 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
10,9,766,1,0,1,0,1,1,0,0,,,,,,,,,"Warsama Hassan Position: MF 170cm, 64kg (5-6½, 141lb) Born: March 17, 1999 (Age: 23-160d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Arta/Solar7",Djibouti 
12,12,995,1,0,0,1,1,1,0,0,,,,,,,,,"Mahdi Houssein Position: FW 170cm (5-6½) Born: December 20, 1995 (Age: 26-247d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Ali Sabieh Djibouti Télécom",Djibouti 
9,4,403,0,0,0,0,0,0,0,0,,,,,,,,,"Miganeh Houssein Moganeh Position: MF Born: September 21, 1988 in Addis Ababa, Ethiopia et National Team: Djibouti dj  Other: Ethiopia",Djibouti 
5,4,343,0,0,0,0,0,1,0,0,,,,,,,,,"Idriss Ibrahim Position: MF Born: August 6, 1987 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Abdi Idleh Hamza Position: MF Born: December 16, 1991 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
1,0,18,0,0,0,0,0,0,0,0,,,,,,,,,"Mogueh Idriss Position: MF Born: January 1, 2000 (Age: 22-235d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Arta/Solar7",Djibouti 
2,1,51,0,0,0,0,0,0,0,0,,,,,,,,,"Yabeh Idriss Moussa Position: FW Born: September 16, 1997 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
2,1,64,0,0,0,0,0,1,0,0,,,,,,,,,"Haroun Kadamy Haroun Kadamy Youssuf Position: MF 190cm, 74kg (6-2½, 163lb) Born: April 11, 1998 (Age: 24-135d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: UR La Louvière Centre",Djibouti 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"Idriss Kenedid Daher Position: DF Born: July 22, 1997 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
6,6,507,2,0,1,1,1,3,0,0,,,,,,,,,"Mohamed Liban Position: MF 171cm, 67kg (5-7, 148lb) Born: October 30, 1985 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
3,0,96,0,0,0,0,0,0,0,0,,,,,,,,,"Abdourazak Mahamoud Daher Position: FW Born: March 14, 1998 National Team: Djibouti dj",Djibouti 
14,11,932,0,2,0,0,0,1,0,0,,,,,,,,,"Doualeh Mahamoud Position: FW 172cm (5-7½) Born: November 11, 1991 (Age: 30-286d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Arta/Solar7",Djibouti 
1,1,45,0,,0,0,0,0,0,0,,,,,,,,,"Ahmed Mahdi Abdillahi Position: DF Born: June 15, 1982 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
2,1,61,0,0,0,0,0,0,0,0,,,,,,,,,"Faical Mahmoud Houssein Position: DF Born: May 21, 1993 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
11,11,990,0,0,0,0,0,1,0,0,,,,,,,,,"Innocent Mbonihankuye Position: GK 185cm (6-½) Born: November 5, 1996 (Age: 25-292d) National Team: Djibouti dj  Other: Burundi Club: AS Port",Djibouti 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Mohamed Meraneh Position: MF Born: July 29, 1984 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
2,0,76,0,0,0,0,0,1,0,0,,,,,,,,,"Ahmed Mohamed Ahmed Mohamed Aden Position: MF Born: December 4, 1990 (Age: 31-263d) in Djibouti, Djibouti dj National Team: Djibouti dj Club: AS Arta/Solar7",Djibouti 
1,0,20,0,0,0,0,0,0,0,0,,,,,,,,,"Omar Mohamed Ahmed Position: MF Born: December 20, 1997 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
3,3,226,0,0,0,0,0,0,0,0,,,,,,,,,"Mazag Mohamed Hassan Position: MF Born: August 6, 1998 in Djibouti, Djibouti dj National Team: Djibouti dj",Djibouti 
