MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Sham Addi John Sham Addi John Position: FW 182cm, 73kg (5-11½, 161lb) Born: February 15, 1983 in Dominica dm National Team: Dominica dm",Dominica 
5,5,450,0,,0,0,0,0,0,0,,,,,,,,,"Nathaniel Angol Nathaniel Angol Position: GK Born: January 21, 1974 in Dominica dm National Team: Dominica dm",Dominica 
5,4,369,0,0,0,0,0,1,0,0,,,,,,,,,"Prince Austrie Prince Austrie Position: DF Born: November 26, 1974 in Dominica dm National Team: Dominica dm",Dominica 
1,0,7,0,0,0,0,0,0,0,0,,,,,,,,,"Darlton Bannis Position: DF ▪  Footed: Right 188cm, 82kg (6-2, 181lb) Born: July 12, 1986 in Roseau, Dominica dm National Team: Dominica dm",Dominica 
4,1,133,0,,0,0,0,1,0,0,,,,,,,,,"Glen Baptiste Glen John Baptiste Position: MF Born: April 29, 1975 in Dominica dm National Team: Dominica dm",Dominica 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Gregory Bardouille Gregory Bardouille Position: MF Born: March 25, 1973 in Dominica dm National Team: Dominica dm",Dominica 
3,2,208,0,0,0,0,0,0,0,0,,,,,,,,,"Kurlson Benjamin Position: FW 180cm, 73kg (5-10½, 161lb) Born: December 7, 1984 in Roseau, Dominica dm National Team: Dominica dm",Dominica 
4,4,322,0,0,0,0,0,1,1,0,,,,,,,,,"Colin Bernard Position: DF 183cm, 78kg (6-0, 172lb) Born: June 16, 1981 National Team: Dominica dm",Dominica 
12,12,920,1,0,1,0,0,4,0,0,,,,,,,,,"Chad Bertrand Position: MF ▪  Footed: Right 185cm, 67kg (6-½, 148lb) Born: December 19, 1986 (Age: 35-248d) in Roseau, Dominica dm National Team: Dominica dm",Dominica 
6,4,356,0,0,0,0,0,1,0,0,,,,,,,,,"Euclid Bertrand Position: MF Born: July 23, 1974 (Age: 48-032d) National Team: Dominica dm",Dominica 
4,3,243,0,0,0,0,0,0,0,0,,,,,,,,,"Rasheed Bertrand Position: MF 186cm (6-1) Born: November 2, 1982 in Dublanc, Dominica dm National Team: Dominica dm",Dominica 
2,1,147,0,,0,0,0,0,0,0,,,,,,,,,"Terry Bertrand Terry Bertrand Position: DF Born: November 16, 1962 in Dominica dm National Team: Dominica dm",Dominica 
2,0,42,0,0,0,0,0,0,0,0,,,,,,,,,"Marcelus Bonney Marcelus Shane Bonney Position: MF Born: February 16, 2000 (Age: 22-189d) in Goodwill, Dominica dm National Team: Dominica dm",Dominica 
1,1,53,0,0,0,0,0,0,0,0,,,,,,,,,"Marcus Bredas Marcus Bredas Position: DF 192cm, 73kg (6-3½, 161lb) Born: November 29, 2003 (Age: 18-268d) in Pointe Michel, Dominica dm National Team: Dominica dm",Dominica 
