MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
2,2,210,0,0,0,0,0,0,0,0,,,,,,,,,"Edward Acevedo Cruz Edward Arturo Acevedo Cruz Position: DF (FB, left) 163cm (5-4) Born: December 10, 1985 in Santo Domingo, Dominican Republic do National Team: Dominican Republic do",Dominican Republic 
3,2,225,0,0,0,0,0,0,0,0,,,,,,,,,"Wellington Agramonte Wellington Agramonte de los Santos Position: GK 195cm, 86kg (6-4½, 190lb) Born: February 12, 1987 in Santo Domingo, Dominican Republic do National Team: Dominican Republic do",Dominican Republic 
1,0,45,0,1,0,0,0,0,0,0,,,,,,,,,"Kevin Almosny Kevin Almosny Rossiter Position: FW 175cm, 78kg (5-8½, 172lb) Born: February 22, 1993 in Santo Domingo, Dominican Republic do National Team: Dominican Republic do",Dominican Republic 
4,4,357,0,,0,0,0,0,0,0,,,,,,,,,"Samuel Álvarez Samuel Álvarez Position: MF Born: April 29, 1977 in Dominican Republic do National Team: Dominican Republic do",Dominican Republic 
1,0,23,0,,0,0,0,0,0,0,,,,,,,,,José Amezquita Position: GK Born: (Date unknown) in Dominican Republic do National Team: Dominican Republic do,Dominican Republic 
1,1,57,0,0,0,0,0,0,0,0,,,,,,,,,"Juan Ángeles Position: FW 165cm (5-4½) Born: October 16, 2000 (Age: 21-312d) in Moca, Dominican Republic do National Team: Dominican Republic do Club: Moca FC",Dominican Republic 
6,6,540,1,,1,0,0,0,0,0,,,,,,,,,"Pedro Aquino Pedro Aquino Position: FW Born: August 1, 1977 in Dominican Republic do National Team: Dominican Republic do",Dominican Republic 
4,3,214,0,,0,0,0,0,0,0,,,,,,,,,"Samuel Arias Samuel Arias Position: MF Born: October 21, 1984 in Dominican Republic do National Team: Dominican Republic do",Dominican Republic 
2,2,112,1,0,1,0,0,0,0,0,,,,,,,,,"Mia Asenjo Mia Gale Asenjo Position: FW Born: February 7, 2003 in Dominican Republic do National Team: Dominican Republic do",Dominican Republic 
37,27,"2,273",6,4,6,0,0,12,1,1,12,3,0,3,2,5,0,0,"Edison Azcona Edison Alexander Azcona Velez Position: FW Born: November 21, 2003 (Age: 18-276d) in United States us National Team: Dominican Republic do  Other: United States Club: El Paso Locomotive Wages: $65,500 Annual Expires December 2022. Via Capology.",Dominican Republic 
