MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,0,86,0,0,0,0,0,0,0,0,,,,,,,,,"Xavier Abril Xavier Nicolás Abril Aguilar Position: MF Born: February 14, 1992 in Cuenca, Ecuador ec Citizenship: Ecuador ec",Ecuador 
466,454,"40,438",19,4,19,0,0,139,19,4,133,14,0,0,20,20,0,0,"Gabriel Achilier Gabriel Eduardo Achilier Zurita Position: DF (CB) ▪  Footed: Right 180cm, 83kg (5-10½, 183lb) Born: March 24, 1985 (Age: 37-153d) in Machala, Ecuador ec National Team: Ecuador ec Club: Orense Sporting Club",Ecuador 
10,10,813,0,0,0,0,0,0,0,0,,,,,,,,,"Cristian Acosta Cristian Andrés Acosta Congo Position: DF Born: October 4, 1994 Citizenship: Ecuador ec",Ecuador 
1,0,12,0,0,0,0,0,0,0,0,,,,,,,,,"Néicer Acosta Néicer Aldhair Acosta Méndez Position: MF 174cm, 62kg (5-8½, 137lb) Born: December 12, 2002 in Ibarra, Ecuador ec Youth National Team: Ecuador ec",Ecuador 
3,3,270,0,0,0,0,0,1,0,0,3,,,,,,,,"Nancy Aguilar Position: DF 164cm (5-4½) Born: July 6, 1985 in Quevedo, Ecuador ec National Team: Ecuador ec",Ecuador 
13,3,474,0,0,0,0,0,0,0,,,,,,,,,,"Álex Aguinaga Alex Darío Aguinaga Garzón Position: MF (AM) 172cm, 69kg (5-7½, 152lb) Born: July 9, 1968 in Ibarra, Ecuador ec National Team: Ecuador ec",Ecuador 
13,5,460,0,0,0,0,0,2,1,1,,,,,,,,,"Manuel Aguirre Manuel Enrique Aguirre Barrera Position: MF Born: January 2, 1998 (Age: 24-234d) Citizenship: Ecuador ec Club: Deportivo Cuenca",Ecuador 
15,11,897,3,0,3,0,0,1,0,0,,,,,,,,,"Marthina Aguirre Marthina Simonne Aguirre Alarcon Position: MF Born: January 25, 2001 (Age: 21-211d) National Team: Ecuador ec",Ecuador 
2,2,90,0,0,0,0,0,0,0,0,,,,,,,,,"Samuel Aguirre Samuel Ezequiel Aguirre Betancourt Position: MF Born: July 28, 1997 in Guayaquil, Ecuador ec Citizenship: Ecuador ec",Ecuador 
149,146,"13,034",8,0,8,0,0,43,3,0,,,,,,,,,"Darío Aimar Position: DF (CB) 187cm, 71kg (6-1½, 157lb) Born: January 5, 1995 (Age: 27-231d) in Esmeraldas, Ecuador ec National Team: Ecuador ec Club: Barcelona",Ecuador 
2,2,90,0,0,0,0,0,0,0,0,,,,,,,,,"Rafael Alava Rafael Giovanny Alava Mero Position: FW Born: March 31, 1998 in Guayaquil, Ecuador ec Citizenship: Ecuador ec",Ecuador 
45,35,"3,057",13,2,13,0,0,2,1,0,,,,,,,,,"Carlos Alberto Juárez Carlos Alberto Juárez Devico Position: FW 191cm, 92kg (6-3, 203lb) Born: April 24, 1972 in Argentina ar National Team: Ecuador ec",Ecuador 
2,1,97,0,0,0,0,0,0,0,0,,,,,,,,,"Ariel Alcívar Ariel Fernando Alcívar Sánchez Position: MF Born: January 28, 2001 (Age: 21-208d) Citizenship: Ecuador ec Club: Deportivo Cuenca",Ecuador 
79,53,"4,742",4,5,4,0,1,13,0,0,9,13,0,19,17,6,0,0,"Jordy Alcivar Jordy José Alcívar Macías Position: MF (DM) ▪  Footed: 94% Right* 168cm (5-6) Born: August 5, 1999 (Age: 23-019d) National Team: Ecuador ec Club: Charlotte FC Wages: $235,000 Annual Expires December 2025. Via Capology.",Ecuador 
51,39,"3,175",0,0,0,0,0,8,0,0,19,,,,,,,,"Ridder Alcívar Position: DF ▪  Footed: Right 183cm (6-0) Born: March 13, 1994 in Guayaquil, Ecuador ec Citizenship: Ecuador ec",Ecuador 
86,55,"4,572",11,3,9,2,3,7,0,0,17,3,0,14,1,3,0,0,"Christian Alemán Position: MF Born: February 5, 1996 (Age: 26-200d) in Guayaquil, Ecuador ec Citizenship: Ecuador ec Club: Arka Gdynia",Ecuador 
4,0,103,1,,1,0,0,1,0,0,,,,,,,,,"Ronaldo Alencastro Position: MF Born: January 15, 1995 Citizenship: Ecuador ec",Ecuador 
7,5,333,0,0,0,0,0,0,0,0,,,,,,,,,"Joel Almache Joel Alirio Almache Hidalgo Position: DF Born: February 20, 1998 (Age: 24-185d) in Quito, Ecuador ec Citizenship: Ecuador ec Club: Cumbayá FC",Ecuador 
18,2,486,0,1,0,0,0,1,0,0,,,,,,,,,"Jhon Almagro Jhon Jairon Almagro Caicedo Position: DF Born: November 7, 1998 Citizenship: Ecuador ec",Ecuador 
4,2,144,0,0,0,0,0,2,0,0,,,,,,,,,"Jorge Almagro Jorge Ariel Almagro Albán Position: DF 171cm, 68kg (5-7, 150lb) Born: February 14, 2001 (Age: 21-191d) in Quito, Ecuador ec Citizenship: Ecuador ec Club: Cumbayá FC",Ecuador 
60,38,"3,415",12,5,12,0,1,5,0,0,,,,,,,,,"Jostin Alman Jostin Aldahir Alman Herrera Position: FW Born: May 11, 1995 (Age: 27-105d) in Guayaquil, Ecuador ec Citizenship: Ecuador ec Club: Delfín",Ecuador 
1,0,15,0,0,0,0,0,0,0,0,,,,,,,,,"Diego Almeida Diego Almeida Crespo Position: DF Born: February 12, 2004 (Age: 18-193d) in Rubí, Spain es National Team: Ecuador ec  Other: Spain Club: Barcelona",Ecuador 
20,11,929,1,2,1,0,0,0,0,0,,,,,,,,,"Jalmar Almeida Jalmar Johan Almeida Márquez Position: MF Born: January 29, 1999 (Age: 23-207d) Citizenship: Ecuador ec Club: Deportivo Cuenca",Ecuador 
109,75,"6,796",12,13,10,2,3,16,0,0,2,10,0,2,2,2,0,0,"Alexander Alvarado Position: MF 165cm, 59kg (5-4½, 130lb) Born: April 21, 1999 (Age: 23-125d) in Quevedo, Ecuador ec National Team: Ecuador ec Club: LDU Quito",Ecuador 
2,0,12,0,0,0,0,0,0,0,0,,,,,,,,,"Carlos Alvarado Carlos Elías Alvarado Calderón Position: MF Born: March 4, 2001 (Age: 21-173d) Citizenship: Ecuador ec Club: Universidad Catolica (Ecu)",Ecuador 
39,33,"2,932",5,0,5,0,0,5,1,0,,,,,,,,,"Miguel Álvarez Miguel Ángel Álvarez Cobeña Position: MF Born: March 7, 1995 Citizenship: Ecuador ec",Ecuador 
4,0,92,0,0,0,0,0,0,0,0,,,,,,,,,"Miguel Álvarez Zambrano Miguel Alesandro Álvarez Zambrano Position: FW Born: January 6, 1989 in Quito, Ecuador ec Citizenship: Ecuador ec",Ecuador 
2,0,22,0,0,0,0,0,0,0,0,,,,,,,,,"Pablo Amaya Position: FW Born: July 5, 2001 Citizenship: Ecuador ec",Ecuador 
191,147,"14,700",10,6,10,0,0,33,1,0,8,,,,,,,,"Paúl Ambrosi Vicente Paúl Ambrosi Zambrano Position: DF (FB) 177cm, 69kg (5-9½, 152lb) Born: October 14, 1980 in Guaranda, Ecuador ec National Team: Ecuador ec",Ecuador 
3,3,147,0,0,0,0,0,0,0,0,,,,,,,,,Prado Amilton Prado Amilton Citizenship: Ecuador ec,Ecuador 
3,1,145,0,0,0,0,0,0,0,0,,,,,,,,,"Wilminton Anchico Wilminton Ericsson Anchico Toaza Position: MF Born: August 14, 1997 Citizenship: Ecuador ec",Ecuador 
172,108,"10,128",17,11,16,1,2,35,4,0,8,,,,,,,,"Omar Andrade Omar Santiago Andrade Teran Position: MF 174cm, 69kg (5-8½, 152lb) Born: June 16, 1986 in Ibarra, Ecuador ec Citizenship: Ecuador ec",Ecuador 
300,295,"26,006",21,11,21,0,0,28,0,0,,,,,,,,,"Marcos Andrés López Position: DF (FB, right) 168cm, 59kg (5-6, 130lb) Born: February 4, 1993 (Age: 29-201d) in Cuenca, Ecuador ec National Team: Ecuador ec Club: LDU Quito",Ecuador 
1,0,22,0,0,0,0,0,0,0,0,,,,,,,,,"Víctor Andrés Mendoza Víctor Andrés Mendoza Mendoza Position: FW Born: March 14, 1999 Citizenship: Ecuador ec",Ecuador 
203,132,"12,033",67,3,55,12,15,14,0,0,39,55,11,12,12,10,,,"Brayan Angulo Brayan Angulo Tenorio Position: FW 173cm, 71kg (5-8, 157lb) Born: November 30, 1995 (Age: 26-267d) in Guayaquil, Ecuador ec National Team: Ecuador ec Club: Santos",Ecuador 
11,4,380,1,0,1,0,0,1,0,0,,,,,,,,,"Byron Angulo Byron Andrés Angulo Grueso Position: MF Born: October 16, 1996 (Age: 25-312d) Citizenship: Ecuador ec Club: Gualaceo Sporting Club",Ecuador 
15,7,657,0,0,0,0,0,1,0,0,,,,,,,,,"Cristopher Angulo Cristopher Adonis Angulo Caicedo Position: DF Born: October 9, 2000 (Age: 21-319d) in Guayaquil, Ecuador ec Citizenship: Ecuador ec Club: Macará",Ecuador 
236,183,"16,437",68,7,62,6,7,79,7,2,58,2,2,0,0,0,,,"Daniel Angulo Daniel Patricio Angulo Arroyo Position: FW ▪  Footed: Right 180cm, 84kg (5-10½, 185lb) Born: November 16, 1986 in Esmeraldas, Ecuador ec National Team: Ecuador ec",Ecuador 
1,1,90,1,1,1,0,0,1,0,0,,,,,,,,,"Gino Angulo Gino Ricardo Angulo Bones Position: MF Born: May 24, 2000 Citizenship: Ecuador ec",Ecuador 
2,1,105,0,0,0,0,0,1,0,0,,,,,,,,,"Jahir Angulo Jahir Alexander Angulo Quiñónez Position: MF Born: November 25, 2000 Citizenship: Ecuador ec",Ecuador 
303,165,"16,365",31,15,29,2,3,28,1,0,24,30,6,93,9,16,1,0,"Julio Angulo Julio Eduardo Angulo Medina Position: FW-MF 180cm, 78kg (5-10½, 172lb) Born: May 28, 1990 (Age: 32-088d) in Guayaquil, Ecuador ec Citizenship: Ecuador ec Club: Orense Sporting Club",Ecuador 
17,8,754,0,0,0,0,0,4,1,0,,,,,,,,,"Marco Angulo Marco Antonio Angulo Solórzano Position: MF 176cm, 64kg (5-9, 141lb) Born: May 8, 2002 (Age: 20-108d) in Esmeraldas, Ecuador ec Youth National Team: Ecuador ec Club: Independiente del Valle",Ecuador 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"Miller Angulo Miller Carlos Angulo Bazán Position: DF Born: May 28, 1993 in Guayaquil, Ecuador ec Citizenship: Ecuador ec",Ecuador 
27,18,"1,474",4,2,4,0,0,4,2,0,1,0,0,0,0,0,,,"Nilson Angulo Nilson David Angulo Ramírez Position: MF Born: June 19, 2003 (Age: 19-066d) National Team: Ecuador ec Club: Anderlecht",Ecuador 
8,4,457,0,0,0,0,0,2,0,0,,,,,,,,,"S. Angulo Saimon Daiquer Angulo Caicedo Position: MF Born: March 12, 1994 in Guayaquil, Ecuador ec Citizenship: Ecuador ec",Ecuador 
3,3,229,0,0,0,0,0,1,0,0,,,,,,,,,"Tamara Angulo Tamara Arelis Angulo Cuero Position: DF 169cm, 60kg (5-6½, 132lb) Born: February 11, 1998 in Guayaquil, Ecuador ec National Team: Ecuador ec",Ecuador 
151,84,"8,285",34,7,33,1,1,15,1,0,15,,,,,,,,"Vinicio Angulo Vinicio Cesar Angulo Pata Position: FW 189cm, 79kg (6-2, 174lb) Born: July 26, 1988 (Age: 34-029d) in Guayaquil, Ecuador ec Citizenship: Ecuador ec Club: Guayaquil City",Ecuador 
44,24,"2,380",4,0,4,0,0,8,1,1,,,,,,,,,"John Antonio García John Antonio García Figueroa Position: MF 177cm (5-9½) Born: October 17, 1976 in Machala, Ecuador ec Citizenship: Ecuador ec",Ecuador 
2,1,105,0,1,0,0,0,0,0,0,,,,,,,,,"Belén Aragón María Belén Aragón Leyton Position: MF Born: March 26, 1995 (Age: 27-151d) National Team: Ecuador ec",Ecuador 
109,108,"9,674",0,0,0,0,0,13,0,0,,,,,,,,,"Rorys Aragón Rorys Andrés Aragón Espinoza Position: GK 188cm, 86kg (6-2, 190lb) Born: June 28, 1982 in Guayaquil, Ecuador ec National Team: Ecuador ec",Ecuador 
1,0,4,0,0,0,0,0,0,0,0,,,,,,,,,Yonis Aragón Yonis Luis Aragón Bautista Citizenship: Ecuador ec,Ecuador 
33,32,"2,925",0,0,0,0,0,3,0,0,0,,,,,,,,"Cristian Arana Cristian Jonathan Arana Hurtado Position: GK 191cm (6-3) Born: August 3, 1988 in Río Verde, Ecuador ec Citizenship: Ecuador ec",Ecuador 
41,12,"1,359",3,0,3,0,0,3,0,0,,,,,,,,,"Abel Araújo Cortéz Abel Alexánder Araújo Cortéz Position: FW 174cm, 71kg (5-8½, 157lb) Born: January 15, 1994 in San Lorenzo, Ecuador ec Citizenship: Ecuador ec",Ecuador 
44,8,"1,308",2,1,2,0,0,1,0,0,4,,,,,,,,"Freddy Araujo FREDDY UBEIMAN ARAUJO ARAUJO Position: MF 178cm (5-10) Born: September 10, 1993 in Guayaquil, Ecuador ec Citizenship: Ecuador ec",Ecuador 
403,397,"35,122",3,0,3,0,0,83,8,3,16,,,,,,,,"Norberto Araujo Norberto Carlos Araujo López Position: DF (CB) 184cm, 82kg (6-0, 181lb) Born: October 13, 1978 in Rosario, Argentina ar National Team: Ecuador ec  Other: Argentina",Ecuador 
