MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
463,419,"37,208",12,6,12,0,0,103,7,1,491,4,0,1,1,1,0,0,"Adam El-Abd Adam Mohamad El-Abd Position: DF (CB) ▪  Footed: Right 180cm, 87kg (5-10½, 192lb) Born: September 11, 1984 in Brighton, England, United Kingdom eng National Team: Egypt eg  Other: England",Egypt 
46,42,"3,706",3,5,3,0,0,6,1,,,,,,,,,,"Hosny Abd Rabo Hosny Abd Rabo Abd El Motaleb Ibrahim حسني عبد ربه Position: MF (DM) ▪  Footed: Right 175cm (5-8½) Born: November 1, 1984 in Ismailia, Egypt eg National Team: Egypt eg",Egypt 
2,0,35,0,,0,0,0,0,0,0,,,,,,,,,"Sami El-Abd Position: DF Born: January 1, 1988 (Age: 34-235d) Citizenship: Egypt eg Club: Dorking Wanderers FC",Egypt 
4,1,138,0,0,0,0,0,0,0,,,,,,,,,,"Mazhar Abdel Rahman Mohamed Mazhar Abdel Rahman Position: FW Born: November 11, 1976 in Cairo, Egypt eg National Team: Egypt eg",Egypt 
6,4,320,0,0,0,0,0,0,0,,,,,,,,,,"Mahmoud Abdel-Aati Mahmoud Abdel-Aati Mohamed محمود عبد العاطي Position: DF ▪  Footed: Right 185cm (6-½) Born: January 1, 1992 (Age: 30-235d) in Egypt eg National Team: Egypt eg Club: Arab Contractors",Egypt 
241,231,"20,020",8,16,8,0,0,68,4,,,,,,,,,,"Ayman Abdel-Aziz Aymen Mohamed Abdellaziz أيمن عبد العزيز Position: MF 178cm, 69kg (5-10, 152lb) Born: November 20, 1978 in Egypt eg National Team: Egypt eg",Egypt 
1,1,61,0,0,0,0,0,0,0,0,,,,,,,,,"Ahmed Abdel-Ghani Ahmed Said Ahmed Hossam Abdel-Ghani أحمد عبد الغني Position: FW 185cm (6-½) Born: December 1, 1981 in Al Minyā, Egypt eg National Team: Egypt eg",Egypt 
3,2,160,0,,0,0,,0,0,0,,,,,,,,,"Gamal Abdel-Hameed Gamal Abdelhamid جمال عبد الحميد Position: FW-MF (AM) 171cm (5-7) Born: November 24, 1957 in Cairo, Egypt eg National Team: Egypt eg",Egypt 
1,0,1,0,,0,0,0,0,0,0,,,,,,,,,"Ibrahim Abdel-Khaleq إبراهيم عبد الخالق Position: MF (WM, right) 177cm (5-9½) Born: April 20, 1986 (Age: 36-126d) in Alexandria, Egypt eg National Team: Egypt eg Club: Ghazl El Mahalla",Egypt 
83,81,"7,264",0,11,0,0,0,4,0,0,18,17,1,57,48,18,0,2,"Mohamed Abdel-Shafy محمد عبد الشافي Position: DF (FB, left) ▪  Footed: Left 179cm, 74kg (5-10, 163lb) Born: July 1, 1985 (Age: 37-054d) in Cairo, Egypt eg National Team: Egypt eg Club: Zamalek",Egypt 
