MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
4,2,154,0,0,0,0,0,1,0,0,,,,,,,,,"Jonathan Águila Jonathan Josué Águila Joya Position: FW 172cm, 73kg (5-7½, 161lb) Born: November 11, 1990 in San Miquel, El Salvador sv National Team: El Salvador sv",El Salvador 
1,0,1,0,,0,0,0,0,0,0,,,,,,,,,"Mario Aguilar Mario Edgardo Aguilar Posadas Position: DF-MF 177cm (5-9½) Born: July 31, 1984 in Metapán, El Salvador sv National Team: El Salvador sv",El Salvador 
19,15,"1,403",0,0,0,0,0,4,1,1,,,,,,,,,"Dennis Alas Dennis Jonathan Alas Morales Position: MF ▪  Footed: Right 173cm, 71kg (5-8, 157lb) Born: January 10, 1985 in San Salvador, El Salvador sv National Team: El Salvador sv",El Salvador 
3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Harold Alas Position: FW 181cm, 77kg (5-11, 170lb) Born: September 19, 1989 in San Salvador, El Salvador sv National Team: El Salvador sv",El Salvador 
8,1,192,0,0,0,0,0,0,0,,0,,,,,,,,"Jaime Alas Jaime Enrique Alas Morales Position: MF (AM) ▪  Footed: Left 168cm, 68kg (5-6, 150lb) Born: July 30, 1989 (Age: 33-025d) in San Salvador, El Salvador sv National Team: El Salvador sv Club: CSD Municipal",El Salvador 
10,9,733,0,,0,0,0,2,0,0,,,,,,,,,"José Alexander Amaya José Alexander Amaya del Cid Position: MF 183cm (6-0) Born: January 4, 1975 in San Salvador, El Salvador sv National Team: El Salvador sv",El Salvador 
1,1,35,0,0,0,0,0,1,0,0,,,,,,,,,"Fabricio Alfaro Fabricio Heriberto Alfaro Torres Position: MF 170cm, 63kg (5-6½, 139lb) Born: December 3, 1990 (Age: 31-264d) in San Salvador, El Salvador sv National Team: El Salvador sv Club: CD Águila",El Salvador 
1,0,13,0,,0,0,,0,0,0,,,,,,,,,"Mauricio Alfaro Mauricio Alberto Alfaro Valladares Position: FW-MF 181cm (5-11) Born: February 13, 1956 National Team: El Salvador sv",El Salvador 
3,3,254,0,,0,0,,0,0,0,,,,,,,,,"Mauricio Alonso Rodríguez Mauricio Alonso Rodríguez Lindo Position: MF 172cm, 72kg (5-7½, 159lb) Born: September 12, 1945 in San Salvador, El Salvador sv National Team: El Salvador sv",El Salvador 
325,187,"17,309",43,37,42,1,1,31,0,0,231,42,6,161,34,58,1,1,"Arturo Alvarez Jose Arturo Alvarez Hernandez Position: FW-MF (AM-WM) ▪  Footed: Left 175cm, 68kg (5-8½, 150lb) Born: June 28, 1985 in Houston, Texas, United States us National Team: El Salvador sv  Other: United States Draft: San Jose Earthquakes, 2nd round (13th overall), 2003 MLS Draft",El Salvador 
2,0,111,0,0,0,0,0,1,0,0,,,,,,,,,"Nicolle Amaya Andrea Nicolle Amaya Villalta Position: DF Born: February 16, 2003 (Age: 19-189d) in El Salvador, El Salvador sv National Team: El Salvador sv",El Salvador 
1,1,76,0,0,0,0,0,0,0,0,,,,,,,,,"Ashley Anaya Ashley Kristin Anaya Webb Position: FW Born: June 22, 1995 (Age: 27-063d) in El Salvador, El Salvador sv National Team: El Salvador sv",El Salvador 
10,10,900,3,0,3,0,0,0,0,0,,,,,,,,,"Luis Anaya Luis Alonso Anaya Merino Position: DF (CB) 181cm, 68kg (5-11, 150lb) Born: May 19, 1981 in San José Guayabal, El Salvador sv National Team: El Salvador sv",El Salvador 
2,0,103,0,,0,0,,0,0,0,,,,,,,,,"Miguel Ángel Díaz Miguel Ángel Díaz Arévalo Position: DF-FW 179cm, 72kg (5-10, 159lb) Born: January 27, 1957 in Chalatenango, El Salvador sv National Team: El Salvador sv",El Salvador 
4,3,259,0,0,0,0,0,1,0,0,,,,,,,,,"José Ángel Peña Position: FW 186cm, 76kg (6-1, 168lb) Born: December 10, 1994 (Age: 27-257d) in San Salvador, El Salvador sv National Team: El Salvador sv Club: CD Platense Municipal Zacatecoluca",El Salvador 
10,10,900,0,,0,0,0,0,0,0,,,,,,,,,"Raúl Antonio García Raúl Antonio García Herrera Position: GK Born: September 13, 1962 in San Miquel, El Salvador sv National Team: El Salvador sv",El Salvador 
3,2,156,0,,0,0,,0,0,0,,,,,,,,,"Ernesto Aparicio Ernesto Hugo Aparicio Position: FW Born: December 28, 1948 in San Salvador, El Salvador sv National Team: El Salvador sv",El Salvador 
2,1,101,0,,0,0,0,0,0,0,,,,,,,,,"Reynaldo Argueta Reynaldo Romeo Argueta Position: FW Born: May 11, 1972 in El Salvador, El Salvador sv National Team: El Salvador sv",El Salvador 
5,4,377,0,0,0,0,0,0,0,0,,,,,,,,,"Óscar Arroyo Position: GK ▪  Footed: Right 182cm, 78kg (5-11½, 172lb) Born: January 28, 1990 (Age: 32-208d) in Santa Ana, El Salvador sv National Team: El Salvador sv Club: A.D. Isidro Metapán",El Salvador 
