MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
1,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,"Trustin van 't Loo Trustin van 't Loo Position: FW Born: May 25, 2004 (Age: 18-089d) Citizenship: Netherlands nl Club: Heerenveen",Netherlands 
83,59,"5,429",8,,8,0,,3,1,0,,,,,,,,,"John van 't Schip Johannes Nicolaas van ’t Schip Position: FW-MF (AM-WM) 182cm (5-11½) Born: December 30, 1963 in British Columbia, Canada ca National Team: Netherlands nl",Netherlands 
126,109,"9,831",3,8,3,0,0,20,2,,82,,,,,,,,"Gerard Aafjes Position: DF (CB) 181cm, 78kg (5-11, 172lb) Born: January 27, 1985 in Gemeente De Ronde Venen, Netherlands nl Citizenship: Netherlands nl",Netherlands 
,,,,,,,,,,,,,,,,,,,"Levi Aalders Position: GK Born: September 21, 2001 Citizenship: Netherlands nl",Netherlands 
357,340,"29,965",28,26,27,1,2,37,1,0,200,78,34,417,265,187,0,1,"Patrick van Aanholt Patrick John Miguel van Aanholt Position: DF (FB, left) ▪  Footed: 80% Left* 175cm, 67kg (5-8½, 148lb) Born: August 29, 1990 (Age: 31-358d) in Gemeente 's-Hertogenbosch, Netherlands nl National Team: Netherlands nl Club: Galatasaray Twitter: @_PvA_official Instagram: @patrickvanaanholt",Netherlands 
4,3,303,0,0,0,0,0,1,0,0,,,,,,,,,"Fabiënne Aarts Position: DF Born: June 25, 1999 Citizenship: Netherlands nl",Netherlands 
5,5,405,0,0,0,0,0,0,0,,,,,,,,,,"Randy Ababio Position: DF 170cm (5-6½) Born: October 8, 1996 in Amsterdam, Netherlands nl Citizenship: Netherlands nl",Netherlands 
8,3,323,0,0,0,0,0,0,0,0,,,,,,,,,"Ilham Abali Position: MF ▪  Footed: Left Born: February 19, 2002 Youth National Team: Netherlands nl",Netherlands 
71,44,"4,114",5,10,5,0,0,12,0,0,,,,,,,,,"Yassine Abdellaoui Position: FW-MF 180cm (5-10½) Born: June 21, 1975 in Gemeente 's-Hertogenbosch, Netherlands nl Citizenship: Netherlands nl",Netherlands 
169,146,"13,448",4,10,4,0,0,18,2,1,65,44,2,107,151,86,0,0,"Dirk Abels Position: DF (FB, right) 179cm, 74kg (5-10, 163lb) Born: June 13, 1997 (Age: 25-070d) in Netherlands nl Citizenship: Netherlands nl Club: Sparta Rotterdam",Netherlands 
58,44,"3,852",1,2,1,0,0,4,0,0,41,32,2,49,65,39,,,"Abdallah Aberkane Position: DF Born: May 5, 2000 Citizenship: Netherlands nl",Netherlands 
3,0,25,0,0,0,0,0,0,0,,2,,,,,,,,"Nabil Abidallah Position: MF (WM) 170cm (5-6½) Born: August 5, 1982 in Amsterdam, Netherlands nl Youth National Team: Netherlands nl",Netherlands 
6,0,79,0,0,0,0,0,0,0,0,4,1,0,2,2,0,,,"Nassim El Ablak Position: MF ▪  Footed: Right 178cm, 73kg (5-10, 161lb) Born: January 7, 2000 (Age: 22-227d) in Harderwijk, Netherlands nl Citizenship: Netherlands nl Club: SV DVS '33",Netherlands 
89,82,"7,266",1,11,1,0,0,17,0,0,87,78,3,114,101,102,0,0,"Amir Absalem Position: DF (FB, left) Born: June 19, 1997 in Netherlands nl Citizenship: Netherlands nl",Netherlands 
181,94,"9,623",34,16,32,2,2,13,0,0,71,33,1,28,6,5,0,0,"Anass Achahbar Position: FW-MF ▪  Footed: Left 174cm, 72kg (5-8½, 159lb) Born: January 13, 1994 (Age: 28-221d) in The Hague, Netherlands nl Youth National Team: Netherlands nl Club: Sepsi Sfântu Gheorghe",Netherlands 
72,56,"4,785",10,12,10,0,0,1,0,0,42,98,5,145,31,50,,,"Hicham Acheffay Position: FW-MF Born: August 10, 2000 (Age: 22-012d) Citizenship: Netherlands nl Club: De Graafschap",Netherlands 
14,4,489,0,0,0,0,0,0,0,,10,,,,,,,,"Giorgio Achterberg Position: MF 180cm (5-10½) Born: February 1, 1990 in The Hague, Netherlands nl Citizenship: Netherlands nl",Netherlands 
157,156,"13,865",0,0,0,0,0,4,0,,0,,,,,,,,"John Achterberg Position: GK 189cm, 83kg (6-2, 183lb) Born: July 8, 1971 in Gemeente Utrecht, Netherlands nl Citizenship: Netherlands nl",Netherlands 
144,89,"8,184",14,19,14,0,0,15,1,0,29,0,0,0,0,0,0,0,"Elton Acolatse Elton-Ofoi Acolatse Position: FW-MF (AM-WM) ▪  Footed: Right 182cm, 76kg (5-11½, 168lb) Born: July 25, 1995 (Age: 27-028d) in Amsterdam, Netherlands nl Youth National Team: Netherlands nl Club: Bursaspor",Netherlands 
3,2,174,0,0,0,0,0,1,0,,,,,,,,,,"Michiel Adams Position: FW Born: February 15, 1973 in Westervelde, Netherlands nl Citizenship: Netherlands nl",Netherlands 
