MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
12,7,618,0,1,0,0,0,0,0,0,,,,,,,,,"Ibrahim Abdoul Aziz Position: DF Born: March 15, 1996 (Age: 26-161d) National Team: Niger ne Club: AS GNN",Niger 
1,1,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,"Issah Abdoulaye Issah Abdoulaye Salou Position: MF Born: February 4, 1999 (Age: 23-200d) National Team: Niger ne Club: Randers",Niger 
1,1,51,0,,0,0,0,0,0,0,,,,,,,,,"Ibrahim Adamou Ibrahim 'Benjamin' Adamou Position: MF ▪  Footed: Right 169cm, 59kg (5-6½, 130lb) Born: January 1, 1994 in Niamèy, Niger ne National Team: Niger ne",Niger 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Ismaël Alassane Ismaël Eragae Alassane Position: DF (CB-FB, right) 187cm, 78kg (6-1½, 172lb) Born: April 3, 1984 in Niamey, Niger ne National Team: Niger ne",Niger 
7,6,513,1,0,1,0,0,0,0,0,,,,,,,,,"Yacouba Ali Position: FW-MF 173cm, 64kg (5-8, 141lb) Born: April 6, 1992 in Niamey, Niger ne National Team: Niger ne",Niger 
4,4,360,0,0,0,0,0,0,0,0,,,,,,,,,"Moussa Alzouma Moussa Alhassane Alzouma Position: GK 185cm, 72kg (6-½, 159lb) Born: September 30, 1982 in Dosso, Niger ne National Team: Niger ne",Niger 
4,3,256,0,0,0,0,0,0,0,0,,,,,,,,,"Kader Amadou Amadou Kader Position: DF (CB-FB, right) ▪  Footed: Right 185cm, 74kg (6-½, 163lb) Born: April 5, 1989 in Niamey, Niger ne National Team: Niger ne",Niger 
2,0,9,0,0,0,0,0,0,0,0,,,,,,,,,"Ousseini Badamassi Ousseini Soumaila Badamassi Position: MF 181cm, 68kg (5-11, 150lb) Born: April 21, 1997 (Age: 25-124d) in Niamèy, Niger ne National Team: Niger ne Club: AS GNN",Niger 
70,64,"5,663",1,2,1,0,0,9,1,0,0,0,0,0,0,0,0,0,"Olivier Bonnes Olivier Harouna Bonnes Position: MF (DM) 187cm, 73kg (6-1½, 161lb) Born: February 7, 1990 in Niamey, Niger ne National Team: Niger ne",Niger 
10,5,529,0,0,0,0,0,2,0,0,,,,,,,,,"Issoufou Boubacar Garba Position: FW-MF 168cm (5-6) Born: February 2, 1990 in Niamey, Niger ne National Team: Niger ne",Niger 
2,0,11,0,0,0,0,0,0,0,0,,,,,,,,,"Salam Boulhassane Abdoul Salam Boulhassane Position: FW ▪  Footed: Right 183cm, 76kg (6-0, 168lb) Born: January 18, 2001 (Age: 21-217d) National Team: Niger ne",Niger 
3,2,213,0,0,0,0,0,0,0,0,,,,,,,,,"Jhimmy Bulus Jhimmy Akaiji Bulus Position: MF Born: October 22, 1986 National Team: Niger ne",Niger 
17,17,"1,480",0,0,0,0,0,5,1,1,,,,,,,,,"Mohamed Chikoto Mohamed Francisco Chikoto Position: DF (CB) 178cm (5-10) Born: February 28, 1989 in Parakou, Benin bj National Team: Niger ne  Other: Benin",Niger 
24,17,"1,458",4,1,4,0,0,0,0,0,,,,,,,,,"Mahamane Cissé Position: MF 180cm, 74kg (5-10½, 163lb) Born: December 27, 1993 (Age: 28-239d) in Ansongo, Mali ml National Team: Niger ne  Other: Mali Club: AS Otohô",Niger 
27,27,"2,412",0,0,0,0,0,7,1,1,,,,,,,,,"Koffi Dan Kowa Position: DF-MF (CB-DM) 180cm (5-10½) Born: September 19, 1989 in Accra, Ghana gh National Team: Niger ne  Other: Ghana",Niger 
8,3,302,2,0,2,0,0,1,0,0,,,,,,,,,"Kamilou Daouda Position: FW 170cm, 64kg (5-6½, 141lb) Born: December 29, 1987 (Age: 34-237d) in Agadez, Niger ne National Team: Niger ne Club: Coton Sport FC de Garoua",Niger 
45,45,"4,050",0,0,0,0,0,5,0,0,,,,,,,,,"Kassaly Daouda Position: GK 191cm, 81kg (6-3, 179lb) Born: August 19, 1983 (Age: 39-004d) in Niamey, Niger ne National Team: Niger ne Club: Spotlight FC",Niger 
