MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
33,10,"1,225",0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,"Emil Abaz Position: FW ▪  Footed: Right 175cm, 69kg (5-8½, 152lb) Born: January 17, 1998 (Age: 24-218d) in Skopje, North Macedonia mk Youth National Team: North Macedonia mk Club: Rupel Boom",North Macedonia 
4,2,183,0,0,0,0,0,1,0,,9,,,,,,,,"Xhelil Abdulla Position: DF (CB) 190cm, 84kg (6-2½, 185lb) Born: September 25, 1991 (Age: 30-332d) in Tetovo, North Macedonia mk National Team: North Macedonia mk Club: FK Shkupi",North Macedonia 
158,100,"9,543",29,11,28,1,1,20,0,0,3,,,,,,,,"Besart Abdurahimi Position: FW-MF ▪  Footed: Right 178cm, 68kg (5-10, 150lb) Born: July 31, 1990 in Croatia hr National Team: North Macedonia mk  Other: Croatia",North Macedonia 
274,219,"19,707",21,6,21,0,0,43,1,0,0,0,0,0,0,0,0,0,"Arijan Ademi Position: MF (DM) ▪  Footed: 83% Right* 183cm, 78kg (6-0, 172lb) Born: May 29, 1991 (Age: 31-086d) in Šibenik Općina, Croatia hr National Team: North Macedonia mk  Other: Croatia Club: Dinamo Zagreb",North Macedonia 
9,2,222,0,0,0,0,0,1,0,,10,,,,,,,,"Betim Aliju Position: DF 177cm (5-9½) Born: March 17, 1989 in Skopje, North Macedonia mk Youth National Team: North Macedonia mk",North Macedonia 
77,65,"5,496",4,7,4,0,0,10,1,,21,,,,,,,,"Armend Alimi Position: MF (CM) 180cm, 73kg (5-10½, 161lb) Born: December 11, 1987 (Age: 34-255d) in Kumanovo, North Macedonia mk National Team: North Macedonia mk",North Macedonia 
240,206,"18,163",47,40,38,9,9,48,0,0,225,258,67,771,142,255,1,2,"Ezgjan Alioski Езѓан Алиоски Position: DF-FW-MF (AM-FB, left) ▪  Footed: 91% Left* 172cm, 64kg (5-7½, 141lb) Born: February 12, 1992 (Age: 30-192d) in Prilep, North Macedonia mk National Team: North Macedonia mk Club: Fenerbahçe Twitter: @ezgjanalioski Instagram: @gjanni.alioski",North Macedonia 
14,6,609,1,0,1,0,0,1,0,,1,,,,,,,,"Marjan Altiparmakovski Марјан Алтипармаковски Position: FW ▪  Footed: Right 184cm, 77kg (6-0, 170lb) Born: July 18, 1991 (Age: 31-036d) in North Macedonia mk Youth National Team: North Macedonia mk Club: FK Bregalnica Štip",North Macedonia 
88,85,"7,440",3,8,3,0,0,22,0,0,,,,,,,,,"Aleksa Amanović Position: DF 187cm (6-1½) Born: October 24, 1996 (Age: 25-303d) in Belgrade, Serbia rs Youth National Team: North Macedonia mk Club: FC Tobol",North Macedonia 
15,15,"1,278",2,2,1,1,2,1,0,0,,,,,,,,,"Nataša Andonova Position: FW-MF (AM) 169cm (5-6½) Born: December 4, 1993 (Age: 28-262d) in Negotino, North Macedonia mk National Team: North Macedonia mk Club: Levante UD",North Macedonia 
4,4,360,0,,0,0,0,1,0,0,,,,,,,,,"Sijce Andonova Position: DF-MF 174cm (5-8½) Born: November 27, 1992 in Negotino, North Macedonia mk National Team: North Macedonia mk",North Macedonia 
4,4,327,0,,0,0,0,1,0,0,,,,,,,,,"Lenche Andreevska Position: MF Born: August 13, 1992 in North Macedonia mk National Team: North Macedonia mk",North Macedonia 
55,22,"2,072",3,2,3,0,0,6,1,0,,0,0,0,0,0,0,0,"Viktor Angelov Position: FW 180cm, 72kg (5-10½, 159lb) Born: March 27, 1994 in Kreisfreie Stadt Dortmund, Germany de National Team: North Macedonia mk  Other: Germany",North Macedonia 
11,10,908,0,0,0,0,0,3,0,0,,,,,,,,,"Maja Angelovska Position: MF Born: February 12, 1994 (Age: 28-192d) National Team: North Macedonia mk Club: Olimpija",North Macedonia 
28,23,"2,085",0,0,0,0,0,5,0,0,,,,,,,,,"Filip Antovski Position: DF ▪  Footed: Left 174cm, 64kg (5-8½, 141lb) Born: November 24, 2000 (Age: 21-272d) Youth National Team: North Macedonia mk Club: Istra 1961",North Macedonia 
2,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Besfort Arifi Besfort Arifi Position: DF Born: May 7, 2002 Youth National Team: North Macedonia mk",North Macedonia 
7,5,433,0,0,0,0,0,2,0,,13,,,,,,,,"Shkumbin Arsllani Position: DF 187cm (6-1½) Born: February 27, 1980 in North Macedonia mk National Team: North Macedonia mk",North Macedonia 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Milka Arsova Position: DF Born: May 5, 1989 National Team: North Macedonia mk",North Macedonia 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Olgica Arsova Position: GK Born: November 25, 1995 National Team: North Macedonia mk",North Macedonia 
37,22,"1,896",7,1,7,0,0,2,0,0,1,3,0,7,1,2,,,"Jasir Asani Јасир Асани Position: FW ▪  Footed: Right 173cm, 62kg (5-8, 137lb) Born: May 19, 1995 (Age: 27-096d) in Skopje, North Macedonia mk Youth National Team: North Macedonia mk  Other: Albania Club: Kisvárda",North Macedonia 
198,138,"11,780",26,11,26,0,0,25,0,0,18,0,0,0,0,0,0,0,"Stefan Aškovski Position: DF-FW-MF (FB, left) ▪  Footed: Left 179cm, 69kg (5-10, 152lb) Born: February 24, 1992 (Age: 30-180d) in Skopje, North Macedonia mk National Team: North Macedonia mk Club: Sepsi Sfântu Gheorghe",North Macedonia 
50,21,"2,172",3,0,3,0,0,4,0,0,1,2,0,0,0,0,0,0,"Jani Atanasov Position: MF Born: October 31, 1999 (Age: 22-296d) National Team: North Macedonia mk Club: Hajduk Split",North Macedonia 
2,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Stankica Atanasova Position: DF Born: September 13, 1994 National Team: North Macedonia mk",North Macedonia 
76,52,"4,662",4,5,4,0,0,8,0,0,28,23,0,80,30,24,0,0,"Daniel Avramovski Position: MF ▪  Footed: Right 184cm, 69kg (6-0, 152lb) Born: February 20, 1995 (Age: 27-184d) in Skopje, North Macedonia mk National Team: North Macedonia mk Club: FK Sarajevo",North Macedonia 
155,68,"6,329",9,5,9,0,0,10,1,0,17,22,1,53,10,14,0,0,"David Babunski Давид Бабунски Position: MF (AM-WM) ▪  Footed: Right 174cm, 68kg (5-8½, 150lb) Born: March 1, 1994 (Age: 28-175d) in Skopje, North Macedonia mk National Team: North Macedonia mk Club: Debrecen",North Macedonia 
107,42,"4,421",22,0,19,3,3,10,0,0,,,,,,,,,"Dorian Babunski Дориан Бабунски Христовски Position: FW 185cm, 78kg (6-½, 172lb) Born: August 29, 1996 (Age: 25-359d) in Skopje, North Macedonia mk National Team: North Macedonia mk Club: Debrecen",North Macedonia 
1,0,18,0,,0,0,0,0,0,0,,,,,,,,,Toni Bahduziev Position: MF National Team: North Macedonia mk,North Macedonia 
41,24,"2,087",8,2,7,1,1,6,0,,,,,,,,,,"Aleksandar Bajevski Position: FW 182cm (5-11½) Born: December 8, 1979 in Skopje, North Macedonia mk National Team: North Macedonia mk",North Macedonia 
122,83,"7,749",5,8,5,0,0,14,0,0,61,30,1,98,49,91,0,0,"Eldis Bajrami Position: MF ▪  Footed: Left 172cm, 62kg (5-7½, 137lb) Born: December 12, 1992 (Age: 29-254d) in Austria at Youth National Team: North Macedonia mk  Other: Austria Club: FCM Traiskirchen",North Macedonia 
52,36,"3,400",9,4,9,0,0,2,0,,,,,,,,,,"Zoran Baldovaliev Зоран Балдовалиев Position: FW ▪  Footed: Right 184cm, 77kg (6-0, 170lb) Born: March 4, 1983 in Strumica, North Macedonia mk Citizenship: North Macedonia mk",North Macedonia 
5,5,425,1,0,1,0,0,3,0,,20,,,,,,,,"Toni Banduliev Position: MF Born: October 8, 1980 Citizenship: North Macedonia mk",North Macedonia 
227,168,"15,461",45,18,42,3,3,34,1,0,242,226,20,167,114,131,2,2,"Enis Bardhi Енис Барди Position: MF (CM-WM) ▪  Footed: 84% Right* 172cm, 62kg (5-7½, 137lb) Born: July 2, 1995 (Age: 27-052d) in Skopje, North Macedonia mk National Team: North Macedonia mk Club: Levante",North Macedonia 
58,56,"4,919",0,0,0,0,0,4,0,,,,,,,,,,"Naum Batkoski Position: MF 181cm (5-11) Born: May 17, 1978 in North Macedonia mk National Team: North Macedonia mk",North Macedonia 
22,16,"1,487",0,0,0,0,0,4,0,0,11,10,0,23,18,11,0,0,"Egzon Bejtulai Position: DF 182cm, 78kg (5-11½, 172lb) Born: January 7, 1994 (Age: 28-228d) in Tetovo, North Macedonia mk National Team: North Macedonia mk Club: FK Shkëndija",North Macedonia 
67,62,"5,430",3,3,3,0,0,11,0,0,67,0,0,0,0,0,0,0,"Egzon Belica Position: DF ▪  Footed: Right 188cm, 77kg (6-2, 170lb) Born: September 3, 1990 (Age: 31-354d) Citizenship: North Macedonia mk Club: FK Partizani Tirana",North Macedonia 
42,42,"3,698",0,0,0,0,0,4,1,,,,,,,,,,"Martin Bogatinov Мартин Богатинов Position: GK ▪  Footed: Right 189cm, 79kg (6-2, 174lb) Born: April 26, 1986 (Age: 36-119d) in Kratovo, North Macedonia mk National Team: North Macedonia mk",North Macedonia 
67,57,"4,530",2,0,2,0,0,6,0,0,,,,,,,,,"Nikola Bogdanovski Position: MF 179cm (5-10) Born: January 25, 1999 (Age: 23-210d) in Pančevo, Serbia rs Citizenship: North Macedonia mk  Other: Serbia Club: Radnik Surdulica",North Macedonia 
2,0,21,0,0,0,0,0,0,0,0,,,,,,,,,"Besmir Bojku Position: MF 176cm, 67kg (5-9, 148lb) Born: January 3, 1995 (Age: 27-232d) in Skopje, North Macedonia mk National Team: North Macedonia mk Club: FK Struga Trim-Lum",North Macedonia 
5,4,405,0,,0,0,0,0,0,0,,,,,,,,,"Shkjipe Bojku Position: FW Born: September 21, 1997 National Team: North Macedonia mk",North Macedonia 
13,9,800,0,0,0,0,0,1,0,0,,,,,,,,,"Ane Bošeska Position: DF Born: July 13, 1997 (Age: 25-041d) National Team: North Macedonia mk Club: Istatov",North Macedonia 
2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,"Matthew Bozinovski Position: DF Born: January 5, 2001 (Age: 21-230d) Youth National Team: North Macedonia mk  Other: Australia Club: Wellington Phoenix",North Macedonia 
43,38,"3,074",2,1,2,0,0,10,1,,83,,,,,,,,"Aguinaldo Braga Aguinaldo Braga de Jesus Position: DF-MF 171cm (5-7) Born: August 9, 1974 in Moeda, Brazil br National Team: North Macedonia mk",North Macedonia 
14,11,981,0,0,0,0,0,4,1,,,,,,,,,,"Vladica Brdarovski Владица Брдаровски Position: DF (FB, right) ▪  Footed: Right 183cm, 71kg (6-0, 157lb) Born: February 7, 1990 (Age: 32-197d) in North Macedonia mk National Team: North Macedonia mk Club: FK Shkupi",North Macedonia 
43,23,"1,925",5,2,5,0,0,5,0,,3,,,,,,,,"Dragan Čadikovski Position: FW 190cm, 83kg (6-2½, 183lb) Born: January 13, 1982 in Belgrade, Serbia rs National Team: North Macedonia mk",North Macedonia 
