MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
57,47,"4,470",2,1,2,0,0,8,0,0,,,,,,,,,"Kamilla Aabel Position: DF Born: June 27, 1996 (Age: 26-057d) Citizenship: Norway no Club: Arna-Bjørnar",Norway 
43,19,"1,890",11,1,11,0,0,0,0,0,,,,,,,,,"Anna Aahjem Anna Nerland Aahjem Position: MF Born: January 19, 2000 (Age: 22-216d) Citizenship: Norway no Club: Lyn",Norway 
14,8,740,0,0,0,0,0,4,0,,,,,,,,,,"Marius Aam Position: DF Born: November 14, 1980 Citizenship: Norway no",Norway 
4,4,359,0,,0,0,0,0,0,0,,,,,,,,,"Marianne Aamot Linaker Position: DF 167cm (5-5½) Born: October 26, 1982 Citizenship: Norway no",Norway 
16,8,642,1,0,1,0,0,0,0,0,,,,,,,,,"Live Aandal Position: FW Born: May 9, 1996 Citizenship: Norway no",Norway 
68,56,"5,311",3,1,3,0,0,11,1,,,,,,,,,,"Vegard Aanestad Position: DF 185cm, 78kg (6-½, 172lb) Born: June 12, 1987 in Stavanger, Norway no Citizenship: Norway no",Norway 
277,274,"24,509",15,8,15,0,1,43,0,,,,,,,,,,"Alexander Aas Position: DF (FB, right) 184cm, 84kg (6-0, 185lb) Born: September 14, 1978 in Skien, Norway no National Team: Norway no",Norway 
3,3,257,0,1,0,0,0,0,0,0,,,,,,,,,"Sigrid Aas Sigrid Kristina Rediun Aas Position: FW Born: February 10, 1997 (Age: 25-194d) Citizenship: Norway no Club: Arna-Bjørnar",Norway 
28,2,435,1,0,1,0,0,4,0,0,9,6,0,3,0,4,,,"Syver Aas Syver Aas Position: MF Born: January 15, 2004 (Age: 18-220d) Citizenship: Norway no Club: Odd",Norway 
131,126,"10,905",6,19,6,0,0,13,0,0,64,45,5,646,91,86,0,0,"Christoffer Aasbak Position: DF (FB, left) 187cm, 81kg (6-1½, 179lb) Born: July 22, 1993 (Age: 29-032d) in Trondheim, Norway no Citizenship: Norway no Club: Kristiansund",Norway 
20,10,930,1,0,1,0,0,2,0,0,7,0,0,0,0,0,0,0,"Daniel Aase Position: FW-MF 181cm, 79kg (5-11, 174lb) Born: June 22, 1989 in Kristiansand, Norway no Citizenship: Norway no",Norway 
21,11,"1,046",0,3,0,0,0,1,0,,,,,,,,,,"Gunnar Aase Position: MF (WM, right) Born: September 29, 1971 in Norway no National Team: Norway no",Norway 
2,0,2,0,0,0,0,0,0,0,0,,,,,,,,,"Kaja Aasly Haartveit Kaja Aasly Haartveit Position: MF Born: May 26, 2000 (Age: 22-089d) Citizenship: Norway no Club: Stabæk",Norway 
169,136,"12,146",13,5,13,0,0,34,1,0,159,51,3,108,43,72,0,0,"Stian Aasmundsen Position: MF (CM) ▪  Footed: Right 175cm, 72kg (5-8½, 159lb) Born: November 2, 1989 (Age: 32-294d) in Tønsberg, Norway no Citizenship: Norway no Club: Eik-Tønsberg",Norway 
1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Adan Abadala Hussein Position: FW Born: October 13, 2002 (Age: 19-314d) Youth National Team: Norway no  Other: Somalia Club: Florø SK",Norway 
197,164,"13,606",69,14,64,5,5,13,0,0,145,0,0,0,0,0,0,0,"Mohammed Abdellaoue محمد عبد اللاوي Position: FW ▪  Footed: Left 182cm, 82kg (5-11½, 181lb) Born: October 23, 1985 in Oslo, Norway no National Team: Norway no",Norway 
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Jonas El-Abdellaoui Jonas El-Abdellaoui Position: FW Born: January 12, 2006 (Age: 16-223d) Citizenship: Norway no Club: Vålerenga",Norway 
138,102,"8,824",20,18,20,0,1,20,3,1,86,0,0,0,0,0,0,0,"Liban Abdi Position: FW-MF (WM, left) ▪  Footed: Both 182cm, 72kg (5-11½, 159lb) Born: October 5, 1988 in Burco, Somalia so Citizenship: Norway no  Other: Somalia",Norway 
88,70,"6,003",16,3,14,2,3,8,0,0,,,,,,,,,"Meryll Abrahamsen Meryll Krysteen Abrahamsen Position: DF Born: July 20, 1997 (Age: 25-034d) Citizenship: Norway no Club: Arna-Bjørnar",Norway 
45,36,"3,264",19,,17,2,2,1,0,0,,,,,,,,,"Julie Adserø Julie Skjeflo Adserø Position: MF Born: March 24, 1991 Citizenship: Norway no",Norway 
18,1,227,0,0,0,0,0,1,0,0,4,3,0,0,1,3,0,0,"Oscar Aga Position: FW Born: January 6, 2001 (Age: 21-229d) Youth National Team: Norway no Club: Elfsborg",Norway 
81,35,"3,197",10,5,10,0,0,3,0,0,18,0,0,0,0,0,0,0,"Torbjørn Agdestein Position: FW ▪  Footed: Right 186cm, 81kg (6-1, 179lb) Born: November 29, 1991 in Stord, Norway no Youth National Team: Norway no",Norway 
