MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
10,10,900,2,,2,0,0,3,0,0,,,,,,,,,"Edgardo Abdala Edgardo Smith Abdala Montero Position: DF-MF (DM) 184cm, 83kg (6-0, 183lb) Born: July 1, 1978 in Monte Águila, Chile cl National Team: Palestine ps  Other: Chile",Palestine 
11,9,603,0,0,0,0,0,3,0,0,19,0,1,7,10,8,,,"Joaquín Abdala Joaquín Edgardo-Sebastian Julio Abdala Position: MF Born: January 19, 2000 (Age: 22-216d) in Chile, Chile cl National Team: Palestine ps  Other: Chile Club: Trasandino de Los Andes",Palestine 
1,0,12,0,,0,0,0,0,0,0,,,,,,,,,"Wasim Abdalhadi Wasim Mohammed Saleh Abdalhadi Position: FW Born: January 1, 1982 National Team: Palestine ps  Other: Lebanon",Palestine 
2,0,29,0,,0,0,0,0,0,0,,,,,,,,,"Iyad Abu Gharqoud Position: FW 178cm (5-10) Born: July 22, 1988 (Age: 34-032d) National Team: Palestine ps Club: Shabab Al-Khalil SC",Palestine 
10,3,250,0,0,0,0,0,1,0,0,3,4,4,3,0,4,,,"Nicolás Abu Ghosh Nicolás Alberto Zedán Abu Ghosh Position: FW Born: June 7, 2000 (Age: 22-077d) in Chile, Chile cl National Team: Palestine ps  Other: Chile Club: CD Recoleta",Palestine 
3,2,208,0,,0,0,0,1,0,0,,,,,,,,,"Ihab Abu Jazar Ihab Mahmoud Hamed Abu Jazar Position: DF 187cm (6-1½) Born: September 1, 1980 National Team: Palestine ps",Palestine 
8,4,319,6,0,6,0,0,0,0,0,,,,,,,,,"Ahmad Abu Nahyeh אחמד אבו נהיה Position: FW ▪  Footed: Both 173cm, 72kg (5-8, 159lb) Born: July 7, 1991 in Umm el Faḥm, Israel il National Team: Palestine ps  Other: Israel",Palestine 
1,0,13,0,0,0,0,0,0,0,0,,,,,,,,,"Mohammed Abu Ras Position: MF Born: May 1, 1996 National Team: Palestine ps  Other: Israel",Palestine 
3,2,225,0,0,0,0,0,1,0,0,,,,,,,,,"Ala'a Abu Saleh עלאא אבו סאלח Position: DF (CB) ▪  Footed: Right 180cm, 81kg (5-10½, 179lb) Born: June 25, 1987 in Sakhnīn, Israel il National Team: Palestine ps  Other: Israel",Palestine 
,,,,,,,,,,,,,,,,,,,"Ali Abu-Alfa Position: FW Born: August 28, 1999 (Age: 22-360d) Youth National Team: Palestine ps  Other: Germany Club: Energie Cottbus",Palestine 
3,2,195,0,,0,0,0,1,0,0,,,,,,,,,"Osama Abualia Osama K. M. Abualia Position: DF Born: July 11, 1974 National Team: Palestine ps",Palestine 
3,3,236,0,,0,0,0,0,0,0,,,,,,,,,"Atef Abubelal Atef Y. S. Abubelal Position: MF Born: May 2, 1984 National Team: Palestine ps",Palestine 
2,2,172,0,,0,0,0,0,0,0,,,,,,,,,"Ahlam Abueed Ahlam A. M. Abueed Position: MF Born: April 3, 1999 National Team: Palestine ps",Palestine 
15,11,929,1,0,1,0,0,0,0,0,,,,,,,,,"Abdulhamid Abuhabib Abdulhamid Farouk Mohammed Abuhabib Position: MF 172cm (5-7½) Born: August 6, 1989 National Team: Palestine ps",Palestine 
3,1,94,0,0,0,0,0,0,0,0,,,,,,,,,"Mousa Abujazar Mousa Mahmoud Hamad Abujazar Position: DF ▪  Footed: Left 178cm, 78kg (5-10, 172lb) Born: August 25, 1987 National Team: Palestine ps",Palestine 
2,0,10,0,0,0,0,0,0,0,0,,,,,,,,,"Ahmed Abukhadija Ahmed Ali Ibrahim Abukhadija Position: MF Born: January 16, 1996 (Age: 26-219d) National Team: Palestine ps",Palestine 
2,1,163,0,0,0,0,0,0,0,0,,,,,,,,,"Mohammed Abukhamis Mohammed H. N. Abukhamis Position: DF 175cm, 74kg (5-8½, 163lb) Born: May 25, 1991 in Nazareth, Israel il National Team: Palestine ps  Other: Israel",Palestine 
3,3,270,0,0,0,0,0,2,0,0,,,,,,,,,"Mohammed Abumayyala Mohammed Nidal Mohammed Abumayyala Position: DF ▪  Footed: Right 170cm, 67kg (5-6½, 148lb) Born: February 19, 1995 (Age: 27-185d) in Jerusalem, Israel il National Team: Palestine ps  Other: Israel Club: Hilal Al-Quds Club",Palestine 
2,0,17,0,0,0,0,0,0,0,0,,,,,,,,,"Adham Aburawees Adham Abdalraouf Suleiman Aburawees Position: FW Born: August 11, 1990 National Team: Palestine ps",Palestine 
10,6,574,0,0,0,0,0,1,0,0,,,,,,,,,"Husam Abusalah Husam Ibrahim Ahmed Abusalah Position: DF ▪  Footed: Left 177cm, 73kg (5-9½, 161lb) Born: September 5, 1982 in Sakhnīn, Israel il National Team: Palestine ps  Other: Israel",Palestine 
2,1,106,0,,0,0,0,0,0,0,,,,,,,,,"Ammar Abuseleisel Ammar S. S. Abuseleisel Position: DF Born: March 10, 1984 National Team: Palestine ps",Palestine 
9,9,760,0,,0,0,0,5,0,0,,,,,,,,,"Majed Abusidu Majed M. M. Abusidu Position: DF 182cm (5-11½) Born: December 24, 1985 National Team: Palestine ps  Other: Kuwait",Palestine 
10,8,628,1,2,1,0,0,3,1,1,,,,,,,,,"Mahmoud Abuwarda Mahmoud Naser Mahmoud Abuwarda Position: MF ▪  Footed: Right 175cm, 66kg (5-8½, 146lb) Born: May 31, 1995 (Age: 27-084d) National Team: Palestine ps Club: Hilal Al-Quds Club",Palestine 
8,7,630,0,,0,0,0,1,0,0,,,,,,,,,"Patricio Acevedo Position: MF 179cm, 76kg (5-10, 168lb) Born: April 9, 1978 National Team: Palestine ps  Other: Chile",Palestine 
181,162,"14,373",35,24,34,1,2,29,1,1,96,38,5,41,39,45,0,0,"Nazmi Albadawi Position: MF (AM) 180cm, 74kg (5-10½, 163lb) Born: August 24, 1991 (Age: 30-364d) in Raleigh, North Carolina, United States us National Team: Palestine ps  Other: United States",Palestine 
22,22,"1,980",0,0,0,0,0,0,0,0,,,,,,,,,"Tawfiq Ali Tawfiq Ali Abu Hammad Position: GK ▪  Footed: Right 199cm, 84kg (6-6, 185lb) Born: November 8, 1990 (Age: 31-288d) National Team: Palestine ps Club: Markaz Shabab Al-Am'ari",Palestine 
4,4,360,3,,3,0,0,2,0,0,,,,,,,,,"Murad Alyan Position: FW 185cm (6-½) Born: December 7, 1977 in Jerusalem, Israel il National Team: Palestine ps  Other: Israel",Palestine 
16,13,"1,113",3,,3,0,0,3,0,0,,,,,,,,,"Taysir Amer Taysir Sami Mahmoud Amer Position: FW Born: January 26, 1977 National Team: Palestine ps",Palestine 
16,11,958,2,0,2,0,0,5,0,0,,,,,,,,,"Ismail Al Amour Ismail S. A. Al Amour Position: FW Born: October 2, 1984 National Team: Palestine ps",Palestine 
34,12,"1,364",1,3,1,0,0,6,0,,44,,,,,,,,"Shaker Asad Shaker Suleiman Asad Position: MF 170cm (5-6½) Born: August 18, 1979 in Gaza, Palestine ps National Team: Palestine ps Draft: New England Revolution, 3rd round (31st overall), 2000 MLS Draft (from NC State)",Palestine 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Nahed Al Ashqar Nahed M. M. Al Ashqar Position: MF 188cm, 74kg (6-2, 163lb) Born: April 2, 1972 National Team: Palestine ps",Palestine 
1,0,41,0,,0,0,0,0,0,0,,,,,,,,,"Shaker Assad Shaker Suleiman S. Assad Position: DF 170cm, 63kg (5-6½, 139lb) Born: August 18, 1979 National Team: Palestine ps",Palestine 
6,4,260,1,,1,0,0,2,1,1,,,,,,,,,"Fahed Attal فهد عتال Position: FW ▪  Footed: Right 180cm, 76kg (5-10½, 168lb) Born: January 1, 1985 in Qalqīlyah, Palestine ps National Team: Palestine ps",Palestine 
13,13,"1,102",1,,1,0,0,5,0,0,,,,,,,,,"Francisco Atura Francisco Alam Atura Position: DF Born: August 1, 1979 National Team: Palestine ps  Other: Chile",Palestine 
159,97,"8,499",29,16,29,0,1,8,0,0,9,5,0,3,0,4,0,0,"Ahmed Awad Position: FW 181cm, 71kg (5-11, 157lb) Born: June 1, 1992 (Age: 30-083d) in Tiberias, Israel il National Team: Palestine ps  Other: Israel Club: Dalkurd",Palestine 
1,1,76,0,,0,0,0,0,0,0,,,,,,,,,"Akram Al Ayadi Position: FW Born: March 11, 1982 National Team: Palestine ps",Palestine 
1,0,21,0,,0,0,0,0,0,0,,,,,,,,,"Bahaa Badrasawi Bahaa J. I. Badrasawi Position: DF Born: November 10, 1981 National Team: Palestine ps",Palestine 
7,7,630,0,0,0,0,0,2,0,0,,,,,,,,,"Abdallatif Al Bahdari Abdallatif Mohammad Suleiman Al Bahdari Position: DF ▪  Footed: Right 188cm, 84kg (6-2, 185lb) Born: February 20, 1984 (Age: 38-184d) National Team: Palestine ps Club: Shabab Al-Khalil SC",Palestine 
36,36,"3,239",7,1,5,2,2,7,1,1,2,0,0,0,4,3,0,0,"Abdelatif Bahdari Abdelatif Al-Bahdari عبد اللطيف البهداري Position: DF (CB) 188cm (6-2) Born: February 20, 1984 in Palestine, Palestine ps National Team: Palestine ps",Palestine 
2,1,111,0,,0,0,0,0,0,0,,,,,,,,,"Fadi Bakroon Position: FW Born: October 2, 1982 National Team: Palestine ps",Palestine 
4,1,122,0,0,0,0,0,0,0,0,,,,,,,,,"Mohammed Balah Mohammed Majed Mohammed Balah Position: FW 188cm, 88kg (6-2, 194lb) Born: September 4, 1993 (Age: 28-353d) National Team: Palestine ps Club: El Masry",Palestine 
,,,,,,,,,,,,,,,,,,,"Liam Barakat Position: GK Born: September 24, 2003 (Age: 18-333d) Citizenship: Palestine ps  Other: Germany Club: Unterhaching",Palestine 
1,1,74,0,,0,0,0,0,0,0,,,,,,,,,"Ihmeidan Barbakh Ihmeidan Yahya E. Barbakh Position: DF Born: January 1, 1978 National Team: Palestine ps",Palestine 
14,7,674,1,2,1,0,0,0,0,0,,,,,,,,,"Islam Batran Islam Mohamed Mousa Batran Position: FW 176cm, 69kg (5-9, 152lb) Born: October 1, 1994 (Age: 27-326d) National Team: Palestine ps",Palestine 
