MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,3,270,0,1,0,0,0,0,0,0,,,,,,,,,"Emmanuel Airem Emmanuel Airem Position: DF 184cm, 79kg (6-0, 174lb) Born: November 21, 1994 (Age: 27-275d) National Team: Papua New Guinea pg Club: Toti City FC",Papua New Guinea 
7,3,340,2,0,2,0,0,0,0,0,,,,,,,,,"Patrick Aisa Position: FW Born: July 6, 1994 (Age: 28-048d) in Port Moresby, Papua New Guinea pg National Team: Papua New Guinea pg",Papua New Guinea 
2,1,76,0,0,0,0,0,0,0,0,,,,,,,,,"Richard Alois Position: FW 174cm, 63kg (5-8½, 139lb) Born: October 17, 1995 in Wewak, Papua New Guinea pg National Team: Papua New Guinea pg",Papua New Guinea 
5,5,437,0,,0,0,0,1,0,0,,,,,,,,,"Georgina Bakani Georgina Rova Bakani Position: DF Born: December 6, 1996 National Team: Papua New Guinea pg",Papua New Guinea 
2,0,104,0,0,0,0,0,0,0,0,,,,,,,,,"Roland Bala Position: DF 179cm, 68kg (5-10, 150lb) Born: September 18, 1990 in Kavieng, Papua New Guinea pg National Team: Papua New Guinea pg",Papua New Guinea 
12,8,853,1,0,1,0,0,0,0,0,,,,,,,,,"Rayleen Bauelua Position: FW Born: January 11, 1995 (Age: 27-224d) National Team: Papua New Guinea pg",Papua New Guinea 
3,0,40,0,0,0,0,0,0,0,0,,,,,,,,,"Obert Bika Position: MF Born: May 11, 1993 (Age: 29-104d) in Papua New Guinea pg National Team: Papua New Guinea pg Club: Toti City FC",Papua New Guinea 
5,5,450,1,,1,0,0,0,0,0,,,,,,,,,"Sandra Birum Position: MF Born: June 6, 1992 (Age: 30-078d) National Team: Papua New Guinea pg",Papua New Guinea 
1,0,1,0,,0,0,0,0,0,0,,,,,,,,,"Teresah Boie Position: MF Born: July 10, 1995 National Team: Papua New Guinea pg",Papua New Guinea 
52,37,"3,197",8,5,8,0,0,2,0,0,,,,,,,,,"David Browne Position: FW ▪  Footed: Right 175cm, 64kg (5-8½, 141lb) Born: December 27, 1995 (Age: 26-239d) in Port Moresby, Papua New Guinea pg National Team: Papua New Guinea pg Club: HJK Helsinki",Papua New Guinea 
11,11,944,4,0,4,0,0,3,0,0,,,,,,,,,"Nigel Dabingyaba Position: FW ▪  Footed: Right 175cm, 74kg (5-8½, 163lb) Born: October 26, 1992 in Lae, Papua New Guinea pg National Team: Papua New Guinea pg",Papua New Guinea 
1,0,24,0,0,0,0,0,0,0,0,,,,,,,,,"Mathew David Mathew David Position: FW Born: August 17, 1994 (Age: 28-006d) National Team: Papua New Guinea pg",Papua New Guinea 
3,1,94,0,0,0,0,0,0,0,0,,,,,,,,,"Arnolda Dou Arnolda Dou Position: FW Born: December 20, 2001 (Age: 20-246d) National Team: Papua New Guinea pg",Papua New Guinea 
1,0,4,0,,0,0,0,0,0,0,,,,,,,,,"Elizabeth Elizah Position: MF Born: January 9, 1996 National Team: Papua New Guinea pg",Papua New Guinea 
6,2,198,2,0,2,0,0,0,0,0,,,,,,,,,"Sonia Emhabe Sonia Emhabe Position: FW Born: October 23, 1995 (Age: 26-304d) National Team: Papua New Guinea pg",Papua New Guinea 
15,14,"1,204",3,1,3,0,0,1,0,0,,,,,,,,,"Michael Foster Position: MF 180cm, 71kg (5-10½, 157lb) Born: September 5, 1985 (Age: 36-352d) in Lae, Papua New Guinea pg National Team: Papua New Guinea pg Club: PRK Hekari United",Papua New Guinea 
11,9,653,3,0,3,0,0,1,0,0,,,,,,,,,"Yvonne Gabong Yvonne Molong Gabong Position: MF Born: August 29, 1996 (Age: 25-359d) National Team: Papua New Guinea pg",Papua New Guinea 
3,3,210,0,,0,0,0,0,0,0,,,,,,,,,"Stephanie Gani Position: DF Born: February 18, 1993 National Team: Papua New Guinea pg",Papua New Guinea 
4,2,205,0,0,0,0,0,0,0,0,,,,,,,,,"Asaiso Gossie Asaiso Gossie Position: FW Born: April 18, 2003 (Age: 19-127d) National Team: Papua New Guinea pg",Papua New Guinea 
5,2,96,0,0,0,0,0,0,0,0,,,,,,,,,"Stahl Gubag Position: DF Born: July 17, 1999 (Age: 23-037d) in Port Moresby, Papua New Guinea pg National Team: Papua New Guinea pg Club: Toti City FC",Papua New Guinea 
5,5,450,0,,0,0,0,0,0,0,,,,,,,,,"Judith Gunemba Position: DF Born: May 11, 1993 National Team: Papua New Guinea pg",Papua New Guinea 
12,11,973,14,1,14,0,0,0,0,0,,,,,,,,,"Meagan Gunemba Position: FW Born: April 6, 1995 (Age: 27-139d) National Team: Papua New Guinea pg",Papua New Guinea 
16,13,"1,249",9,1,9,0,0,2,0,0,,,,,,,,,"Raymond Gunemba Position: FW 156cm, 66kg (5-1, 146lb) Born: June 4, 1986 (Age: 36-080d) in Lae, Papua New Guinea pg National Team: Papua New Guinea pg Club: Toti City FC",Papua New Guinea 
6,4,428,0,0,0,0,0,1,0,0,,,,,,,,,"Lavina Hola Lavina Hola Position: DF Born: May 27, 1996 (Age: 26-088d) National Team: Papua New Guinea pg",Papua New Guinea 
11,11,930,0,0,0,0,0,0,0,0,,,,,,,,,"Daniel Joe Position: DF 168cm, 69kg (5-6, 152lb) Born: May 29, 1990 (Age: 32-086d) in Port Moresby, Papua New Guinea pg National Team: Papua New Guinea pg Club: PRK Hekari United",Papua New Guinea 
12,12,"1,065",0,0,0,0,0,0,0,0,,,,,,,,,"Margret Joseph Margret Meferoi Joseph Position: DF Born: January 4, 1999 (Age: 23-231d) National Team: Papua New Guinea pg",Papua New Guinea 
1,1,19,0,0,0,0,0,0,0,0,,,,,,,,,"Georgina Kaikas Georgina Kaikas Position: FW Born: April 10, 1995 (Age: 27-135d) National Team: Papua New Guinea pg",Papua New Guinea 
9,9,783,8,1,8,0,0,0,0,0,,,,,,,,,"Marie Kaipu Position: MF Born: August 16, 1997 (Age: 25-007d) National Team: Papua New Guinea pg",Papua New Guinea 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Leslie Kalai Position: GK 175cm, 74kg (5-8½, 163lb) Born: December 6, 1984 in Port Moresby, Papua New Guinea pg National Team: Papua New Guinea pg",Papua New Guinea 
