MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
51,34,"3,147",3,1,3,0,0,15,1,1,42,39,7,10,17,16,0,0,"Jordi Aláez Position: FW-MF Born: January 23, 1998 (Age: 24-209d) in Andorra ad National Team: Andorra ad Club: Diagoras FC",Andorra 
18,15,"1,464",0,0,0,0,0,4,0,0,13,5,0,0,3,2,,,"Albert Alavedra Albert Alavedra Jiménez Position: DF Born: February 26, 1999 (Age: 23-175d) National Team: Andorra ad Club: Gimnàstic",Andorra 
7,7,616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,"Iker Álvarez Iker Álvarez de Eulate Molné Position: GK ▪  Footed: Right 182cm, 72kg (5-11½, 159lb) Born: July 25, 2001 (Age: 21-026d) in Andorra la Vella, Andorra ad National Team: Andorra ad Club: Villarreal",Andorra 
3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Leonel Alves Leonel Felipe Alves Alves Position: MF (DM) ▪  Footed: Right 174cm, 69kg (5-8½, 152lb) Born: September 28, 1993 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
17,8,985,0,0,0,0,0,4,0,0,,,,,,,,,"Xavi Andorrà Xavier Andorrà Julià Position: FW-MF 184cm, 78kg (6-0, 172lb) Born: June 7, 1985 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
58,47,"4,194",0,0,0,0,0,15,1,1,11,7,0,2,7,9,0,1,"Josep Ayala Josep Manel Ayala Position: MF 175cm, 78kg (5-8½, 172lb) Born: April 8, 1980 in Andorra ad National Team: Andorra ad",Andorra 
14,2,253,1,0,1,0,0,1,0,0,4,3,0,0,0,1,,,"Victor Bernat Position: FW Born: May 17, 1987 (Age: 35-095d) in Barcelona, Spain es National Team: Andorra ad  Other: Spain Club: FC Ordino",Andorra 
1,0,5,0,,0,0,0,0,0,0,,,,,,,,,"Joaquim Besora Joaquim Salvat Besora Position: FW Born: December 18, 1980 in la Selva del Camp, Spain es National Team: Andorra ad",Andorra 
3,1,107,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,"Lluis Blanco Lluis Emilio Blanco Position: DF Born: January 15, 1990 (Age: 32-217d) in Andorra la Vella, Andorra ad National Team: Andorra ad Club: FC Santa Coloma",Andorra 
4,4,360,0,0,0,0,0,0,0,0,,,,,,,,,"Marta Blasco Marta Blasco Sinfreu Position: DF Born: June 19, 2003 (Age: 19-062d) National Team: Andorra ad",Andorra 
1,0,5,0,0,0,0,0,0,0,0,,,,,,,,,"Laura Borja Laura Borja Martin Position: DF Born: February 6, 2002 (Age: 20-195d) National Team: Andorra ad",Andorra 
1,0,5,0,,0,0,0,0,0,0,,,,,,,,,"Samir Bousenine Position: FW-MF ▪  Footed: Right 180cm, 77kg (5-10½, 170lb) Born: February 7, 1991 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Alba Cañabate Position: FW Born: July 21, 1999 National Team: Andorra ad",Andorra 
5,5,450,0,0,0,0,0,0,0,0,,,,,,,,,"Maria Cardoso Maria Alexandra Cardoso Osório Position: GK Born: February 26, 1996 (Age: 26-175d) National Team: Andorra ad",Andorra 
7,6,495,1,0,1,0,0,0,0,0,,,,,,,,,"Sònia Carrancà Sonia Carrancà Del Barco Position: MF Born: February 7, 1999 (Age: 23-194d) National Team: Andorra ad",Andorra 
3,3,270,0,0,0,0,0,0,0,0,,,,,,,,,"Laura Carvalho Position: FW Born: December 5, 2000 National Team: Andorra ad",Andorra 
2,1,54,0,,0,0,0,0,0,0,,,,,,,,,"Claudia Cerda Position: MF Born: October 6, 1999 National Team: Andorra ad",Andorra 
3,3,270,0,0,0,0,0,0,0,0,,,,,,,,,"Jennifer Cerqueira Position: DF Born: January 18, 2000 National Team: Andorra ad",Andorra 
43,29,"2,206",0,1,0,0,0,8,0,0,11,15,0,13,11,12,0,0,"Ludovic Clemente Ludovic Clemente Garcés Position: MF 171cm, 59kg (5-7, 130lb) Born: May 9, 1986 (Age: 36-103d) in Andorra ad National Team: Andorra ad Club: Inter Club d'Escaldes",Andorra 
4,4,355,0,0,0,0,0,1,0,0,,,,,,,,,"Maria da Cruz Maria Da Cruz Hernández Position: MF Born: May 10, 2004 (Age: 18-102d) National Team: Andorra ad",Andorra 
1,0,19,0,0,0,0,0,0,0,0,,,,,,,,,"Lucia Culleres Lucia Culleres Soto Position: MF Born: May 24, 2003 (Age: 19-088d) National Team: Andorra ad",Andorra 
1,1,56,0,,0,0,0,0,0,0,,,,,,,,,"José Cunha Position: DF Born: December 18, 1978 National Team: Andorra ad",Andorra 
4,3,252,0,0,0,0,0,1,0,0,,,,,,,,,"Paula Da Silva Position: DF Born: December 7, 2000 (Age: 21-256d) National Team: Andorra ad",Andorra 
6,2,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Eric De Pablos Eric De Pablos Sola Position: DF Born: March 8, 1999 (Age: 23-165d) National Team: Andorra ad Club: UE Santa Coloma",Andorra 
2,1,52,0,0,0,0,0,0,0,0,,,,,,,,,"Iria Domínguez Position: MF Born: February 21, 2000 (Age: 22-180d) National Team: Andorra ad",Andorra 
26,22,"2,122",0,,0,0,0,7,0,0,,,,,,,,,"Jordi Escura Jordi Escura Aixàs Position: DF 178cm (5-10) Born: April 19, 1980 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
3,3,226,0,,0,0,0,0,0,0,,,,,,,,,"Margot Farré Position: DF Born: May 18, 1996 National Team: Andorra ad",Andorra 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"Ainhoa Fernández Position: GK Born: June 26, 1994 National Team: Andorra ad",Andorra 
16,9,876,0,,0,0,0,2,0,0,,,,,,,,,"Juli Fernández Juliá Fernández Ariza Position: DF 188cm (6-2) Born: November 19, 1974 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
8,8,705,2,0,2,0,1,3,0,0,,,,,,,,,"Marina Fernández Position: MF Born: May 11, 1996 (Age: 26-101d) in Andorra ad National Team: Andorra ad",Andorra 
26,18,"1,423",1,3,1,0,0,6,1,0,24,20,7,3,2,3,,,"Ricard Fernàndez Position: FW Born: March 19, 1999 (Age: 23-154d) National Team: Andorra ad Club: SD Formentera",Andorra 
3,0,53,0,0,0,0,0,0,0,0,,,,,,,,,"Marc Ferré Marc Ferré Nazzaro Position: MF Born: January 11, 1994 (Age: 28-221d) National Team: Andorra ad Club: FC Ordino",Andorra 
3,2,215,0,0,0,0,0,0,0,0,,,,,,,,,"Lluna Gallego Position: DF Born: March 14, 2000 National Team: Andorra ad",Andorra 
11,9,794,0,0,0,0,0,6,1,1,4,3,1,0,9,3,,,"Christian García Christian García González Position: DF Born: February 4, 1999 (Age: 23-197d) National Team: Andorra ad",Andorra 
52,35,"3,370",0,1,0,0,0,9,0,0,18,7,0,0,17,15,0,0,"Emili García Emili Josep García Miramontes Position: DF-MF ▪  Footed: Left 188cm, 78kg (6-2, 172lb) Born: January 11, 1989 (Age: 33-221d) in Andorra la Vella, Andorra ad National Team: Andorra ad Club: Inter Club d'Escaldes",Andorra 
17,5,551,0,,0,0,0,3,0,0,,,,,,,,,"Genís García Genís García Iscia Position: MF 180cm (5-10½) Born: May 18, 1978 in Andorra ad National Team: Andorra ad",Andorra 
7,7,599,0,,0,0,0,2,0,0,,,,,,,,,Josep Garcia Position: DF National Team: Andorra ad,Andorra 
50,35,"3,265",0,0,0,0,0,6,0,0,19,10,0,8,14,8,0,0,"Marc García Marc García Renom Position: DF-FW (FB, left) ▪  Footed: Left 174cm, 63kg (5-8½, 139lb) Born: March 21, 1988 (Age: 34-152d) in Andorra la Vella, Andorra ad National Team: Andorra ad Club: CF Montañesa",Andorra 
13,11,944,0,,0,0,0,1,0,0,,,,,,,,,"Txema García José Manuel García Luena Position: DF Born: December 4, 1974 National Team: Andorra ad",Andorra 
4,4,360,0,0,0,0,0,1,0,0,,,,,,,,,"Lia Gil Lia Gil Rabadà Position: DF Born: July 7, 2005 (Age: 17-044d) National Team: Andorra ad",Andorra 
1,0,5,0,0,0,0,0,0,0,0,,,,,,,,,"Carlos Gomes Position: FW 178cm, 73kg (5-10, 161lb) Born: October 18, 1993 National Team: Andorra ad",Andorra 
74,70,"6,449",0,0,0,0,0,3,0,0,1,2,0,0,1,0,0,0,"Josep Gómes Josep Antonio Gómes Moreira Position: GK ▪  Footed: Right 181cm, 84kg (5-11, 185lb) Born: December 3, 1985 (Age: 36-260d) in Andorra la Vella, Andorra ad National Team: Andorra ad Club: Inter Club d'Escaldes",Andorra 
5,4,348,0,1,0,0,0,1,0,0,,,,,,,,,"Ariana Gonçalves Position: MF Born: September 23, 1999 (Age: 22-331d) National Team: Andorra ad",Andorra 
3,3,270,1,,1,0,0,1,0,0,,,,,,,,,"Bibiana Gonçalves Position: DF Born: May 6, 1997 in Andorra ad National Team: Andorra ad",Andorra 
4,4,360,0,1,0,0,0,1,0,0,,,,,,,,,"Erica Gonçalves Erica Gonçalves Do Canto Position: DF Born: May 9, 2002 (Age: 20-103d) National Team: Andorra ad",Andorra 
2,2,134,0,0,0,0,0,1,0,0,,,,,,,,,"Miriam Iban Position: DF Born: August 30, 1999 National Team: Andorra ad",Andorra 
4,3,317,0,0,0,0,0,0,0,0,,,,,,,,,"Alba Isal Position: DF Born: October 25, 1992 National Team: Andorra ad",Andorra 
33,21,"2,056",0,,0,0,0,5,0,0,,,,,,,,,"Manolo Jiménez Manolo Jiménez Soria Position: MF 185cm (6-½) Born: August 12, 1976 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
2,0,2,0,,0,0,0,0,0,0,,,,,,,,,"Roberto Jonas Roberto Jonás Alonso Martínez Position: DF 187cm (6-1½) Born: June 7, 1967 in Andorra ad National Team: Andorra ad",Andorra 
30,30,"2,653",0,,0,0,0,4,0,0,,,,,,,,,"Koldo Jesús Luis Álvarez de Eulate Güergue Position: GK 185cm, 83kg (6-½, 183lb) Born: September 4, 1970 in Gasteiz / Vitoria, Spain es National Team: Andorra ad  Other: Spain",Andorra 
2,1,149,0,0,0,0,0,0,0,0,,,,,,,,,"Gemma Lluch Gemma Lluch Camin Position: FW Born: January 16, 2004 (Age: 18-216d) National Team: Andorra ad",Andorra 
3,3,270,1,,1,0,0,1,0,0,,,,,,,,,"Alba López Position: FW Born: November 26, 1991 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
23,15,"1,362",0,0,0,0,0,5,0,0,10,8,1,3,9,3,1,1,"Iván Lorenzo Iván Lorenzo Roncero Position: FW 169cm, 69kg (5-6½, 152lb) Born: April 15, 1986 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
8,5,451,0,0,0,0,0,2,0,0,0,1,0,0,6,7,0,0,"David Maneiro David Maneiro Ton Position: DF Born: February 17, 1989 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
2,1,162,0,,0,0,0,0,0,0,,,,,,,,,"Luna Marcet Position: GK Born: March 29, 1999 (Age: 23-144d) National Team: Andorra ad",Andorra 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Anna Maria Nieto Position: GK Born: February 4, 1991 National Team: Andorra ad",Andorra 
6,4,361,0,,0,0,0,1,0,0,,,,,,,,,"Javier Martín Sánchez Francisco Javier Martín Sánchez Position: MF 186cm (6-1) Born: December 21, 1975 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
72,62,"5,397",5,0,5,0,0,20,0,0,45,25,5,29,8,17,0,0,"Cristian Martínez Chistian Martínez Escobar Position: DF-FW-MF ▪  Footed: Right 171cm, 50kg (5-7, 110lb) Born: October 16, 1989 (Age: 32-308d) in Andorra la Vella, Andorra ad National Team: Andorra ad Club: FC Santa Coloma",Andorra 
1,0,22,0,,0,0,0,0,0,0,,,,,,,,,"Francisco Martinez Position: FW Born: December 31, 1983 National Team: Andorra ad",Andorra 
43,23,"2,328",1,1,1,0,0,3,0,0,9,18,3,12,10,17,0,0,"Alexandre Martínez Palau Position: FW Born: October 10, 1998 (Age: 23-314d) in Andorra la Vella, Andorra ad National Team: Andorra ad Club: Atlètic Club d'Escaldes",Andorra 
2,1,88,0,0,0,0,0,0,0,0,,,,,,,,,"Andreu Matos Position: FW Born: December 1, 1995 in Andorra ad National Team: Andorra ad",Andorra 
2,1,64,0,,0,0,0,0,0,0,,,,,,,,,"Daniel Mejías Daniel Mejías Hurtado Position: MF 175cm (5-8½) Born: July 26, 1982 in Barcelona, Spain es National Team: Andorra ad  Other: Spain",Andorra 
3,2,168,0,0,0,0,0,0,0,0,,,,,,,,,"Maria Moles Maria Moles Farre Position: MF Born: May 8, 2003 (Age: 19-104d) National Team: Andorra ad",Andorra 
4,0,42,0,0,0,0,0,0,0,0,,,,,,,,,"Zoe Montero Zoe Montero Garcia Position: FW Born: June 13, 2003 (Age: 19-068d) National Team: Andorra ad",Andorra 
4,4,330,2,0,2,0,0,1,0,0,,,,,,,,,"Tere Morató Teresa Morató Armengol Position: MF Born: March 28, 1998 (Age: 24-145d) in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
16,9,729,0,0,0,0,0,3,0,0,1,3,0,0,2,1,1,0,"Víctor Moreira Victor Hugo Moreira Teixeira Position: MF 180cm, 72kg (5-10½, 159lb) Born: October 5, 1982 in Marco de Canaveses, Portugal pt National Team: Andorra ad  Other: Portugal",Andorra 
1,0,44,0,,0,0,0,1,0,0,,,,,,,,,"Beatriz Moreno Beatriz Moreno Braganza Position: MF Born: December 20, 1989 National Team: Andorra ad",Andorra 
60,29,"2,720",1,0,1,0,0,11,1,0,2,10,0,5,3,1,0,0,"Sergi Moreno Sergi Moreno Marin Position: FW-MF ▪  Footed: Left 183cm, 77kg (6-0, 170lb) Born: November 25, 1987 (Age: 34-268d) in Andorra ad National Team: Andorra ad Club: Inter Club d'Escaldes",Andorra 
1,1,31,0,0,0,0,0,0,0,0,,,,,,,,,"Jessica do Nascimento Jessica Do Nascimento Gil Position: DF Born: February 14, 2003 (Age: 19-187d) National Team: Andorra ad",Andorra 
18,9,775,0,0,0,0,0,3,0,0,4,3,0,2,2,1,0,0,"Carlos Peppe Carlos Eduardo Peppe Britos Position: MF ▪  Footed: Right 171cm, 72kg (5-7, 159lb) Born: January 28, 1983 (Age: 39-204d) in Montevideo, Uruguay uy National Team: Andorra ad  Other: Uruguay Club: UE Engordany",Andorra 
2,0,50,0,,0,0,0,0,0,0,,,,,,,,,"Laia Pérez Laia Pérez Guasch Position: MF Born: March 4, 1993 National Team: Andorra ad",Andorra 
2,0,40,0,0,0,0,0,0,0,0,,,,,,,,,"Xisco Pires Francisco Manuel Pires Costa Position: GK Born: January 25, 1998 (Age: 24-207d) National Team: Andorra ad Club: UE Engordany",Andorra 
22,21,"1,849",0,0,0,0,0,2,0,0,1,3,0,0,1,0,0,1,"Ferran Pol Ferran Pol Pérez Position: GK 178cm, 74kg (5-10, 163lb) Born: February 28, 1983 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
2,1,99,0,0,0,0,0,1,0,0,,,,,,,,,"Kiko Pomares Francisco Pomares Ortega Position: DF Born: September 21, 1998 (Age: 23-333d) National Team: Andorra ad",Andorra 
77,67,"5,541",3,5,1,2,2,24,0,0,47,35,1,34,18,14,0,0,"Marc Pujol Marc Pujol Pons Position: FW-MF ▪  Footed: Right 168cm, 74kg (5-6, 163lb) Born: August 21, 1982 (Age: 39-364d) in Andorra la Vella, Andorra ad National Team: Andorra ad Club: FC Santa Coloma",Andorra 
51,44,"3,971",3,0,3,0,0,13,1,0,53,14,1,1,46,18,0,1,"Marc Rebés Position: MF 175cm, 64kg (5-8½, 141lb) Born: July 3, 1994 (Age: 28-048d) in Santa Coloma, Andorra ad National Team: Andorra ad Club: UE Santa Coloma",Andorra 
3,1,108,0,0,0,0,0,0,0,0,,,,,,,,,"Albert Reyes Albert Reyes Roig Position: MF 174cm, 69kg (5-8½, 152lb) Born: March 24, 1996 (Age: 26-149d) National Team: Andorra ad Club: UE Santa Coloma",Andorra 
6,5,434,0,0,0,0,0,0,0,0,,,,,,,,,"Samantha Reyes Position: DF Born: August 9, 1992 National Team: Andorra ad",Andorra 
32,14,"1,374",1,0,1,0,0,4,0,0,8,13,1,1,4,4,0,1,"Gabi Riera Gabriel Riera Lancha Position: FW 183cm, 78kg (6-0, 172lb) Born: June 5, 1985 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
18,10,975,0,0,0,0,0,2,0,0,2,3,0,1,3,1,0,0,"Adrià Rodrígues Adrián Rodrígues Gonçalves Position: DF ▪  Footed: Right 181cm, 74kg (5-11, 163lb) Born: August 14, 1988 (Age: 34-006d) in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
3,3,270,0,,0,0,0,1,0,0,,,,,,,,,"Daniela Rodrigues Position: DF Born: April 13, 1999 National Team: Andorra ad",Andorra 
1,1,89,0,,0,0,0,0,0,0,,,,,,,,,"Albert Rodríguez Position: MF Born: February 12, 1986 in Andorra la Vella, Andorra ad National Team: Andorra ad",Andorra 
28,19,"1,650",0,0,0,0,0,5,1,0,26,5,0,1,8,10,0,1,"Víctor Rodríguez Víctor Rodríguez Soria Position: DF 178cm, 82kg (5-10, 181lb) Born: September 7, 1987 in Santa Coloma, Andorra ad National Team: Andorra ad",Andorra 
6,3,341,0,0,0,0,0,1,0,0,1,2,1,1,1,1,,,"Albert Rosas Albert Rosas Ubach Position: FW 179cm, 78kg (5-10, 172lb) Born: August 19, 2002 (Age: 20-001d) National Team: Andorra ad",Andorra 
2,2,180,0,0,0,0,0,1,0,0,,,,,,,,,"Neus Rosas Neus Rosas Ubach Position: DF Born: August 4, 2005 (Age: 17-016d) National Team: Andorra ad",Andorra 
36,34,"2,873",1,1,1,0,0,16,0,0,20,5,0,23,16,17,0,0,"Jesús Rubio Jesús Rubio Gomez Position: DF-MF ▪  Footed: Right 168cm (5-6) Born: September 9, 1994 (Age: 27-345d) in Andorra la Vella, Andorra ad National Team: Andorra ad Club: Inter Club d'Escaldes",Andorra 
51,34,"2,848",0,0,0,0,0,12,1,1,19,15,0,11,21,10,0,0,"Jordi Rubio Jordi Rubio Gómez Position: DF ▪  Footed: Right 173cm, 69kg (5-8, 152lb) Born: November 1, 1987 (Age: 34-292d) in Andorra la Vella, Andorra ad National Team: Andorra ad Club: Inter Club d'Escaldes",Andorra 
21,19,"1,517",0,,0,0,0,3,1,1,,,,,,,,,"Justo Ruiz Justo Ruiz González Position: FW-MF 180cm (5-10½) Born: August 31, 1969 in Gasteiz / Vitoria, Spain es National Team: Andorra ad  Other: Spain",Andorra 
8,7,620,1,0,1,0,0,0,0,0,,,,,,,,,"Maria Ruzafa Position: FW Born: August 7, 1998 (Age: 24-013d) National Team: Andorra ad",Andorra 
2,1,70,0,0,0,0,0,0,0,0,,,,,,,,,"Marta San Juan Marta San Juan Casado Position: FW Born: August 6, 1999 National Team: Andorra ad",Andorra 
