MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,3,199,0,,0,0,0,0,0,0,,,,,,,,,"Akwá Fabrice Alcebiades Maieco Position: FW 181cm (5-11) Born: May 30, 1977 in Benguela, Angola ao National Team: Angola ao",Angola 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Wilson Edgar Pereira Alegre Position: GK 184cm, 79kg (6-0, 174lb) Born: July 22, 1984 in Huambo, Angola ao National Team: Angola ao  Other: Portugal",Angola 
2,1,146,0,0,0,0,0,0,0,0,,,,,,,,,"Manuel Alexandre Jamuana Position: DF (FB, right) ▪  Footed: Right 180cm (5-10½) Born: November 23, 1984 in Luanda, Angola ao National Team: Angola ao",Angola 
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"Almeida José Xavier Fernando Position: DF Born: May 20, 1993 National Team: Angola ao",Angola 
10,6,598,1,0,1,0,0,2,0,0,,,,,,,,,"Amaro Amândio Felipe da Costa Position: DF ▪  Footed: Left 186cm, 63kg (6-1, 139lb) Born: November 12, 1986 in Luanda, Angola ao National Team: Angola ao",Angola 
3,3,270,1,0,1,0,0,0,0,0,,,,,,,,,"Valdemar António Almeida Position: MF Born: March 9, 1992 (Age: 30-164d) in Luanda, Angola ao National Team: Angola ao Club: Académico de Viseu FC",Angola 
2,0,44,1,0,1,0,0,0,0,0,,,,,,,,,"Loide Augusto Loide António Augusto Position: MF Born: February 26, 2000 (Age: 22-175d) National Team: Angola ao Club: CD Mafra",Angola 
2,2,180,0,0,0,0,0,1,0,0,,,,,,,,,"Gérson Barros Gérson Bruno da Costa Barros Position: GK 193cm, 83kg (6-3½, 183lb) Born: April 1, 1987 (Age: 35-141d) National Team: Angola ao Club: GD Sagrada Esperança",Angola 
1,0,8,0,0,0,0,0,0,0,0,,,,,,,,,"Manucho Barros João Hernani Rosa Barros Position: FW Born: April 19, 1986 National Team: Angola ao",Angola 
1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,"Benarfa Mankoka Hegene Afonso Position: FW ▪  Footed: Right 182cm, 76kg (5-11½, 168lb) Born: January 25, 2001 National Team: Angola ao",Angola 
1,1,84,0,0,0,0,0,0,0,0,,,,,,,,,"Pedro Bengui Position: MF 185cm, 76kg (6-½, 168lb) Born: March 2, 1993 in Luanda, Angola ao National Team: Angola ao",Angola 
6,5,270,0,0,0,0,0,0,0,0,,,,,,,,,"Mingo Bile Régio Francisco Congo Zalata Position: DF ▪  Footed: Right 178cm, 64kg (5-10, 141lb) Born: June 15, 1987 in Luanda, Angola ao National Team: Angola ao",Angola 
3,2,162,0,0,0,0,0,1,0,0,,,,,,,,,"Búa Luvumbo Lourenço Pedro Position: MF ▪  Footed: Right 168cm, 63kg (5-6, 139lb) Born: September 6, 1988 in Luanda, Angola ao National Team: Angola ao",Angola 
8,8,720,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,"Tony Cabaça Adão Joaquim Bango Cabaça Position: GK ▪  Footed: Right Born: April 23, 1986 (Age: 36-119d) in Luanda, Angola ao National Team: Angola ao Club: CD Primeiro de Agosto",Angola 
1,0,38,0,0,0,0,0,0,0,0,,,,,,,,,"Dias Caires Yahenda Joaquim Caires Fernandes Position: DF Born: April 18, 1978 in Arouca, Portugal pt National Team: Angola ao  Other: Portugal",Angola 
5,2,334,0,0,0,0,0,0,0,0,,,,,,,,,"Mano Calesso Luís Calesso Ginga Position: MF ▪  Footed: Left 165cm (5-4½) Born: August 4, 1989 in Angola ao National Team: Angola ao",Angola 
6,5,459,0,0,0,0,0,0,0,0,,,,,,,,,"Diógenes Capemba João Position: MF ▪  Footed: Right 177cm, 68kg (5-9½, 150lb) Born: January 1, 1997 (Age: 25-231d) in Luanda, Angola ao National Team: Angola ao Club: Atlético Petróleos de Luanda",Angola 
3,2,136,0,0,0,0,0,0,0,0,,,,,,,,,"Chico Caputo Francisco Eduardo Gomes Caputo Position: DF ▪  Footed: Right 190cm, 74kg (6-2½, 163lb) Born: May 15, 1985 National Team: Angola ao",Angola 
4,1,202,0,0,0,0,0,0,0,0,,,,,,,,,"Carlinhos Carlos Sténio Fernandes Guimarães do Carmo Position: MF ▪  Footed: Right 179cm, 66kg (5-10, 146lb) Born: March 19, 1995 (Age: 27-154d) in Luanda, Angola ao National Team: Angola ao Club: GD Sagrada Esperança",Angola 
7,7,690,0,0,0,0,0,0,0,0,,,,,,,,,"Tó Carneiro Augusto de Jesus Corte Real Carneiro Position: DF Born: November 5, 1995 (Age: 26-288d) National Team: Angola ao Club: Atlético Petróleos de Luanda",Angola 
2,0,30,0,0,0,0,0,0,0,0,,,,,,,,,"Érico Castro Érico Roberto Mendes Alves Castro Position: FW ▪  Footed: Left 185cm (6-½) Born: September 21, 1992 (Age: 29-333d) in Oeiras, Portugal pt National Team: Angola ao  Other: Portugal Club: Atlético Petróleos de Luanda",Angola 
1,0,4,0,0,0,0,0,0,0,0,,,,,,,,,"Chabalala Gaspar Necas Fortunato Position: FW Born: September 23, 1999 National Team: Angola ao",Angola 
2,2,179,0,0,0,0,0,0,0,0,,,,,,,,,"Chiquita Francisca de Azevedo José Gaspar Position: MF Born: September 10, 1997 National Team: Angola ao",Angola 
8,7,641,0,0,0,0,0,1,0,0,,,,,,,,,"Fernando Agostinho da Costa Position: MF ▪  Footed: Right 180cm, 78kg (5-10½, 172lb) Born: October 10, 1981 in Luanda, Angola ao National Team: Angola ao",Angola 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Cristina Cristina Alegria Makua Position: FW Born: May 14, 1995 National Team: Angola ao",Angola 
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"Silas Daniel Satonho Position: MF ▪  Footed: Right 175cm, 66kg (5-8½, 146lb) Born: January 14, 1990 (Age: 32-218d) in Angola ao National Team: Angola ao Club: Atlético Petróleos de Luanda",Angola 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"Kuagica David Kuagika Sebastião Bondo David Position: DF ▪  Footed: Right 189cm, 79kg (6-2, 174lb) Born: August 10, 1990 in Luanda, Angola ao National Team: Angola ao",Angola 
1,0,29,0,0,0,0,0,0,0,0,,,,,,,,,"Depú Laurindo Dilson Maria Aurélio Position: FW Born: January 8, 2000 (Age: 22-224d) National Team: Angola ao Club: GD Sagrada Esperança",Angola 
1,0,18,0,0,0,0,0,0,0,0,,,,,,,,,"David Dinis Magalhães Position: MF Born: February 24, 1988 in Luanda, Angola ao National Team: Angola ao",Angola 
8,6,552,0,0,0,0,0,0,0,0,,,,,,,,,"Manucho Diniz Osvaldo Paulo João Diniz Position: MF ▪  Footed: Right 185cm, 67kg (6-½, 148lb) Born: June 4, 1986 in Luanda, Angola ao National Team: Angola ao",Angola 
1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,"Domingos Domingos Paulo Andrade Position: DF 178cm (5-10) Born: May 7, 2003 (Age: 19-105d) National Team: Angola ao Club: Sporting CP",Angola 
10,8,691,0,0,0,0,0,0,0,0,,,,,,,,,"Eddie Eddie Marcos Melo Afonso Position: DF ▪  Footed: Right 170cm, 68kg (5-6½, 150lb) Born: March 7, 1994 (Age: 28-166d) in Luanda, Angola ao National Team: Angola ao Club: Atlético Petróleos de Luanda",Angola 
2,1,120,0,0,0,0,0,0,0,0,,,,,,,,,"Filipe Filipe João Malanda Position: DF 175cm, 69kg (5-8½, 152lb) Born: May 10, 1993 in Luanda, Angola ao National Team: Angola ao",Angola 
10,9,817,0,0,0,0,0,1,0,0,,,,,,,,,"Gaspar Kialonda Gaspar Position: DF ▪  Footed: Right 193cm, 83kg (6-3½, 183lb) Born: September 27, 1997 (Age: 24-327d) in Dundo, Angola ao National Team: Angola ao Club: Estrela",Angola 
2,1,106,0,,0,0,0,0,0,0,,,,,,,,,"Manuel Gaspar Costa Position: MF 180cm, 69kg (5-10½, 152lb) Born: December 30, 1989 in Luanda, Angola ao National Team: Angola ao",Angola 
8,6,492,0,0,0,0,0,0,0,0,,,,,,,,,"Gomito António Gonçalo Cassule Position: DF ▪  Footed: Right 176cm, 67kg (5-9, 148lb) Born: June 22, 1983 in Luanda, Angola ao National Team: Angola ao",Angola 
5,1,197,0,0,0,0,0,1,0,0,,,,,,,,,"Rúben Gouveia Rúben Sílvio Lino Gouveia Position: MF ▪  Footed: Right 173cm, 69kg (5-8, 152lb) Born: March 13, 1985 in Lisbon, Portugal pt National Team: Angola ao  Other: Portugal",Angola 
1,1,90,1,,1,0,0,0,0,0,,,,,,,,,"Guedes Guedes Inês Castro Julio Lupapa Position: FW Born: March 5, 1988 in Caxinde, Angola ao National Team: Angola ao",Angola 
23,19,"1,758",0,1,0,0,0,2,0,0,0,0,0,0,0,0,,,"Herenílson Herenílson Caifalo do Carmo Position: MF 178cm, 59kg (5-10, 130lb) Born: August 27, 1996 (Age: 25-358d) National Team: Angola ao Club: CD Primeiro de Agosto",Angola 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Mário Hipólito Mário Damião Hipólito Position: GK 184cm, 79kg (6-0, 174lb) Born: June 1, 1985 in Luanda, Angola ao National Team: Angola ao",Angola 
4,4,322,0,0,0,0,0,0,0,0,,,,,,,,,"Gomito II Nelson Sumbo Fonseca Position: DF 182cm, 74kg (5-11½, 163lb) Born: June 10, 1991 in Maianga, Angola ao National Team: Angola ao",Angola 
2,2,159,0,0,0,0,0,1,0,0,,,,,,,,,"Ilda Ilda Luzia da Costa Pedro Position: DF Born: September 25, 1993 National Team: Angola ao",Angola 
1,1,77,0,0,0,0,0,0,0,0,,,,,,,,,"Indira Indira Vissolela Fernandes Luís Position: DF Born: July 10, 2000 National Team: Angola ao",Angola 
10,9,764,0,0,0,0,0,1,0,0,,,,,,,,,"Isaac Isaac Correia da Costa Position: DF 176cm, 72kg (5-9, 159lb) Born: April 25, 1991 (Age: 31-117d) in Luanda, Angola ao National Team: Angola ao Club: CD Primeiro de Agosto",Angola 
3,3,270,0,,0,0,0,1,0,0,,,,,,,,,"Jamba João Pereira Position: DF (CB) 181cm, 78kg (5-11, 172lb) Born: July 10, 1977 in Benguela, Angola ao National Team: Angola ao",Angola 
15,7,783,1,1,1,0,0,1,0,0,,,,,,,,,"Ricardo Job Estévão Position: MF ▪  Footed: Right 171cm, 64kg (5-7, 141lb) Born: September 27, 1987 (Age: 34-327d) in Luanda, Angola ao National Team: Angola ao Club: Atlético Petróleos de Luanda",Angola 
1,0,51,0,,0,0,0,0,0,0,,,,,,,,,"Kêmbua Nkembo Garcia Position: FW 167cm, 67kg (5-5½, 148lb) Born: August 20, 1987 in Luanda, Angola ao National Team: Angola ao",Angola 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Kibeixa Pedro Victor Mingas Position: MF ▪  Footed: Right 181cm, 76kg (5-11, 168lb) Born: July 18, 1993 in Luanda, Angola ao National Team: Angola ao",Angola 
1,0,16,0,0,0,0,0,0,0,0,,,,,,,,,"Kinito Joaquim Marcos Cunga Balanga Position: DF Born: March 13, 1998 (Age: 24-160d) National Team: Angola ao Club: Atlético Petróleos de Luanda",Angola 
2,1,123,0,0,0,0,0,0,0,0,,,,,,,,,"Ladaínha Ladaínha Ndanema Silyomunu Haufiku Position: MF Born: March 4, 1992 National Team: Angola ao",Angola 
3,3,270,0,0,0,0,0,0,0,0,,,,,,,,,"Lamá Luís Mamona João Position: GK ▪  Footed: Right 187cm, 97kg (6-1½, 214lb) Born: February 1, 1981 in Luanda, Angola ao National Team: Angola ao",Angola 
17,16,"1,504",0,0,0,0,0,2,0,0,,,,,,,,,"Landú Landú Mavanga Position: GK ▪  Footed: Right 178cm, 74kg (5-10, 163lb) Born: January 4, 1990 (Age: 32-228d) in Luanda, Angola ao National Team: Angola ao Club: AS Vita Club",Angola 
1,1,57,0,0,0,0,0,0,0,0,,,,,,,,,"Laura Laurinda Verónica Quinguengo Maonte Position: FW Born: September 3, 1999 National Team: Angola ao",Angola 
2,1,100,0,0,0,0,0,0,0,0,,,,,,,,,"Dudú Leite Eduardo da Cruz Leite Position: FW ▪  Footed: Right Born: July 18, 1984 National Team: Angola ao",Angola 
5,2,194,0,0,0,0,0,0,0,0,,,,,,,,,"Lépua Simone Eduardo Assa Miranda Position: FW Born: December 23, 1999 (Age: 22-240d) National Team: Angola ao Club: GD Sagrada Esperança",Angola 
1,0,16,0,0,0,0,0,0,0,0,,,,,,,,,"Daniel Liberal Position: FW Born: April 22, 2000 (Age: 22-120d) in Portugal, Portugal pt National Team: Angola ao  Other: Portugal Club: Trofense",Angola 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"Lídia Lídia Yolanda Agostinho Lubano Position: MF Born: January 29, 1988 National Team: Angola ao",Angola 
3,3,270,0,,0,0,0,2,0,0,,,,,,,,,"Locó Position: DF Born: December 25, 1984 in Luanda, Angola ao National Team: Angola ao",Angola 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Lourenzo Lourenzo Hugo A. de Almeida Valdez Position: DF Born: May 25, 1991 National Team: Angola ao",Angola 
8,3,395,1,0,1,0,0,0,0,0,,,,,,,,,"Love Arsenio Sebastião Cabungula Position: FW ▪  Footed: Right 182cm, 79kg (5-11½, 174lb) Born: March 14, 1979 in Luanda, Angola ao National Team: Angola ao",Angola 
8,1,109,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,"Mabululu Position: FW ▪  Footed: Right 178cm, 78kg (5-10, 172lb) Born: September 10, 1989 (Age: 32-344d) in Luanda, Angola ao National Team: Angola ao Club: Ittihad Alexandria",Angola 
3,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Macaia José Macaia Ganga Position: MF Born: March 24, 1994 (Age: 28-149d) National Team: Angola ao Club: CD Primeiro de Agosto",Angola 
6,5,453,0,0,0,0,0,1,1,0,,,,,,,,,"Fabrício Mafuta Position: DF 181cm, 74kg (5-11, 163lb) Born: September 20, 1988 in Luanda, Angola ao National Team: Angola ao",Angola 
3,1,176,0,0,0,0,0,0,0,0,,,,,,,,,"Manguxi Augusto Antonio Domingos Quibeto Position: MF ▪  Footed: Right 176cm, 73kg (5-9, 161lb) Born: November 27, 1991 (Age: 30-266d) National Team: Angola ao Club: GD Sagrada Esperança",Angola 
2,1,98,0,,0,0,0,0,0,0,,,,,,,,,"Mano Moisés Miguel José Position: MF Born: May 1, 1992 National Team: Angola ao",Angola 
2,1,111,0,0,0,0,0,0,0,0,,,,,,,,,"Margarete Margarete Mendes Salvador Position: MF Born: August 16, 2002 National Team: Angola ao",Angola 
9,5,465,0,0,0,0,0,1,0,0,,,,,,,,,"Mário Mário César Azevedo Alves Balbúrdia Position: MF 174cm, 66kg (5-8½, 146lb) Born: August 19, 1997 (Age: 25-001d) National Team: Angola ao Club: Estrela",Angola 
2,2,170,0,0,0,0,0,2,0,0,,,,,,,,,"Marizete Teresa João Evaristo Position: MF Born: April 24, 1999 National Team: Angola ao",Angola 
16,16,"1,393",0,0,0,0,0,2,0,0,4,2,0,1,1,3,,,"Dani Massunguna Massunguna Alex Afonso Position: DF ▪  Footed: Right 180cm, 74kg (5-10½, 163lb) Born: May 1, 1986 in Benguela, Angola ao National Team: Angola ao",Angola 
1,1,61,0,0,0,0,0,0,0,0,,,,,,,,,"Megue Pedro Pessoa Miguel Position: MF Born: February 12, 1996 (Age: 26-189d) National Team: Angola ao Club: Atlético Petróleos de Luanda",Angola 
