MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,2,169,0,0,0,0,0,0,1,0,,,,,,,,,"Vashami Allen Position: DF ▪  Footed: Right 183cm, 73kg (6-0, 161lb) Born: May 9, 1997 in All Saints, Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Jomo Andrew Jomo Andrew Position: DF Born: December 2, 1993 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,1,90,0,,0,0,0,1,0,0,,,,,,,,,"Elvis Anthony Position: GK Born: July 4, 1970 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
8,8,614,0,,0,0,0,2,0,0,,,,,,,,,"Steveroy Anthony Position: DF Born: July 7, 1971 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,0,31,0,,0,0,0,0,0,0,,,,,,,,,Errol Barnes Position: FW Born: (Date unknown) in Antigua and Barbuda ag National Team: Antigua and Barbuda ag,Antigua and Barbuda 
5,4,307,0,1,0,0,0,0,0,0,,,,,,,,,"Junior Benjamin Position: FW Born: August 13, 1992 (Age: 30-007d) in Antigua and Barbuda ag National Team: Antigua and Barbuda ag Club: Ottos Rangers FC",Antigua and Barbuda 
5,4,339,1,0,1,0,0,0,0,0,,,,,,,,,"D'Andre Bishop Position: FW Born: October 2, 2002 (Age: 19-322d) in Antigua and Barbuda ag National Team: Antigua and Barbuda ag Club: Ottos Rangers FC",Antigua and Barbuda 
2,2,169,1,,1,0,0,0,0,0,,,,,,,,,"Desmond Bleau Position: MF ▪  Footed: Right 175cm (5-8½) Born: September 2, 1982 in Sea View Farm, Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
4,4,332,0,0,0,0,0,0,0,0,,,,,,,,,"Kendukar Challenger Position: MF ▪  Footed: Right 180cm, 72kg (5-10½, 159lb) Born: January 24, 1998 (Age: 24-208d) in Antigua and Barbuda ag National Team: Antigua and Barbuda ag Club: All Saints United FC",Antigua and Barbuda 
1,0,7,1,,1,0,0,0,0,0,,,,,,,,,"Okeem Challenger Position: FW 178cm (5-10) Born: August 22, 1989 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,0,45,0,,0,0,0,0,0,0,,,,,,,,,"Taj Charles Taj Charles Position: MF 175cm (5-8½) Born: August 23, 1977 National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Joseph Chester Joseph Chester Position: DF Born: June 13, 1975 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,1,58,0,,0,0,0,0,0,0,,,,,,,,,"Auddley Chiddick Auddley Chiddick Position: DF Born: August 2, 1978 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
3,0,100,0,0,0,0,0,0,0,0,,,,,,,,,"Avier Christian Position: MF 181cm, 77kg (5-11, 170lb) Born: January 16, 1996 National Team: Antigua and Barbuda ag  Other: US Virgin Islands",Antigua and Barbuda 
10,10,852,2,,2,0,0,1,0,0,,,,,,,,,"Quentin Clarke Position: MF Born: April 8, 1969 National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,0,27,0,0,0,0,0,0,0,0,,,,,,,,,"Adrian Constant Position: DF 188cm, 83kg (6-2, 183lb) Born: January 2, 1997 in All Saints, Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,0,28,0,,0,0,0,1,0,0,,,,,,,,,"Steveroy Crump Steveroy Crump Position: DF Born: May 30, 1972 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
2,2,180,0,,0,0,0,1,0,0,,,,,,,,,"Ashton Cyrillien Position: DF Born: May 6, 1975 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,1,71,0,0,0,0,0,0,0,0,,,,,,,,,"Omarie Daniel Omarie Justin Daniel Position: DF 168cm, 69kg (5-6, 152lb) Born: March 12, 1992 in Urlings, Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Beverly Deterville Born: October 31, 1963 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
7,7,516,4,,4,0,0,1,0,0,,,,,,,,,"Derrick Edwards Position: DF-FW Born: May 24, 1968 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
6,6,540,0,,0,0,0,0,0,0,,,,,,,,,"Veron Edwards Veron Edwards Jr. Position: MF ▪  Footed: Right 180cm (5-10½) Born: July 23, 1970 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,"Brandon Emanuel Brandon Emanuel Position: MF Born: July 20, 1996 in Five Islands, Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
2,2,179,0,,0,0,0,2,1,1,,,,,,,,,"Damien Farrell Position: DF 170cm (5-6½) Born: March 17, 1984 in All Saints, Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
2,1,148,0,,0,0,0,0,0,0,,,,,,,,,"Wesley Ferrance Wesley Ferrance Position: FW Born: April 3, 1960 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
2,0,60,0,0,0,0,0,0,0,0,,,,,,,,,"Ranaldo Flowers Ranaldo Flowers Position: MF Born: March 9, 2003 (Age: 19-164d) in Antigua and Barbuda ag National Team: Antigua and Barbuda ag Club: Villa Lions FC",Antigua and Barbuda 
2,1,91,0,0,0,0,0,0,0,0,,,,,,,,,"Novelle Francis Jr. Position: MF Born: March 10, 1993 (Age: 29-163d) in Antigua and Barbuda ag National Team: Antigua and Barbuda ag Club: Parham FC",Antigua and Barbuda 
4,3,204,0,,0,0,0,1,0,0,,,,,,,,,"Kelly Frederick Position: FW Born: October 7, 1978 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
10,8,808,0,,0,0,0,2,0,0,,,,,,,,,"Garfield Gonsalves Position: DF Born: September 11, 1972 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Leroy Graham Position: DF Born: December 7, 1999 (Age: 22-256d) in Antigua and Barbuda ag National Team: Antigua and Barbuda ag Club: Five Islands FC",Antigua and Barbuda 
1,0,12,0,0,0,0,0,0,0,0,,,,,,,,,"Keon Greene Keon Kevin Greene Position: FW Born: July 27, 2000 (Age: 22-024d) in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"Jeremiah Harriette Position: DF Born: June 26, 1994 in Parham, Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
7,6,536,2,0,2,0,0,0,0,0,,,,,,,,,"Tevaughn Harriette Position: MF 174cm, 69kg (5-8½, 152lb) Born: June 26, 1995 in Parham, Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
2,1,71,0,,0,0,0,0,0,0,,,,,,,,,"Verton Harris Position: MF Born: July 15, 1980 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
3,2,194,0,0,0,0,0,1,0,0,,,,,,,,,"Dennie Henry Position: MF Born: May 7, 1998 (Age: 24-105d) in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
2,0,40,0,0,0,0,0,0,0,0,,,,,,,,,"Rakeem Henry Rakeem J.Michael Henry Position: FW Born: May 11, 1991 in Jennings, Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
3,1,103,0,,0,0,0,1,0,0,,,,,,,,,"Rowan Isaac Position: MF Born: March 5, 1977 in Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
3,1,125,0,0,0,0,0,0,0,0,,,,,,,,,"Joel Jacob Position: DF Born: October 8, 1992 National Team: Antigua and Barbuda ag",Antigua and Barbuda 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Arnold James Position: MF Born: April 30, 1974 National Team: Antigua and Barbuda ag",Antigua and Barbuda 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"Javid Joseph Position: GK 193cm, 86kg (6-3½, 190lb) Born: March 24, 1986 in Sea View Farm, Antigua and Barbuda ag National Team: Antigua and Barbuda ag",Antigua and Barbuda 
