MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
131,84,"8,023",33,16,32,1,1,23,0,0,146,135,47,134,47,105,2,0,"Sargis Adamyan Սարգիս Ադամյան Position: FW-MF ▪  Footed: 82% Right* 184cm, 76kg (6-0, 168lb) Born: May 23, 1993 (Age: 29-090d) in Armenia am National Team: Armenia am Club: Köln Wages: € k Weekly ❌ Expires June 2026. Via Capology.",Armenia 
4,2,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gor Agbaljan Position: MF ▪  Footed: Right 183cm, 78kg (6-0, 172lb) Born: April 25, 1997 in Armenia am Youth National Team: Armenia am",Armenia 
5,0,114,0,0,0,0,0,0,0,0,,,,,,,,,"Teveen Aghababian Teveen Aghababian Position: FW Born: September 3, 2001 (Age: 20-352d) in Armenia, Armenia am National Team: Armenia am",Armenia 
9,4,447,0,0,0,0,0,1,0,,7,,,,,,,,"Artur Aghasyan Արթուր Աղասյան Position: FW 173cm (5-8) Born: June 24, 1987 in Armenia am National Team: Armenia am",Armenia 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Artak Aleksanyan Artak Lewoni Alek’sanyan Արտակ Լևոնի Ալեքսանյան Position: MF ▪  Footed: Left 174cm, 62kg (5-8½, 137lb) Born: March 10, 1991 in Armenia am National Team: Armenia am",Armenia 
14,10,908,0,,0,0,0,4,0,0,,,,,,,,,"Karen Aleksanyan Կարեն Ալեքսանյան Position: MF (DM) 168cm (5-6) Born: June 17, 1980 in Gyumri, Armenia am National Team: Armenia am",Armenia 
4,4,360,0,0,0,0,0,0,0,0,,,,,,,,,"Kristine Aleksanyan Position: MF Born: March 25, 1989 (Age: 33-149d) in Armenia am National Team: Armenia am Club: Zhytlobud-1",Armenia 
14,10,"1,030",0,1,0,0,0,2,0,0,,,,,,,,,"Valeri Aleksanyan Valeri Vazgeni Aleksanyan Վալերի Ալեքսանյան Position: DF (CB-FB, right) 178cm (5-10) Born: September 4, 1984 in Armenia am National Team: Armenia am",Armenia 
3,3,270,0,,0,0,0,0,0,0,,,,,,,,,"Armen Ambartsumyan Армен Амбарцумян Position: GK 187cm (6-1½) Born: February 18, 1978 in Plovdiv, Bulgaria bg National Team: Armenia am  Other: Bulgaria",Armenia 
17,13,"1,119",2,0,2,0,0,5,3,1,19,0,0,0,0,0,0,0,"Gaël Andonian Position: DF (CB) ▪  Footed: Left 184cm, 73kg (6-0, 161lb) Born: February 7, 1995 (Age: 27-195d) in Marseille, France fr National Team: Armenia am  Other: France Club: US Marseille Endoume",Armenia 
4,4,356,0,0,0,0,0,0,0,0,,,,,,,,,"Lena Andriasyan Position: GK Born: July 11, 1999 (Age: 23-041d) in Armenia, Armenia am National Team: Armenia am Club: Alashkert FC",Armenia 
10,6,593,2,0,2,0,0,3,0,0,0,0,0,0,0,0,,,"Wbeymar Angulo Wbeimar Angulo Mosquera Position: MF 177cm, 74kg (5-9½, 163lb) Born: March 6, 1992 (Age: 30-168d) in Quibdó, Colombia co National Team: Armenia am  Other: Colombia Club: FC Ararat-Armenia",Armenia 
40,23,"2,130",4,0,4,0,0,5,0,,,,,,,,,,"Ararat Arakelyan Արարատ Առաքելյան Position: DF-MF (DM) ▪  Footed: Right 190cm, 74kg (6-2½, 163lb) Born: February 1, 1984 in Armenia am National Team: Armenia am",Armenia 
1,0,3,0,0,0,0,0,0,0,0,,,,,,,,,"Alik Arrakelian Position: MF Born: May 21, 1996 (Age: 26-092d) in Armenia am National Team: Armenia am Club: FC Ararat Yerevan",Armenia 
20,3,384,0,0,0,0,0,1,0,0,3,4,0,3,0,2,0,0,"David Arshakyan Давид Аршакян Position: FW 195cm (6-4½) Born: August 16, 1994 (Age: 28-005d) in Saint Petersburg, Russia ru National Team: Armenia am  Other: Russia Club: FK Šiauliai",Armenia 
1,1,90,1,0,1,0,0,0,0,0,,,,,,,,,"Maral Artin Maral Artin Born: June 9, 2000 in Armenia, Armenia am National Team: Armenia am",Armenia 
8,8,710,0,0,0,0,0,0,0,0,,,,,,,,,"Maral Artin Position: FW Born: June 9, 2000 (Age: 22-073d) in Heidelberg, Germany de National Team: Armenia am  Other: Germany Club: Alashkert FC",Armenia 
58,47,"4,135",0,0,0,0,0,11,0,,7,,,,,,,,"Robert Arzumanyan Ռոբերտ Արզումանյան Position: DF (CB) ▪  Footed: Right 184cm, 77kg (6-0, 170lb) Born: July 24, 1985 in Armenia am National Team: Armenia am",Armenia 
3,0,89,0,0,0,0,0,0,0,0,,,,,,,,,"Paytsar Asatryan Position: FW Born: March 2, 1999 (Age: 23-172d) in Armenia, Armenia am National Team: Armenia am Club: Alashkert FC",Armenia 
4,0,110,0,0,0,0,0,0,0,0,,,,,,,,,"Veronika Asatryan Veronika Asatryan Position: MF Born: June 9, 2002 (Age: 20-073d) in Armenia, Armenia am National Team: Armenia am",Armenia 
1,0,21,0,0,0,0,0,0,0,0,,,,,,,,,"Narek Aslanyan Position: MF Born: January 4, 1996 (Age: 26-229d) in Armenia, Armenia am National Team: Armenia am Club: Sevan FC",Armenia 
153,76,"7,351",24,11,23,1,1,15,0,0,23,0,0,0,0,0,0,0,"Norair Aslanyan Position: FW-MF (WM) 179cm, 76kg (5-10, 168lb) Born: March 25, 1991 in K’arahunj, Armenia am National Team: Armenia am",Armenia 
39,25,"2,150",2,,2,0,,0,0,0,,,,,,,,,"Éric Assadourian Position: FW-MF 172cm (5-7½) Born: June 24, 1966 in Saint-Maurice, France fr National Team: Armenia am",Armenia 
1,0,18,0,0,0,0,0,0,0,0,,,,,,,,,"Sergei Avagimyan Sergei Vladimirovich Avagimyan Авагимян, Сергей Владимирович Position: MF 182cm, 73kg (5-11½, 161lb) Born: July 5, 1989 in Kaluga, Russia ru National Team: Armenia am  Other: Russia",Armenia 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Henri Avagyan Position: GK Born: January 16, 1996 (Age: 26-217d) in Armenia, Armenia am National Team: Armenia am Club: Noravank SC",Armenia 
3,0,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,"Artem Avanesyan Position: MF Born: July 17, 1999 (Age: 23-035d) National Team: Armenia am  Other: Russia Club: FC Ararat-Armenia",Armenia 
8,8,622,1,1,0,1,1,0,0,0,,,,,,,,,"Nancy Avesyan Nancy Avesyan Position: MF Born: February 14, 1990 (Age: 32-188d) in Armenia, Armenia am National Team: Armenia am",Armenia 
5,2,119,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,"Petros Avetisyan Position: MF Born: January 7, 1996 (Age: 26-226d) in Armenia am National Team: Armenia am Club: Shakhtar Karagandy",Armenia 
1,0,15,0,0,0,0,0,0,0,0,,,,,,,,,"Nare Avetyan Nare Talia Avetyan Position: DF Born: May 3, 2004 (Age: 18-110d) in Armenia, Armenia am National Team: Armenia am",Armenia 
11,11,990,0,0,0,0,0,1,0,0,,,,,,,,,"Aram Ayrapetyan Aram Yuryevich Ayrapetyan Position: GK 192cm (6-3½) Born: November 22, 1986 (Age: 35-272d) National Team: Armenia am  Other: Russia Club: FC Atyrau",Armenia 
24,14,"1,345",0,0,0,0,0,6,0,,2,,,,,,,,"David Azin Position: MF 183cm (6-0) Born: January 11, 1990 in Köln, Germany de Youth National Team: Armenia am",Armenia 
117,83,"7,403",12,21,8,4,4,24,0,0,87,25,10,235,17,30,0,0,"Edgar Babayan Position: MF (WM, left) ▪  Footed: Left 180cm, 74kg (5-10½, 163lb) Born: October 28, 1995 (Age: 26-297d) in Berlin, Germany de National Team: Armenia am  Other: Germany Club: Randers",Armenia 
7,0,140,0,0,0,0,0,0,0,,,,,,,,,,"Gevorg Badalyan Գեւորգ Գրիգորի Բադալյան Position: FW-MF 189cm, 86kg (6-2, 190lb) Born: January 5, 1991 in Armenia am Youth National Team: Armenia am",Armenia 
1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,"Susanna Badalyan Position: MF Born: April 13, 2003 (Age: 19-130d) in Armenia, Armenia am National Team: Armenia am Club: Alashkert FC",Armenia 
3,0,47,1,0,1,0,0,0,0,0,,,,,,,,,"Zaven Badoyan Zaven Levoni Badoyan Զավեն Լևոնի Բադոյան Position: MF ▪  Footed: Right 174cm, 68kg (5-8½, 150lb) Born: December 22, 1989 (Age: 32-242d) in Armenia am National Team: Armenia am Club: Aqjaıyq Oral FK",Armenia 
2,0,24,0,0,0,0,0,0,0,,,,,,,,,,"Artashes Baghdasaryan Artašes Armeni Baġdasaryan Արտաշես Արմենի Բաղդասարյան Position: DF (FB, right) 183cm (6-0) Born: February 11, 1984 in Armenia am National Team: Armenia am",Armenia 
163,114,"10,138",11,11,11,0,1,32,2,1,113,88,14,121,54,52,0,0,"Khoren Bayramyan Khoren Robertovich Bayramyan Position: FW-MF ▪  Footed: Right 169cm, 57kg (5-6½, 126lb) Born: January 7, 1992 (Age: 30-226d) in Kapan, Armenia am National Team: Armenia am  Other: Russia Club: Rostov",Armenia 
