MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
2,0,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Idrus Abdulahi Idrus Shaban Abdulahi Position: DF 174cm (5-8½) Born: September 22, 2003 Youth National Team: Australia au",Australia 
9,4,353,0,1,0,0,0,1,0,0,8,1,0,2,6,5,0,0,"Yarad Abetew Position: DF Born: June 15, 1999 Citizenship: Australia au",Australia 
2,1,135,0,,0,0,,0,0,0,,,,,,,,,"Attila Abonyi Position: FW-MF (WM) 182cm, 76kg (5-11½, 168lb) Born: August 16, 1946 in Hungary hu Citizenship: Australia au",Australia 
1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Isabella Accardo Isabella Accardo Position: MF Born: October 10, 2005 (Age: 16-315d) Citizenship: Australia au Club: Melbourne City",Australia 
33,32,"2,916",0,0,0,0,0,1,0,0,1,5,0,0,3,0,0,0,"Matt Acton Matthew Acton Position: GK ▪  Footed: Right 184cm, 84kg (6-0, 185lb) Born: June 3, 1992 (Age: 30-079d) in Townsville, Australia au Youth National Team: Australia au Club: Melbourne Victory",Australia 
19,5,606,1,1,1,0,0,2,0,0,18,12,4,17,2,7,0,0,"Mohamed Adam Position: FW Born: August 5, 2000 Citizenship: Australia au",Australia 
8,3,291,0,1,0,0,0,0,0,0,3,11,2,11,2,6,,,"Eli Adams Eli Adams Position: MF Born: March 12, 2002 (Age: 20-162d) Citizenship: Australia au Club: Brisbane Roar",Australia 
3,1,95,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,"Jake Adelson Position: MF 183cm, 77kg (6-0, 170lb) Born: January 11, 1996 Youth National Team: Australia au",Australia 
5,2,178,0,2,0,0,0,0,0,,2,,,,,,,,"Fred Agius Frederick Agius Position: MF (WM, left) 168cm (5-6) Born: February 2, 1984 in Adelaide, Australia au Youth National Team: Australia au",Australia 
203,116,"11,619",50,7,50,0,0,9,1,0,17,,,,,,,,"Paul Agostino Position: FW 184cm, 83kg (6-0, 183lb) Born: June 9, 1975 in Adelaide, Australia au Youth National Team: Australia au",Australia 
3,0,44,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,,"Manyluak Aguek Manyluak Aguek Position: FW Born: February 8, 2002 (Age: 20-194d) Citizenship: Australia au Club: Central Coast Mariners",Australia 
68,47,"4,122",2,0,2,0,0,10,0,0,69,66,4,19,53,77,0,0,"Rahmat Akbari Position: MF 185cm, 69kg (6-½, 152lb) Born: June 20, 2000 (Age: 22-062d) in Ghazni, Afghanistan af Youth National Team: Australia au  Other: Afghanistan Club: Brisbane Roar",Australia 
17,17,"1,501",0,1,0,0,0,4,0,0,6,,,,,,,,"Dianne Alagich Dianne Marie Alagich Position: DF 169cm (5-6½) Born: May 12, 1979 in Adelaide, Australia au National Team: Australia au",Australia 
58,50,"4,371",2,5,2,0,0,6,1,,53,,,,,,,,"Richie Alagich Richard Maya Alagich Position: DF (FB, right) 177cm (5-9½) Born: October 30, 1973 in Adelaide, Australia au Youth National Team: Australia au",Australia 
7,6,448,0,0,0,0,0,0,0,,8,,,,,,,,"Daniel Alessi Daniele Alessandro Alessi Position: DF (CB-FB, right) 186cm, 78kg (6-1, 172lb) Born: August 26, 1997 in Pymble, Australia au Youth National Team: Australia au",Australia 
33,13,"1,589",6,3,6,0,0,0,0,0,19,13,12,34,22,36,0,0,"Lauren Allan Position: FW Born: November 14, 1996 (Age: 25-280d) in Newcastle, Australia au Citizenship: Australia au Club: Newcastle Jets",Australia 
42,28,"2,598",0,1,0,0,0,8,1,0,32,11,1,25,44,16,1,2,"Teigen Allen Teigen Jacqueline Allen Position: DF 168cm (5-6) Born: February 12, 1994 (Age: 28-190d) in Sydney, Australia au National Team: Australia au Club: Western Sydney Wanderers",Australia 
47,42,"3,761",1,0,1,0,0,8,0,0,9,13,0,1,16,9,0,0,"Laura Alleway Laura Colleen Gloria Alleway Position: DF 178cm, 72kg (5-10, 159lb) Born: November 28, 1989 in Templestowe, Australia au National Team: Australia au",Australia 
232,196,"16,688",77,22,77,0,0,20,1,,243,,,,,,,,"Danny Allsopp Daniel Lee Allsopp Position: FW 187cm, 86kg (6-1½, 190lb) Born: August 10, 1978 in Melbourne, Australia au National Team: Australia au",Australia 
2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Joel Allwright Position: DF (FB) Born: March 4, 1988 in Adelaide, Australia au Citizenship: Australia au",Australia 
310,204,"18,815",83,28,71,12,18,30,2,0,400,,,,,,,,"John Aloisi Position: FW ▪  Footed: Left 184cm, 79kg (6-0, 174lb) Born: February 5, 1976 in Adelaide, Australia au National Team: Australia au",Australia 
