MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,0,28,0,0,0,0,0,1,0,0,1,0,0,1,0,1,,,"Sefik Abali Sefik Abali Position: DF Born: June 7, 2002 (Age: 20-075d) Citizenship: Austria at Club: Dordrecht",Austria 
1,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,"Amir Abdijanovic Position: FW ▪  Footed: Both 180cm, 69kg (5-10½, 152lb) Born: March 3, 2001 (Age: 21-171d) in Dornbirn, Austria at Youth National Team: Austria at Club: Rheindorf Altach",Austria 
11,9,873,0,,0,0,0,0,0,0,,,,,,,,,"Melissa Abiral Position: GK Born: July 18, 1994 (Age: 28-034d) Citizenship: Austria at Club: St. Pölten",Austria 
48,30,"2,551",13,3,13,0,1,2,0,0,53,47,41,30,11,13,,,"Chikwubuike Adamu Junior Chikwubuike Adamu Position: FW ▪  Footed: Right 182cm, 74kg (5-11½, 163lb) Born: June 6, 2001 (Age: 21-076d) in Kano, Nigeria ng National Team: Austria at  Other: Nigeria Club: Red Bull Salzburg",Austria 
177,123,"10,704",28,11,27,1,2,20,0,0,31,,,,,,,,"Adrianinho Adriano Manfred Laaber Position: MF (AM) ▪  Footed: Left 175cm, 68kg (5-8½, 150lb) Born: July 11, 1980 in Jundiaí, Brazil br Citizenship: Austria at  Other: Brazil",Austria 
39,34,"3,001",1,1,1,0,0,7,1,1,37,31,6,3,54,42,,,"David Affengruber David Affengruber Position: DF ▪  Footed: Right 185cm, 73kg (6-½, 161lb) Born: March 19, 2001 (Age: 21-155d) in Scheibbs, Austria at Youth National Team: Austria at Club: Sturm Graz",Austria 
283,189,"17,029",77,23,60,17,20,71,1,0,149,64,37,9,12,15,1,0,"Johannes Aigner Position: FW ▪  Footed: Right 180cm, 71kg (5-10½, 157lb) Born: March 16, 1981 in Schwaz, Austria at Citizenship: Austria at",Austria 
24,10,960,0,0,0,0,0,6,0,0,21,7,0,3,26,7,,,"Sebastian Aigner Sebastian Aigner Position: MF ▪  Footed: Right 180cm, 71kg (5-10½, 157lb) Born: January 3, 2001 (Age: 21-230d) Youth National Team: Austria at Club: Rheindorf Altach",Austria 
105,98,"8,875",7,3,7,0,0,28,0,0,180,145,3,15,205,148,0,3,"Emanuel Aiwum Position: DF (CB) ▪  Footed: 87% Right* 185cm, 78kg (6-½, 172lb) Born: December 25, 2000 (Age: 21-239d) in Innsbruck, Austria at Youth National Team: Austria at Club: Cremonese",Austria 
139,101,"9,074",29,18,28,1,1,12,0,,,,,,,,,,"Muhammet Akagündüz Muhammet Hanifi Akagündüz Position: FW 172cm, 69kg (5-7½, 152lb) Born: January 11, 1978 in Bingöl, Turkey tr National Team: Austria at",Austria 
