MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
1,1,70,0,0,0,0,0,0,0,0,,,,,,,,,"Abdulla Abatsiyev Abdulla Alxazoviç Abatsiyev Абациев, Абдулла Алхазович Position: MF 180cm (5-10½) Born: August 16, 1993 in Vladikavkaz, Russia ru National Team: Azerbaijan az",Azerbaijan 
4,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,"Mirabdulla Abbasov Position: FW ▪  Footed: Right 182cm, 78kg (5-11½, 172lb) Born: April 27, 1995 (Age: 27-116d) National Team: Azerbaijan az Club: Neftchi",Azerbaijan 
3,3,270,0,,0,0,0,1,0,0,,,,,,,,,"Ramazan Abbasov Position: MF 176cm (5-9) Born: September 22, 1983 in Aghavnavank’, Armenia am National Team: Azerbaijan az",Azerbaijan 
2,2,135,0,,0,0,0,1,0,0,,,,,,,,,"Ruslan Abbasov Position: DF 186cm (6-1) Born: June 1, 1980 in Azerbaijan az National Team: Azerbaijan az",Azerbaijan 
18,18,"1,561",0,,0,0,0,4,1,1,,,,,,,,,"Samir Abbasov Position: DF-MF 184cm (6-0) Born: February 1, 1978 in Sumqayıt, Azerbaijan az National Team: Azerbaijan az",Azerbaijan 
8,4,408,0,0,0,0,0,1,0,,7,,,,,,,,"Araz Abdullayev Araz Abdulla oğlu Abdullayev Position: MF ▪  Footed: Right 180cm, 77kg (5-10½, 170lb) Born: April 18, 1992 (Age: 30-125d) in Azerbaijan az National Team: Azerbaijan az Club: Sumgayit FK",Azerbaijan 
2,1,101,0,,0,0,0,0,0,0,,,,,,,,,"Rashad Abdullayev Rəşad Qəhrəman oğlu Abdullayev Position: MF 170cm, 64kg (5-6½, 141lb) Born: October 1, 1981 in Azerbaijan az National Team: Azerbaijan az",Azerbaijan 
2,0,63,0,0,0,0,0,0,0,,,,,,,,,,"Ilgar Abdurahmanov Ilgar Shair oglu Abdurahmanov Position: DF-MF 184cm (6-0) Born: March 27, 1979 in Azerbaijan az National Team: Azerbaijan az",Azerbaijan 
1,1,90,0,0,0,0,0,0,0,,,,,,,,,,"Ruslan Abışov Ruslan İbrahim oğlu Abışov Position: DF-MF (CB-DM) ▪  Footed: Right 187cm, 71kg (6-1½, 157lb) Born: October 10, 1987 (Age: 34-315d) in Azerbaijan az National Team: Azerbaijan az Club: Zira",Azerbaijan 
16,13,"1,120",0,0,0,0,0,1,0,0,,,,,,,,,"Yeliz Açar Position: FW Born: December 19, 1997 (Age: 24-245d) in Fatih, Turkey tr National Team: Azerbaijan az  Other: Turkey Club: Fatih Vatanspor",Azerbaijan 
11,8,767,0,0,0,0,1,1,0,,,,,,,,,,"Emin Ağayev Emin Rafael oğlu Ağayev Position: DF 180cm, 83kg (5-10½, 183lb) Born: August 10, 1973 in Azerbaijan az National Team: Azerbaijan az",Azerbaijan 
2,1,116,0,,0,0,0,0,0,0,,,,,,,,,"Murad Aghakishiyev Position: FW-MF 178cm (5-10) Born: June 13, 1985 in Azerbaijan az National Team: Azerbaijan az",Azerbaijan 
3,3,258,0,,0,0,0,1,0,0,,,,,,,,,Emin Aghayer Position: DF National Team: Azerbaijan az,Azerbaijan 
17,17,"1,500",0,0,0,0,0,5,2,,1,,,,,,,,"Kamran Aghayev Kamran Adilkhan oglu Aghayev Position: GK ▪  Footed: Right 189cm, 79kg (6-2, 174lb) Born: February 9, 1986 in Stantsiya Divichi, Azerbaijan az National Team: Azerbaijan az",Azerbaijan 
17,16,"1,440",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,"Salahat Aghayev Position: GK ▪  Footed: Right 192cm, 83kg (6-3½, 183lb) Born: January 4, 1991 (Age: 31-229d) in Fizuli, Azerbaijan az National Team: Azerbaijan az Club: Gabala FK",Azerbaijan 
