MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
4,2,243,1,0,1,0,0,2,0,0,,,,,,,,,"Diquan Adamson Position: FW 181cm, 73kg (5-11, 161lb) Born: February 10, 1994 National Team: Barbados bb",Barbados 
1,0,45,0,0,0,0,0,0,0,0,,,,,,,,,"Mario Albert Position: GK 190cm, 87kg (6-2½, 192lb) Born: November 10, 1991 in Holetown, Barbados bb National Team: Barbados bb",Barbados 
8,7,672,6,,6,0,0,0,0,0,,,,,,,,,"Jerry Alexander Jerry Alexander Position: FW Born: June 10, 1970 in Barbados bb National Team: Barbados bb",Barbados 
2,1,97,0,0,0,0,0,0,0,0,,,,,,,,,"Paul Alexander Position: DF 180cm, 77kg (5-10½, 170lb) Born: April 21, 1987 in Bridgetown, Barbados bb National Team: Barbados bb",Barbados 
4,4,360,0,,0,0,0,0,0,0,,,,,,,,,"Dave Alleyne Dave Alleyne Position: DF Born: February 15, 1972 in Barbados bb National Team: Barbados bb",Barbados 
4,3,345,0,,0,0,0,2,0,0,,,,,,,,,"Larry Alleyne Larry Alleyne Position: DF Born: October 13, 1970 in Barbados bb National Team: Barbados bb",Barbados 
13,9,848,0,0,0,0,0,2,0,0,,,,,,,,,"Ackeel Applewhaite Position: DF Born: July 17, 1999 (Age: 23-035d) in Barbados bb National Team: Barbados bb Club: Paradise SC",Barbados 
2,2,129,0,0,0,0,0,0,0,0,,,,,,,,,"Omar Archer Position: DF 176cm, 69kg (5-9, 152lb) Born: August 20, 1980 in Barbados bb National Team: Barbados bb",Barbados 
2,1,75,0,0,0,0,0,0,0,0,,,,,,,,,"Kadeem Atkins Position: FW 176cm, 86kg (5-9, 190lb) Born: January 1, 1992 in Bridgetown, Barbados bb National Team: Barbados bb",Barbados 
5,1,149,0,0,0,0,0,1,0,0,,,,,,,,,"Keon Atkins Keon Duquon L. Atkins Position: FW Born: May 19, 1995 (Age: 27-094d) in Barbados bb National Team: Barbados bb Club: Deacons FC",Barbados 
6,6,555,0,,0,0,0,0,0,0,,,,,,,,,"Kirk Babb Kirk Babb Position: DF Born: April 23, 1976 in Barbados bb National Team: Barbados bb",Barbados 
13,13,"1,128",0,0,0,0,0,1,0,0,,,,,,,,,"Ranaldo Bailey Ranaldo Antonio Bailey Position: DF 188cm, 87kg (6-2, 192lb) Born: July 5, 1996 in Bridgetown, Barbados bb National Team: Barbados bb",Barbados 
3,1,63,0,0,0,0,0,0,0,0,,,,,,,,,"Tito Beckles Position: DF Born: August 10, 1987 in Barbados bb National Team: Barbados bb",Barbados 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Greg Belle Position: DF 196cm (6-5) Born: July 19, 1985 in Bridgetown, Barbados bb National Team: Barbados bb",Barbados 
231,133,"11,958",46,14,33,13,14,20,0,0,146,0,0,0,0,0,0,0,"Nick Blackman Nicholas Alexander Blackman Position: FW-MF ▪  Footed: Right 188cm, 76kg (6-2, 168lb) Born: November 11, 1989 in Bury, England, United Kingdom eng Citizenship: Barbados bb  Other: England",Barbados 
5,4,383,0,,0,0,0,2,0,0,,,,,,,,,"Neil Bovell Position: DF Born: February 18, 1977 in Barbados bb National Team: Barbados bb",Barbados 
9,8,691,0,0,0,0,0,0,1,0,,,,,,,,,"Jason Boxhill Position: GK ▪  Footed: Left 183cm, 74kg (6-0, 163lb) Born: May 21, 1983 in Dover, Barbados bb National Team: Barbados bb",Barbados 
