MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Jarbi Álvarez Position: DF Born: November 1, 1976 in Belize bz National Team: Belize bz",Belize 
6,3,347,0,0,0,0,0,0,0,0,,,,,,,,,"Norman Anderson Norman Anthony Anderson Jr. Position: DF Born: January 25, 1997 (Age: 25-208d) in Belmopan, Belize bz National Team: Belize bz Club: Verdes FC",Belize 
4,4,309,0,0,0,0,0,1,0,0,,,,,,,,,"Donnel Arzu Donnel Eric Arzu Position: DF 188cm, 82kg (6-2, 181lb) Born: September 27, 1999 (Age: 22-328d) in Dangriga, Belize bz National Team: Belize bz Club: Wagiya",Belize 
2,2,137,0,0,0,0,0,0,0,0,,,,,,,,,"Michael Atkinson Position: DF 178cm, 73kg (5-10, 161lb) Born: August 16, 1990 (Age: 32-005d) in York, England, United Kingdom eng National Team: Belize bz  Other: England Club: North Leigh FC",Belize 
4,2,247,1,0,1,0,0,0,0,0,,,,,,,,,"Jessie August Jessie Amin August Position: FW Born: May 17, 2001 (Age: 21-096d) in Belize bz National Team: Belize bz Club: Verdes FC",Belize 
2,1,70,0,0,0,0,0,1,0,0,,,,,,,,,"Amin August Jr. Position: FW 193cm, 87kg (6-3½, 192lb) Born: August 16, 1990 in San Ignacio, Belize bz National Team: Belize bz",Belize 
1,0,28,0,0,0,0,0,0,0,0,,,,,,,,,"Horace Avila Horace Cyril Avila Jr. Position: MF 170cm, 73kg (5-6½, 161lb) Born: September 18, 1999 (Age: 22-337d) in Punta Gorda, Belize bz National Team: Belize bz Club: San Pedro Pirates FC",Belize 
2,0,9,0,0,0,0,0,0,0,0,,,,,,,,,"Alence Ayala Alence Denilson Ayala Position: DF Born: April 24, 1999 (Age: 23-119d) in Belize bz National Team: Belize bz Club: Verdes FC",Belize 
1,0,45,0,0,0,0,0,0,0,0,,,,,,,,,"Ajani Banner Position: MF Born: January 23, 1993 in Belmopan, Belize bz National Team: Belize bz",Belize 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Rogelio Barahona Rogelio Barahona Position: FW Born: April 29, 1966 in Belize bz National Team: Belize bz",Belize 
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"Allan Barillas Allan Scott Barillas Position: DF Born: January 13, 1999 (Age: 23-220d) in Belize bz National Team: Belize bz Club: Placencia Texmar Assassins",Belize 
3,2,194,0,0,0,0,0,0,0,0,,,,,,,,,"Deris Benavides Position: MF Born: May 1, 1976 in Belize bz National Team: Belize bz",Belize 
2,2,129,2,0,2,0,0,0,0,0,,,,,,,,,"Carlos Bernárdez Carlos Roberto Bernárdez García Position: FW Born: December 28, 1992 (Age: 29-236d) in Belize bz National Team: Belize bz  Other: Honduras Club: Real CD España",Belize 
1,1,90,1,,1,0,0,0,0,0,,,,,,,,,"Bent Burgess Position: FW Born: December 18, 1973 in Belize bz National Team: Belize bz",Belize 
1,1,83,0,,0,0,0,0,0,0,,,,,,,,,"Peter Canul Peter Nadler Canul Position: FW Born: February 24, 1980 in Belize bz National Team: Belize bz",Belize 
2,2,123,0,0,0,0,0,0,0,0,,,,,,,,,"Angelo Cappello Angelo Santo Cappello Position: FW ▪  Footed: Left Born: January 27, 2002 (Age: 20-206d) in Belize bz National Team: Belize bz",Belize 
1,0,12,0,0,0,0,0,0,0,0,,,,,,,,,"Jordan Casanova Jordan Casanova Position: DF Born: April 30, 2004 (Age: 18-113d) in Belize bz National Team: Belize bz Club: Garden City FC",Belize 
