MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Waris Aboky Gbètognon Waris Aboky Position: MF Born: July 20, 1997 in Cotonou, Benin bj National Team: Benin bj",Benin 
190,182,"16,347",3,1,3,0,0,53,6,1,142,59,3,1,72,51,0,1,"Khaled Adénon Abdoul Khaled Akiola Adenon Position: DF-MF (CB-DM) ▪  Footed: 80% Right* 181cm, 69kg (5-11, 152lb) Born: July 28, 1985 (Age: 37-024d) in Allahé, Benin bj National Team: Benin bj  Other: Côte d'Ivoire",Benin 
224,167,"15,321",9,8,9,0,0,45,0,0,156,34,0,16,59,49,0,2,"Jordan Adéoti Position: DF-MF (CB-DM) ▪  Footed: Right 183cm, 73kg (6-0, 161lb) Born: March 12, 1989 (Age: 33-162d) in Toulouse, France fr National Team: Benin bj  Other: France Club: Laval",Benin 
13,2,329,0,1,0,0,0,2,0,0,,,,,,,,,"Ryan-Segon Adigo Position: FW 181cm (5-11) Born: April 15, 2001 (Age: 21-128d) in Lübeck, Germany de National Team: Benin bj  Other: Germany",Benin 
86,68,"6,046",3,0,3,0,0,10,0,0,29,7,1,1,32,14,0,0,"Moise Adilehou Position: DF (CB) ▪  Footed: Right 190cm, 83kg (6-2½, 183lb) Born: November 1, 1995 (Age: 26-293d) in Colombes, France fr National Team: Benin bj  Other: France",Benin 
4,4,360,0,,0,0,0,2,0,0,,,,,,,,,"Anicet Adjamossi Anicet Kayodé Adjamossi Position: DF 176cm, 66kg (5-9, 146lb) Born: March 15, 1984 in Porto-Novo, Benin bj National Team: Benin bj",Benin 
60,53,"4,589",0,,0,0,,7,1,0,,,,,,,,,"Jean-Marc Adjovi-Bocco Position: DF 184cm, 81kg (6-0, 179lb) Born: December 22, 1963 in Cotonou, Benin bj National Team: Benin bj",Benin 
133,96,"8,732",22,20,19,3,4,16,3,1,44,5,0,25,5,3,0,0,"Yannick Aguemon Position: FW-MF ▪  Footed: Right 180cm, 73kg (5-10½, 161lb) Born: February 11, 1992 (Age: 30-191d) in Cotonou, Benin bj National Team: Benin bj  Other: France Club: OH Leuven",Benin 
10,2,338,2,0,2,0,0,1,0,0,4,10,0,11,5,10,,,"Joris Ahlinvi Joris Rudolph Elavagnon Ahlinvi Position: FW Born: July 13, 1995 in Benin, Benin bj Citizenship: Benin bj Draft: FC Cincinnati, 3rd round (53rd overall), 2020 MLS Draft (from Indiana)",Benin 
45,17,"1,691",2,0,2,0,0,2,0,0,44,33,3,16,10,32,0,1,"Matteo Ahlinvi Position: MF ▪  Footed: 82% Left* 183cm, 68kg (6-0, 150lb) Born: July 2, 1999 (Age: 23-050d) in Arcachon, France fr National Team: Benin bj  Other: France Club: Dijon",Benin 
55,35,"3,146",1,1,1,0,0,5,1,,,,,,,,,,"Jocelyn Ahouéya Position: MF (CM-DM) 175cm, 67kg (5-8½, 148lb) Born: December 19, 1985 in Abomey, Benin bj National Team: Benin bj",Benin 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Christophe Aïfimi Christophe Aïfimi Adelhbola Position: GK ▪  Footed: Right 184cm, 76kg (6-0, 168lb) Born: August 21, 1989 Citizenship: Benin bj  Other: Côte d'Ivoire",Benin 
68,52,"4,398",19,5,19,0,0,12,1,1,65,69,20,96,27,29,,,"Tosin Aiyegun Position: FW-MF 179cm, 74kg (5-10, 163lb) Born: June 26, 1998 (Age: 24-056d) in Lagos, Nigeria ng National Team: Benin bj  Other: Nigeria Club: FC Zurich",Benin 
9,6,415,1,0,1,0,0,2,0,,,,,,,,,,"Christian Akande Kotchoni Position: FW ▪  Footed: Right 195cm (6-4½) Born: July 20, 1988 in Parakou, Benin bj Citizenship: Benin bj",Benin 
44,42,"3,788",17,,17,0,0,12,0,0,,,,,,,,,"Samson Akinyoola Samson Olanrewaju Akinyoola Position: FW Born: March 3, 2000 (Age: 22-171d) in Benin, Benin bj Citizenship: Benin bj Club: Caracas",Benin 
136,136,"12,216",0,0,0,0,0,8,0,0,2,3,0,0,0,2,0,1,"Saturnin Allagbé Position: GK ▪  Footed: 92% Right* 187cm, 79kg (6-1½, 174lb) Born: November 22, 1993 (Age: 28-272d) in Mauritania mr National Team: Benin bj Club: Dijon Wages: € 6k Weekly ❌ Expires June 2024. Via Capology.",Benin 
21,18,"1,589",0,0,0,0,0,3,0,,,,,,,,,,"Moudachirou Amadou Position: DF (CB) 184cm (6-0) Born: December 11, 1971 in Cotonou, Benin bj National Team: Benin bj",Benin 
6,3,270,0,0,0,0,0,1,0,0,,,,,,,,,"Pascal Angan Jean Louis Pascal Angan Position: MF (AM) 178cm, 78kg (5-10, 172lb) Born: April 19, 1986 in Odienné, Côte d'Ivoire ci National Team: Benin bj  Other: Côte d'Ivoire",Benin 
7,2,277,0,0,0,0,0,0,0,0,,,,,,,,,"Mohamed Aoudou Mohamed Aoudou Golanne Position: FW 190cm, 87kg (6-2½, 192lb) Born: February 19, 1990 in Aplahoué, Benin bj National Team: Benin bj",Benin 
