MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
4,4,360,0,,0,0,0,0,0,0,,,,,,,,,"Dwayne Adams Dwayne Adams Position: GK Born: June 24, 1972 in Bermuda, Bermuda bm National Team: Bermuda bm",Bermuda 
9,3,439,2,,2,0,0,1,0,0,,,,,,,,,"Stephen Astwood Stephen Arnez Astwood Position: MF 185cm (6-½) Born: September 8, 1981 in Bermuda, Bermuda bm National Team: Bermuda bm",Bermuda 
62,46,"3,883",11,2,11,0,0,5,0,,55,,,,,,,,"John Barry Nusum Position: FW 180cm (5-10½) Born: March 18, 1981 in Mineola, New York, United States us National Team: Bermuda bm  Other: United States Draft: Columbus Crew, 3rd round (35th overall), 2002 MLS Draft (from Furman)",Bermuda 
1,1,69,0,,0,0,0,0,0,0,,,,,,,,,"David Bascome David Scott Bascome Position: FW 178cm (5-10) Born: January 29, 1970 National Team: Bermuda bm",Bermuda 
7,6,521,0,0,0,0,0,1,0,0,,,,,,,,,"Drewonde Bascome Position: MF 170cm, 73kg (5-6½, 161lb) Born: November 17, 1992 in Bermuda, Bermuda bm National Team: Bermuda bm",Bermuda 
4,2,213,0,0,0,0,0,1,0,0,,,,,,,,,"Chikosi Basden Chikosi Davante Basden Position: DF Born: February 1, 1995 in Bermuda, Bermuda bm National Team: Bermuda bm",Bermuda 
18,18,"1,620",2,0,2,0,0,4,0,0,2,2,0,1,4,3,,,"Jaylon Bather Jaylon Wayne Bather Position: DF Born: December 31, 1992 (Age: 29-233d) in Bermuda, Bermuda bm National Team: Bermuda bm Club: Robin Hood FC",Bermuda 
9,8,689,0,0,0,0,0,0,0,0,,,,,,,,,"Keishen Bean Position: FW-MF 178cm, 78kg (5-10, 172lb) Born: March 17, 1987 in Bermuda, Bermuda bm National Team: Bermuda bm",Bermuda 
7,1,225,0,1,0,0,0,0,0,0,,,,,,,,,"Keishon Bean Position: FW Born: February 19, 2000 (Age: 22-183d) National Team: Bermuda bm Club: PHC Zebras",Bermuda 
5,3,260,3,,3,0,0,0,0,0,,,,,,,,,"Ralph Bean Position: MF Born: May 20, 1980 in Bermuda, Bermuda bm National Team: Bermuda bm",Bermuda 
3,1,99,0,0,0,0,0,1,0,0,,,,,,,,,"Jomei Bean-Lindo Jomei Bean-Lindo Position: MF Born: May 9, 1998 (Age: 24-104d) in Hamilton, Bermuda bm National Team: Bermuda bm Club: Dandy Town Hornets FC",Bermuda 
3,3,270,0,0,0,0,0,0,0,0,,,,,,,,,"Detre Bell Position: GK 179cm, 69kg (5-10, 152lb) Born: August 3, 1996 (Age: 26-018d) in Hamilton, Bermuda bm National Team: Bermuda bm",Bermuda 
1,1,70,0,0,0,0,0,0,0,0,,,,,,,,,"Justin Bell Justin Bell Position: FW Born: March 20, 1998 (Age: 24-154d) in Bermuda, Bermuda bm National Team: Bermuda bm Club: North Village Rams",Bermuda 
2,2,180,0,0,0,0,0,0,1,0,,,,,,,,,"Tahj Bell Tahj-Michael Bell Position: GK Born: May 12, 1991 in Bermuda, Bermuda bm National Team: Bermuda bm",Bermuda 
5,5,413,0,0,0,0,0,0,0,0,,,,,,,,,"Eusebio Blankendal Eusebio Yasir Isaac Eugene Blankendal Position: DF Born: November 3, 1998 (Age: 23-291d) in Bermuda, Bermuda bm National Team: Bermuda bm Club: Dandy Town Hornets FC",Bermuda 
1,0,11,0,0,0,0,0,0,0,0,,,,,,,,,"Zenawi Bowen Zenawi W. R. Bowen Position: DF Born: February 16, 1998 in Bermuda, Bermuda bm National Team: Bermuda bm",Bermuda 
3,3,244,1,,1,0,0,0,0,0,,,,,,,,,"Devarr Boyles Position: MF Born: July 18, 1970 in Bermuda, Bermuda bm National Team: Bermuda bm",Bermuda 
2,1,119,0,0,0,0,0,0,0,0,,,,,,,,,"Chae Brangman Chae Brangman Position: FW Born: February 12, 1995 (Age: 27-190d) in Bermuda, Bermuda bm National Team: Bermuda bm Club: Robin Hood FC",Bermuda 
11,11,958,1,1,1,0,0,0,0,0,2,2,0,4,3,6,,,"Donte Brangman Donte Brian Brangman Position: MF 173cm, 73kg (5-8, 161lb) Born: June 26, 1994 National Team: Bermuda bm",Bermuda 
1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,"Ajani Burchall Ajani Burchall Position: FW Born: November 3, 2004 in Hamilton, Bermuda bm Citizenship: Bermuda bm",Bermuda 
