MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
2,0,73,0,0,0,0,0,0,0,0,,,,,,,,,"Dhan Bahadur Biswa Position: DF 168cm (5-6) Born: July 6, 1994 in Samtse, Bhutan bt National Team: Bhutan bt",Bhutan 
9,7,661,0,0,0,0,0,2,0,0,,,,,,,,,"Man Bahadur Gurung Position: FW ▪  Footed: Right 162cm, 63kg (5-3½, 139lb) Born: March 15, 1993 in Samtse, Bhutan bt National Team: Bhutan bt",Bhutan 
8,8,720,0,,0,0,0,1,0,0,,,,,,,,,"Krishna Bahadur Subba Position: DF Born: May 14, 1972 National Team: Bhutan bt",Bhutan 
17,15,"1,251",1,0,1,0,0,0,0,0,,,,,,,,,"Biren Basnet Biran Basnet Position: MF (WM) ▪  Footed: Right 170cm, 63kg (5-6½, 139lb) Born: October 20, 1994 in Bhutan bt National Team: Bhutan bt",Bhutan 
6,5,433,0,0,0,0,0,0,1,0,,,,,,,,,"Chimi C. Dorji Position: MF ▪  Footed: Right 175cm, 69kg (5-8½, 152lb) Born: December 22, 1993 (Age: 28-242d) in Samtse, Bhutan bt National Team: Bhutan bt Club: Paro FC",Bhutan 
7,6,474,1,,1,0,0,3,0,0,,,,,,,,,"Dinesh Chhetri Position: FW 170cm (5-6½) Born: February 23, 1970 National Team: Bhutan bt",Bhutan 
7,4,435,1,,1,0,0,0,1,0,,,,,,,,,"Pema Chophel Position: FW-MF 163cm, 66kg (5-4, 146lb) Born: August 6, 1981 in Bhutan bt National Team: Bhutan bt",Bhutan 
10,6,506,0,0,0,0,0,0,0,0,,,,,,,,,"Lungtok Dawa Lungtop Dawa Position: MF ▪  Footed: Right 168cm, 54kg (5-6, 119lb) Born: December 18, 1998 in Bhutan bt National Team: Bhutan bt",Bhutan 
1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,"Tshering Dendup Position: GK 175cm (5-8½) Born: April 4, 1994 in Bhutan bt National Team: Bhutan bt",Bhutan 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Tshering Dendup Position: GK 157cm, 57kg (5-1½, 126lb) Born: January 21, 1992 (Age: 30-212d) in Thimphu, Bhutan bt National Team: Bhutan bt",Bhutan 
7,6,419,0,,0,0,0,1,0,0,,,,,,,,,"Ngawang Dhendup Position: FW Born: September 20, 1984 in Pemagatshel, Bhutan bt National Team: Bhutan bt",Bhutan 
7,7,519,1,0,1,0,0,1,0,0,,,,,,,,,"Dorji Position: FW 176cm, 73kg (5-9, 161lb) Born: January 1, 1995 in Tsirang, Bhutan bt National Team: Bhutan bt",Bhutan 
23,23,"2,070",1,0,1,0,0,1,0,0,,,,,,,,,"Jigme Dorji Jigme Tshering Dorji Position: DF ▪  Footed: Right 185cm, 83kg (6-½, 183lb) Born: February 26, 1995 (Age: 27-176d) in Thimphu, Bhutan bt National Team: Bhutan bt",Bhutan 
8,7,634,0,,0,0,0,0,0,0,,,,,,,,,"Kinley Dorji Position: MF 165cm, 68kg (5-4½, 150lb) Born: August 30, 1986 in Thimphu, Bhutan bt National Team: Bhutan bt",Bhutan 
5,2,266,0,0,0,0,0,1,0,0,,,,,,,,,"Chhuma Dorji Lepcha Position: FW Born: March 6, 1993 (Age: 29-168d) in Samtse, Bhutan bt National Team: Bhutan bt",Bhutan 
23,13,"1,155",0,0,0,0,0,1,0,0,,,,,,,,,"Lhendup Dorji Position: FW 170cm (5-6½) Born: December 5, 1994 (Age: 27-259d) in Paro, Bhutan bt National Team: Bhutan bt Club: LoneStar Kashmir FC",Bhutan 
