MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
58,58,"5,159",0,0,0,0,0,3,1,,,,,,,,,,"Abdi Abdikov Абди Абдиков Position: GK 191cm (6-3) Born: September 9, 1983 in Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
78,44,"4,275",11,3,11,0,0,6,0,,,,,,,,,,"Rangel Abushev Rangel Minkov Abushev Рангел Абушев Position: FW-MF (WM) 180cm (5-10½) Born: May 26, 1989 in Plovdiv, Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
6,5,476,0,0,0,0,0,1,0,0,,,,,,,,,"Martin Achkov Martin Hristov Achkov Position: DF Born: July 10, 1999 (Age: 23-043d) Citizenship: Bulgaria bg Club: Septemvri Sofia",Bulgaria 
2,2,152,1,0,1,0,0,0,0,,,,,,,,,,"Kostadin Adzhov Костадин Аджов Position: FW 185cm (6-½) Born: May 19, 1991 in Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
1,0,11,0,0,0,0,0,0,0,0,,,,,,,,,"Atila Ahmed Atila Ahmed Position: FW ▪  Footed: Right Born: April 22, 2002 Citizenship: Bulgaria bg",Bulgaria 
38,25,"1,924",1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,"Emin Ahmed Position: MF 172cm, 63kg (5-7½, 139lb) Born: March 10, 1996 in Kŭrdzhali, Bulgaria bg Youth National Team: Bulgaria bg",Bulgaria 
76,46,"4,350",15,0,14,1,1,16,0,0,,,,,,,,,"Ahmed Ahmedov Position: FW ▪  Footed: Left 184cm, 74kg (6-0, 163lb) Born: March 4, 1995 (Age: 27-171d) in Burgas, Bulgaria bg Citizenship: Bulgaria bg Club: Slavia Sofia",Bulgaria 
6,6,515,2,0,2,0,0,1,0,0,,,,,,,,,"Oktay Ahmedov Hamdiev Position: FW Born: July 24, 2000 (Age: 22-029d) Citizenship: Bulgaria bg Club: PFC Hebar Pazardzhik",Bulgaria 
45,45,"3,887",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,"Kiril Akalski Kiril Najdenow Akalski Кирил Акалски Position: GK ▪  Footed: Right 186cm (6-1) Born: October 17, 1985 in Plovdiv, Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
1,1,90,0,0,0,0,0,0,0,,,,,,,,,,"Ivelin Aladzhov Ивелин Аладжов Position: DF (FB, right) Born: April 29, 1994 in Obshtina Teteven, Bulgaria bg Youth National Team: Bulgaria bg",Bulgaria 
1,1,90,0,,0,0,,0,0,0,,,,,,,,,"Stefan Aladzhov Stefan Atanasov Aladzhov Стефан Аладжов Position: DF (FB, left) Born: October 18, 1947 in Bulgaria bg National Team: Bulgaria bg",Bulgaria 
4,0,174,0,0,0,0,0,0,0,,,,,,,,,,"Ventsislav Aldev Венцислав Алдев Position: MF 178cm (5-10) Born: August 11, 1977 in Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
45,30,"2,760",3,1,3,0,0,8,0,0,,0,0,0,0,0,0,0,"Aleksandar Aleksandrov Position: FW 178cm, 73kg (5-10, 161lb) Born: March 28, 1994 (Age: 28-147d) in Pernik, Bulgaria bg Citizenship: Bulgaria bg Club: Lokomotiv Sofia",Bulgaria 
215,169,"14,872",35,33,28,7,9,35,3,,,,,,,,,,"Aleksandar Aleksandrov Aleksandar Yordanov Aleksandrov Александър Александров Position: FW-MF (AM) 175cm, 76kg (5-8½, 168lb) Born: January 19, 1975 in Plovdiv, Bulgaria bg National Team: Bulgaria bg",Bulgaria 
187,180,"16,170",2,3,2,0,0,29,3,0,0,0,0,0,0,0,0,0,"Aleksandar Aleksandrov Aleksandar Dragomirov Aleksandrov Александър Драгомиров Александров Position: DF (CB) 186cm, 76kg (6-1, 168lb) Born: April 13, 1986 in Obshtina Shumen, Bulgaria bg National Team: Bulgaria bg",Bulgaria 
51,32,"2,847",5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,"Denislav Aleksandrov Denislav Martinov Aleksandrov Position: MF 182cm, 64kg (5-11½, 141lb) Born: July 19, 1997 (Age: 25-034d) in Pleven, Bulgaria bg National Team: Bulgaria bg Club: FK CSKA 1948 Sofia",Bulgaria 
37,35,"3,148",0,0,0,0,0,4,0,0,,0,0,0,0,0,0,0,"Evgeni Aleksandrov Евгени Александров Position: GK 198cm (6-5½) Born: June 14, 1988 in Obshtina Elin Pelin, Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
18,12,"1,109",0,0,0,0,0,5,0,0,,,,,,,,,"Georgi Aleksandrov Georgi Krasimirov Aleksandrov Position: DF ▪  Footed: Left 187cm, 78kg (6-1½, 172lb) Born: May 21, 2001 in Sofia, Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
4,0,57,0,0,0,0,0,0,0,0,,,,,,,,,"Teodor Aleksandrov Kostadinov Position: FW 190cm (6-2½) Born: March 3, 2001 in Sofia, Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
184,105,"10,215",17,10,17,0,0,22,1,0,25,0,0,0,0,0,0,0,"Mihail Aleksandrov Mihail Ivanov Aleksandrov Михаил Александров Position: MF (WM) ▪  Footed: Both 180cm, 73kg (5-10½, 161lb) Born: June 11, 1989 in Bulgaria bg National Team: Bulgaria bg",Bulgaria 
314,301,"26,689",3,6,3,0,0,91,5,2,0,0,0,0,0,0,0,0,"Sasho Aleksandrov Aleksandar Emilov Aleksandrov Александър Емилов Александров Position: DF (FB, right) 175cm, 69kg (5-8½, 152lb) Born: July 30, 1986 (Age: 36-023d) in Bulgaria bg Citizenship: Bulgaria bg Club: FK CSKA 1948 Sofia",Bulgaria 
5,5,405,2,0,2,0,0,1,0,0,,,,,,,,,"Simeon Aleksandrov Simeon Aleksandrov Position: FW Born: September 24, 2003 (Age: 18-332d) Youth National Team: Bulgaria bg Club: Septemvri Sofia",Bulgaria 
7,5,421,0,0,0,0,0,1,0,0,,,,,,,,,"Yuliana Aleksandrova Position: FW Born: February 21, 1999 (Age: 23-182d) National Team: Bulgaria bg Club: NSA Sofia",Bulgaria 
25,16,"1,558",5,1,5,0,0,5,1,,,,,,,,,,"Dimitar Aleksiev Position: FW 178cm (5-10) Born: July 28, 1993 (Age: 29-025d) in Bulgaria bg Citizenship: Bulgaria bg Club: Sportist Svoge",Bulgaria 
27,9,964,1,0,1,0,0,3,0,0,,,,,,,,,"Dzhuinet Ali Position: DF ▪  Footed: Right 174cm (5-8½) Born: September 5, 1994 (Age: 27-351d) Citizenship: Bulgaria bg Club: FC Arda",Bulgaria 
5,1,148,0,0,0,0,0,1,0,0,,,,,,,,,"Stefan Alichkov Position: MF Born: January 21, 1997 Citizenship: Bulgaria bg",Bulgaria 
37,31,"2,678",4,0,4,0,0,6,0,,,,,,,,,,"Petar Alyoshev Petar Alyoshev Petrov Position: DF 187cm (6-1½) Born: May 11, 1987 in Vratsa, Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
64,42,"4,003",2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,"Georgi Amzin Георги Амзин Position: MF 186cm (6-1) Born: March 2, 1992 in Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
4,4,360,0,,0,0,,0,1,0,,,,,,,,,"Antonio Ananiev Antonio Ananiew Антонио Ананиев Position: GK 187cm (6-1½) Born: May 8, 1965 in Bulgaria bg National Team: Bulgaria bg",Bulgaria 
12,12,983,0,0,0,0,0,3,0,,,,,,,,,,"Darin Andonov Darin Georgiev Andonov Position: DF 185cm (6-½) Born: August 2, 1986 in Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
29,24,"2,195",0,0,0,0,0,9,0,,,,,,,,,,"Dimitar Andonov Dimitar Veselinov Andonov Димитър Андонов Position: MF 187cm (6-1½) Born: October 19, 1987 in Ivaylovgrad, Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
219,182,"16,016",53,17,46,7,9,27,1,0,0,0,0,0,0,0,0,0,"Georgi Andonov Georgi Bonchev Andonov Георги Андонов Position: FW 180cm, 78kg (5-10½, 172lb) Born: June 28, 1983 in Plovdiv, Bulgaria bg National Team: Bulgaria bg",Bulgaria 
24,19,"1,633",4,,4,0,,2,0,0,,,,,,,,,"Ivaylo Andonov Ivajlo Viktorov Andonov Ивайло Андонов Position: FW Born: August 14, 1967 in Blagoevgrad, Bulgaria bg National Team: Bulgaria bg",Bulgaria 
27,12,"1,136",2,1,2,0,0,2,0,,,,,,,,,,"Stanimir Andonov Stanimir Ivelinov Andonov Position: MF 175cm (5-8½) Born: September 30, 1989 in Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
6,3,340,0,0,0,0,0,0,0,0,,,,,,,,,"Plamen Andreev Plamen Andreev Position: GK ▪  Footed: Right 180cm (5-10½) Born: December 15, 2004 (Age: 17-250d) in Sofia, Bulgaria bg Citizenship: Bulgaria bg Club: Levski Sofia",Bulgaria 
6,6,430,0,0,0,0,0,2,0,0,,,,,,,,,"Yancho Andreev Yancho Andreev Position: MF Born: January 8, 1990 (Age: 32-226d) Citizenship: Bulgaria bg Club: FC Spartak Varna",Bulgaria 
10,5,520,1,0,1,0,0,1,1,,,,,,,,,,"Yancho Andreev Yancho Ivanov Andreev Position: DF-MF (WM, right) 182cm (5-11½) Born: September 16, 1990 in Dobrich, Bulgaria bg Citizenship: Bulgaria bg",Bulgaria 
22,20,"1,571",0,1,0,0,0,8,0,,,,,,,,,,"Radoslav Anev Radoslav Banchov Anev Радослав Анев Position: MF 173cm (5-8) Born: February 1, 1985 in Blagoevgrad, Bulgaria bg Youth National Team: Bulgaria bg",Bulgaria 
1,0,5,0,0,0,0,0,0,0,0,,,,,,,,,"Angel Angelov Angel Angelov Position: MF Born: November 17, 1999 (Age: 22-278d) Youth National Team: Bulgaria bg Club: Cherno More",Bulgaria 
12,0,103,0,0,0,0,0,2,0,0,,,,,,,,,"Ayvan Angelov Ayvan Angelov Position: MF ▪  Footed: Right 168cm (5-6) Born: October 10, 2001 (Age: 20-316d) in Lovech, Bulgaria bg Citizenship: Bulgaria bg Club: PFC Belasitsa Petrich",Bulgaria 
40,7,"1,194",2,0,2,0,0,6,0,0,,,,,,,,,"Denislav Angelov Position: FW ▪  Footed: Right 177cm, 69kg (5-9½, 152lb) Born: June 8, 2001 (Age: 21-075d) Youth National Team: Bulgaria bg Club: PFC Dobrudzha Dobrich",Bulgaria 
