MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
54,41,"3,667",0,1,0,0,0,12,1,0,70,57,2,74,69,53,0,0,"Abduhamit Abdugheni Abudouhaimiti Abudougeni Position: DF 184cm, 72kg (6-0, 159lb) Born: March 10, 1998 (Age: 24-166d) Citizenship: China PR cn Club: Chengdu Better City FC",China PR 
8,1,196,1,0,1,0,0,1,0,0,3,9,3,3,8,3,,,"Ablikim Abdulsalam Ablikim Abdulsalam Position: MF Born: January 5, 2003 (Age: 19-230d) Citizenship: China PR cn Club: Zhejiang Greentown",China PR 
17,6,635,1,0,1,0,0,1,0,0,17,7,0,4,19,8,,,"Haliq Ablahan Ablahan Haliq Position: MF 186cm (6-1) Born: April 26, 2001 (Age: 21-119d) Citizenship: China PR cn Club: Shanghai SIPG",China PR 
78,68,"5,615",0,1,0,0,0,12,0,0,27,27,7,71,97,38,0,0,"Abduwali Ablet 阿布都外力·阿布来提 Position: DF 181cm, 63kg (5-11, 139lb) Born: April 14, 1987 in Karamay, China PR cn Citizenship: China PR cn",China PR 
1,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,1,,,"Abudurousuli Abudulamu Abudulamu Abudurousuli Position: MF Born: March 10, 2001 (Age: 21-166d) Youth National Team: China PR cn Club: Shandong Luneng Taishan",China PR 
9,7,639,0,1,0,0,0,5,2,1,21,14,1,15,3,4,,,"Asqer Afrden Afrden Asqer Position: MF 180cm, 68kg (5-10½, 150lb) Born: September 15, 2003 (Age: 18-342d) Citizenship: China PR cn Club: Guangzhou Evergrande Taobao",China PR 
24,23,"2,134",9,0,9,0,0,2,0,0,3,,,,,,,,"Liu Ailing 刘爱玲 Position: MF Born: June 2, 1967 in Baotou, China PR cn Citizenship: China PR cn",China PR 
1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yang Ailong Position: MF Born: January 2, 1995 Citizenship: China PR cn",China PR 
4,0,7,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,"Shirmemet Ali Ali Shirmemet Position: MF Born: July 1, 1997 Citizenship: China PR cn",China PR 
5,0,44,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,"Ning An 宁安 Position: MF 173cm, 64kg (5-8, 141lb) Born: October 8, 1995 (Age: 26-319d) in Guangzhou, China PR cn Citizenship: China PR cn Club: Guangzhou R&F",China PR 
157,147,"13,215",13,8,11,2,2,34,0,0,110,74,6,121,148,76,0,1,"Li Ang 李昂 (足球运动员) Position: DF (CB) 187cm, 84kg (6-1½, 185lb) Born: September 15, 1993 (Age: 28-342d) in Peicheng, China PR cn National Team: China PR cn Club: Shanghai SIPG",China PR 
6,1,96,0,0,0,0,0,0,0,0,4,1,0,3,0,1,0,0,"Memet-Ali Anwar Position: FW 176cm, 69kg (5-9, 152lb) Born: September 10, 1997 (Age: 24-347d) Citizenship: China PR cn Club: Shijiazhuang Ever Bright",China PR 
1,0,12,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,,"Chen Ao Ao Chen Position: MF Born: July 17, 2000 Youth National Team: China PR cn",China PR 
1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zhang Aokai 张奥凯 Position: MF 176cm, 66kg (5-9, 146lb) Born: February 18, 2000 in Xianyang, China PR cn Citizenship: China PR cn",China PR 
11,8,690,0,0,0,0,0,3,0,0,9,8,0,1,10,12,,,"Nie Aoshuang Aoshuang Nie Position: MF Born: January 16, 1995 (Age: 27-219d) Youth National Team: China PR cn Club: Wuhan Zall",China PR 
30,8,853,1,1,1,0,0,5,0,0,16,3,0,4,5,6,0,0,"Fan Baiqun 范柏群 Position: MF 178cm, 74kg (5-10, 163lb) Born: February 18, 1987 in China PR cn Citizenship: China PR cn",China PR 
21,10,803,0,0,0,0,0,0,0,0,6,14,3,0,3,2,0,0,"Xiang Baixu 向柏旭 Position: FW 188cm, 74kg (6-2, 163lb) Born: August 9, 1995 (Age: 27-014d) in China PR cn Youth National Team: China PR cn Club: Chengdu Better City FC",China PR 
7,4,281,0,0,0,0,0,0,0,0,1,1,1,2,1,1,,,"Liu Baiyang Baiyang Liu Position: FW Born: April 6, 2003 (Age: 19-139d) Citizenship: China PR cn Club: Shanghai SIPG",China PR 
183,148,"13,209",7,10,7,0,0,24,0,0,115,78,5,191,22,47,0,0,"Zhu Baojie 朱宝杰 Position: MF 180cm, 67kg (5-10½, 148lb) Born: August 11, 1989 (Age: 33-012d) in Liuzhou Shi, China PR cn Citizenship: China PR cn Club: Shanghai Greenland Shenhua",China PR 
2,1,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,"Xie Baoxian Baoxian Xie Position: MF Born: January 9, 1997 Citizenship: China PR cn",China PR 
24,10,622,0,0,0,0,0,1,0,0,12,4,0,10,1,5,,,"Muhammateli Bari Bari Muhammateli Position: FW ▪  Footed: Right 175cm, 72kg (5-8½, 159lb) Born: October 27, 1989 Citizenship: China PR cn",China PR 
162,142,"12,488",4,14,4,0,0,21,0,0,119,14,0,5,14,11,0,1,"Li Benjian 李本舰 Position: MF 181cm, 74kg (5-11, 163lb) Born: March 5, 1986 in Qingdao, China PR cn Citizenship: China PR cn",China PR 
2,0,26,0,0,0,0,0,1,0,0,,,,,,,,,"Sun Bernard Position: MF Born: February 3, 1999 Citizenship: China PR cn",China PR 
80,38,"3,511",6,3,6,0,0,12,0,0,62,1,0,0,0,0,0,0,"Mao Biao 毛彪 Position: FW-MF (WM) 183cm, 74kg (6-0, 163lb) Born: July 24, 1987 in China PR cn National Team: China PR cn",China PR 
13,10,785,0,0,0,0,0,3,1,0,18,4,0,28,3,0,,,"Gu Bin 顾斌 Position: MF 174cm, 63kg (5-8½, 139lb) Born: November 10, 1991 (Age: 30-286d) in Shanghai, China PR cn Citizenship: China PR cn Club: Zhejiang Greentown",China PR 
16,4,458,0,0,0,0,0,3,0,0,8,6,0,27,9,11,0,1,"Liu Bin Bin Liu Position: MF 184cm (6-0) Born: May 2, 1998 (Age: 24-113d) Citizenship: China PR cn Club: Chengdu Better City FC",China PR 
1,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Wang Bin 王宾 (足球运动员) Position: DF (CB) 185cm (6-½) Born: May 23, 1989 in Beijing, China PR cn Citizenship: China PR cn",China PR 
9,2,238,0,0,0,0,0,1,0,0,3,0,0,10,6,3,0,0,"Yu Bin Bin Yu Position: DF 178cm, 63kg (5-10, 139lb) Born: December 6, 1995 Citizenship: China PR cn",China PR 
12,7,615,1,,1,0,0,0,0,0,,,,,,,,,"Zheng Bin 郑斌 Position: DF-FW-MF (WM, left) 174cm (5-8½) Born: July 4, 1977 in Wuhan, China PR cn National Team: China PR cn",China PR 
59,33,"2,497",1,7,1,0,0,5,0,0,60,40,7,137,16,30,0,1,"Chen Binbin Position: MF 177cm, 78kg (5-9½, 172lb) Born: June 10, 1998 (Age: 24-074d) in Xinyang, China PR cn National Team: China PR cn Club: Shanghai SIPG",China PR 
158,75,"7,537",16,18,16,0,0,6,0,0,53,58,16,213,16,35,1,0,"Liu Binbin 刘彬彬 Position: MF (WM, left) 172cm, 72kg (5-7½, 159lb) Born: June 16, 1993 (Age: 29-068d) in Meizhou, China PR cn National Team: China PR cn Club: Shandong Luneng Taishan",China PR 
55,15,"2,914",6,4,6,0,0,4,0,0,39,35,2,54,19,16,1,0,"Jin Bo 金波 Position: FW 176cm, 69kg (5-9, 152lb) Born: January 20, 1993 (Age: 29-215d) in Helong, China PR cn Citizenship: China PR cn Club: Guangzhou R&F",China PR 
130,121,"9,964",39,25,33,6,9,9,0,0,67,1,0,0,0,0,0,0,"Qu Bo 曲波 Position: FW-MF (WM) 182cm, 69kg (5-11½, 152lb) Born: July 15, 1981 in China PR cn National Team: China PR cn",China PR 
72,21,"2,301",3,5,3,0,0,7,1,0,52,29,4,56,9,27,0,0,"Sun Bo 孙铂 Position: MF 184cm, 69kg (6-0, 152lb) Born: January 22, 1991 (Age: 31-213d) in Dalian, China PR cn Citizenship: China PR cn Club: Dalian Yifang",China PR 
79,64,"5,858",2,0,2,0,0,7,1,0,47,,,,,,,,"Wang Bo 王博 Position: DF 183cm, 72kg (6-0, 159lb) Born: May 8, 1982 in Shanhaiguan, China PR cn Citizenship: China PR cn",China PR 
129,119,"10,609",3,5,3,0,0,38,3,0,88,10,1,3,30,10,0,1,"Xu Bo 许博 Position: DF 188cm, 87kg (6-2, 192lb) Born: May 18, 1985 in Shanhaiguan, China PR cn National Team: China PR cn",China PR 
10,10,900,0,0,0,0,0,2,0,0,0,3,0,0,1,0,,,"Zhao Bo Bo Zhao Position: GK 189cm (6-2) Born: September 17, 1993 (Age: 28-340d) Citizenship: China PR cn Club: Zhejiang Greentown",China PR 
105,73,"6,548",1,5,1,0,0,17,0,0,62,4,0,9,3,1,0,0,"Liao Bochao 聊博超 Position: DF 180cm, 76kg (5-10½, 168lb) Born: July 16, 1987 in China PR cn Citizenship: China PR cn",China PR 
133,121,"10,330",15,25,12,3,3,16,1,0,78,,,,,,,,"Lu Bofei 陆博飞 Position: MF 174cm, 77kg (5-8½, 170lb) Born: August 2, 1979 in Beijing, China PR cn National Team: China PR cn",China PR 
13,4,333,0,1,0,0,0,2,0,0,4,6,0,2,1,3,,,"Huang Bowen Bowen Huang Position: DF Born: February 15, 1996 Citizenship: China PR cn",China PR 
231,177,"15,734",15,28,14,1,1,39,0,0,138,51,7,268,64,69,0,0,"Huang Bowen 黄博文 Position: MF 177cm, 71kg (5-9½, 157lb) Born: July 13, 1987 in Changsha, China PR cn National Team: China PR cn",China PR 
1,1,60,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,"Li Boxi Boxi Li Position: FW ▪  Footed: Right 187cm (6-1½) Born: October 30, 2000 (Age: 21-297d) in Hebei, China PR cn Citizenship: China PR cn Club: Beijing Sinobo Guoan",China PR 
47,28,"2,430",2,2,2,0,0,2,0,0,40,20,0,79,27,37,0,0,"Feng Boxuan Position: MF 181cm, 74kg (5-11, 163lb) Born: March 18, 1997 (Age: 25-158d) Youth National Team: China PR cn Club: Henan Jianye",China PR 
136,88,"7,492",6,11,6,0,0,20,2,0,75,22,5,39,5,6,0,0,"Song Boxuan 宋博轩 Position: MF (WM, left) ▪  Footed: Right 180cm, 73kg (5-10½, 161lb) Born: September 16, 1989 in China PR cn National Team: China PR cn",China PR 
3,0,41,0,0,0,0,0,0,0,0,2,0,1,1,1,0,,,"Jia Boyan Boyan Jia Position: MF 168cm, 66kg (5-6, 146lb) Born: November 30, 2003 in Luoyang, China PR cn Citizenship: China PR cn",China PR 
31,21,"1,783",0,0,0,0,0,9,1,1,32,12,0,35,32,20,0,0,"Liu Boyang Boyang Liu Position: DF Born: January 18, 1997 Youth National Team: China PR cn",China PR 
38,38,"3,419",0,0,0,0,0,3,1,1,2,2,0,0,1,0,0,1,"Su Boyang Position: GK 182cm, 73kg (5-11½, 161lb) Born: January 20, 1989 in Beijing, China PR cn Citizenship: China PR cn",China PR 
168,147,"13,056",6,1,6,0,0,34,2,0,115,27,5,4,46,27,0,0,"Yang Boyu 杨博宇 Position: DF (CB) 186cm, 79kg (6-1, 174lb) Born: June 24, 1989 (Age: 33-060d) in Dalian, China PR cn Citizenship: China PR cn Club: Shenzhen FC",China PR 
18,4,496,0,0,0,0,0,3,0,0,10,2,2,1,3,5,0,0,"Feng Boyuan Position: FW 189cm, 77kg (6-2, 170lb) Born: January 18, 1995 in Nanjing, China PR cn Citizenship: China PR cn",China PR 
86,76,"6,848",0,0,0,0,0,9,0,0,59,24,0,7,115,53,0,0,"Tyias Browning Tyias Charles Browning Position: DF (CB) ▪  Footed: Right 181cm, 76kg (5-11, 168lb) Born: May 27, 1994 (Age: 28-088d) in Liverpool, England, United Kingdom eng National Team: China PR cn  Other: England Club: Guangzhou Evergrande Taobao",China PR 
4,4,318,1,0,1,0,0,0,0,0,,,,,,,,,"Xie Caixia Position: MF Born: February 17, 1976 Citizenship: China PR cn",China PR 
176,155,"14,027",0,1,0,0,0,38,2,0,125,62,0,10,179,96,0,3,"Gu Cao 顾操 Position: DF (CB) ▪  Footed: Right 182cm, 74kg (5-11½, 163lb) Born: May 31, 1988 (Age: 34-084d) in Shanghai, China PR cn Citizenship: China PR cn Club: Henan Jianye",China PR 
252,175,"15,576",122,30,115,7,10,23,3,0,102,179,21,82,19,32,6,0,"Alan Carvalho Alan Douglas Borges de Carvalho Position: FW-MF ▪  Footed: Right 183cm, 73kg (6-0, 161lb) Born: July 10, 1989 (Age: 33-044d) in Barbosa, Brazil br National Team: China PR cn  Other: Brazil Club: Guangzhou Evergrande Taobao",China PR 
41,8,"1,009",0,0,0,0,0,2,0,0,20,17,4,5,8,6,0,0,"Cheng Changcheng 程长城 Position: FW 180cm, 78kg (5-10½, 172lb) Born: March 27, 1991 (Age: 31-149d) in Dengzhou, China PR cn Citizenship: China PR cn Club: Changchun Yatai",China PR 
5,4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yin Changji 尹昌吉 Position: DF 175cm, 63kg (5-8½, 139lb) Born: March 17, 1995 in Yanbian Chaoxianzu Zizhizhou, China PR cn Citizenship: China PR cn",China PR 
70,15,"2,223",1,1,1,0,0,6,0,0,61,31,5,76,17,17,1,0,"Du Changjie Position: FW 180cm, 77kg (5-10½, 170lb) Born: December 20, 1997 in Zhengzhou, China PR cn Citizenship: China PR cn",China PR 
14,0,184,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Yang Changpeng Position: FW 205cm, 81kg (6-8½, 179lb) Born: May 1, 1989 Citizenship: China PR cn",China PR 
81,45,"4,141",8,2,8,0,0,10,1,0,35,,,,,,,,"Wang Changqing 王长庆 Position: DF-MF 178cm, 69kg (5-10, 152lb) Born: March 21, 1981 in Beijing, China PR cn Citizenship: China PR cn",China PR 
1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Wei Changsheng Changsheng Wei Position: MF Born: January 28, 1999 Citizenship: China PR cn",China PR 
31,23,"2,082",3,0,3,0,0,3,0,0,30,38,0,25,16,26,,,"Gan Chao Chao Gan Position: MF 175cm, 68kg (5-8½, 150lb) Born: February 13, 1995 (Age: 27-191d) Citizenship: China PR cn Club: Chengdu Better City FC",China PR 
159,158,"14,224",0,0,0,0,0,10,0,0,0,11,0,0,1,0,0,0,"Gu Chao 顾超 Position: GK 194cm, 86kg (6-4, 190lb) Born: August 20, 1989 (Age: 33-003d) in Shanghai, China PR cn National Team: China PR cn Club: Zhejiang Greentown",China PR 
119,81,"6,854",1,0,1,0,0,31,0,0,130,76,1,35,81,60,0,0,"He Chao 何超 Position: MF 178cm, 78kg (5-10, 172lb) Born: April 19, 1995 (Age: 27-126d) in Shanhaiguan, China PR cn National Team: China PR cn Club: Wuhan Three Towns FC",China PR 
71,62,"5,511",2,0,2,0,0,13,1,0,40,35,1,2,83,26,0,1,"Li Chao 李超 (足球运动员) Position: DF 178cm, 77kg (5-10, 170lb) Born: August 15, 1987 (Age: 35-008d) in Tai’an, China PR cn Citizenship: China PR cn Club: Wuhan Zall",China PR 
47,12,"1,355",3,1,3,0,0,3,0,0,13,15,4,15,6,14,0,0,"Zeng Chao 曾超 Position: DF Born: January 23, 1993 in Meizhou, China PR cn Citizenship: China PR cn",China PR 
6,3,241,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,"Zhu Chaoqing Position: FW 180cm, 71kg (5-10½, 157lb) Born: February 28, 1995 Citizenship: China PR cn",China PR 
45,23,"2,164",4,0,4,0,0,8,1,1,17,14,1,16,4,7,,,"Yang Chaosheng 杨超声 Position: FW 180cm, 64kg (5-10½, 141lb) Born: July 22, 1993 (Age: 29-032d) in Dongguan, China PR cn Youth National Team: China PR cn Club: Meizhou Hakka FC",China PR 
6,0,80,0,0,0,0,0,0,0,0,3,0,1,3,0,0,,,"Liu Chaoyang Chaoyang Liu Position: MF Born: June 9, 1999 Youth National Team: China PR cn",China PR 
7,6,550,0,1,0,0,0,1,0,0,3,5,0,5,3,4,,,"Gao Chen Position: DF Born: August 11, 1992 (Age: 30-012d) National Team: China PR cn",China PR 
39,25,"2,400",0,2,0,0,0,5,0,0,34,6,0,2,4,4,0,0,"Song Chen 宋琛 Position: DF 179cm, 74kg (5-10, 163lb) Born: January 3, 1990 in Dalian, China PR cn Citizenship: China PR cn",China PR 
3,1,93,0,,0,0,0,0,0,0,,,,,,,,,"Wang Chen Position: MF Born: October 24, 1989 National Team: China PR cn",China PR 
2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Xiangyu Chen Xiangyu Chen Position: FW Born: February 17, 2002 (Age: 20-187d) Citizenship: China PR cn Club: Shenzhen FC",China PR 
11,3,251,0,0,0,0,0,1,0,0,7,3,0,3,5,2,0,0,"Yajun Chen Position: MF 182cm, 64kg (5-11½, 141lb) Born: April 9, 1999 (Age: 23-136d) Citizenship: China PR cn Club: Guangzhou R&F",China PR 
8,8,654,3,,3,0,0,0,0,0,,,,,,,,,"Yang Chen 杨晨 Position: FW-MF 187cm, 79kg (6-1½, 174lb) Born: January 17, 1974 in Beijing, China PR cn National Team: China PR cn",China PR 
26,15,"1,390",0,1,0,0,0,0,0,0,20,15,0,42,21,14,,,"Yuhao Chen Yuhao Chen Position: DF Born: November 15, 2001 (Age: 20-281d) Citizenship: China PR cn Club: Wuhan Zall",China PR 
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Hui Cheng Position: MF Born: August 2, 1997 Citizenship: China PR cn",China PR 
67,52,"4,743",0,0,0,0,0,5,1,1,15,15,0,6,22,16,0,0,"Long Cheng 龙成 Position: DF Born: March 22, 1995 in Yueyang, China PR cn Citizenship: China PR cn",China PR 
197,147,"12,851",12,15,12,0,1,24,0,0,146,117,5,85,69,69,0,0,"Piao Cheng 朴成 Position: MF ▪  Footed: Right 176cm, 68kg (5-9, 150lb) Born: August 21, 1989 (Age: 33-002d) in Longjing, China PR cn National Team: China PR cn Club: Beijing Sinobo Guoan",China PR 
24,1,383,1,0,1,0,0,4,0,0,13,,,,,,,,"Qu Cheng 渠成 (足球运动员) Position: FW 188cm, 78kg (6-2, 172lb) Born: February 8, 1989 (Age: 33-196d) in Nanjing, China PR cn Citizenship: China PR cn Club: Wuhan Three Towns FC",China PR 
168,168,"15,085",0,0,0,0,0,11,0,0,0,7,0,0,5,3,0,0,"Yang Cheng 杨程 Position: GK 188cm, 78kg (6-2, 172lb) Born: October 11, 1985 in China PR cn Citizenship: China PR cn",China PR 
254,254,"22,811",0,0,0,0,0,16,0,0,1,7,0,0,4,1,0,0,"Zeng Cheng 曾诚 Position: GK 188cm, 78kg (6-2, 172lb) Born: January 8, 1987 (Age: 35-227d) in Wuhan, China PR cn National Team: China PR cn Club: Shanghai Greenland Shenhua",China PR 
89,86,"7,601",0,4,0,0,0,18,0,0,66,35,4,111,81,73,0,0,"Zhang Cheng Position: DF (FB, right) 180cm (5-10½) Born: June 28, 1989 in China PR cn Citizenship: China PR cn",China PR 
198,177,"15,821",13,14,13,0,0,38,8,2,204,87,20,211,97,129,0,1,"Zhang Chengdong 张呈栋 Position: DF-FW-MF (FB-WM, right) ▪  Footed: Right 183cm, 79kg (6-0, 174lb) Born: February 9, 1989 (Age: 33-195d) in Baoding, China PR cn National Team: China PR cn Club: Beijing Sinobo Guoan",China PR 
40,30,"2,582",0,1,0,0,0,11,1,0,38,41,2,60,35,45,,,"Liao Chengjian 廖承坚 Position: DF 181cm (5-11) Born: November 4, 1993 (Age: 28-292d) in Shanghai, China PR cn Citizenship: China PR cn Club: Changchun Yatai",China PR 
5,5,73,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Jin Chengjun 金成俊 Position: FW 184cm, 74kg (6-0, 163lb) Born: January 17, 1997 in Yanbian Chaoxianzu Zizhizhou, China PR cn Citizenship: China PR cn",China PR 
6,2,229,2,0,2,0,0,1,0,0,3,2,0,4,0,1,,,"Wang Chengkuai 王成快 Position: MF (AM) 179cm (5-10) Born: January 23, 1995 in Wenzhou, China PR cn Citizenship: China PR cn",China PR 
3,1,107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Li Chenglin Position: MF 177cm, 68kg (5-9½, 150lb) Born: January 16, 1993 Citizenship: China PR cn",China PR 
199,176,"15,322",22,9,22,0,0,43,1,0,166,24,2,40,38,24,0,0,"Zhang Chenglin 張成林 Position: DF 183cm, 74kg (6-0, 163lb) Born: January 20, 1987 in Bengbu, China PR cn National Team: China PR cn",China PR 
