MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
2,2,132,0,,0,0,0,1,0,0,,,,,,,,,"Chen Bing-shin Bing-shin Chen Position: MF Born: April 3, 1982 National Team: Chinese Taipei tw",Chinese Taipei 
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"Kuo Chan-yu Chan-yu Kuo Position: DF Born: August 11, 1982 National Team: Chinese Taipei tw",Chinese Taipei 
21,7,857,0,0,0,0,0,0,0,0,,,,,,,,,"Lin Chang-Lun 林昌倫 Position: FW 172cm, 60kg (5-7½, 132lb) Born: June 28, 1991 (Age: 31-056d) in Chinese Taipei tw National Team: Chinese Taipei tw Club: Taiwan Power Company FC",Chinese Taipei 
2,1,164,0,,0,0,0,0,0,0,,,,,,,,,"Chen Chang-min Chang-min Chen Position: DF Born: October 9, 1983 National Team: Chinese Taipei tw",Chinese Taipei 
21,8,866,2,1,2,0,0,2,0,0,,,,,,,,,"Chen Chao-An 陳昭安 Position: FW 175cm, 68kg (5-8½, 150lb) Born: June 22, 1995 (Age: 27-062d) in Chinese Taipei tw National Team: Chinese Taipei tw Club: Taiwan Power Company FC",Chinese Taipei 
3,3,252,0,,0,0,0,1,0,0,,,,,,,,,"Lin Che-min Che-min Lin Position: DF Born: December 16, 1985 National Team: Chinese Taipei tw",Chinese Taipei 
3,3,270,0,,0,0,0,0,0,0,,,,,,,,,"Huang Che-ming Huang Che-ming (黃哲明) 黃哲明 Position: FW 182cm (5-11½) Born: June 12, 1972 in Chinese Taipei tw National Team: Chinese Taipei tw",Chinese Taipei 
5,3,256,0,0,0,0,0,0,0,0,,,,,,,,,"Lin Che-Yu 林哲宇 Position: MF 169cm, 68kg (5-6½, 150lb) Born: February 11, 1993 in Chinese Taipei tw National Team: Chinese Taipei tw",Chinese Taipei 
7,5,362,0,0,0,0,0,0,0,0,,,,,,,,,"Chan Che-Yuan 詹哲淵 Position: MF 174cm, 67kg (5-8½, 148lb) Born: October 23, 1989 National Team: Chinese Taipei tw",Chinese Taipei 
206,198,"17,346",1,11,1,0,0,41,0,0,4,,,,,,,,"Xavier Chen Position: DF (FB, right) ▪  Footed: Right 174cm, 68kg (5-8½, 150lb) Born: October 5, 1983 in Berchem-Sainte-Agathe, Belgium be National Team: Chinese Taipei tw  Other: Belgium",Chinese Taipei 
1,0,21,0,0,0,0,0,0,0,0,,,,,,,,,"Jhou Cheng Cheng Jhou Position: FW Born: November 12, 1996 National Team: Chinese Taipei tw",Chinese Taipei 
6,6,540,0,,0,0,0,0,0,0,,,,,,,,,"Yang Cheng-hsing Yang Cheng-hsing (楊振興) 楊振興 Position: GK Born: August 19, 1973 in Chinese Taipei tw National Team: Chinese Taipei tw",Chinese Taipei 
