MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
62,35,"3,380",1,3,1,0,0,6,1,0,40,36,1,110,73,36,,,"Abdel Abdallah Abdel-Hakim_Abdallah Position: DF 170cm, 68kg (5-6½, 150lb) Born: August 18, 1997 (Age: 25-006d) in Troyes, France fr National Team: Comoros km  Other: France Club: Rodez AF",Comoros 
223,210,"18,350",3,10,3,0,0,29,5,0,72,0,0,0,0,0,0,0,"Kassim Abdallah Kassim Abdallah Mfoihaia Position: DF ▪  Footed: Right 185cm, 78kg (6-½, 172lb) Born: April 9, 1987 (Age: 35-137d) in Marseille, France fr National Team: Comoros km  Other: France Club: US Marignane",Comoros 
372,317,"28,816",10,8,10,0,0,42,4,0,366,0,0,0,0,0,0,0,"Nadjim Abdou Position: MF ▪  Footed: Right 178cm, 69kg (5-10, 152lb) Born: July 13, 1984 (Age: 38-042d) in Martigues, France fr National Team: Comoros km  Other: France Club: FC Martigues",Comoros 
134,86,"7,838",4,3,4,0,0,27,1,0,177,0,0,0,0,0,0,0,"Rafidine Abdullah Position: MF (DM) ▪  Footed: Right 179cm, 74kg (5-10, 163lb) Born: January 15, 1994 in Marseille, France fr National Team: Comoros km  Other: France",Comoros 
2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Bryan Adinany Position: FW Born: March 13, 2000 (Age: 22-164d) in Marseille, France fr Citizenship: Comoros km  Other: France Club: FC Saint-Louis Neuweg",Comoros 
174,171,"15,344",1,0,1,0,0,6,1,0,1,1,0,0,2,3,0,1,"Ali Ahamada Position: GK ▪  Footed: Right 189cm, 83kg (6-2, 183lb) Born: August 19, 1991 (Age: 31-005d) in Martigues, France fr National Team: Comoros km  Other: France Club: Azam FC",Comoros 
129,118,"10,391",4,8,4,0,1,13,2,0,76,42,3,35,54,28,0,0,"Chaker Alhadhur Position: DF-MF (FB, left) ▪  Footed: Right 175cm, 62kg (5-8½, 137lb) Born: December 4, 1991 (Age: 30-263d) in Kayes, Mali ml National Team: Comoros km  Other: France Club: Ajaccio Wages: € 1,731 Weekly Expires June 2023. Via Capology.",Comoros 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Mahamoud Ali M'Changama Position: DF 184cm, 78kg (6-0, 172lb) Born: October 1, 1986 National Team: Comoros km",Comoros 
11,5,592,1,2,1,0,0,0,0,0,1,0,0,0,0,0,,,"Abdallah Ali Mohamed Position: DF 185cm, 78kg (6-½, 172lb) Born: April 11, 1999 (Age: 23-135d) in Moroni, Comoros km National Team: Comoros km Club: FC Stade Lausanne-Ouchy",Comoros 
16,8,767,0,0,0,0,0,3,0,,,,,,,,,,"Aadil Assana Position: MF (DM) 175cm, 68kg (5-8½, 150lb) Born: January 27, 1993 in Marignane, France fr National Team: Comoros km  Other: France",Comoros 
