MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
,,,,,,,,,,,,,,,,,,,"Sudi Aboubacar Sudi Jules Aboubacar Position: MF Born: June 16, 2005 Citizenship: Congo DR cd",Congo DR 
344,211,"19,866",85,23,77,8,11,14,0,0,236,140,107,69,30,61,3,0,"Benik Afobe Benik Tunani Afobe Position: FW ▪  Footed: Both 183cm, 78kg (6-0, 172lb) Born: February 12, 1993 (Age: 29-193d) in Leyton, England, United Kingdom eng National Team: Congo DR cd  Other: England Club: Millwall Twitter: @Afobe_ Instagram: @BenikAfobeOfficial",Congo DR 
170,84,"7,999",32,8,32,0,1,12,0,0,76,78,35,78,31,38,0,0,"Chadrac Akolo Position: FW-MF ▪  Footed: 92% Right* 172cm, 72kg (5-7½, 159lb) Born: April 1, 1995 (Age: 27-145d) in Kinshasa, Congo DR cd National Team: Congo DR cd Club: St Gallen",Congo DR 
31,16,"1,576",2,1,2,0,0,3,0,,,,,,,,,,"Patrick Apataki Patrick Kifu Apataki Position: FW-MF 185cm (6-½) Born: May 14, 1979 in Kinshasa, Congo DR cd National Team: Congo DR cd",Congo DR 
352,258,"23,871",128,14,111,17,22,29,2,0,474,216,152,24,14,24,3,0,"Britt Assombalonga Britt Curtis Assombalonga Position: FW ▪  Footed: Right 177cm, 76kg (5-9½, 168lb) Born: December 6, 1992 (Age: 29-261d) in Kinshasa, Congo DR cd National Team: Congo DR cd Club: Adana Demirspor",Congo DR 
3,3,270,1,0,1,0,0,0,0,0,,,,,,,,,"Luete Ava Dongo Mustapha Ava Dongo Luete Position: DF ▪  Footed: Right 188cm, 82kg (6-2, 181lb) Born: January 26, 1996 National Team: Congo DR cd",Congo DR 
276,196,"17,451",111,26,102,9,9,35,1,0,434,201,121,88,24,50,3,0,"Cédric Bakambu Position: FW ▪  Footed: 91% Right* 182cm, 73kg (5-11½, 161lb) Born: April 11, 1991 (Age: 31-135d) in Ivry-sur-Seine, France fr National Team: Congo DR cd  Other: France Club: Marseille Wages: € 92,308 Weekly Expires June 2024. Via Capology. Instagram: @bakambu17",Congo DR 
,,,,,,,,,,,,,,,,,,,"Jason Balongo Position: DF Born: May 29, 2002 (Age: 20-087d) Citizenship: Congo DR cd Club: KSK Tongeren",Congo DR 
24,6,704,2,0,2,0,0,0,0,0,5,8,1,5,1,0,,,"Nelson Balongo Nelson Felix P. Balongo Lissondja Vha Position: FW ▪  Footed: Right 187cm, 81kg (6-1½, 179lb) Born: April 15, 1999 (Age: 23-131d) in Tongeren, Belgium be Citizenship: Congo DR cd  Other: Belgium Club: ŁKS Łódź",Congo DR 
91,82,"7,336",13,15,11,2,3,19,5,,,,,,,,,,"Musemestre Bamba Position: MF 178cm (5-10) Born: November 10, 1971 in Kinshasa, Congo DR cd National Team: Congo DR cd",Congo DR 
