MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
124,109,"9,829",0,1,0,0,0,21,5,0,24,0,0,0,0,0,0,0,"Bruce Abdoulaye Position: DF (CB-FB, right) 183cm, 78kg (6-0, 172lb) Born: April 15, 1982 in Château-Thierry, France fr National Team: Congo cg  Other: France",Congo 
1,0,18,0,,0,0,0,0,0,0,,,,,,,,,"Percy Akoli Percy Durel Akoli Position: FW 184cm, 69kg (6-0, 152lb) Born: January 22, 1993 National Team: Congo cg",Congo 
,,,,,,,,,,,,,,,,,,,"Liongo Andondo Liongo Andondo Position: FW Born: September 5, 2005 Citizenship: Congo cg",Congo 
21,17,"1,493",4,3,4,0,0,1,0,0,,,,,,,,,"Yhoan Andzouana Position: DF-MF ▪  Footed: Right 177cm, 68kg (5-9½, 150lb) Born: December 13, 1996 (Age: 25-254d) in Brazzaville, Congo cg National Team: Congo cg Club: FC DAC 1904 Dunajská Streda",Congo 
3,1,136,0,0,0,0,0,1,0,0,,,,,,,,,"Stanislas Ankira Dua Stanislas Ankira Ntsonakoulou Position: DF ▪  Footed: Right 183cm, 78kg (6-0, 172lb) Born: December 4, 1994 National Team: Congo cg",Congo 
3,0,52,0,0,0,0,0,0,0,0,,,,,,,,,"Ismaël Ankobo Position: FW 185cm, 73kg (6-½, 161lb) Born: October 13, 1997 in Congo cg National Team: Congo cg",Congo 
1,0,22,0,0,0,0,0,0,0,0,,,,,,,,,"Cosme Atoni Mavoungou Cosme Andrely Atoni Mavoungou Position: DF Born: December 22, 1996 National Team: Congo cg",Congo 
170,163,"14,622",0,1,0,0,0,12,2,,47,,,,,,,,"Lucien Aubey Lucien Yann Sherril Aubey Position: DF (CB) 180cm, 74kg (5-10½, 163lb) Born: May 24, 1984 in Brazzaville, Congo cg National Team: Congo cg  Other: France",Congo 
52,41,"3,569",5,3,5,0,0,5,0,0,12,21,4,20,15,10,0,0,"Durel Avounou Position: MF ▪  Footed: 73% Left* 179cm, 71kg (5-10, 157lb) Born: September 25, 1997 (Age: 24-333d) in Brazzaville, Congo cg National Team: Congo cg Club: Ümraniyespor",Congo 
13,13,"1,125",0,0,0,0,0,2,0,0,2,4,0,0,1,2,0,0,"Sagesse Babélé Position: MF 187cm, 72kg (6-1½, 159lb) Born: February 13, 1993 in Congo cg National Team: Congo cg",Congo 
80,68,"6,419",3,2,3,0,0,14,0,0,61,17,3,38,64,57,0,0,"Tobias Badila Position: DF (FB, left) ▪  Footed: Left 180cm, 78kg (5-10½, 172lb) Born: May 12, 1993 in Dijon, France fr National Team: Congo cg  Other: France",Congo 
146,95,"9,108",18,13,17,1,2,17,3,1,105,62,19,115,26,40,0,0,"Dylan Bahamboula Position: FW-MF ▪  Footed: Right 185cm, 63kg (6-½, 139lb) Born: May 22, 1995 (Age: 27-094d) in Grigny, France fr National Team: Congo cg  Other: France Club: Livingston",Congo 
11,9,731,0,0,0,0,0,0,0,0,,,,,,,,,"Carof Bakoua Position: DF 170cm, 64kg (5-6½, 141lb) Born: September 9, 1993 (Age: 28-349d) National Team: Congo cg Club: CSM Diables Noirs",Congo 
,,,,,,,,,,,,,,,,,,,"Dongo-Nyaza Basombo Position: MF Born: April 8, 1999 Citizenship: Congo cg",Congo 
