MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,3,270,0,0,0,0,0,0,0,0,,,,,,,,,"Tyrell Baringer-Tahiri Position: DF 186cm, 71kg (6-1, 157lb) Born: April 20, 1994 (Age: 28-126d) in Dunedin, New Zealand nz National Team: Cook Islands ck  Other: New Zealand",Cook Islands 
6,4,375,2,0,2,0,0,0,0,0,,,,,,,,,"Campbell Best Position: FW 169cm, 71kg (5-6½, 157lb) Born: March 12, 1986 in Avarua, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
3,2,140,0,0,0,0,0,0,0,0,,,,,,,,,"Emiel Burrows Position: FW 174cm, 71kg (5-8½, 157lb) Born: May 17, 1992 (Age: 30-099d) in Auckland, New Zealand nz National Team: Cook Islands ck  Other: New Zealand",Cook Islands 
3,3,270,0,,0,0,0,0,0,0,,,,,,,,,"Maeva Carr Position: DF Born: September 18, 1996 in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
3,3,242,1,0,1,0,0,0,0,0,,,,,,,,,"Lyric Davison Lyric Erana Tawhiao Davison Position: MF Born: April 11, 2002 (Age: 20-135d) in New Zealand, New Zealand nz National Team: Cook Islands ck  Other: New Zealand",Cook Islands 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"Tineke De Jong Tineke De Jong Position: DF Born: May 26, 2022 (Age: 0-090d) National Team: Cook Islands ck  Other: Netherlands",Cook Islands 
1,0,16,0,,0,0,0,1,0,0,,,,,,,,,"Tasha Dean Position: DF Born: February 23, 1994 in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
2,1,96,0,,0,0,0,1,0,0,,,,,,,,,"Paul van Eijk Paul Luiz van Eijk Position: DF 175cm (5-8½) Born: March 16, 1986 in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
5,5,450,0,0,0,0,0,0,0,0,,,,,,,,,"Tahiri Elikana Position: DF 183cm, 73kg (6-0, 161lb) Born: September 14, 1988 (Age: 33-344d) in Rarotonga, Cook Islands ck National Team: Cook Islands ck Club: Nikao Sokattack FC",Cook Islands 
3,3,200,0,0,0,0,0,0,0,0,,,,,,,,,"Victoria Fatiaki Victoria Lisette Fatiaki Position: FW Born: January 13, 2005 (Age: 17-223d) in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
1,1,68,0,,0,0,0,0,0,0,,,,,,,,,"Teriiahoroa Framhein Position: DF Born: September 30, 1993 in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
5,5,386,0,0,0,0,0,1,0,0,,,,,,,,,"Gichin Fuhiniu Position: DF 166cm, 58kg (5-5, 128lb) Born: August 20, 1988 in Auckland, New Zealand nz National Team: Cook Islands ck  Other: New Zealand",Cook Islands 
6,6,540,1,0,1,0,0,1,0,0,,,,,,,,,"Grover Harmon Position: MF 178cm, 78kg (5-10, 172lb) Born: August 9, 1989 (Age: 33-015d) in Rarotonga, Cook Islands ck National Team: Cook Islands ck Club: Tupapa Maraerenga FC",Cook Islands 
3,3,270,0,,0,0,0,0,0,0,,,,,,,,,"Moeroa Harmon Position: FW Born: July 8, 2000 in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
1,0,24,0,0,0,0,0,0,0,0,,,,,,,,,"Adriana Hauser Adriana Hauser Position: FW Born: October 2, 2006 (Age: 15-326d) National Team: Cook Islands ck  Other: Australia",Cook Islands 
5,4,396,0,0,0,0,0,0,0,0,,,,,,,,,"Tayla Hetherington Position: MF Born: January 27, 1994 (Age: 28-209d) in Cook Islands, Cook Islands ck National Team: Cook Islands ck  Other: New Zealand",Cook Islands 
1,0,30,0,,0,0,0,0,0,0,,,,,,,,,"Marissa Iroa Position: FW Born: November 17, 1993 in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
2,2,180,0,,0,0,0,0,0,0,,,,,,,,,"Tony Jamieson Tony Lloyd Jamieson Position: GK 182cm (5-11½) Born: March 16, 1974 in Rarotonga, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
3,3,270,0,,0,0,0,0,0,0,,,,,,,,,"Mii Joseph Mii Tamariki Joseph Position: DF 180cm, 72kg (5-10½, 159lb) Born: January 8, 1988 in Avarua, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
3,2,183,0,0,0,0,0,0,0,0,,,,,,,,,"Josh Karika Position: DF 180cm, 78kg (5-10½, 172lb) Born: September 15, 1989 in Auckland, New Zealand nz National Team: Cook Islands ck  Other: New Zealand",Cook Islands 
3,3,270,0,0,0,0,0,1,0,0,,,,,,,,,"Penina Katuke Penina Katuke Position: MF Born: November 19, 2005 (Age: 16-278d) in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Thea Keith Position: GK Born: October 25, 1994 in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
3,3,270,0,0,0,0,0,1,0,0,,,,,,,,,"Kayleena Kermode Kayleena Rose Kermode Position: MF Born: February 8, 1999 (Age: 23-197d) in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
2,2,180,0,0,0,0,0,1,0,0,,,,,,,,,"Junior Lupena Iona Junior Lupena Position: GK 190cm, 92kg (6-2½, 203lb) Born: May 3, 1984 in Apia, Samoa ws National Team: Cook Islands ck  Other: Samoa",Cook Islands 
1,0,43,0,,0,0,0,0,0,0,,,,,,,,,"Roger Manuel Position: MF 168cm, 62kg (5-6, 137lb) Born: November 10, 1988 in Cook Islands, Cook Islands ck National Team: Cook Islands ck  Other: Australia",Cook Islands 
3,3,270,0,,0,0,0,0,0,0,,,,,,,,,"Poko Manuela Position: DF Born: July 15, 1989 in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
3,2,242,0,,0,0,0,0,0,0,,,,,,,,,"Lee Maoate-Cox Position: DF Born: March 21, 1995 in Cook Islands, Cook Islands ck National Team: Cook Islands ck",Cook Islands 
2,0,33,0,0,0,0,0,0,0,0,,,,,,,,,"Alex McGregor Position: MF Born: August 27, 1987 in Christchurch, New Zealand nz National Team: Cook Islands ck  Other: New Zealand",Cook Islands 
