MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
50,32,"3,087",11,6,11,0,0,3,0,,48,,,,,,,,"Domagoj Abramović Position: FW 184cm (6-0) Born: April 1, 1981 in Croatia hr Youth National Team: Croatia hr",Croatia 
255,207,"18,191",25,23,24,1,1,43,3,0,35,0,0,0,0,0,0,0,"Adnan Aganović Position: MF ▪  Footed: Right 181cm, 77kg (5-11, 170lb) Born: October 3, 1987 (Age: 34-325d) in Dubrovnik, Croatia hr Citizenship: Croatia hr Club: Sepsi Sfântu Gheorghe",Croatia 
57,51,"4,459",2,1,2,0,0,15,1,,,,,,,,,,"Jasmin Agić Position: MF 180cm (5-10½) Born: December 26, 1974 in Pula, Croatia hr National Team: Croatia hr",Croatia 
7,3,374,0,0,0,0,0,0,0,,,,,,,,,,"Goran Aleksić Position: FW 188cm (6-2) Born: April 5, 1985 Citizenship: Croatia hr",Croatia 
25,20,"1,640",0,1,0,0,0,5,1,,,,,,,,,,"Ivan Aleksić Position: DF-MF (FB-WM, left) 177cm (5-9½) Born: March 6, 1993 in Osijek Općiina, Croatia hr Youth National Team: Croatia hr",Croatia 
13,9,863,2,0,1,1,1,1,0,0,,,,,,,,,"Muhamed Alghoul Position: MF 164cm, 59kg (5-4½, 130lb) Born: April 9, 1996 (Age: 26-137d) Citizenship: Croatia hr Club: FC Academica Clinceni",Croatia 
47,33,"2,946",4,0,4,0,0,8,0,0,,,,,,,,,"Marko Alvir Position: MF 182cm, 81kg (5-11½, 179lb) Born: April 19, 1994 (Age: 28-127d) in Croatia hr Citizenship: Croatia hr Club: Viktoria Plzeň",Croatia 
7,2,262,0,0,0,0,0,2,0,,,,,,,,,,"Robert Alviž Position: MF 181cm (5-11) Born: September 6, 1984 in Primošten, Croatia hr Citizenship: Croatia hr",Croatia 
7,0,64,0,0,0,0,0,0,0,0,4,0,0,1,1,0,,,"Filip Ambroz Filip Ambroz Position: MF 180cm (5-10½) Born: December 1, 2003 (Age: 18-266d) in Göteborg, Sweden se Citizenship: Croatia hr  Other: Sweden Club: Göteborg",Croatia 
17,11,"1,155",0,0,0,0,0,3,0,,,,,,,,,,"Nedjeljko Amic Position: DF Born: February 26, 1989 Citizenship: Croatia hr",Croatia 
1,0,51,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,"Mateo Andačić Position: MF Born: November 16, 1997 (Age: 24-281d) in Frankfurt am Main, Germany de Citizenship: Croatia hr  Other: Germany Club: Kickers Offenbach",Croatia 
126,110,"9,740",3,3,3,0,0,10,0,,,,,,,,,,"Mislav Anđelković Position: MF 174cm, 72kg (5-8½, 159lb) Born: April 22, 1988 in Dubrovnik, Croatia hr Citizenship: Croatia hr",Croatia 
,,,,,,,,,,,,,,,,,,,"Marko Andrić Marko Andrić Position: DF Born: March 4, 2003 (Age: 19-173d) Citizenship: Croatia hr Club: TSG Balingen",Croatia 
122,109,"9,406",18,9,18,0,0,30,1,,46,,,,,,,,"Srđan Andrić Position: DF-MF (DM) 183cm, 83kg (6-0, 183lb) Born: January 5, 1980 in Dubrovnik, Croatia hr National Team: Croatia hr",Croatia 
21,5,836,0,0,0,0,0,1,1,,,,,,,,,,"Mario Andricevic Position: MF Born: March 17, 1984 Citizenship: Croatia hr",Croatia 
256,224,"19,599",74,26,67,7,8,40,3,0,31,17,1,4,6,6,0,0,"Franko Andrijašević Position: MF (CM-DM) ▪  Footed: Right 188cm, 78kg (6-2, 172lb) Born: June 22, 1991 (Age: 31-063d) in Split Opcina, Croatia hr National Team: Croatia hr Club: Gent",Croatia 
68,55,"4,699",18,,15,3,,8,0,0,,,,,,,,,"Stjepan Andrijašević Position: MF 185cm (6-½) Born: February 7, 1967 in Split Opcina, Croatia hr National Team: Croatia hr",Croatia 
8,3,370,1,0,1,0,0,1,0,0,,,,,,,,,"Mateja Andrlić Position: FW Born: December 25, 1993 (Age: 28-242d) in Croatia hr National Team: Croatia hr Club: Osijek",Croatia 
11,7,824,0,1,0,0,0,0,0,,,,,,,,,,"Ante Anic Position: MF Born: June 8, 1989 in Croatia hr Citizenship: Croatia hr",Croatia 
2,1,119,1,0,1,0,0,1,0,,,,,,,,,,"Josip Anic Position: MF Born: September 9, 1996 Citizenship: Croatia hr",Croatia 
5,2,184,0,0,0,0,0,0,0,,,,,,,,,,"Lovro Anić Position: MF Born: June 22, 1997 (Age: 25-063d) in Osijek, Croatia hr Citizenship: Croatia hr Club: NK Belišće",Croatia 
4,4,300,1,,1,0,0,0,0,0,,,,,,,,,"Silvio Anočič Position: DF ▪  Footed: Left 178cm, 73kg (5-10, 161lb) Born: September 10, 1997 (Age: 24-348d) in Valpovo, Croatia hr Youth National Team: Croatia hr Club: NK Belišće",Croatia 
9,3,354,2,0,2,0,0,0,0,,,,,,,,,,"Ivan Antolek Position: FW 183cm (6-0) Born: January 27, 1993 in Croatia hr Citizenship: Croatia hr",Croatia 
293,259,"22,604",26,34,20,6,9,34,3,0,31,22,0,128,34,15,0,0,"Domagoj Antolić Position: MF (DM) ▪  Footed: Right 178cm, 73kg (5-10, 161lb) Born: June 30, 1990 (Age: 32-055d) in Croatia hr National Team: Croatia hr Club: Damac F.C.",Croatia 
3,2,165,0,1,0,0,0,0,0,,,,,,,,,,"Nikola Antolic Position: DF Born: August 6, 1992 Citizenship: Croatia hr",Croatia 
43,42,"3,839",0,0,0,0,0,5,0,,,,,,,,,,"Marijan Antolović Position: GK 195cm, 87kg (6-4½, 192lb) Born: May 7, 1989 in Vinkovci Općina, Croatia hr Youth National Team: Croatia hr",Croatia 
88,73,"6,562",0,0,0,0,0,19,0,0,,0,0,0,0,0,0,0,"Ivan Anton Vasilj Position: DF-MF (FB-WM, left) ▪  Footed: Left 185cm, 73kg (6-½, 161lb) Born: April 5, 1991 in Zadar, Croatia hr Citizenship: Croatia hr",Croatia 
2,0,16,0,0,0,0,0,0,0,,,,,,,,,,"Adrian Antunović Adrijan Antunović Position: MF 180cm (5-10½) Born: April 24, 1989 in Jajce, Bosnia and Herzegovina ba Youth National Team: Croatia hr  Other: Bosnia and Herzegovina",Croatia 
8,8,644,1,0,1,0,0,0,0,,,,,,,,,,"Ante Aračić Position: DF 188cm (6-2) Born: September 28, 1981 in Imotski, Croatia hr Citizenship: Croatia hr",Croatia 
25,11,"1,146",6,1,6,0,0,0,0,0,,,,,,,,,"Ilija Aračić Position: FW 188cm (6-2) Born: November 15, 1970 in Slavonski Brod Općina, Croatia hr Citizenship: Croatia hr",Croatia 
92,52,"4,891",13,2,13,0,0,24,0,0,0,0,0,0,0,0,0,0,"Ante Aralica Position: FW Born: July 23, 1996 (Age: 26-032d) in Zagreb, Croatia hr Citizenship: Croatia hr Club: KF Vllaznia Shkodër",Croatia 
172,152,"13,479",5,5,5,0,0,41,6,2,,0,0,0,0,0,0,0,"Zoran Arsenić Position: DF (CB) Born: June 2, 1994 (Age: 28-083d) in Osijek Općiina, Croatia hr Citizenship: Croatia hr Club: Raków Częstochowa",Croatia 
117,97,"9,078",8,1,8,0,0,10,0,0,,,,,,,,,"Slađan Ašanin Position: DF 185cm, 77kg (6-½, 170lb) Born: August 13, 1971 in Croatia hr Citizenship: Croatia hr",Croatia 
61,50,"4,379",8,4,4,4,4,6,1,0,,,,,,,,,"Aljoša Asanović Position: MF 186cm, 76kg (6-1, 168lb) Born: December 14, 1965 in Split Opcina, Croatia hr National Team: Croatia hr",Croatia 
6,2,298,0,,0,0,0,2,0,0,,,,,,,,,"Antonio Asanović Antonio Asanović Position: MF 196cm, 89kg (6-5, 196lb) Born: November 30, 1991 (Age: 30-267d) in Split, Croatia hr Citizenship: Croatia hr Club: Sibenik",Croatia 
25,22,"2,058",0,0,0,0,0,0,0,,,,,,,,,,"Antonio Asanović Position: DF-MF (CB-DM) 196cm (6-5) Born: August 9, 1991 in Cannes, France fr Citizenship: Croatia hr",Croatia 
7,7,489,0,,0,0,0,1,0,0,,,,,,,,,"Violeta Baban Position: MF Born: March 30, 1984 National Team: Croatia hr",Croatia 
92,81,"7,123",6,0,6,0,0,13,0,0,,,,,,,,,"Hrvoje Babec Position: MF Born: July 28, 1999 (Age: 23-027d) Youth National Team: Croatia hr Club:",Croatia 
111,87,"7,733",5,2,5,0,0,26,0,,,,,,,,,,"Ivan Babić Position: FW 181cm, 71kg (5-11, 157lb) Born: April 29, 1984 in Croatia hr Citizenship: Croatia hr",Croatia 
45,31,"2,616",3,2,3,0,0,8,0,0,9,0,0,0,0,0,0,0,"Mario Babić Position: MF 177cm, 69kg (5-9½, 152lb) Born: July 3, 1992 in Croatia hr Youth National Team: Croatia hr",Croatia 
203,123,"11,661",17,21,15,2,5,28,2,,55,,,,,,,,"Marko Babić Position: DF-MF (FB-WM, left) 186cm, 73kg (6-1, 161lb) Born: January 28, 1981 in Osijek Općiina, Croatia hr National Team: Croatia hr",Croatia 
39,10,"1,135",2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,"Matko Babić Position: DF Born: July 28, 1998 in Croatia hr Youth National Team: Croatia hr",Croatia 
80,47,"4,294",3,1,3,0,0,25,1,0,,0,0,0,0,0,0,0,"Stjepan Babić Position: MF ▪  Footed: Right 180cm, 72kg (5-10½, 159lb) Born: December 4, 1988 in Croatia hr Youth National Team: Croatia hr",Croatia 
109,101,"8,675",12,5,8,4,5,32,3,,,,,,,,,,"Valentin Babić Position: DF 174cm (5-8½) Born: July 6, 1981 in Osijek Općiina, Croatia hr Citizenship: Croatia hr",Croatia 
7,1,142,0,,0,0,0,0,0,0,,,,,,,,,"Domagoj Babin Domagoj Babin Position: MF Born: June 3, 2000 (Age: 22-082d) in Zadar, Croatia hr Citizenship: Croatia hr Club: Hrvatski Dragovoljac",Croatia 
1,1,77,0,0,0,0,0,0,0,,,,,,,,,,"Ivan Bačak Position: FW 177cm (5-9½) Born: February 2, 1987 in Tomislavgrad, Bosnia and Herzegovina ba Youth National Team: Croatia hr",Croatia 
300,229,"19,901",48,26,35,13,15,56,3,1,,0,0,0,0,0,0,0,"Stipe Bačelić-Grgić Position: MF 186cm, 81kg (6-1, 179lb) Born: February 16, 1988 (Age: 34-189d) in Šibenik Općina, Croatia hr Youth National Team: Croatia hr Club: Sibenik",Croatia 
18,15,"1,463",0,0,0,0,0,0,1,0,,,,,,,,,"Doris Bačić Position: GK 185cm (6-½) Born: February 23, 1995 (Age: 27-182d) in Otok Korčula, Croatia hr National Team: Croatia hr Club: Juventus",Croatia 
394,363,"30,488",37,33,36,1,1,68,4,2,404,164,1,77,386,236,3,0,"Milan Badelj Position: MF (AM-CM-DM) ▪  Footed: 83% Right* 186cm, 79kg (6-1, 174lb) Born: February 25, 1989 (Age: 33-180d) in Croatia hr National Team: Croatia hr Club: Genoa",Croatia 
30,26,"2,325",3,0,3,0,0,9,1,1,0,,,,,,,,"Ricardo Bagadur Position: DF ▪  Footed: Right 189cm, 87kg (6-2, 192lb) Born: September 16, 1995 (Age: 26-342d) in Rijeka Općina, Croatia hr Youth National Team: Croatia hr Club: NK Varaždin ŠN",Croatia 
78,72,"6,299",12,10,6,6,6,8,0,,,,,,,,,,"Davor Bagarić Position: DF Born: September 8, 1985 in Osijek Općiina, Croatia hr Citizenship: Croatia hr",Croatia 
118,82,"7,744",18,4,18,0,1,26,0,0,,0,0,0,0,0,0,0,"Dražen Bagarić Position: FW ▪  Footed: Right 193cm, 74kg (6-3½, 163lb) Born: November 12, 1992 (Age: 29-285d) in Austria at Youth National Team: Croatia hr  Other: Austria Club: FC Honka",Croatia 
87,83,"7,455",4,2,4,0,0,16,1,,,,,,,,,,"Matej Bagarić Position: DF (CB) 202cm, 87kg (6-7½, 192lb) Born: January 16, 1989 in Croatia hr Youth National Team: Croatia hr",Croatia 
7,1,194,0,0,0,0,0,1,0,,,,,,,,,,"Gavro Bagić Position: FW Born: May 2, 1985 in Uglješ, Croatia hr Citizenship: Croatia hr",Croatia 
1,1,66,0,0,0,0,0,0,0,,,,,,,,,,"Mate Bajić Position: FW Born: November 3, 1995 in Kreisfreie Stadt Dortmund, Germany de Youth National Team: Croatia hr",Croatia 
,,,,,,,,,,,,,,,,,,,"Niko Bajušić Position: FW Born: June 4, 2002 Citizenship: Croatia hr",Croatia 
40,34,"3,136",0,3,0,0,0,3,0,,,,,,,,,,"Duje Baković Position: DF 187cm (6-1½) Born: June 7, 1986 in Rijeka Općina, Croatia hr Youth National Team: Croatia hr",Croatia 
169,144,"11,969",69,15,65,4,8,24,3,,84,,,,,,,,"Boško Balaban Position: FW 178cm, 73kg (5-10, 161lb) Born: October 15, 1978 in Rijeka Općina, Croatia hr National Team: Croatia hr",Croatia 
53,32,"2,909",1,0,1,0,0,5,0,,,,,,,,,,"Andrija Balajić Position: DF 183cm (6-0) Born: August 22, 1972 in Sinj, Croatia hr National Team: Croatia hr",Croatia 
1,1,90,0,0,0,0,0,0,0,,,,,,,,,,"Željko Balen Position: DF (CB) 188cm (6-2) Born: October 11, 1990 in Koprivnica, Croatia hr Citizenship: Croatia hr",Croatia 
84,53,"4,494",8,5,8,0,0,5,1,0,31,14,1,31,27,24,0,0,"Andrija Balić Position: MF ▪  Footed: 93% Right* 180cm, 71kg (5-10½, 157lb) Born: August 11, 1997 (Age: 25-013d) in Split Opcina, Croatia hr Youth National Team: Croatia hr Club: FC DAC 1904 Dunajská Streda",Croatia 
1,0,15,0,0,0,0,0,0,0,0,,,,,,,,,"Josip Balić Position: MF ▪  Footed: Both 190cm (6-2½) Born: July 8, 1993 in Split, Croatia hr Citizenship: Croatia hr",Croatia 
1,1,86,0,0,0,0,0,0,0,0,,,,,,,,,"Lorena Balić Position: FW Born: February 28, 1998 (Age: 24-177d) National Team: Croatia hr Club: Osijek",Croatia 
12,12,"1,080",0,0,0,0,0,1,0,,,,,,,,,,"Vladimir Balić Position: GK 189cm, 88kg (6-2, 194lb) Born: September 29, 1970 in Vukovar Općina, Croatia hr Citizenship: Croatia hr",Croatia 
26,22,"2,008",8,,8,0,0,2,0,0,,,,,,,,,"Leonarda Balog Position: DF-MF 172cm (5-7½) Born: February 5, 1993 (Age: 29-200d) in Križevci Općina, Croatia hr National Team: Croatia hr Club: St. Pölten",Croatia 
4,4,343,0,0,0,0,0,2,0,0,,,,,,,,,"Ivan Borna Jelić Balta Position: DF 193cm, 84kg (6-3½, 185lb) Born: September 17, 1992 (Age: 29-341d) in Zagreb, Croatia hr Citizenship: Croatia hr Club: FC Koper",Croatia 
24,12,"1,339",5,0,5,0,0,5,0,0,,,,,,,,,"Zoran Ban Position: FW 186cm, 84kg (6-1, 185lb) Born: May 27, 1973 in Rijeka Općina, Croatia hr Citizenship: Croatia hr",Croatia 
63,63,"5,670",0,0,0,0,0,4,0,0,,,,,,,,,"Ivan Banic Position: GK 187cm (6-1½) Born: July 18, 1994 (Age: 28-037d) in Sinj, Croatia hr Citizenship: Croatia hr Club: HNK Gorica",Croatia 
1,0,15,0,,0,0,0,0,0,0,,,,,,,,,"Lovro Banovec Lovro Banovec Position: FW ▪  Footed: Right Born: October 28, 2001 (Age: 20-300d) in Zagreb, Croatia hr Citizenship: Croatia hr Club: NK Varaždin ŠN",Croatia 
169,151,"12,962",12,12,12,0,0,34,3,1,0,0,0,0,0,0,0,0,"Igor Banović Position: MF 186cm, 78kg (6-1, 172lb) Born: May 12, 1987 in Zadar, Croatia hr Citizenship: Croatia hr",Croatia 
