MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
227,159,"14,065",10,10,10,0,0,24,1,0,93,0,0,0,0,0,0,0,"Kemy Agustien Germain Kemy Agustien Position: DF-MF (CB-CM) ▪  Footed: Right 178cm, 73kg (5-10, 161lb) Born: August 20, 1986 in Willemstad, Curaçao cw National Team: Curaçao cw  Other: Netherlands",Curaçao 
85,67,"6,120",5,6,5,0,0,10,0,0,0,0,0,0,0,0,0,0,"Suently Alberto Position: DF (CB) ▪  Footed: Right 188cm, 68kg (6-2, 150lb) Born: June 9, 1996 (Age: 26-076d) in Rotterdam, Netherlands nl National Team: Curaçao cw  Other: Netherlands Club: Pandurii Târgu Jiu",Curaçao 
1,1,45,0,0,0,0,0,1,0,0,,,,,,,,,"Bryan Anastatia Bryan Xavier Anastatia Position: DF 175cm, 63kg (5-8½, 139lb) Born: July 14, 1992 in Willemstad, Curaçao cw National Team: Curaçao cw  Other: Netherlands",Curaçao 
353,295,"26,176",8,16,8,0,0,46,3,0,289,41,0,15,118,86,0,1,"Vurnon Anita Vurnon San Benito Anita Position: DF-MF (CM-FB) ▪  Footed: Right 167cm, 59kg (5-5½, 130lb) Born: April 4, 1989 (Age: 33-142d) in Willemstad, Curaçao cw National Team: Curaçao cw  Other: Netherlands Twitter: @Vurnon Instagram: @vurnon",Curaçao 
257,209,"17,767",40,47,39,1,1,24,2,0,68,24,15,204,26,36,0,0,"Jarchinio Antonia Jarchinio Angelo Roberto Antonia Position: FW-MF (WM, right) ▪  Footed: Left 169cm, 63kg (5-6½, 139lb) Born: December 27, 1990 (Age: 31-240d) in Amsterdam, Netherlands nl National Team: Curaçao cw  Other: Netherlands Club: NAC Breda",Curaçao 
46,33,"2,779",2,0,2,0,0,6,0,0,25,27,10,72,14,25,,,"Jeremy Antonisse Jeremy Antonisse Position: MF Born: March 29, 2002 (Age: 20-148d) in Rosmalen, Netherlands nl National Team: Curaçao cw  Other: Netherlands Club: PSV Eindhoven",Curaçao 
163,87,"8,910",23,10,18,5,6,3,0,0,80,38,8,4,4,16,0,0,"Jafar Arias Position: FW ▪  Footed: Right 187cm, 79kg (6-1½, 174lb) Born: June 16, 1995 in Willemstad, Curaçao cw National Team: Curaçao cw",Curaçao 
213,158,"14,247",17,21,17,0,1,35,5,1,286,162,1,260,100,98,0,1,"Juninho Bacuna Position: FW-MF (CM) ▪  Footed: 82% Right* 185cm, 78kg (6-½, 172lb) Born: August 7, 1997 (Age: 25-017d) in Groningen, Netherlands nl National Team: Curaçao cw  Other: Netherlands Club: Birmingham City",Curaçao 
393,307,"28,020",29,24,22,7,7,69,7,0,469,97,16,217,147,148,0,1,"Leandro Bacuna Leandro Jones Johan Bacuna Position: DF-MF (DM-FB-WM, right) ▪  Footed: Right 187cm, 76kg (6-1½, 168lb) Born: August 21, 1991 (Age: 31-003d) in Groningen, Netherlands nl National Team: Curaçao cw  Other: Netherlands Antilles , Netherlands",Curaçao 
288,174,"16,478",64,23,58,6,6,29,1,0,303,22,21,15,11,22,0,0,"Charlison Benschop Position: FW ▪  Footed: Right 191cm, 89kg (6-3, 196lb) Born: August 21, 1989 (Age: 33-003d) in Willemstad, Curaçao cw National Team: Curaçao cw Club: De Graafschap Twitter: @C35Benschop",Curaçao 
1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ashar Bernardus Position: MF 166cm, 71kg (5-5, 157lb) Born: December 21, 1985 in Willemstad, Curaçao cw National Team: Curaçao cw",Curaçao 
1,0,22,0,,0,0,0,0,0,0,,,,,,,,,"Shayron Bernardus Shayron Francis Bernardus Position: MF Born: February 4, 1980 in Curaçao, Curaçao cw National Team: Curaçao cw",Curaçao 
2,0,59,0,,0,0,0,0,0,0,,,,,,,,,"Joshua Bicentini Position: FW Born: October 25, 1976 in Curaçao, Curaçao cw National Team: Curaçao cw",Curaçao 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Tyrick Bodak Tyrick Bodak Position: GK Born: May 15, 2002 (Age: 20-101d) in Curaçao, Curaçao cw National Team: Curaçao cw Club: PSV Eindhoven",Curaçao 
32,28,"2,416",0,1,0,0,0,9,0,,,,,,,,,,"Christy Bonevacia Position: MF 172cm, 71kg (5-7½, 157lb) Born: December 25, 1985 in Willemstad, Curaçao cw National Team: Curaçao cw",Curaçao 
2,2,135,0,,0,0,0,0,0,0,,,,,,,,,"Francis Bonevacia Francis Bonevacia Position: MF Born: March 18, 1973 in Curaçao, Curaçao cw National Team: Curaçao cw",Curaçao 
204,177,"15,401",26,18,25,1,1,39,3,0,381,178,12,163,65,79,1,1,"Roly Bonevacia Rolieny Bonevacia Position: MF (DM) ▪  Footed: Right 174cm, 74kg (5-8½, 163lb) Born: October 8, 1991 (Age: 30-320d) in Gemeente Lelystad, Netherlands nl National Team: Curaçao cw  Other: Netherlands",Curaçao 
2,1,111,0,,0,0,0,0,0,0,,,,,,,,,"Simon Bonevacia Position: MF Born: February 16, 1977 in Curaçao, Curaçao cw National Team: Curaçao cw",Curaçao 
