MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
28,18,"1,643",4,2,4,0,0,5,0,,38,,,,,,,,"Marios Agathokleous Μάριος Αγαθοκλέους Position: FW 178cm (5-10) Born: September 8, 1974 in Limassol, Cyprus cy National Team: Cyprus cy",Cyprus 
4,0,77,0,0,0,0,0,0,0,,3,,,,,,,,"Alekos Alekou Αλέκος Αλέκου Position: FW 173cm, 64kg (5-8, 141lb) Born: December 13, 1983 in Limassol, Cyprus cy National Team: Cyprus cy",Cyprus 
31,18,"1,745",2,0,2,0,0,3,0,,37,,,,,,,,"Nektarios Alexandrou Νεκτάριος Αλεξάνδρου Position: DF-FW-MF (FB-WM, left) ▪  Footed: Left 178cm, 72kg (5-10, 159lb) Born: December 19, 1983 in Nicosia, Cyprus cy National Team: Cyprus cy",Cyprus 
66,50,"4,422",8,9,8,0,0,3,0,,65,,,,,,,,"Stathis Aloneftis Efstathios Aloneftis Ευστάθιος Αλωνεύτης Position: FW-MF (WM, left) ▪  Footed: Left 172cm, 63kg (5-7½, 139lb) Born: March 29, 1983 in Kato Lakatamia, Cyprus cy National Team: Cyprus cy",Cyprus 
3,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Irene Andreou Irene Andreou Position: FW Born: April 28, 1998 (Age: 24-118d) in Cyprus, Cyprus cy National Team: Cyprus cy",Cyprus 
29,28,"2,600",1,0,1,0,0,4,0,0,14,5,0,2,57,19,,,"Stelios Andreou Stelios Andreou Position: DF Born: July 24, 2002 (Age: 20-031d) in Cyprus, Cyprus cy National Team: Cyprus cy Club: Charleroi",Cyprus 
4,3,247,1,0,1,0,0,0,0,0,,,,,,,,,"Foteini Andronikou Position: MF Born: March 14, 1994 (Age: 28-163d) in Cyprus, Cyprus cy National Team: Cyprus cy Club: Apollon Ladies",Cyprus 
8,2,233,0,0,0,0,0,1,0,0,,,,,,,,,"Myrofora Antonia Adamou Position: DF Born: July 25, 2001 (Age: 21-030d) in Cyprus, Cyprus cy National Team: Cyprus cy",Cyprus 
10,8,699,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,"Marios Antoniades Μάριος Αντωνιάδης Position: DF (CB-FB, left) ▪  Footed: Left 182cm, 76kg (5-11½, 168lb) Born: May 14, 1990 (Age: 32-102d) in Nicosia, Cyprus cy National Team: Cyprus cy Club: Anorthosis",Cyprus 
8,2,302,0,0,0,0,0,0,0,0,,,,,,,,,"Stavriana Antoniou Position: FW Born: November 12, 2000 (Age: 21-285d) in Cyprus, Cyprus cy National Team: Cyprus cy Club: Apollon Ladies",Cyprus 
