MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
6,5,495,0,,0,0,,0,0,0,,,,,,,,,"Jozef Adamec Position: FW-MF (AM) 177cm (5-9½) Born: February 26, 1942 in Vrbové, Slovakia sk National Team: Czechoslovakia cs",Czechoslovakia 
3,3,270,0,,0,0,,0,0,0,,,,,,,,,"Jozef Barmoš Position: DF 175cm (5-8½) Born: August 28, 1954 in Šurany, Slovakia sk National Team: Czechoslovakia cs",Czechoslovakia 
26,26,"2,336",2,0,2,0,0,5,0,,,,,,,,,,"Pavel Bartoš Position: DF Born: August 17, 1979 Citizenship: Czechoslovakia cs",Czechoslovakia 
2,2,180,0,,0,0,,0,0,0,,,,,,,,,"Jan Berger Position: MF 179cm (5-10) Born: November 27, 1955 in Prague, Czech Republic cz National Team: Czechoslovakia cs",Czechoslovakia 
2,1,120,0,,0,0,,0,0,0,,,,,,,,,"Přemysl Bičovský Position: FW-MF 174cm (5-8½) Born: August 18, 1950 in Košťany, Czech Republic cz National Team: Czechoslovakia cs",Czechoslovakia 
3,3,300,0,,0,0,,0,0,0,,,,,,,,,"Jaroslav Borovička Position: FW-MF Born: January 26, 1931 in Prague, Czech Republic cz National Team: Czechoslovakia cs",Czechoslovakia 
3,3,330,0,,0,0,,0,0,0,,,,,,,,,"Jaroslav Bouček Position: DF-MF 178cm, 78kg (5-10, 172lb) Born: November 13, 1912 in Černošice, Czech Republic cz National Team: Czechoslovakia cs",Czechoslovakia 
1,1,101,0,,0,0,,0,1,0,,,,,,,,,"Titus Buberník Position: DF-MF 178cm, 74kg (5-10, 163lb) Born: October 12, 1933 in Pusté Úľany, Slovakia sk National Team: Czechoslovakia cs",Czechoslovakia 
1,1,90,0,,0,0,,0,0,0,,,,,,,,,"Jiří Čadek Position: DF-MF Born: December 7, 1935 in Pavlíkov, Czech Republic cz National Team: Czechoslovakia cs",Czechoslovakia 
4,4,390,0,,0,0,,0,0,0,,,,,,,,,"Štefan Čambal Position: MF 176cm (5-9) Born: December 17, 1908 in Bratislava, Slovakia sk National Team: Czechoslovakia cs",Czechoslovakia 
1,1,71,0,,0,0,,0,0,0,,,,,,,,,"Jozef Čapkovič Position: FW-MF 181cm (5-11) Born: January 11, 1948 in Bratislava, Slovakia sk National Team: Czechoslovakia cs",Czechoslovakia 
22,20,"1,612",4,,4,0,,5,0,0,,,,,,,,,"Pavel Chaloupka Position: FW-MF 179cm (5-10) Born: May 4, 1959 in Most, Czech Republic cz National Team: Czechoslovakia cs",Czechoslovakia 
13,12,842,2,1,2,0,0,0,0,,,,,,,,,,"Aleš Chmelíček Position: FW Born: February 24, 1980 Citizenship: Czechoslovakia cs",Czechoslovakia 
