MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
2,0,21,0,0,0,0,0,1,0,0,1,,,,,,,,"Jessica Aby Position: MF 162cm (5-3½) Born: June 16, 1998 (Age: 24-069d) National Team: Côte d'Ivoire ci",Côte d'Ivoire 
119,111,"9,784",1,0,1,0,0,11,0,0,2,1,0,0,7,8,0,1,"Stephane Acka Position: DF ▪  Footed: Right 184cm, 78kg (6-0, 172lb) Born: October 11, 1990 (Age: 31-317d) in Abidjan, Côte d'Ivoire ci Citizenship: Côte d'Ivoire ci Club: Hapoel Kiriat Shmona",Côte d'Ivoire 
27,12,"1,327",3,3,3,0,0,1,0,0,24,23,5,23,13,14,,,"Bénie Adama Traore Bénie Adama Traore Position: FW 175cm, 64kg (5-8½, 141lb) Born: November 30, 2002 (Age: 19-267d) Citizenship: Côte d'Ivoire ci Club: Häcken",Côte d'Ivoire 
41,22,"2,153",12,3,12,0,0,6,0,0,36,25,18,67,11,28,,,"Simon Adingra Simon Adingra Position: FW 175cm (5-8½) Born: January 1, 2002 (Age: 20-235d) Citizenship: Côte d'Ivoire ci Club: Union SG Wages: £ Weekly Expires June 2026. Via Capology.",Côte d'Ivoire 
19,11,"1,089",1,0,1,0,0,0,0,0,0,2,0,5,0,2,,,"Yannick Adjoumani Yannick Adjoumani Position: DF ▪  Footed: Left 168cm, 68kg (5-6, 150lb) Born: December 29, 2002 (Age: 19-238d) Citizenship: Côte d'Ivoire ci Club: Östersund",Côte d'Ivoire 
87,60,"5,063",8,0,8,0,0,12,0,,,,,,,,,,"Roméo Affessi Roméo Affessi Seka Position: MF (AM) 173cm (5-8) Born: February 19, 1984 in Côte d'Ivoire ci Citizenship: Côte d'Ivoire ci",Côte d'Ivoire 
58,57,"5,005",6,0,6,0,0,13,3,1,75,25,3,10,123,81,0,0,"Emmanuel Agbadou Emmanuel Elysee Djedje Agbadou Badobre Position: DF ▪  Footed: Right 192cm, 84kg (6-3½, 185lb) Born: June 17, 1997 (Age: 25-068d) National Team: Côte d'Ivoire ci Club: Reims Wages: € Weekly Expires June 2027. Via Capology.",Côte d'Ivoire 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Esperance Agbo Cousso Esperance Agbo Position: FW Born: May 14, 1995 (Age: 27-102d) National Team: Côte d'Ivoire ci",Côte d'Ivoire 
3,0,33,0,0,0,0,0,1,0,0,4,0,0,0,0,0,,,"Mel Agnero Mel Yannick Joel Agnero Position: FW Born: February 20, 2003 (Age: 19-185d) Citizenship: Côte d'Ivoire ci Club: Nordsjælland",Côte d'Ivoire 
1,1,90,0,0,0,0,0,1,0,0,3,,,,,,,,"Sophie Aguie Position: DF 167cm (5-5½) Born: December 31, 1996 National Team: Côte d'Ivoire ci",Côte d'Ivoire 
9,4,319,0,0,0,0,0,0,0,,,,,,,,,,"William Aho Abou Position: MF 177cm (5-9½) Born: December 30, 1992 in Anyama, Côte d'Ivoire ci Citizenship: Côte d'Ivoire ci",Côte d'Ivoire 
