,Age
0,"Alan A'Court 1958 · FW,MF · England"
1,"Max Aarons 2017-2023 · DF · Norwich City, Norwich City U23"
2,"Rolando Aarons 2014-2022 · MF · Newcastle United, Huddersfield Town, Slovan Liberec, Wycombe Wanderers, Hellas Verona, Sheffield Wed"
3,Thelo Aasgaard 2020-2023 · MF · Wigan Athletic
4,Godwin Abadaki 2017-2018 · FW
5,"Nathan Abbey 2002-2011 · GK · Boston United, Kettering Town, Torquay United, Brentford, Rushden & Diamonds, Northampton Town"
6,Nelson Abbey 2020-2022 · DF · Reading U23
7,"Zema Abbey 2001-2005 · FW · Norwich City, Torquay United, Bradford City, Wycombe Wanderers, Boston United"
8,"Brad Abbott 2014-2020 · MF · Chester, Barnsley, Barrow"
9,George Abbott 2022-2023 · MF · Tottenham Hotspur FC U21
10,Zach Abbott 2022-2023 · DF · Nottingham Forest
11,Hamid Abdul-Salam 2021-2022 · DF · Reading U23
12,Tristan Abldeen Goodridge 2020-2022 · MF · Aston Villa U23
13,Tristan Abldeen-Goodridge 2021-2022 · FW
14,"Gary Ablett 1991-1996 · DF · Everton, Liverpool"
15,Michael Abnett 2016-2017
16,Ken Aboh 2021-2023 · MF · Norwich City FC U21
17,"Tammy Abraham 2015-2023 · FW · Roma, England, Chelsea, Bristol City, Swansea City, Aston Villa"
18,"Timmy Abraham 2018-2023 · FW · Walsall, Fulham U23, Newport County, Raith Rovers, Bristol Rovers, Plymouth Argyle"
19,"Tristan Abrahams 2016-2023 · FW · Eastleigh, Newport County, Carlisle United, Leyton Orient, Exeter City, Norwich City U23, Grimsby To"
20,Anthony Acheampong 2016-2017 · DF
21,Mathew Achuba 2018-2020 · DF
22,Joe Ackroyd 2021-2023 · DF · Barnsley
23,"Emile Acquah 2018-2023 · FW · Maidenhead United, Southend United"
24,Ben Acquaye 2021-2022 · MF
25,Darren Acton 2016-2018 · GK
26,"Blair Adams 2011-2021 · DF · Notts County, Coventry City, Hartlepool United, Northampton Town, Mansfield Town, Cambridge United,"
27,"Charlee Adams 2013-2023 · DF,MF · Maidenhead United, Barnet, Dagenham & Redbridge, Lincoln City, Kilmarnock"
28,"Charlie Adams 2012-2022 · MF · San Diego Loyal SC, Real Monarchs, Louisville City, Stevenage, Orange County SC, Barnet, Brentford"
29,"Danny Adams 2002-2010 · DF · Morecambe, Macclesfield Town, Huddersfield Town, Stockport County"
30,Kielen Adams 2019-2020 · FW
31,Micky Adams 1992-1994 · DF · Southampton
32,"Mo Adams 2018-2022 · MF · Inter Miami, Chicago Fire, Atlanta United, Atlanta United 2"
33,Nathan Adams 2008-2010 · FW · Lincoln City
34,"Neil Adams 1992-1995 · MF · Norwich City, Oldham Athletic"
35,"Steve Adams 2002-2010 · MF · Plymouth Argyle, Sheffield Wednesday, Torquay United, Forest Green Rovers"
36,"Tony Adams 1991-2002 · DF · Arsenal, England"
37,Chris Adamson 2004-2010 · GK · Sheffield Wednesday
38,"Fisayo Adarabioyo 2015-2021 · FW · Oss, NAC Breda, Altrincham, Macclesfield Town"
39,"Tosin Adarabioyo 2015-2023 · DF · Fulham, Blackburn Rovers, West Bromwich Albion, Manchester City U23, Manchester City"
40,"Alex Addai 2016-2022 · FW · Cheltenham Town, Solihull Moors, Maidenhead United, Torquay United"
41,Angela Addison 2019-2022 · MF · Tottenham Hotspur LFC
42,"Miles Addison 2005-2017 · DF,MF · Derby County, Bournemouth, Kilmarnock, Barnsley, Rotherham United, Scunthorpe United, Blackpool, Pet"
43,Jordan Addo-Antoine 2021-2022 · DF
44,TQ Addy 2020-2021 · FW
45,"Elijah Adebayo 2017-2023 · FW · Luton Town, Walsall, Swindon Town, Fulham U23, Cheltenham Town"
46,Iyiola Adebayo 2020-2021 · MF
47,"Tobi Adebayo-Rowling 2014-2019 · DF · Bromley, Peterborough United"
48,Rio Adebisi 2019-2022 · DF · Crewe Alexandra
49,Callum Adebiyi 2021-2022 · DF
50,"Manny Adebowale 2017-2023 · DF · Crawley Town, Dover Athletic"
51,"Victor Adeboyejo 2014-2023 · FW · Burton Albion, Barnsley, Bristol Rovers, Leyton Orient, Cambridge United"
52,Leslie Adekoya 2021-2022 · FW
53,"Hakeeb Adelakun 2012-2023 · FW,MF · Lincoln City, Gillingham, Scunthorpe United, Hull City, Rotherham United, Bristol City"
54,"Tomi Adeloye 2017-2023 · FW · Swindon Town, Ayr United, Dagenham & Redbridge, Ebbsfleet United, Barnet"
55,"Charles Ademeno 2006-2012 · FW · Crawley Town, Salisbury City, AFC Wimbledon, Grimsby Town, Rushden & Diamonds, Cambridge United, Sou"
56,Michael Ademiluyi 2018-2022 · FW
57,"Dennis Adeniran 2016-2023 · MF · Sheffield Wednesday, Everton U23, Wycombe Wanderers, Fulham"
58,Fuad Adeniyi 2022 · DF · Tormenta FC
59,Sam Adewusi 2018-2019 · MF
60,"Tom Adeyemi 2009-2018 · MF · Oldham Athletic, Birmingham City, Bradford City, Rotherham United, Brentford, Leeds United, Cardiff"
61,Dylan Adjei-Hersey 2021-2023 · MF · AFC Wimbledon
62,Kwame Adjeman-Pamboe 2010-2011 · MF · Tampa Bay Rowdies
63,Sam Adkins 2008-2010 · MF
64,Luis Adlard 2020-2021 · DF · Grimsby Town
65,"Daniel Adshead 2017-2023 · MF · Cheltenham Town, Telstar, Gillingham, Norwich City U23, Rochdale"
66,"Les Afful 2005-2009 · MF · Forest Green Rovers, Torquay United"
67,"Chisom Afoka 2020-2023 · MF · Aston Villa FC U21, Aston Villa U23"
68,"Oladapo Afolayan 2017-2023 · FW,MF · Bolton Wanderers, West Ham United U23, Oldham Athletic, Mansfield Town"
69,"Kieran Agard 2009-2023 · FW,MF · Doncaster Rovers, Milton Keynes Dons, Rotherham United, Bristol City, Yeovil Town, Plymouth Argyle,"
70,"Gabby Agbonlahor 2005-2018 · FW,MF · Aston Villa, Sheffield Wednesday"
71,David Agbontohoma 2019-2022 · FW · Southampton U23
72,Manny Agboola 2016-2020 · GK
73,Michael Agboola 2020-2022 · MF · Wolverhampton Wanderers U23
74,Benjamin Aghadiuno 2017-2018 · FW
75,"Osazee Aghatiste 2020-2023 · MF · Derby County, Derby County FC U21, Derby County U23"
76,Sam Agius 2018-2020 · GK
77,Liam Agnew 2014-2021 · MF · Harrogate
78,"Steve Agnew 1994-1997 · MF · Sunderland, Leicester City"
79,Harry Agombar 2009-2015 · FW · Grays Athletic
80,Ricky Aguiar 2021-2023 · MF · Swindon Town
81,"Dan Agyei 2014-2023 · FW · Crewe Alexandra, Oxford United, Walsall, Coventry City, Blackpool, Burnley"
82,Montel Agyemang 2014-2016 · MF
83,Terrell Agyemang 2022-2023 · MF · Manchester City FC U21
84,Arash Ahmadi 2018-2019 · DF
85,Shahed Ahmed 2004-2005 · FW · Wycombe Wanderers
86,Theo Ahwieh 2017-2018
87,"Jack Aidan Clarke 2017-2023 · MF · Chesterfield, Aston Villa U23, Yeovil Town"
