MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,2,199,1,,1,0,0,0,0,0,,,,,,,,,"Ami-Nata Ajapuhnya Position: DF Born: March 11, 1999 in New Caledonia, New Caledonia nc National Team: New Caledonia nc",New Caledonia 
4,4,360,0,,0,0,0,1,0,0,,,,,,,,,"Josiane Ayawa Position: DF Born: October 19, 1997 in New Caledonia, New Caledonia nc National Team: New Caledonia nc",New Caledonia 
1,1,74,0,,0,0,0,0,0,0,,,,,,,,,"Marius Bako Position: MF 175cm (5-8½) Born: February 22, 1985 in Nouvelle-Calédonie, New Caledonia nc National Team: New Caledonia nc",New Caledonia 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Pierre Bako Pierre Laurent Waihae Bako Position: MF 174cm (5-8½) Born: August 9, 2001 (Age: 21-014d) in New Caledonia, New Caledonia nc National Team: New Caledonia nc Club: AS Tiga Sport",New Caledonia 
8,6,468,0,0,0,0,0,5,1,1,,,,,,,,,"Georges Béaruné Position: DF 179cm, 69kg (5-10, 152lb) Born: July 27, 1989 in Nouméa, New Caledonia nc National Team: New Caledonia nc",New Caledonia 
3,2,188,0,,0,0,0,0,0,0,,,,,,,,,"Dolores Bodeouarou Position: GK Born: August 8, 1990 in New Caledonia, New Caledonia nc National Team: New Caledonia nc",New Caledonia 
3,1,104,0,,0,0,0,0,0,0,,,,,,,,,"Moïsette Broustet Position: MF Born: November 3, 1999 in New Caledonia, New Caledonia nc National Team: New Caledonia nc",New Caledonia 
5,4,317,0,,0,0,0,0,0,0,,,,,,,,,"Cassidy Cawa Cassidy Waketre Cawa Position: MF Born: April 5, 2000 in New Caledonia, New Caledonia nc National Team: New Caledonia nc",New Caledonia 
2,1,98,1,0,1,0,0,0,0,0,,,,,,,,,"Joerisse Cexome Position: FW Born: January 19, 1990 in Nouvelle-Calédonie, New Caledonia nc National Team: New Caledonia nc",New Caledonia 
5,5,359,0,0,0,0,0,0,0,0,,,,,,,,,"Cédric Décoiré Cédric Robert Jean-Louis Décoiré Position: MF Born: May 15, 1994 (Age: 28-100d) in New Caledonia, New Caledonia nc National Team: New Caledonia nc",New Caledonia 
2,2,177,0,0,0,0,0,0,1,0,,,,,,,,,"Jean-Luc Décoiré Jean-Luc Décoiré Position: DF Born: April 16, 1996 (Age: 26-129d) in New Caledonia, New Caledonia nc National Team: New Caledonia nc Club: Hienghène Sport",New Caledonia 
3,3,270,0,0,0,0,0,0,0,0,,,,,,,,,"Lola Delavault Lola Delavault Position: DF Born: July 10, 2003 (Age: 19-044d) in Nouméa, New Caledonia nc National Team: New Caledonia nc",New Caledonia 
