MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
1,0,4,0,0,0,0,0,0,0,0,,,,,,,,,"Amelia Abbott Amelia Anne Abbott Position: MF 168cm (5-6) Born: July 22, 2001 (Age: 21-032d) in New Zealand, New Zealand nz National Team: New Zealand nz",New Zealand 
116,110,"9,909",4,0,4,0,0,17,1,0,62,62,1,12,160,81,0,0,"Kyle Adams Position: DF (CB) 158cm, 76kg (5-2, 168lb) Born: November 20, 1996 (Age: 25-276d) in Auckland, New Zealand nz Citizenship: New Zealand nz Club: San Diego Loyal SC",New Zealand 
3,2,154,0,0,0,0,0,0,0,,,,,,,,,,"Luke Adams Luke Anthony Adams Position: DF (CB) 185cm, 72kg (6-½, 159lb) Born: May 8, 1994 in Melbourne, Australia au National Team: New Zealand nz  Other: Australia",New Zealand 
2,2,180,0,,0,0,,0,0,0,,,,,,,,,"Jock Aird John Rae Aird Position: DF 184cm (6-0) Born: December 18, 1926 National Team: New Zealand nz",New Zealand 
25,25,"2,240",0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,"Lily Alfeld Lily Alfeld Position: GK 172cm (5-7½) Born: August 4, 1995 (Age: 27-019d) in Christchurch, New Zealand nz Citizenship: New Zealand nz Club: Wellington Phoenix FC",New Zealand 
2,2,155,0,,0,0,,0,0,0,,,,,,,,,"Bobby Almond Robert Ronald Almond Position: DF (CB) 178cm, 74kg (5-10, 163lb) Born: April 16, 1951 in London, England, United Kingdom eng National Team: New Zealand nz",New Zealand 
24,24,"2,160",2,1,2,0,0,1,0,0,11,5,0,1,51,30,,,"Liz Anton Elizabeth Grace Anton Position: DF 169cm (5-6½) Born: December 12, 1998 (Age: 23-254d) in Auckland, New Zealand nz National Team: New Zealand nz Club: Perth Glory",New Zealand 
6,5,388,0,0,0,0,0,1,0,0,7,4,1,1,11,7,,,"Hunter Ashworth Hunter Kelly Ashworth Position: DF Born: January 8, 1998 in Scottsdale, Arizona, United States us Youth National Team: New Zealand nz  Other: United States",New Zealand 
14,3,391,0,0,0,0,0,0,0,0,4,0,0,3,1,2,,,"Te Atawhai Hudson-Wihongi Position: MF ▪  Footed: Right 187cm, 83kg (6-1½, 183lb) Born: March 27, 1995 in Auckland, New Zealand nz National Team: New Zealand nz",New Zealand 
3,3,170,0,0,0,0,0,0,0,0,,,,,,,,,"Donna Baker Donna Marie Baker Position: MF Born: February 27, 1966 National Team: New Zealand nz",New Zealand 
2,1,81,0,0,0,0,0,0,0,,0,,,,,,,,"Campbell Banks Position: FW 190cm (6-2½) Born: November 23, 1978 in New Zealand nz National Team: New Zealand nz",New Zealand 
265,225,"20,008",70,44,66,4,4,23,1,0,269,191,74,303,68,123,4,0,"Kosta Barbarouses Konstantinos Barbarouses Position: FW-MF ▪  Footed: Both 171cm, 71kg (5-7, 157lb) Born: February 19, 1990 (Age: 32-185d) in Wellington, New Zealand nz National Team: New Zealand nz Club: Sydney FC",New Zealand 
11,9,720,0,0,0,0,0,0,0,,2,,,,,,,,"Andrew Barron Position: FW-MF (CM) 178cm (5-10) Born: December 24, 1980 in Invercargill, New Zealand nz National Team: New Zealand nz",New Zealand 
