MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
2,1,95,0,0,0,0,0,1,0,0,,,,,,,,,"Azan 'Abbas Azan 'Abbas Sabil Al Balushi Position: DF 166cm, 63kg (5-5, 139lb) Born: May 5, 1990 National Team: Oman om",Oman 
2,0,28,0,,0,0,0,0,0,0,,,,,,,,,"Khalid Abbas Khalid Abbas Harith Al Yarabi Position: MF Born: November 15, 1976 in Oman, Oman om National Team: Oman om",Oman 
8,3,357,2,0,2,0,0,0,0,0,,,,,,,,,"Yaqoob Abdul Karim Yaqoob Abdul Karim Salim Al Qasmi Position: FW Born: December 16, 1990 in United Arab Emirates ae National Team: Oman om  Other: United Arab Emirates",Oman 
1,0,45,0,,0,0,0,0,0,0,,,,,,,,,"Abdullah Abdul-Hadi Abdullah Saleh Abdul-Hadi Salim عبد الله عبد الهادي Position: FW Born: April 25, 1992 in Şūr, Oman om National Team: Oman om",Oman 
1,1,74,0,,0,0,0,0,0,0,,,,,,,,,"Ibrahim Abdullah Ibrahim Abdullah Mubarak Al Ghailani Position: FW Born: June 23, 1985 in Oman, Oman om National Team: Oman om",Oman 
6,1,195,0,0,0,0,0,0,0,0,,,,,,,,,"Zahir Al Aghbari Zahir Sulaiman Abdullah Al Aghbari Position: MF 178cm, 68kg (5-10, 150lb) Born: May 28, 1999 (Age: 23-087d) National Team: Oman om Club: Mes Rafsanjan FC",Oman 
42,32,"2,943",9,,9,0,0,1,0,0,,,,,,,,,"Ismail Al-Ajmi Ismail Sulaiman Ashoor Al-Ajmi إسماعيل العجمي Position: FW 173cm, 67kg (5-8, 148lb) Born: June 9, 1984 in Muscat, Oman om National Team: Oman om",Oman 
2,2,138,0,,0,0,0,0,0,0,,,,,,,,,"Abdulrahman Saleh Al-Alawi Abdulrahman Saleh Khalfan Al-Alawi عبد الرحمن صالح Position: DF (CB) 182cm (5-11½) Born: September 8, 1986 in Oman om National Team: Oman om",Oman 
15,12,995,5,0,5,0,0,1,0,0,,,,,,,,,"Al-Mandhar Al Alawi Al-Mandhar Rabia Said Al Alawi Position: MF ▪  Footed: Right 166cm (5-5) Born: March 31, 1995 (Age: 27-145d) National Team: Oman om Club: Khalidiya SC",Oman 
14,7,728,2,1,2,0,0,1,0,0,,,,,,,,,"Arshad Al Alawi Arshad Said Saleh Al Alawi Position: MF 181cm, 73kg (5-11, 161lb) Born: April 12, 2000 (Age: 22-133d) in Nizwá, Oman om National Team: Oman om Club: Al-Seeb Club",Oman 
1,1,90,0,,0,0,0,0,0,0,,,,,,,,,"Badar Jumaa Al-Alawi Badar Juma Subait Al-Alawi بدر جمعة العلوي Position: GK 177cm (5-9½) Born: December 6, 1981 in Oman om National Team: Oman om",Oman 
2,1,135,0,0,0,0,0,0,0,0,,,,,,,,,"Samir Al Alawi Samir Saleh Thuwaini Al Alawi Position: DF Born: August 8, 1996 in Oman, Oman om National Team: Oman om",Oman 
3,2,166,0,,0,0,0,1,0,0,,,,,,,,,"Mohammed Ali Mohammed Ali Said Al Mashaikhi Position: MF Born: February 4, 1981 in Oman, Oman om National Team: Oman om",Oman 
12,10,937,0,,0,0,0,1,0,0,,,,,,,,,"Nabil Ashoor Nabil Ashoor Ramadhan Bait Faraj Allah نبيل عاشور Position: DF 182cm (5-11½) Born: April 7, 1982 in Oman om National Team: Oman om",Oman 
11,11,923,1,0,1,0,0,0,0,0,,,,,,,,,"Nadir Bait Mabrook Nadir Awadh Bashir Bait Mabrook Position: DF 179cm, 78kg (5-10, 172lb) Born: December 5, 1994 (Age: 27-261d) in Şalālah, Oman om National Team: Oman om",Oman 
2,1,108,0,,0,0,0,0,0,0,,,,,,,,,"Ashraf Bait Taysir Ashraf Eid Taysir Bait Taysir Position: DF Born: September 29, 1982 in Oman om National Team: Oman om",Oman 
1,1,81,0,,0,0,0,0,0,0,,,,,,,,,"Jamal Al Balushi Jamal Nabi Bakhsh Dawood Al Balushi Position: DF Born: September 8, 1977 in Oman, Oman om National Team: Oman om",Oman 
31,29,"2,434",1,0,1,0,0,5,0,0,,,,,,,,,"Mohammed Al-Balushi Mohammed Abdullah Mubarak Al-Balushi محمد البلوشي Position: DF (CB) 183cm, 82kg (6-0, 181lb) Born: August 27, 1989 in Oman om National Team: Oman om",Oman 
53,49,"4,398",13,,13,0,0,10,0,0,,,,,,,,,"Fawzi Bashir Fawzi Bashir Rajab Bait Doorbeen فوزي بشير Position: MF (AM) ▪  Footed: Right 175cm, 58kg (5-8½, 128lb) Born: May 6, 1984 in Şalālah, Oman om National Team: Oman om",Oman 
15,9,870,0,0,0,0,0,2,0,0,3,2,0,1,1,3,0,0,"Khalid Al Braiki Khalid Nasser Fadhil Al Braiki Position: DF 183cm, 79kg (6-0, 174lb) Born: July 3, 1993 (Age: 29-051d) National Team: Oman om Club: Al-Seeb Club",Oman 
57,49,"4,353",1,3,1,0,0,1,0,0,3,3,0,38,7,8,0,0,"Ali Al-Busaidi Ali Sulaiman Rashid Al-Busaidi علي البوسعيدي Position: DF-MF (WM, left) 172cm, 66kg (5-7½, 146lb) Born: January 21, 1991 (Age: 31-214d) in Al Sohar, Oman om National Team: Oman om Club: Al-Seeb Club",Oman 
2,0,21,0,0,0,0,0,0,0,0,,,,,,,,,"Ayman Darwish Ayman Darwish Dhahi Position: MF 182cm, 63kg (5-11½, 139lb) Born: February 10, 1991 (Age: 31-194d) in Oman, Oman om National Team: Oman om Club: Al-Seeb Club",Oman 
12,10,904,15,,13,2,2,0,0,0,,,,,,,,,"Hani Al-Dhabit Hani Al-Dhabit Faraj Bait Al-Noobi هاني الضابط Position: FW-MF (AM) 175cm, 73kg (5-8½, 161lb) Born: October 15, 1979 in Şalālah, Oman om National Team: Oman om",Oman 
15,9,843,0,0,0,0,0,1,0,0,,,,,,,,,"Fahmi Durbin Fahmi Said Rajab Nasib Bait Durbin Position: DF 183cm, 73kg (6-0, 161lb) Born: October 10, 1993 (Age: 28-317d) in Şalālah, Oman om National Team: Oman om Club: Al-Nasr SCSC",Oman 
4,3,315,0,0,0,0,0,0,0,0,,,,,,,,,"Ahmed Faraj Ahmed Faraj Abdulla Al Rawahi Position: GK 187cm, 83kg (6-1½, 183lb) Born: May 5, 1994 (Age: 28-110d) National Team: Oman om Club: Al-Seeb Club",Oman 
1,0,11,0,,0,0,0,0,0,0,,,,,,,,,"Ali Al Farsi Ali Saleem Saleh Al Farsi Position: DF Born: July 30, 1985 in Oman, Oman om National Team: Oman om",Oman 
6,5,474,0,,0,0,0,0,0,0,,,,,,,,,"Rashid Juma Al-Farsi Rashid Juma Mubarak Al-Farsi Position: DF Born: August 20, 1986 in Şūr, Oman om National Team: Oman om",Oman 
18,14,"1,100",5,0,4,1,1,2,0,0,,,,,,,,,"Abdullah Fawaz Abdullah Fawaz Arfah Bait Abdulghafur Position: MF ▪  Footed: Right 178cm, 68kg (5-10, 150lb) Born: October 3, 1996 (Age: 25-324d) in Şalālah, Oman om National Team: Oman om Club: Dhofar SCSC",Oman 
9,3,257,0,0,0,0,0,1,0,0,,,,,,,,,"Omer Al Fazari Omer Talib Ahmed Al Fazari Position: MF 179cm, 78kg (5-10, 172lb) Born: May 19, 1993 (Age: 29-096d) in Şuḩār, Oman om National Team: Oman om Club: Al-Suwaiq Club",Oman 
12,4,400,1,0,1,0,0,0,0,0,,,,,,,,,"Mohammed Al Ghafri Mohammed Mubarak Hamood Mubarak Al Ghafri Position: FW 183cm, 68kg (6-0, 150lb) Born: May 17, 1997 (Age: 25-098d) National Team: Oman om Club: Rustaq SC",Oman 
