MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
1,1,57,0,0,0,0,0,0,0,0,,,,,,,,,"Misael Acosta Misael Acosta Labrador Position: MF ▪  Footed: Right 185cm (6-½) Born: July 19, 1998 (Age: 24-035d) in La Chorrera, Panama pa National Team: Panama pa Club: San Francisco FC",Panama 
33,13,"1,087",2,0,2,0,0,5,1,0,7,,,,,,,,"Renán Addles Renán Yoriel Addles Daniels Position: FW 182cm, 86kg (5-11½, 190lb) Born: November 7, 1989 in Colón, Panama pa National Team: Panama pa",Panama 
2,0,24,0,,0,0,0,0,0,0,,,,,,,,,"Luis Agrazal Luis Agrazal Position: FW Born: April 15, 1972 in Panamá, Panama pa National Team: Panama pa",Panama 
8,3,325,0,,0,0,0,0,0,0,,,,,,,,,"Rafael Aguila Rafael Aguila Position: MF Born: January 29, 1997 (Age: 25-206d) Citizenship: Panama pa Club: CA Independiente",Panama 
51,37,"3,378",12,1,11,1,1,6,0,0,,,,,,,,,"Edwin Aguilar Edwin Enrique Aguilar Samaniego Position: FW 187cm, 79kg (6-1½, 174lb) Born: August 7, 1985 (Age: 37-016d) in Panamá, Panama pa National Team: Panama pa Club: Tauro FC",Panama 
22,11,984,1,2,1,0,0,0,0,0,6,7,3,17,8,3,0,0,"Jorman Aguilar Jorman Israel Aguilar Bustamante Position: FW 181cm (5-11) Born: September 11, 1994 (Age: 27-346d) in Panamá, Panama pa National Team: Panama pa Club: Bucheon FC 1995",Panama 
3,0,93,0,,0,0,0,1,0,0,,,,,,,,,"William Aguilar William Herney Aguilar Samaniego Position: FW Born: May 8, 1982 in Panamá, Panama pa National Team: Panama pa",Panama 
,,,,,,,,,,,,,,,,,,,"Marwin Ailiesei Position: DF Born: August 10, 2003 (Age: 19-013d) National Team: Panama pa Club: Tauro FC",Panama 
5,3,327,0,0,0,0,0,0,0,0,,,,,,,,,"Boris Alfaro Boris Xavier Alfaro Chong Position: FW ▪  Footed: Right 185cm, 73kg (6-½, 161lb) Born: October 29, 1988 in La Chorrera, Panama pa National Team: Panama pa",Panama 
4,3,283,0,,0,0,0,1,0,0,,,,,,,,,"José Alfredo Poyatos Position: DF Born: November 27, 1964 in Panamá, Panama pa National Team: Panama pa",Panama 
1,1,90,0,0,0,0,0,0,0,0,,,,,,,,,"Rolando Algandona Position: DF 182cm, 64kg (5-11½, 141lb) Born: April 12, 1989 (Age: 33-133d) in Panamá, Panama pa National Team: Panama pa Club: Veraguas CD",Panama 
3,2,131,0,0,0,0,0,0,0,0,,,,,,,,,"Onelys Alvarado Onelys Maruquel Alvarado Arenas Position: DF Born: August 20, 1993 in Panamá, Panama pa National Team: Panama pa",Panama 
132,119,"10,751",11,14,11,0,0,28,4,2,152,138,9,235,181,146,1,2,"Michael Amir Murillo Michael Amir Murillo Bermudez Position: DF (FB, right) ▪  Footed: 93% Right* 183cm, 79kg (6-0, 174lb) Born: February 11, 1996 (Age: 26-193d) in Panamá, Panama pa National Team: Panama pa Club: Anderlecht",Panama 
2,0,49,0,,0,0,0,0,0,0,,,,,,,,,"Alfredo Anderson Position: FW Born: October 31, 1978 in Colón, Panama pa National Team: Panama pa",Panama 
16,15,"1,267",1,,1,0,0,5,0,0,,,,,,,,,"Iván Anderson Iván Alejandro Anderson Hernández Position: DF Born: November 24, 1997 (Age: 24-272d) National Team: Panama pa Club: Monagas",Panama 
64,41,"3,992",0,3,0,0,0,11,0,0,54,28,3,56,111,83,0,1,"Andrés Andrade Cedeño Position: DF (FB) ▪  Footed: 84% Left* 175cm, 68kg (5-8½, 150lb) Born: October 16, 1998 (Age: 23-311d) in Panamá, Panama pa National Team: Panama pa Club: LASK Linz",Panama 
1,0,9,0,0,0,0,0,0,0,0,,,,,,,,,"Anuvis Angulo Anuvis Anays Angulo Castillo Position: FW Born: May 3, 2001 in Panamá, Panama pa National Team: Panama pa",Panama 
23,22,"1,970",0,,0,0,0,3,0,0,,,,,,,,,"José Anthony Torres José Mario Anthony Torres Position: DF 178cm, 77kg (5-10, 170lb) Born: August 27, 1972 in Panama pa National Team: Panama pa",Panama 
1,1,59,0,0,0,0,0,0,0,0,,,,,,,,,"Arianys Argüelles Arianys Argüelles Position: FW Born: August 8, 1991 in Panamá, Panama pa National Team: Panama pa",Panama 
41,38,"3,330",3,0,3,0,0,18,0,0,20,21,0,0,17,9,,,"Azmahar Ariano Azmahar Aníbal Ariano Navarro Position: DF 180cm, 74kg (5-10½, 163lb) Born: January 14, 1991 (Age: 31-221d) in Panama City, Florida, United States us National Team: Panama pa Club: Deportivo Tachira",Panama 
88,55,"5,102",10,5,10,0,0,8,1,0,18,18,9,6,3,1,0,0,"Abdiel Arroyo Position: FW ▪  Footed: Both 185cm, 73kg (6-½, 161lb) Born: December 13, 1993 (Age: 28-253d) in Colón, Panama pa National Team: Panama pa Club: Universidad César Vallejo",Panama 
1,0,34,0,0,0,0,0,0,0,0,,,,,,,,,"Chamell Asprilla Chamell Gernell Asprilla Alarcón Position: MF 175cm, 74kg (5-8½, 163lb) Born: August 11, 1998 (Age: 24-012d) in Panamá, Panama pa National Team: Panama pa Club: Atlético Chiriquí",Panama 
1,0,6,0,,0,0,0,1,0,0,,,,,,,,,"Ruben Atencio Ruben Atencio Position: MF Born: September 20, 1969 in Panamá, Panama pa National Team: Panama pa",Panama 
1,0,19,0,0,0,0,0,0,0,0,,,,,,,,,"Yasli Atencio Yasli Aldemaris Atencio Ríos Position: FW Born: September 25, 2002 in Panamá, Panama pa National Team: Panama pa",Panama 
9,7,526,0,1,0,0,0,3,0,,13,,,,,,,,"Gustavo Ávila Position: MF Born: April 21, 1981 National Team: Panama pa",Panama 
1,0,13,0,,0,0,0,0,0,0,,,,,,,,,"Oriel Avila Oriel Radames Avila Position: FW Born: September 29, 1974 in Panamá, Panama pa National Team: Panama pa",Panama 
2,2,135,0,0,0,0,0,0,0,0,,,,,,,,,"Porfirio Ávila Porfirio Ávila Aguilar Position: DF 168cm (5-6) Born: January 19, 1990 (Age: 32-216d) National Team: Panama pa Club: Herrera FC",Panama 
35,27,"2,382",5,2,4,1,1,14,0,0,36,19,1,21,19,32,0,0,"Ricardo Ávila Position: MF ▪  Footed: Left 184cm, 73kg (6-0, 161lb) Born: February 4, 1997 (Age: 25-200d) in Panamá, Panama pa National Team: Panama pa Club: Zulia",Panama 
42,37,"3,390",15,1,15,0,0,19,3,2,,,,,,,,,"Abdiel Ayarza Abdiel Armando Ayarza Bocanegra Position: MF Born: September 12, 1992 (Age: 29-345d) in Colón, Panama pa National Team: Panama pa Club: Cusco",Panama 
12,12,"1,098",0,0,0,0,0,0,0,0,,,,,,,,,"Yenith Bailey Yenith Elizabett Bailey de la Cruz Position: GK Born: March 29, 2001 (Age: 21-147d) in Panamá, Panama pa National Team: Panama pa",Panama 
321,310,"27,142",18,3,18,0,0,86,11,2,223,,,,,,,,"Felipe Baloy Felipe Abdiel Baloy Ramírez Position: DF (CB-FB, right) ▪  Footed: Right 185cm, 92kg (6-½, 203lb) Born: February 24, 1981 in Panamá, Panama pa National Team: Panama pa",Panama 
2,2,163,0,0,0,0,0,0,0,0,,,,,,,,,"Carina Baltrip-Reyes Carina Alicia Baltrip-Reyes Position: MF Born: July 1, 1998 (Age: 24-053d) in United States us National Team: Panama pa  Other: United States Club: Spartak Subotica",Panama 
167,82,"8,214",16,13,15,1,1,39,2,0,,,,,,,,,"Nelson Barahona Nelson Alberto Barahona Collins Position: MF (AM) ▪  Footed: Right 171cm, 66kg (5-7, 146lb) Born: November 22, 1987 in Colón, Panama pa National Team: Panama pa",Panama 
3,1,92,0,0,0,0,0,0,0,0,,,,,,,,,"Rubén Barrow Rubén Walter Barrow Hansell Position: FW 182cm (5-11½) Born: April 28, 1995 (Age: 27-117d) Citizenship: Panama pa Club: Veraguas CD",Panama 
1,0,45,0,0,0,0,0,0,0,0,,,,,,,,,"Ricaurte Barsallo Ricaurte Hakeem Barsallo Towshned Position: FW Born: September 5, 1994 in Panamá, Panama pa National Team: Panama pa",Panama 
2,1,96,0,,0,0,0,0,0,0,,,,,,,,,"Anthony Basile Anthony Saul Basile Position: FW 169cm (5-6½) Born: September 23, 1980 in Panamá, Panama pa National Team: Panama pa",Panama 
1,1,45,0,0,0,0,0,0,0,0,,,,,,,,,"José Batista José Jonathan Batista Position: MF 176cm, 76kg (5-9, 168lb) Born: May 19, 1989 in Panamá, Panama pa National Team: Panama pa",Panama 
13,12,958,0,0,0,0,0,0,0,0,,,,,,,,,"Laurie Batista Laurie Rachel Batista López Position: MF Born: May 29, 1996 (Age: 26-086d) in Panamá, Panama pa National Team: Panama pa",Panama 
6,2,187,0,0,0,0,0,0,1,0,,,,,,,,,"Rolando Batista Rolando Alberto Batista González Position: FW Born: December 4, 1988 in Panamá, Panama pa Citizenship: Panama pa",Panama 
3,3,194,0,0,0,0,0,0,0,0,,,,,,,,,"Yanixa Batista Yanixa Batista Position: FW Born: (Date unknown) in Panamá, Panama pa National Team: Panama pa",Panama 
21,10,"1,162",1,0,1,0,0,3,0,0,17,14,2,26,20,22,1,0,"Guillermo Benítez Guillermo Josúe Benítez Espinoza Position: DF ▪  Footed: Both 179cm (5-10) Born: March 5, 1999 (Age: 23-171d) in Panamá, Panama pa National Team: Panama pa",Panama 
104,74,"6,801",62,0,62,0,0,15,1,0,,,,,,,,,"Rolando Blackburn Rolando Manrique Blackburn Ortega Position: FW 180cm, 76kg (5-10½, 168lb) Born: January 9, 1990 (Age: 32-226d) in Panamá, Panama pa National Team: Panama pa Club: Liga Deportiva Alajuelense",Panama 
