MP,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,main_info,country
3,3,270,0,,0,0,,0,0,0,,,,,,,,,"Ignacio Achúcarro Ignacio Achúcarro Ayala Position: DF 169cm (5-6½) Born: July 31, 1936 in Asunción, Paraguay py National Team: Paraguay py",Paraguay 
227,151,"13,479",44,19,43,1,1,58,3,0,52,,,,,,,,"Jorge Achucarro Jorge Daniel Achucarro Position: FW ▪  Footed: Right 172cm, 78kg (5-7½, 172lb) Born: November 6, 1981 in Asunción, Paraguay py National Team: Paraguay py",Paraguay 
12,7,614,0,0,0,0,0,2,0,0,,,,,,,,,"Alex Acosta Alex Osvaldo Acosta Vargas Position: FW Born: May 14, 2000 (Age: 22-101d) Citizenship: Paraguay py Club: Resistencia SC",Paraguay 
10,6,354,0,0,0,0,0,2,0,0,,,,,,,,,"José Acosta José Florentin Acosta Santos Position: MF Born: January 20, 1999 Citizenship: Paraguay py",Paraguay 
2,2,180,0,0,0,0,0,0,0,0,,,,,,,,,"José Acosta Position: GK Born: March 29, 1986 Citizenship: Paraguay py",Paraguay 
6,1,241,0,0,0,0,0,0,0,0,,,,,,,,,"Juan Acosta Position: MF Born: November 19, 1996 Citizenship: Paraguay py",Paraguay 
4,1,149,0,0,0,0,0,2,1,1,,,,,,,,,Julio Acosta Position: MF Citizenship: Paraguay py,Paraguay 
4,2,168,0,0,0,0,0,1,0,0,,,,,,,,,"Marcelo Acosta Marcelo Rubén Acosta Ríos Position: MF Born: December 6, 2000 (Age: 21-260d) Citizenship: Paraguay py Club: Guaireña FC",Paraguay 
13,12,"1,032",0,0,0,0,0,3,0,0,,,,,,,,,"Marcos Acosta Marcos Antonio Acosta López Position: DF Born: November 5, 1984 Citizenship: Paraguay py",Paraguay 
260,246,"21,394",13,12,13,0,0,44,2,0,37,30,4,69,64,27,,,"Marcos Acosta Position: DF-MF (CB) ▪  Footed: Left 183cm, 76kg (6-0, 168lb) Born: December 7, 1991 (Age: 30-259d) in San Estanislao, Paraguay py Citizenship: Paraguay py Club: Orense Sporting Club",Paraguay 
6,4,407,1,0,1,0,0,2,0,0,,,,,,,,,"Marcos Acosta Pera Marcos Antonio Acosta Pera Position: DF Born: October 7, 1987 Citizenship: Paraguay py",Paraguay 
178,176,"15,816",0,0,0,0,0,16,1,0,,,,,,,,,"Roberto Acosta Roberto Carlos Acosta Coronel Position: GK 180cm, 82kg (5-10½, 181lb) Born: July 12, 1984 in Asunción, Paraguay py Citizenship: Paraguay py",Paraguay 
222,209,"18,632",8,1,8,0,0,59,10,4,,,,,,,,,"Federico Acuña Federico Acuña Cabrera Position: DF (CB) 181cm, 89kg (5-11, 196lb) Born: March 23, 1985 in Obligado, Paraguay py Citizenship: Paraguay py",Paraguay 
248,102,"10,716",35,3,34,1,1,27,2,0,83,43,10,38,6,8,0,0,"Javier Acuña Carlos Javier Acuña Caballero Position: FW ▪  Footed: Right 175cm, 69kg (5-8½, 152lb) Born: June 23, 1988 in Encarnación, Paraguay py Youth National Team: Paraguay py",Paraguay 
332,295,"25,502",40,42,31,9,10,63,3,0,176,,,,,,,,"Roberto Acuña Roberto Miguel Acuña Cabello Position: MF (CM) 175cm, 86kg (5-8½, 190lb) Born: March 25, 1972 in Avellaneda, Argentina ar National Team: Paraguay py  Other: Argentina",Paraguay 
7,3,244,0,0,0,0,0,1,0,0,,,,,,,,,"Ronald Acuña Ronald Alexis Acuña Giménez Position: FW Born: May 25, 1993 (Age: 29-090d) Citizenship: Paraguay py Club: Club General Caballero JLM",Paraguay 
