abbrev,player_count,link
AFC,166,https://fbref.com/en/country/players/AFG/Afghanistan-Football-Players
UEFA,455,https://fbref.com/en/country/players/ALB/Albania-Football-Players
CAF,452,https://fbref.com/en/country/players/ALG/Algeria-Football-Players
OFC,37,https://fbref.com/en/country/players/ASA/American-Samoa-Football-Players
UEFA,123,https://fbref.com/en/country/players/AND/Andorra-Football-Players
CAF,278,https://fbref.com/en/country/players/ANG/Angola-Football-Players
CONCACAF,110,https://fbref.com/en/country/players/AIA/Anguilla-Football-Players
CONCACAF,158,https://fbref.com/en/country/players/ATG/Antigua-and-Barbuda-Football-Players
CONMEBOL,4209,https://fbref.com/en/country/players/ARG/Argentina-Football-Players
UEFA,240,https://fbref.com/en/country/players/ARM/Armenia-Football-Players
CONCACAF,136,https://fbref.com/en/country/players/ARU/Aruba-Football-Players
AFC,1326,https://fbref.com/en/country/players/AUS/Australia-Football-Players
UEFA,1651,https://fbref.com/en/country/players/AUT/Austria-Football-Players
UEFA,275,https://fbref.com/en/country/players/AZE/Azerbaijan-Football-Players
CONCACAF,102,https://fbref.com/en/country/players/BAH/Bahamas-Football-Players
AFC,215,https://fbref.com/en/country/players/BHR/Bahrain-Football-Players
AFC,168,https://fbref.com/en/country/players/BAN/Bangladesh-Football-Players
CONCACAF,178,https://fbref.com/en/country/players/BRB/Barbados-Football-Players
UEFA,372,https://fbref.com/en/country/players/BLR/Belarus-Football-Players
UEFA,2589,https://fbref.com/en/country/players/BEL/Belgium-Football-Players
CONCACAF,144,https://fbref.com/en/country/players/BLZ/Belize-Football-Players
CAF,135,https://fbref.com/en/country/players/BEN/Benin-Football-Players
CONCACAF,152,https://fbref.com/en/country/players/BER/Bermuda-Football-Players
AFC,82,https://fbref.com/en/country/players/BHU/Bhutan-Football-Players
CONMEBOL,924,https://fbref.com/en/country/players/BOL/Bolivia-Football-Players
CONCACAF,1,https://fbref.com/en/country/players/BOE/Bonaire-Football-Players
UEFA,878,https://fbref.com/en/country/players/BIH/Bosnia-and-Herzegovina-Football-Players
CAF,177,https://fbref.com/en/country/players/BOT/Botswana-Football-Players
CONMEBOL,8145,https://fbref.com/en/country/players/BRA/Brazil-Football-Players
CONCACAF,95,https://fbref.com/en/country/players/VGB/British-Virgin-Islands-Football-Players
AFC,72,https://fbref.com/en/country/players/BRU/Brunei-Football-Players
UEFA,1708,https://fbref.com/en/country/players/BUL/Bulgaria-Football-Players
CAF,260,https://fbref.com/en/country/players/BFA/Burkina-Faso-Football-Players
CAF,144,https://fbref.com/en/country/players/BDI/Burundi-Football-Players
AFC,142,https://fbref.com/en/country/players/CAM/Cambodia-Football-Players
CAF,711,https://fbref.com/en/country/players/CMR/Cameroon-Football-Players
CONCACAF,849,https://fbref.com/en/country/players/CAN/Canada-Football-Players
CAF,188,https://fbref.com/en/country/players/CPV/Cape-Verde-Football-Players
CONCACAF,123,https://fbref.com/en/country/players/CAY/Cayman-Islands-Football-Players
CAF,127,https://fbref.com/en/country/players/CTA/Central-African-Republic-Football-Players
CAF,73,https://fbref.com/en/country/players/CHA/Chad-Football-Players
CONMEBOL,1466,https://fbref.com/en/country/players/CHI/Chile-Football-Players
AFC,1282,https://fbref.com/en/country/players/CHN/China-PR-Football-Players
AFC,217,https://fbref.com/en/country/players/TPE/Chinese-Taipei-Football-Players
CONMEBOL,2353,https://fbref.com/en/country/players/COL/Colombia-Football-Players
FIFA,29,https://fbref.com/en/country/players/CIS/Commonwealth-of-Independent-States-Football-Players
CAF,102,https://fbref.com/en/country/players/COM/Comoros-Football-Players
CAF,217,https://fbref.com/en/country/players/CGO/Congo-Football-Players
CAF,399,https://fbref.com/en/country/players/COD/Congo-DR-Football-Players
OFC,64,https://fbref.com/en/country/players/COK/Cook-Islands-Football-Players
CONCACAF,389,https://fbref.com/en/country/players/CRC/Costa-Rica-Football-Players
CAF,610,https://fbref.com/en/country/players/CIV/Cote-dIvoire-Football-Players
UEFA,1796,https://fbref.com/en/country/players/CRO/Croatia-Football-Players
CONCACAF,225,https://fbref.com/en/country/players/CUB/Cuba-Football-Players
CONCACAF,170,https://fbref.com/en/country/players/CUW/Curacao-Football-Players
UEFA,329,https://fbref.com/en/country/players/CYP/Cyprus-Football-Players
UEFA,1701,https://fbref.com/en/country/players/CZE/Czech-Republic-Football-Players
FIFA,156,https://fbref.com/en/country/players/TCH/Czechoslovakia-Football-Players
UEFA,1918,https://fbref.com/en/country/players/DEN/Denmark-Football-Players
CAF,90,https://fbref.com/en/country/players/DJI/Djibouti-Football-Players
CONCACAF,118,https://fbref.com/en/country/players/DMA/Dominica-Football-Players
CONCACAF,214,https://fbref.com/en/country/players/DOM/Dominican-Republic-Football-Players
CONMEBOL,1356,https://fbref.com/en/country/players/ECU/Ecuador-Football-Players
CAF,307,https://fbref.com/en/country/players/EGY/Egypt-Football-Players
CONCACAF,341,https://fbref.com/en/country/players/SLV/El-Salvador-Football-Players
UEFA,9675,https://fbref.com/en/country/players/ENG/England-Football-Players
CAF,182,https://fbref.com/en/country/players/EQG/Equatorial-Guinea-Football-Players
CAF,73,https://fbref.com/en/country/players/ERI/Eritrea-Football-Players
UEFA,255,https://fbref.com/en/country/players/EST/Estonia-Football-Players
CAF,109,https://fbref.com/en/country/players/SWZ/Eswatini-Football-Players
CAF,167,https://fbref.com/en/country/players/ETH/Ethiopia-Football-Players
UEFA,213,https://fbref.com/en/country/players/FRO/Faroe-Islands-Football-Players
OFC,131,https://fbref.com/en/country/players/FIJ/Fiji-Football-Players
UEFA,1525,https://fbref.com/en/country/players/FIN/Finland-Football-Players
UEFA,12267,https://fbref.com/en/country/players/FRA/France-Football-Players
CONCACAF,168,https://fbref.com/en/country/players/GUF/French-Guiana-Football-Players
CAF,140,https://fbref.com/en/country/players/GAB/Gabon-Football-Players
CAF,201,https://fbref.com/en/country/players/GAM/Gambia-Football-Players
UEFA,412,https://fbref.com/en/country/players/GEO/Georgia-Football-Players
UEFA,13417,https://fbref.com/en/country/players/GER/Germany-Football-Players
FIFA,75,https://fbref.com/en/country/players/GDR/East-Germany-Football-Players
CAF,809,https://fbref.com/en/country/players/GHA/Ghana-Football-Players
UEFA,107,https://fbref.com/en/country/players/GIB/Gibraltar-Football-Players
UEFA,1416,https://fbref.com/en/country/players/GRE/Greece-Football-Players
CONCACAF,175,https://fbref.com/en/country/players/GRN/Grenada-Football-Players
CONCACAF,194,https://fbref.com/en/country/players/GLP/Guadeloupe-Football-Players
