MP,assists,cards_red,cards_yellow,cards_yellow_red,crosses,fouled,fouls,games_starts,goals,goals_pens,interceptions,main_info,minutes,offsides,pens_att,pens_conceded,pens_made,pens_won,tackles_won
1,,0,0,0,,,,1,0,0,,"Mahamoud Ali M'Changama Position: DF 184cm, 78kg (6-0, 172lb) Born: October 1, 1986 National Team: Comoros km",90,,0,,0,,
11,2.0,0,0,0,0.0,0.0,1.0,5,1,1,0.0,"Abdallah Ali Mohamed Position: DF 185cm, 78kg (6-½, 172lb) Born: April 11, 1999 (Age: 23-131d) in Moroni, Comoros km National Team: Comoros km Club: FC Stade Lausanne-Ouchy",592,0.0,0,,0,,0.0
1,0.0,0,0,0,,,,0,0,0,,"Sara Begallo Mesuare Begallo Position: MF Born: March 1, 2000 National Team: Comoros km  Other: France",2,,0,,0,,
15,0.0,0,3,0,0.0,2.0,1.0,13,0,0,0.0,"Salim Ben Boina Position: GK 176cm, 66kg (5-9, 146lb) Born: July 19, 1991 (Age: 31-032d) in Marseille, France fr National Team: Comoros km  Other: France Club: US Marseille Endoume","1,136",0.0,0,,0,,1.0
5,0.0,0,1,0,,,,1,0,0,,"Faouz Faidine Attoumane Position: MF 163cm (5-4) Born: January 4, 1994 (Age: 28-228d) in Fomboni, Comoros km National Team: Comoros km Club: FC Nouadhibou",134,,0,,0,,
1,,0,1,0,,,,1,0,0,,"Mohamed Hassani Mbalia Position: GK 170cm, 69kg (5-6½, 152lb) Born: August 15, 1984 National Team: Comoros km",90,,0,,0,,
5,0.0,1,2,1,,,,4,0,0,,"Omar M'Dahoma Position: DF 176cm, 62kg (5-9, 137lb) Born: September 10, 1987 (Age: 34-344d) in Dzaoudzi, Mayotte National Team: Comoros km Club: GS Consolat",370,,0,,0,,
1,0.0,0,0,0,,,,1,0,0,,"Fouad M'Roudjaé Position: DF (FB) 181cm, 68kg (5-11, 150lb) Born: June 24, 1994 in Marseille, France fr National Team: Comoros km  Other: France",90,,0,,0,,
2,0.0,0,1,0,,,,0,0,0,,"Ibrahim Madi Position: MF Born: May 19, 1998 (Age: 24-093d) in Marseille, France fr National Team: Comoros km  Other: France Club: GS Consolat",41,,0,,0,,
1,0.0,0,0,0,,,,1,0,0,,"Omar Mbapandza Position: DF Born: April 9, 1997 (Age: 25-133d) in Marseille, France fr National Team: Comoros km Club: ASC Saint-Apollinaire",90,,0,,0,,
2,0.0,0,0,0,,,,2,0,0,,"Ibrahim Mchinda Madîhali Position: MF Born: November 16, 1988 National Team: Comoros km  Other: France",180,,0,,0,,
2,,0,0,0,,,,2,0,0,,"Moubarak Mfoihaia Abdallah Mfoihaya Position: FW 176cm, 68kg (5-9, 150lb) Born: July 4, 1985 in Marseille, France fr National Team: Comoros km",178,,0,,0,,
2,,0,0,0,,,,1,0,0,,"Djamal Mohamed Position: MF 177cm, 78kg (5-9½, 172lb) Born: October 8, 1980 in Marseille, France fr National Team: Comoros km  Other: France",112,,0,,0,,
1,,0,0,0,,,,1,0,0,,"Ali Mourade Position: DF 190cm, 87kg (6-2½, 192lb) Born: October 17, 1984 in Marseille, France fr National Team: Comoros km",59,,0,,0,,
1,,0,0,0,,,,1,0,0,,"Mahamoud Mroivili Position: GK 183cm, 78kg (6-0, 172lb) Born: February 6, 1991 in Mitsamiouli, Comoros km National Team: Comoros km",90,,0,,0,,
9,1.0,0,0,0,,,,6,0,0,,"Ancoub Mze Ali Position: MF ▪  Footed: Right 170cm, 59kg (5-6½, 130lb) Born: February 11, 1996 (Age: 26-190d) in Nice, France fr National Team: Comoros km  Other: France Club: Villefranche Saint-Jean Beaulieu FC",592,,0,,0,,
1,0.0,0,0,0,,,,0,0,0,,"Yannick Pandor Yannick Pandor Position: GK ▪  Footed: Left 178cm, 73kg (5-10, 161lb) Born: May 1, 2001 (Age: 21-111d) in Marseille, France fr National Team: Comoros km  Other: France Club: Lens",45,,0,,0,,
1,0.0,0,0,0,,,,0,0,0,,"Yacine Saandi Position: FW-MF 178cm, 73kg (5-10, 161lb) Born: April 2, 1987 in Marseille, France fr National Team: Comoros km  Other: France",18,,0,,0,,
